ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002445.SZ,20200110,1.5,1.51,1.45,1.46,1.5,-0.04,-2.6667,117267.4,17228.403
002445.SZ,20200109,1.44,1.5,1.44,1.5,1.44,0.06,4.1667,165950.71,24612.074
002445.SZ,20200108,1.5,1.51,1.43,1.44,1.51,-0.07,-4.6358,194439.14,28657.62
002445.SZ,20200107,1.45,1.52,1.45,1.51,1.46,0.05,3.4247,163687.86,24503.266
002445.SZ,20200106,1.44,1.49,1.43,1.46,1.46,0.0,0.0,177239.2,25939.324
002445.SZ,20200103,1.39,1.46,1.38,1.46,1.39,0.07,5.036,190998.35,27401.66
002445.SZ,20200102,1.38,1.4,1.37,1.39,1.37,0.02,1.4599,101913.65,14153.484
002445.SZ,20191231,1.35,1.38,1.33,1.37,1.35,0.02,1.4815,90310.57,12337.068
002445.SZ,20191230,1.38,1.38,1.35,1.35,1.42,-0.07,-4.9296,191265.37,25974.235
002445.SZ,20191227,1.44,1.52,1.42,1.42,1.47,-0.05,-3.4014,209380.41,30513.263
002445.SZ,20191226,1.45,1.5,1.39,1.47,1.46,0.01,0.6849,289986.7,41650.781
002445.SZ,20191225,1.55,1.58,1.46,1.46,1.54,-0.08,-5.1948,388592.29,57908.079
002445.SZ,20191224,1.45,1.54,1.44,1.54,1.47,0.07,4.7619,324251.33,49066.021
002445.SZ,20191223,1.39,1.48,1.35,1.47,1.41,0.06,4.2553,387605.56,55421.759
002445.SZ,20191220,1.34,1.41,1.33,1.41,1.34,0.07,5.2239,240838.18,33123.815
002445.SZ,20191219,1.3,1.35,1.29,1.34,1.3,0.04,3.0769,215307.0,28674.531
002445.SZ,20191218,1.3,1.33,1.29,1.3,1.31,-0.01,-0.7634,128204.0,16810.69
002445.SZ,20191217,1.3,1.32,1.28,1.31,1.3,0.01,0.7692,148262.1,19314.409
002445.SZ,20191216,1.3,1.33,1.28,1.3,1.31,-0.01,-0.7634,109663.73,14238.858
002445.SZ,20191213,1.3,1.33,1.28,1.31,1.29,0.02,1.5504,109248.73,14254.834
002445.SZ,20191212,1.32,1.33,1.28,1.29,1.32,-0.03,-2.2727,87251.9,11446.502
002445.SZ,20191211,1.3,1.36,1.29,1.32,1.31,0.01,0.7634,87457.37,11579.614
002445.SZ,20191210,1.34,1.35,1.29,1.31,1.36,-0.05,-3.6765,118519.4,15593.103
002445.SZ,20191209,1.37,1.37,1.32,1.36,1.37,-0.01,-0.7299,200632.97,26927.365
002445.SZ,20191206,1.29,1.37,1.28,1.37,1.3,0.07,5.3846,217375.86,29583.603
002445.SZ,20191205,1.35,1.35,1.28,1.3,1.33,-0.03,-2.2556,172197.49,22468.273
