ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603996.SH,20200110,4.67,4.68,4.59,4.62,4.66,-0.04,-0.8584,26233.0,12131.865
603996.SH,20200109,4.64,4.69,4.61,4.66,4.61,0.05,1.0846,32429.8,15101.929
603996.SH,20200108,4.68,4.75,4.59,4.61,4.69,-0.08,-1.7058,42312.39,19799.53
603996.SH,20200107,4.66,4.76,4.63,4.69,4.67,0.02,0.4283,40694.89,19119.223
603996.SH,20200106,4.86,4.92,4.67,4.67,4.92,-0.25,-5.0813,82686.2,39434.663
603996.SH,20200103,4.92,5.01,4.85,4.92,4.94,-0.02,-0.4049,49001.3,24159.816
603996.SH,20200102,4.98,5.05,4.86,4.94,5.03,-0.09,-1.7893,45450.66,22488.729
603996.SH,20191231,4.85,5.11,4.85,5.03,5.11,-0.08,-1.5656,71255.83,34838.128
603996.SH,20191230,5.35,5.35,5.11,5.11,5.38,-0.27,-5.0186,38599.0,19877.077
603996.SH,20191227,5.34,5.46,5.3,5.38,5.41,-0.03,-0.5545,29671.0,15972.417
603996.SH,20191226,5.36,5.48,5.28,5.41,5.38,0.03,0.5576,31179.0,16737.022
603996.SH,20191225,5.4,5.53,5.29,5.38,5.4,-0.02,-0.3704,43263.63,23290.195
603996.SH,20191224,5.12,5.4,5.08,5.4,5.14,0.26,5.0584,50002.5,26561.034
603996.SH,20191223,5.1,5.17,5.07,5.14,5.16,-0.02,-0.3876,15068.5,7714.597
603996.SH,20191220,5.08,5.16,5.08,5.16,5.12,0.04,0.7813,17112.0,8769.148
603996.SH,20191219,5.09,5.16,4.97,5.12,5.09,0.03,0.5894,15373.0,7823.53
603996.SH,20191218,5.1,5.18,5.07,5.09,5.16,-0.07,-1.3566,24124.0,12332.46
603996.SH,20191217,5.06,5.25,5.06,5.16,5.11,0.05,0.9785,18768.0,9697.985
603996.SH,20191216,5.08,5.15,5.06,5.11,5.09,0.02,0.3929,13242.5,6763.589
603996.SH,20191213,5.08,5.13,5.03,5.09,5.07,0.02,0.3945,13983.5,7117.503
603996.SH,20191212,4.96,5.17,4.88,5.07,4.93,0.14,2.8398,26902.0,13589.285
603996.SH,20191211,4.98,5.02,4.85,4.93,4.98,-0.05,-1.004,21327.5,10515.486
603996.SH,20191210,4.95,5.04,4.92,4.98,4.99,-0.01,-0.2004,11473.18,5722.419
603996.SH,20191209,4.95,5.13,4.94,4.99,4.96,0.03,0.6048,19636.8,9827.522
603996.SH,20191206,5.13,5.13,4.89,4.96,5.14,-0.18,-3.5019,36402.5,18084.243
603996.SH,20191205,5.03,5.25,5.01,5.14,5.03,0.11,2.1869,33834.0,17322.494
603996.SH,20191204,4.78,5.06,4.75,5.03,4.82,0.21,4.3568,29403.73,14614.457
603996.SH,20191203,4.77,4.88,4.75,4.82,4.74,0.08,1.6878,13006.5,6258.966
603996.SH,20191202,4.82,4.84,4.68,4.74,4.77,-0.03,-0.6289,10292.5,4869.183
603996.SH,20191129,4.81,4.87,4.69,4.77,4.83,-0.06,-1.2422,17288.5,8257.057
603996.SH,20191128,4.67,4.9,4.63,4.83,4.67,0.16,3.4261,20931.5,10065.707
603996.SH,20191127,4.85,4.85,4.58,4.67,4.82,-0.15,-3.112,16283.0,7627.732
603996.SH,20191126,4.86,4.87,4.8,4.82,4.83,-0.01,-0.207,9437.5,4560.442
603996.SH,20191125,4.99,5.06,4.79,4.83,4.98,-0.15,-3.012,24900.5,12140.547
603996.SH,20191122,4.85,5.05,4.83,4.98,4.85,0.13,2.6804,29163.0,14522.795
603996.SH,20191121,4.63,4.85,4.58,4.85,4.62,0.23,4.9784,35631.95,17019.199
603996.SH,20191120,4.8,4.86,4.61,4.62,4.85,-0.23,-4.7423,24090.5,11348.984
603996.SH,20191119,4.78,4.98,4.7,4.85,4.74,0.11,2.3207,43045.03,21001.251
603996.SH,20191118,4.43,4.74,4.43,4.74,4.51,0.23,5.0998,20707.0,9600.213
603996.SH,20191115,4.44,4.59,4.35,4.51,4.42,0.09,2.0362,28381.5,12664.938
603996.SH,20191114,4.42,4.49,4.42,4.42,4.65,-0.23,-4.9462,42969.0,19018.676
603996.SH,20191113,4.88,4.88,4.65,4.65,4.89,-0.24,-4.908,31058.0,14600.957
603996.SH,20191112,4.9,5.14,4.89,4.89,5.15,-0.26,-5.0485,31493.0,15549.049
603996.SH,20191111,5.18,5.21,5.1,5.15,5.26,-0.11,-2.0913,12118.53,6248.75
603996.SH,20191108,5.2,5.28,5.08,5.26,5.22,0.04,0.7663,24193.72,12585.392
603996.SH,20191107,5.45,5.45,5.22,5.22,5.49,-0.27,-4.918,35050.0,18388.488
603996.SH,20191106,5.8,5.8,5.49,5.49,5.78,-0.29,-5.0173,38751.5,21480.47
603996.SH,20191105,5.9,5.94,5.68,5.78,5.91,-0.13,-2.1997,21052.0,12210.257
603996.SH,20191104,6.0,6.04,5.89,5.91,5.99,-0.08,-1.3356,13472.0,8020.831
