ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600462.SH,20200110,1.72,1.75,1.67,1.69,1.73,-0.04,-2.3121,94241.01,16039.912
600462.SH,20200109,1.68,1.75,1.67,1.73,1.68,0.05,2.9762,142250.59,24382.189
600462.SH,20200108,1.73,1.75,1.66,1.68,1.75,-0.07,-4.0,197496.37,33522.423
600462.SH,20200107,1.8,1.82,1.74,1.75,1.76,-0.01,-0.5682,172433.8,30625.033
600462.SH,20200106,1.67,1.76,1.65,1.76,1.68,0.08,4.7619,136982.89,23552.814
600462.SH,20200103,1.65,1.7,1.64,1.68,1.66,0.02,1.2048,106613.17,17878.799
600462.SH,20200102,1.65,1.68,1.62,1.66,1.64,0.02,1.2195,91861.6,15172.027
600462.SH,20191231,1.63,1.66,1.6,1.64,1.66,-0.02,-1.2048,121765.17,19791.346
600462.SH,20191230,1.68,1.7,1.66,1.66,1.75,-0.09,-5.1429,160468.49,26829.971
600462.SH,20191227,1.79,1.84,1.73,1.75,1.8,-0.05,-2.7778,122314.2,21771.311
600462.SH,20191226,1.72,1.82,1.7,1.8,1.79,0.01,0.5587,210693.46,36672.141
600462.SH,20191225,1.92,1.94,1.79,1.79,1.88,-0.09,-4.7872,267786.0,49014.748
600462.SH,20191224,1.8,1.88,1.77,1.88,1.79,0.09,5.0279,259473.6,47719.403
600462.SH,20191223,1.68,1.79,1.66,1.79,1.7,0.09,5.2941,225719.6,39811.91
600462.SH,20191220,1.68,1.72,1.68,1.7,1.69,0.01,0.5917,127657.97,21686.751
600462.SH,20191219,1.66,1.71,1.63,1.69,1.64,0.05,3.0488,132347.01,22170.689
600462.SH,20191218,1.62,1.66,1.62,1.64,1.63,0.01,0.6135,91778.0,15086.851
600462.SH,20191217,1.68,1.7,1.62,1.63,1.69,-0.06,-3.5503,194330.21,31885.956
600462.SH,20191216,1.68,1.74,1.66,1.69,1.7,-0.01,-0.5882,170967.01,28889.86
600462.SH,20191213,1.72,1.73,1.63,1.7,1.65,0.05,3.0303,248016.8,42459.56
600462.SH,20191212,1.65,1.65,1.65,1.65,1.57,0.08,5.0955,22354.8,3688.542
600462.SH,20191211,1.55,1.59,1.5,1.57,1.56,0.01,0.641,141220.6,21828.265
600462.SH,20191210,1.62,1.63,1.54,1.56,1.62,-0.06,-3.7037,185324.2,28956.07
600462.SH,20191209,1.67,1.68,1.61,1.62,1.67,-0.05,-2.994,107067.8,17480.736
600462.SH,20191206,1.63,1.69,1.61,1.67,1.65,0.02,1.2121,105549.6,17509.398
600462.SH,20191205,1.7,1.74,1.65,1.65,1.74,-0.09,-5.1724,231785.18,38783.354
600462.SH,20191204,1.78,1.8,1.7,1.74,1.71,0.03,1.7544,278927.44,49062.199
600462.SH,20191203,1.62,1.71,1.59,1.71,1.63,0.08,4.908,100805.24,16705.713
600462.SH,20191202,1.66,1.68,1.59,1.63,1.67,-0.04,-2.3952,223585.21,36063.298
600462.SH,20191129,1.73,1.78,1.67,1.67,1.76,-0.09,-5.1136,183909.65,31210.081
600462.SH,20191128,1.68,1.79,1.65,1.76,1.74,0.02,1.1494,204829.6,35144.661
600462.SH,20191127,1.79,1.79,1.74,1.74,1.83,-0.09,-4.918,200600.41,35021.075
600462.SH,20191126,1.83,1.86,1.73,1.83,1.77,0.06,3.3898,284626.46,51732.712
600462.SH,20191125,1.75,1.77,1.69,1.77,1.69,0.08,4.7337,107925.61,18915.815
600462.SH,20191122,1.61,1.72,1.6,1.69,1.66,0.03,1.8072,221286.91,36823.374
600462.SH,20191121,1.6,1.67,1.54,1.66,1.59,0.07,4.4025,443361.92,72700.911
600462.SH,20191120,1.59,1.59,1.59,1.59,1.51,0.08,5.298,6517.0,1036.203
600462.SH,20191119,1.51,1.51,1.51,1.51,1.44,0.07,4.8611,4715.0,711.965
600462.SH,20191118,1.44,1.44,1.42,1.44,1.37,0.07,5.1095,37869.69,5451.173
600462.SH,20191115,1.51,1.51,1.37,1.37,1.44,-0.07,-4.8611,409898.23,59624.168
600462.SH,20191114,1.43,1.44,1.4,1.44,1.37,0.07,5.1095,94708.21,13528.224
600462.SH,20191113,1.31,1.37,1.29,1.37,1.3,0.07,5.3846,140707.38,19031.699
600462.SH,20191112,1.21,1.3,1.21,1.3,1.24,0.06,4.8387,311195.46,39476.687
600462.SH,20191111,1.24,1.24,1.21,1.24,1.18,0.06,5.0847,266919.0,33049.708
600462.SH,20191108,1.18,1.18,1.18,1.18,1.12,0.06,5.3571,8032.06,947.783
600462.SH,20191107,1.12,1.12,1.12,1.12,1.07,0.05,4.6729,15702.88,1758.723
600462.SH,20191106,1.04,1.1,1.02,1.07,1.05,0.02,1.9048,238052.2,25300.221
600462.SH,20191105,1.11,1.12,1.05,1.05,1.11,-0.06,-5.4054,321990.43,34225.286
600462.SH,20191104,1.1,1.13,1.08,1.11,1.12,-0.01,-0.8929,119975.63,13321.988
600462.SH,20191101,1.14,1.14,1.1,1.12,1.16,-0.04,-3.4483,207425.08,23133.865
600462.SH,20191031,1.22,1.24,1.16,1.16,1.22,-0.06,-4.918,148315.8,17516.764
600462.SH,20191030,1.28,1.28,1.22,1.22,1.28,-0.06,-4.6875,115033.01,14211.335
600462.SH,20191029,1.28,1.3,1.27,1.28,1.29,-0.01,-0.7752,57358.01,7367.07
600462.SH,20191028,1.28,1.29,1.27,1.29,1.28,0.01,0.7813,56264.28,7187.161
600462.SH,20191025,1.28,1.29,1.27,1.28,1.29,-0.01,-0.7752,32963.0,4218.791
600462.SH,20191024,1.28,1.29,1.27,1.29,1.27,0.02,1.5748,42578.08,5453.966
600462.SH,20191023,1.3,1.3,1.26,1.27,1.3,-0.03,-2.3077,63893.0,8205.863
600462.SH,20191022,1.31,1.31,1.29,1.3,1.31,-0.01,-0.7634,49996.01,6497.999
600462.SH,20191021,1.34,1.34,1.3,1.31,1.31,0.0,0.0,56309.0,7424.727
600462.SH,20191018,1.31,1.32,1.29,1.31,1.31,0.0,0.0,51380.0,6702.488
600462.SH,20191017,1.29,1.31,1.28,1.31,1.29,0.02,1.5504,41481.0,5378.957
600462.SH,20191016,1.31,1.32,1.28,1.29,1.31,-0.02,-1.5267,42737.0,5553.538
600462.SH,20191015,1.33,1.33,1.3,1.31,1.33,-0.02,-1.5038,52214.0,6847.334
600462.SH,20191014,1.33,1.34,1.32,1.33,1.33,0.0,0.0,49839.02,6616.223
600462.SH,20191011,1.34,1.35,1.32,1.33,1.34,-0.01,-0.7463,47656.12,6325.431
600462.SH,20191010,1.33,1.35,1.31,1.34,1.33,0.01,0.7519,43343.0,5771.412
600462.SH,20191009,1.31,1.33,1.28,1.33,1.32,0.01,0.7576,30368.27,3974.221
600462.SH,20191008,1.32,1.34,1.31,1.32,1.32,0.0,0.0,30498.0,4042.313
600462.SH,20190930,1.32,1.34,1.31,1.32,1.33,-0.01,-0.7519,43116.02,5710.391
600462.SH,20190927,1.29,1.35,1.29,1.33,1.3,0.03,2.3077,53890.2,7169.261
600462.SH,20190926,1.35,1.36,1.3,1.3,1.35,-0.05,-3.7037,76991.0,10198.743
600462.SH,20190925,1.39,1.39,1.34,1.35,1.4,-0.05,-3.5714,103899.0,14164.296
600462.SH,20190924,1.41,1.42,1.4,1.4,1.4,0.0,0.0,68934.0,9716.11
600462.SH,20190923,1.44,1.44,1.39,1.4,1.45,-0.05,-3.4483,75516.4,10661.243
600462.SH,20190920,1.43,1.47,1.42,1.45,1.43,0.02,1.3986,98682.61,14271.574
600462.SH,20190919,1.42,1.43,1.4,1.43,1.43,0.0,0.0,54458.61,7733.092
600462.SH,20190918,1.42,1.45,1.41,1.43,1.42,0.01,0.7042,78350.0,11242.543
600462.SH,20190917,1.41,1.45,1.4,1.42,1.41,0.01,0.7092,124023.6,17650.229
600462.SH,20190916,1.41,1.42,1.39,1.41,1.41,0.0,0.0,77903.63,10944.607
600462.SH,20190912,1.4,1.41,1.38,1.41,1.4,0.01,0.7143,57854.8,8070.019
600462.SH,20190911,1.4,1.43,1.39,1.4,1.4,0.0,0.0,84238.39,11873.827
