ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002102.SZ,20200110,2.24,2.25,2.21,2.22,2.24,-0.02,-0.8929,155672.0,34571.465
002102.SZ,20200109,2.23,2.25,2.22,2.24,2.22,0.02,0.9009,153625.0,34393.787
002102.SZ,20200108,2.24,2.26,2.21,2.22,2.25,-0.03,-1.3333,243051.0,54361.155
002102.SZ,20200107,2.24,2.27,2.23,2.25,2.25,0.0,0.0,202243.36,45537.111
002102.SZ,20200106,2.23,2.26,2.23,2.25,2.23,0.02,0.8969,257318.0,57825.045
002102.SZ,20200103,2.21,2.24,2.2,2.23,2.21,0.02,0.905,171344.67,38067.859
002102.SZ,20200102,2.21,2.21,2.19,2.21,2.21,0.0,0.0,182355.67,40158.098
002102.SZ,20191231,2.19,2.21,2.17,2.21,2.19,0.02,0.9132,117320.0,25777.083
002102.SZ,20191230,2.15,2.21,2.14,2.19,2.19,0.0,0.0,214690.25,46703.937
002102.SZ,20191227,2.19,2.22,2.18,2.19,2.19,0.0,0.0,190574.12,41888.652
002102.SZ,20191226,2.2,2.21,2.17,2.19,2.21,-0.02,-0.905,182692.97,39930.113
002102.SZ,20191225,2.24,2.24,2.19,2.21,2.25,-0.04,-1.7778,235743.0,52099.877
002102.SZ,20191224,2.19,2.26,2.18,2.25,2.19,0.06,2.7397,262137.06,58538.606
002102.SZ,20191223,2.19,2.23,2.18,2.19,2.19,0.0,0.0,216442.0,47680.394
002102.SZ,20191220,2.2,2.28,2.18,2.19,2.22,-0.03,-1.3514,369683.0,82720.196
002102.SZ,20191219,2.14,2.24,2.13,2.22,2.14,0.08,3.7383,379788.12,83556.255
002102.SZ,20191218,2.14,2.16,2.13,2.14,2.14,0.0,0.0,149642.0,32055.653
002102.SZ,20191217,2.1,2.17,2.1,2.14,2.1,0.04,1.9048,263602.07,56639.767
002102.SZ,20191216,2.1,2.1,2.08,2.1,2.09,0.01,0.4785,105535.03,22073.665
002102.SZ,20191213,2.07,2.1,2.07,2.09,2.07,0.02,0.9662,114699.09,23870.54
002102.SZ,20191212,2.08,2.09,2.06,2.07,2.09,-0.02,-0.9569,97285.0,20190.048
002102.SZ,20191211,2.09,2.1,2.08,2.09,2.09,0.0,0.0,78911.06,16472.219
002102.SZ,20191210,2.09,2.1,2.08,2.09,2.1,-0.01,-0.4762,83394.0,17423.967
002102.SZ,20191209,2.12,2.12,2.09,2.1,2.12,-0.02,-0.9434,88085.3,18524.532
002102.SZ,20191206,2.08,2.12,2.08,2.12,2.09,0.03,1.4354,127315.0,26793.654
002102.SZ,20191205,2.08,2.1,2.07,2.09,2.08,0.01,0.4808,83712.0,17487.093
002102.SZ,20191204,2.09,2.1,2.07,2.08,2.1,-0.02,-0.9524,105868.91,22048.373
002102.SZ,20191203,2.04,2.12,2.03,2.1,2.04,0.06,2.9412,285274.0,59664.589
002102.SZ,20191202,2.04,2.05,2.02,2.04,2.04,0.0,0.0,66688.0,13558.03
002102.SZ,20191129,2.02,2.08,2.01,2.04,2.02,0.02,0.9901,120398.03,24664.979
002102.SZ,20191128,2.02,2.03,2.01,2.02,2.03,-0.01,-0.4926,40403.0,8165.626
002102.SZ,20191127,2.03,2.04,2.01,2.03,2.04,-0.01,-0.4902,62251.0,12578.121
002102.SZ,20191126,2.02,2.04,2.01,2.04,2.03,0.01,0.4926,85994.33,17421.441
002102.SZ,20191125,2.02,2.04,2.01,2.03,2.02,0.01,0.495,82299.8,16667.124
002102.SZ,20191122,2.04,2.05,2.01,2.02,2.03,-0.01,-0.4926,88195.16,17858.38
002102.SZ,20191121,2.01,2.04,2.0,2.03,2.02,0.01,0.495,66514.03,13459.829
002102.SZ,20191120,2.04,2.04,2.02,2.02,2.04,-0.02,-0.9804,73712.0,14955.221
002102.SZ,20191119,2.03,2.06,2.02,2.04,2.03,0.01,0.4926,84378.0,17192.288
002102.SZ,20191118,2.04,2.04,2.02,2.03,2.04,-0.01,-0.4902,75577.81,15327.635
002102.SZ,20191115,2.09,2.09,2.04,2.04,2.09,-0.05,-2.3923,129441.03,26602.491
002102.SZ,20191114,2.02,2.12,2.0,2.09,2.02,0.07,3.4653,217111.52,45049.263
002102.SZ,20191113,2.02,2.04,2.0,2.02,2.02,0.0,0.0,79699.34,16109.385
002102.SZ,20191112,2.01,2.03,1.99,2.02,2.02,0.0,0.0,88985.28,17874.736
002102.SZ,20191111,2.07,2.07,2.0,2.02,2.09,-0.07,-3.3493,152135.0,30902.59
002102.SZ,20191108,2.1,2.12,2.05,2.09,2.11,-0.02,-0.9479,159273.45,33161.194
002102.SZ,20191107,2.1,2.12,2.09,2.11,2.11,0.0,0.0,102361.0,21534.638
002102.SZ,20191106,2.13,2.14,2.11,2.11,2.14,-0.03,-1.4019,100414.0,21308.759
002102.SZ,20191105,2.12,2.15,2.11,2.14,2.12,0.02,0.9434,98253.34,20895.628
002102.SZ,20191104,2.13,2.14,2.11,2.12,2.14,-0.02,-0.9346,106556.03,22657.113
002102.SZ,20191101,2.12,2.15,2.11,2.14,2.11,0.03,1.4218,111044.0,23648.112
002102.SZ,20191031,2.11,2.13,2.11,2.11,2.12,-0.01,-0.4717,107605.34,22809.38
002102.SZ,20191030,2.13,2.14,2.11,2.12,2.14,-0.02,-0.9346,135581.0,28824.617
002102.SZ,20191029,2.17,2.18,2.13,2.14,2.17,-0.03,-1.3825,184201.0,39724.321
002102.SZ,20191028,2.19,2.2,2.16,2.17,2.18,-0.01,-0.4587,175685.53,38212.044
002102.SZ,20191025,2.16,2.19,2.16,2.18,2.16,0.02,0.9259,97879.0,21290.026
002102.SZ,20191024,2.23,2.23,2.15,2.16,2.24,-0.08,-3.5714,342390.53,74422.502
002102.SZ,20191023,2.24,2.28,2.22,2.24,2.24,0.0,0.0,244597.0,54916.213
002102.SZ,20191022,2.23,2.26,2.22,2.24,2.23,0.01,0.4484,181066.51,40517.233
002102.SZ,20191021,2.18,2.25,2.17,2.23,2.18,0.05,2.2936,182947.3,40578.454
002102.SZ,20191018,2.18,2.19,2.16,2.18,2.17,0.01,0.4608,76336.33,16594.442
002102.SZ,20191017,2.21,2.21,2.16,2.17,2.21,-0.04,-1.81,107305.0,23443.646
002102.SZ,20191016,2.21,2.23,2.2,2.21,2.2,0.01,0.4545,97732.0,21608.116
002102.SZ,20191015,2.23,2.24,2.19,2.2,2.24,-0.04,-1.7857,117263.03,25851.282
002102.SZ,20191014,2.22,2.26,2.22,2.24,2.22,0.02,0.9009,120976.0,27123.646
002102.SZ,20191011,2.24,2.24,2.2,2.22,2.22,0.0,0.0,81281.45,18025.433
002102.SZ,20191010,2.18,2.22,2.17,2.22,2.18,0.04,1.8349,105122.29,23197.738
002102.SZ,20191009,2.18,2.19,2.16,2.18,2.19,-0.01,-0.4566,54031.32,11722.429
002102.SZ,20191008,2.14,2.23,2.14,2.19,2.13,0.06,2.8169,125142.0,27439.411
002102.SZ,20190930,2.13,2.15,2.11,2.13,2.13,0.0,0.0,52555.0,11192.221
002102.SZ,20190927,2.12,2.15,2.1,2.13,2.12,0.01,0.4717,73370.0,15630.756
002102.SZ,20190926,2.18,2.19,2.1,2.12,2.17,-0.05,-2.3041,145717.0,31101.608
002102.SZ,20190925,2.2,2.21,2.16,2.17,2.21,-0.04,-1.81,110071.0,23960.44
002102.SZ,20190924,2.22,2.24,2.2,2.21,2.22,-0.01,-0.4505,87290.0,19372.222
002102.SZ,20190923,2.27,2.27,2.2,2.22,2.27,-0.05,-2.2026,160606.0,35785.19
002102.SZ,20190920,2.27,2.28,2.26,2.27,2.27,0.0,0.0,87262.0,19782.542
002102.SZ,20190919,2.27,2.28,2.26,2.27,2.27,0.0,0.0,110591.0,25084.167
002102.SZ,20190918,2.27,2.29,2.26,2.27,2.27,0.0,0.0,113059.0,25692.21
002102.SZ,20190917,2.27,2.33,2.26,2.27,2.27,0.0,0.0,212353.0,48655.897
002102.SZ,20190916,2.28,2.29,2.26,2.27,2.29,-0.02,-0.8734,125215.06,28432.283
002102.SZ,20190912,2.25,2.31,2.24,2.29,2.25,0.04,1.7778,237520.61,54201.772
002102.SZ,20190911,2.25,2.28,2.24,2.25,2.27,-0.02,-0.8811,155152.0,35047.199
002102.SZ,20190910,2.28,2.28,2.23,2.27,2.28,-0.01,-0.4386,251439.31,56706.427
002102.SZ,20190909,2.29,2.3,2.27,2.28,2.28,0.0,0.0,174120.95,39647.451
002102.SZ,20190906,2.31,2.31,2.27,2.28,2.31,-0.03,-1.2987,318846.03,72774.035
002102.SZ,20190905,2.3,2.32,2.27,2.31,2.31,0.0,0.0,304073.53,69949.401
002102.SZ,20190904,2.28,2.32,2.26,2.31,2.28,0.03,1.3158,168713.0,38632.365
002102.SZ,20190903,2.29,2.3,2.26,2.28,2.29,-0.01,-0.4367,140194.02,31934.867
002102.SZ,20190902,2.31,2.32,2.28,2.29,2.27,0.02,0.8811,223752.02,51446.934
002102.SZ,20190830,2.32,2.36,2.26,2.27,2.3,-0.03,-1.3043,472396.52,108805.087
002102.SZ,20190829,2.21,2.3,2.19,2.3,2.19,0.11,5.0228,323299.85,73227.754
002102.SZ,20190828,2.25,2.26,2.19,2.19,2.23,-0.04,-1.7937,254894.0,56499.946
002102.SZ,20190827,2.25,2.25,2.21,2.23,2.22,0.01,0.4505,255669.27,57200.006
002102.SZ,20190826,2.13,2.23,2.12,2.22,2.16,0.06,2.7778,273391.0,59756.309
002102.SZ,20190823,2.15,2.16,2.12,2.16,2.16,0.0,0.0,182951.6,39148.495
002102.SZ,20190822,2.16,2.16,2.13,2.16,2.16,0.0,0.0,123808.6,26584.536
002102.SZ,20190821,2.15,2.18,2.14,2.16,2.15,0.01,0.4651,116732.0,25185.676
002102.SZ,20190820,2.17,2.19,2.15,2.15,2.17,-0.02,-0.9217,138069.99,29855.878
002102.SZ,20190819,2.17,2.2,2.15,2.17,2.17,0.0,0.0,180787.0,39385.701
002102.SZ,20190816,2.26,2.26,2.17,2.17,2.16,0.01,0.463,208827.0,46056.312
002102.SZ,20190815,2.12,2.17,2.12,2.16,2.17,-0.01,-0.4608,125026.0,26723.118
002102.SZ,20190814,2.17,2.19,2.15,2.17,2.19,-0.02,-0.9132,143756.03,31205.714
002102.SZ,20190813,2.16,2.23,2.15,2.19,2.19,0.0,0.0,218576.03,47870.354
002102.SZ,20190812,2.1,2.19,2.08,2.19,2.09,0.1,4.7847,275933.24,59774.435
002102.SZ,20190809,2.09,2.13,2.07,2.09,2.09,0.0,0.0,100124.0,21009.445
002102.SZ,20190808,2.1,2.14,2.07,2.09,2.09,0.0,0.0,185463.0,39069.307
002102.SZ,20190807,2.0,2.09,1.98,2.09,1.99,0.1,5.0251,159142.0,32348.453
002102.SZ,20190806,2.06,2.06,1.99,1.99,2.09,-0.1,-4.7847,301349.15,60245.359
002102.SZ,20190805,2.15,2.17,2.09,2.09,2.16,-0.07,-3.2407,142618.0,30372.68
002102.SZ,20190802,2.16,2.17,2.14,2.16,2.2,-0.04,-1.8182,169923.48,36631.972
002102.SZ,20190801,2.19,2.21,2.19,2.2,2.2,0.0,0.0,67342.12,14810.743
002102.SZ,20190731,2.22,2.22,2.19,2.2,2.22,-0.02,-0.9009,97855.03,21548.63
002102.SZ,20190730,2.22,2.23,2.21,2.22,2.22,0.0,0.0,102889.0,22849.666
002102.SZ,20190729,2.24,2.24,2.22,2.22,2.24,-0.02,-0.8929,75461.06,16780.591
002102.SZ,20190726,2.23,2.24,2.22,2.24,2.23,0.01,0.4484,89355.0,19922.144
002102.SZ,20190725,2.23,2.25,2.22,2.23,2.24,-0.01,-0.4464,145365.41,32429.939
002102.SZ,20190724,2.23,2.26,2.22,2.24,2.24,0.0,0.0,136435.0,30539.928
002102.SZ,20190723,2.22,2.26,2.2,2.24,2.22,0.02,0.9009,169674.06,37745.895
