ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600815.SH,20200110,2.84,2.85,2.82,2.84,2.84,0.0,0.0,33724.21,9558.137
600815.SH,20200109,2.81,2.84,2.8,2.84,2.8,0.04,1.4286,47346.33,13373.817
600815.SH,20200108,2.8,2.83,2.8,2.8,2.81,-0.01,-0.3559,47282.25,13306.864
600815.SH,20200107,2.83,2.83,2.79,2.81,2.83,-0.02,-0.7067,62358.67,17494.302
600815.SH,20200106,2.85,2.86,2.82,2.83,2.86,-0.03,-1.049,56517.0,16010.412
600815.SH,20200103,2.89,2.89,2.85,2.86,2.9,-0.04,-1.3793,43568.21,12474.283
600815.SH,20200102,2.91,2.93,2.88,2.9,2.89,0.01,0.346,60057.9,17385.227
600815.SH,20191231,2.9,2.9,2.87,2.89,2.9,-0.01,-0.3448,19157.0,5531.477
600815.SH,20191230,2.91,2.91,2.86,2.9,2.92,-0.02,-0.6849,22811.4,6589.251
600815.SH,20191227,2.87,2.92,2.86,2.92,2.88,0.04,1.3889,31709.7,9179.058
600815.SH,20191226,2.93,2.94,2.85,2.88,2.92,-0.04,-1.3699,48489.0,13988.337
600815.SH,20191225,2.98,3.0,2.87,2.92,3.02,-0.1,-3.3113,53154.2,15510.789
600815.SH,20191224,3.06,3.12,2.98,3.02,2.98,0.04,1.3423,92531.0,28094.582
600815.SH,20191223,2.97,2.98,2.95,2.98,2.84,0.14,4.9296,74950.81,22316.012
600815.SH,20191219,2.91,2.94,2.9,2.94,2.91,0.03,1.0309,30669.85,8959.328
600815.SH,20191218,2.93,2.94,2.9,2.91,2.94,-0.03,-1.0204,35718.1,10412.103
600815.SH,20191217,2.95,2.98,2.91,2.94,2.96,-0.02,-0.6757,61499.51,18031.431
600815.SH,20191216,2.93,2.98,2.93,2.96,2.93,0.03,1.0239,22754.62,6708.693
600815.SH,20191213,2.9,2.94,2.9,2.93,2.9,0.03,1.0345,16453.89,4803.093
