ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600698.SH,20200110,3.08,3.09,2.99,3.0,3.07,-0.07,-2.2801,76241.53,23017.459
600698.SH,20200109,3.04,3.09,3.03,3.07,3.04,0.03,0.9868,67824.93,20805.903
600698.SH,20200108,3.03,3.08,3.01,3.04,3.03,0.01,0.33,87364.6,26607.001
600698.SH,20200107,3.0,3.04,2.99,3.03,3.0,0.03,1.0,65632.2,19816.489
600698.SH,20200106,2.96,3.03,2.94,3.0,2.97,0.03,1.0101,85488.39,25659.668
600698.SH,20200103,2.95,2.98,2.94,2.97,2.96,0.01,0.3378,53049.43,15699.223
600698.SH,20200102,2.97,2.99,2.94,2.96,2.92,0.04,1.3699,69218.4,20487.575
600698.SH,20191231,2.9,2.95,2.88,2.92,2.91,0.01,0.3436,57263.9,16707.331
600698.SH,20191230,2.99,2.99,2.91,2.91,3.06,-0.15,-4.902,126315.0,36862.213
600698.SH,20191227,3.03,3.07,3.02,3.06,3.05,0.01,0.3279,53659.03,16326.462
600698.SH,20191226,3.07,3.08,3.0,3.05,3.11,-0.06,-1.9293,97775.02,29771.25
600698.SH,20191225,3.15,3.16,3.1,3.11,3.13,-0.02,-0.639,69066.67,21573.959
600698.SH,20191224,3.05,3.18,3.02,3.13,3.04,0.09,2.9605,87987.59,27534.63
600698.SH,20191223,3.05,3.08,3.02,3.04,3.07,-0.03,-0.9772,53599.0,16318.202
600698.SH,20191220,3.05,3.12,3.05,3.07,3.05,0.02,0.6557,57373.66,17667.967
600698.SH,20191219,3.01,3.08,2.99,3.05,3.01,0.04,1.3289,65120.79,19817.112
600698.SH,20191218,3.01,3.02,2.99,3.01,3.0,0.01,0.3333,49796.2,14945.658
600698.SH,20191217,3.02,3.02,2.99,3.0,3.02,-0.02,-0.6623,69989.07,20979.232
600698.SH,20191216,3.0,3.04,3.0,3.02,3.01,0.01,0.3322,37201.1,11200.733
600698.SH,20191213,3.0,3.02,2.98,3.01,2.98,0.03,1.0067,29658.81,8903.58
600698.SH,20191212,3.0,3.0,2.97,2.98,3.0,-0.02,-0.6667,23830.53,7105.587
600698.SH,20191211,3.02,3.03,2.97,3.0,3.02,-0.02,-0.6623,33452.0,10019.34
600698.SH,20191210,3.04,3.07,3.01,3.02,3.03,-0.01,-0.33,34213.2,10354.239
600698.SH,20191209,3.01,3.08,2.99,3.03,3.01,0.02,0.6645,50144.26,15283.765
600698.SH,20191206,2.97,3.06,2.95,3.01,2.96,0.05,1.6892,57274.39,17189.756
600698.SH,20191205,2.96,2.99,2.94,2.96,2.95,0.01,0.339,44945.75,13309.262
600698.SH,20191204,2.96,3.01,2.95,2.95,2.98,-0.03,-1.0067,42835.65,12754.874
600698.SH,20191203,2.89,3.01,2.88,2.98,2.91,0.07,2.4055,65191.22,19260.481
600698.SH,20191202,2.9,2.93,2.88,2.91,2.89,0.02,0.692,25710.03,7467.832
600698.SH,20191129,2.87,2.89,2.86,2.89,2.87,0.02,0.6969,17726.0,5099.857
600698.SH,20191128,2.88,2.92,2.85,2.87,2.9,-0.03,-1.0345,40509.2,11657.194
600698.SH,20191127,2.93,2.98,2.9,2.9,2.93,-0.03,-1.0239,41516.9,12192.614
600698.SH,20191126,2.9,2.97,2.88,2.93,2.89,0.04,1.3841,49364.04,14483.861
600698.SH,20191125,2.85,2.91,2.83,2.89,2.84,0.05,1.7606,44304.35,12713.311
600698.SH,20191122,2.83,2.85,2.82,2.84,2.83,0.01,0.3534,26104.95,7393.963
600698.SH,20191121,2.81,2.86,2.81,2.83,2.82,0.01,0.3546,40596.81,11475.75
600698.SH,20191120,2.84,2.86,2.82,2.82,2.84,-0.02,-0.7042,23187.9,6565.457
600698.SH,20191119,2.83,2.85,2.82,2.84,2.82,0.02,0.7092,23598.31,6689.574
600698.SH,20191118,2.82,2.84,2.8,2.82,2.82,0.0,0.0,27993.31,7887.338
600698.SH,20191115,2.85,2.87,2.8,2.82,2.85,-0.03,-1.0526,30234.36,8529.565
600698.SH,20191114,2.83,2.87,2.81,2.85,2.84,0.01,0.3521,22460.26,6389.139
600698.SH,20191113,2.8,2.87,2.78,2.84,2.8,0.04,1.4286,28827.05,8142.388
600698.SH,20191112,2.81,2.84,2.75,2.8,2.82,-0.02,-0.7092,36423.2,10167.942
600698.SH,20191111,2.87,2.9,2.77,2.82,2.9,-0.08,-2.7586,58907.9,16789.864
600698.SH,20191108,2.86,2.92,2.86,2.9,2.86,0.04,1.3986,40252.2,11650.502
600698.SH,20191107,2.87,2.89,2.83,2.86,2.89,-0.03,-1.0381,44415.8,12679.005
600698.SH,20191106,2.83,2.93,2.81,2.89,2.79,0.1,3.5842,100633.97,29045.892
600698.SH,20191105,2.82,2.85,2.78,2.79,2.84,-0.05,-1.7606,44713.0,12540.24
600698.SH,20191104,2.82,2.86,2.79,2.84,2.82,0.02,0.7092,36597.72,10364.371
600698.SH,20191101,2.85,2.85,2.75,2.82,2.89,-0.07,-2.4221,113567.43,31609.693
600698.SH,20191031,3.04,3.05,2.89,2.89,3.04,-0.15,-4.9342,86793.0,25622.406
600698.SH,20191030,3.03,3.04,3.0,3.04,3.02,0.02,0.6623,38713.98,11685.004
600698.SH,20191029,3.08,3.08,3.0,3.02,3.07,-0.05,-1.6287,49598.79,15041.609
600698.SH,20191028,3.03,3.08,3.02,3.07,3.06,0.01,0.3268,50843.06,15526.903
600698.SH,20191025,3.09,3.12,3.03,3.06,3.12,-0.06,-1.9231,90305.72,27625.809
600698.SH,20191024,3.1,3.22,3.08,3.12,3.13,-0.01,-0.3195,83852.85,26328.769
600698.SH,20191023,3.06,3.15,3.03,3.13,3.05,0.08,2.623,91830.3,28594.529
600698.SH,20191022,3.11,3.13,3.04,3.05,3.12,-0.07,-2.2436,78903.0,24234.59
600698.SH,20191021,3.12,3.25,3.05,3.12,3.12,0.0,0.0,89230.8,28017.132
600698.SH,20191018,3.0,3.14,2.98,3.12,2.99,0.13,4.3478,117291.7,36155.454
600698.SH,20191017,3.03,3.04,2.97,2.99,3.02,-0.03,-0.9934,44886.0,13481.279
600698.SH,20191016,3.05,3.07,3.0,3.02,3.04,-0.02,-0.6579,44453.9,13437.869
600698.SH,20191015,2.96,3.04,2.93,3.04,2.97,0.07,2.3569,74421.95,22245.952
600698.SH,20191014,3.0,3.02,2.96,2.97,2.97,0.0,0.0,41391.3,12329.107
600698.SH,20191011,2.95,2.99,2.94,2.97,2.93,0.04,1.3652,42691.0,12637.317
600698.SH,20191010,2.9,2.94,2.88,2.93,2.89,0.04,1.3841,30849.6,8992.891
600698.SH,20191009,2.85,2.9,2.84,2.89,2.88,0.01,0.3472,28751.5,8279.066
600698.SH,20191008,2.89,2.92,2.86,2.88,2.89,-0.01,-0.346,32503.9,9393.791
600698.SH,20190930,2.89,2.93,2.88,2.89,2.9,-0.01,-0.3448,28124.0,8170.813
600698.SH,20190927,2.86,2.91,2.83,2.9,2.85,0.05,1.7544,47569.0,13691.102
600698.SH,20190926,2.93,2.95,2.84,2.85,2.94,-0.09,-3.0612,67420.53,19468.577
600698.SH,20190925,3.02,3.06,2.93,2.94,3.01,-0.07,-2.3256,101551.9,30440.443
600698.SH,20190924,2.99,3.05,2.97,3.01,2.98,0.03,1.0067,55524.3,16656.702
600698.SH,20190923,2.95,3.09,2.94,2.98,2.96,0.02,0.6757,117652.0,35502.92
600698.SH,20190920,2.92,2.96,2.89,2.96,2.92,0.04,1.3699,73470.97,21540.571
600698.SH,20190919,2.87,2.94,2.86,2.92,2.87,0.05,1.7422,55288.77,16066.785
600698.SH,20190918,2.82,2.94,2.8,2.87,2.82,0.05,1.773,83279.8,24012.215
600698.SH,20190917,2.86,2.86,2.8,2.82,2.87,-0.05,-1.7422,55594.9,15762.031
600698.SH,20190916,2.87,2.88,2.85,2.87,2.87,0.0,0.0,29496.92,8462.293
600698.SH,20190912,2.84,2.87,2.83,2.87,2.85,0.02,0.7018,34650.31,9878.898
600698.SH,20190911,2.88,2.9,2.83,2.85,2.89,-0.04,-1.3841,56266.01,16079.012
600698.SH,20190910,2.9,2.91,2.87,2.89,2.9,-0.01,-0.3448,49131.82,14195.67
600698.SH,20190909,2.92,2.93,2.88,2.9,2.9,0.0,0.0,46394.11,13436.365
