ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000868.SZ,20200110,6.21,6.24,6.0,6.0,6.32,-0.32,-5.0633,297678.91,180594.629
000868.SZ,20200109,6.53,6.59,6.26,6.32,6.46,-0.14,-2.1672,260791.63,167735.896
000868.SZ,20200108,6.36,6.59,6.16,6.46,6.29,0.17,2.7027,395863.38,253104.792
000868.SZ,20200107,6.09,6.29,6.02,6.29,5.99,0.3,5.0083,266420.42,165168.231
000868.SZ,20200106,5.66,5.99,5.61,5.99,5.7,0.29,5.0877,275928.34,161818.025
000868.SZ,20200103,5.55,5.8,5.5,5.7,5.58,0.12,2.1505,239737.92,135400.9
000868.SZ,20200102,5.35,5.63,5.22,5.58,5.36,0.22,4.1045,375166.07,202316.08
000868.SZ,20191231,5.43,5.57,5.31,5.36,5.3,0.06,1.1321,445307.87,243673.266
000868.SZ,20191230,5.15,5.3,5.08,5.3,5.05,0.25,4.9505,225348.51,117702.189
000868.SZ,20191227,4.91,5.13,4.85,5.05,4.92,0.13,2.6423,232692.45,116082.866
000868.SZ,20191226,5.08,5.16,4.81,4.92,4.91,0.01,0.2037,376979.0,189006.02
000868.SZ,20191225,4.84,4.91,4.76,4.91,4.68,0.23,4.9145,202180.81,98807.823
000868.SZ,20191224,4.59,4.68,4.52,4.68,4.46,0.22,4.9327,152841.39,71206.515
000868.SZ,20191223,4.62,4.62,4.44,4.46,4.56,-0.1,-2.193,98553.0,44596.778
000868.SZ,20191220,4.59,4.62,4.55,4.56,4.57,-0.01,-0.2188,73437.7,33591.977
000868.SZ,20191219,4.61,4.61,4.54,4.57,4.6,-0.03,-0.6522,90958.0,41509.907
000868.SZ,20191218,4.59,4.62,4.55,4.6,4.57,0.03,0.6565,111231.7,50980.131
000868.SZ,20191217,4.43,4.65,4.39,4.57,4.43,0.14,3.1603,179661.1,81573.323
000868.SZ,20191216,4.44,4.45,4.36,4.43,4.42,0.01,0.2262,82163.09,36087.935
