ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600696.SH,20200110,12.92,12.96,12.76,12.77,12.83,-0.06,-0.4677,7016.0,8994.19
600696.SH,20200109,12.94,12.97,12.75,12.83,12.83,0.0,0.0,7272.0,9328.399
600696.SH,20200108,13.01,13.1,12.72,12.83,13.07,-0.24,-1.8363,9234.57,11912.802
600696.SH,20200107,12.85,13.21,12.85,13.07,12.84,0.23,1.7913,10752.02,14055.082
600696.SH,20200106,12.85,12.87,12.71,12.84,12.85,-0.01,-0.0778,7438.01,9518.652
600696.SH,20200103,12.65,12.87,12.53,12.85,12.7,0.15,1.1811,9083.31,11556.864
600696.SH,20200102,12.83,12.92,12.65,12.7,12.86,-0.16,-1.2442,10659.01,13622.063
600696.SH,20191231,12.77,12.96,12.77,12.86,12.84,0.02,0.1558,4868.0,6254.894
600696.SH,20191230,12.84,12.96,12.5,12.84,13.13,-0.29,-2.2087,14256.01,18224.067
600696.SH,20191227,13.27,13.39,13.13,13.13,13.29,-0.16,-1.2039,8923.0,11824.528
600696.SH,20191226,13.3,13.47,12.98,13.29,13.22,0.07,0.5295,8691.61,11524.636
600696.SH,20191225,13.4,13.4,13.22,13.22,13.42,-0.2,-1.4903,5487.0,7284.449
600696.SH,20191224,13.25,13.46,13.25,13.42,13.25,0.17,1.283,11873.49,15887.919
600696.SH,20191223,13.17,13.5,13.11,13.25,13.21,0.04,0.3028,16531.13,21993.965
600696.SH,20191220,12.59,13.21,12.56,13.21,12.59,0.62,4.9245,12908.12,16597.34
600696.SH,20191219,13.07,13.07,12.45,12.59,12.98,-0.39,-3.0046,16740.0,21137.544
600696.SH,20191218,13.35,13.35,12.88,12.98,13.27,-0.29,-2.1854,13820.0,18106.045
600696.SH,20191217,13.25,13.34,13.23,13.27,13.3,-0.03,-0.2256,10346.67,13731.316
600696.SH,20191216,13.46,13.46,13.2,13.3,13.32,-0.02,-0.1502,6760.0,8981.508
600696.SH,20191213,13.25,13.46,13.2,13.32,13.2,0.12,0.9091,10881.0,14503.032
600696.SH,20191212,13.42,13.42,13.2,13.2,13.36,-0.16,-1.1976,7105.0,9412.165
600696.SH,20191211,13.4,13.5,13.27,13.36,13.31,0.05,0.3757,6483.02,8655.171
600696.SH,20191210,13.03,13.44,12.92,13.31,12.91,0.4,3.0984,9629.0,12751.827
600696.SH,20191209,13.06,13.06,12.85,12.91,13.0,-0.09,-0.6923,4462.01,5767.738
600696.SH,20191206,12.92,13.07,12.86,13.0,12.95,0.05,0.3861,6149.01,7960.261
600696.SH,20191205,12.84,13.07,12.84,12.95,12.7,0.25,1.9685,8439.0,10917.552
600696.SH,20191204,12.96,13.01,12.52,12.7,12.97,-0.27,-2.0817,12774.38,16283.975
600696.SH,20191203,13.06,13.06,12.76,12.97,12.98,-0.01,-0.077,6709.38,8665.633
600696.SH,20191202,13.22,13.48,12.71,12.98,13.21,-0.23,-1.7411,15603.9,20224.461
600696.SH,20191129,13.38,13.59,13.01,13.21,13.32,-0.11,-0.8258,15863.6,21099.002
600696.SH,20191128,13.85,14.09,13.26,13.32,13.85,-0.53,-3.8267,20475.38,27756.498
600696.SH,20191127,13.63,14.09,13.41,13.85,13.6,0.25,1.8382,24633.33,33993.687
600696.SH,20191126,13.21,13.69,13.21,13.6,13.06,0.54,4.1348,23823.44,32145.679
600696.SH,20191125,12.79,13.18,12.7,13.06,12.76,0.3,2.3511,14938.21,19445.162
600696.SH,20191122,12.68,12.9,12.6,12.76,12.75,0.01,0.0784,11093.15,14137.206
600696.SH,20191121,12.58,12.9,12.43,12.75,12.59,0.16,1.2708,12594.82,16035.275
600696.SH,20191120,12.94,12.94,12.35,12.59,12.32,0.27,2.1916,31200.1,39663.287
600696.SH,20191119,11.99,12.32,11.95,12.32,11.73,0.59,5.0298,5382.11,6570.237
600696.SH,20191118,11.73,11.73,11.46,11.73,11.17,0.56,5.0134,8606.02,10087.706
600696.SH,20191115,11.79,11.79,11.17,11.17,11.76,-0.59,-5.017,17977.18,20279.051
600696.SH,20191114,11.86,12.04,11.62,11.76,11.8,-0.04,-0.339,7257.0,8595.86
600696.SH,20191113,11.92,11.94,11.58,11.8,11.96,-0.16,-1.3378,10064.2,11827.904
600696.SH,20191112,12.0,12.15,11.87,11.96,11.87,0.09,0.7582,8737.87,10493.683
600696.SH,20191111,12.02,12.27,11.7,11.87,11.92,-0.05,-0.4195,11663.0,13991.907
600696.SH,20191108,11.62,12.05,11.62,11.92,11.59,0.33,2.8473,18365.22,21822.562
600696.SH,20191107,12.18,12.18,11.57,11.59,12.18,-0.59,-4.844,30501.21,35630.234
600696.SH,20191106,12.83,12.98,12.18,12.18,12.82,-0.64,-4.9922,21995.05,27110.005
600696.SH,20191105,12.92,13.06,12.8,12.82,12.99,-0.17,-1.3087,7924.16,10220.75
600696.SH,20191104,13.25,13.25,12.91,12.99,13.14,-0.15,-1.1416,8683.4,11300.358
600696.SH,20191101,13.05,13.27,13.02,13.14,13.1,0.04,0.3053,5902.51,7757.567
600696.SH,20191031,12.91,13.35,12.91,13.1,13.2,-0.1,-0.7576,11355.0,14957.947
600696.SH,20191030,12.81,13.53,12.81,13.2,12.98,0.22,1.6949,13891.24,18397.979
600696.SH,20191029,12.87,13.1,12.71,12.98,12.91,0.07,0.5422,7766.78,10040.025
600696.SH,20191028,13.24,13.24,12.85,12.91,13.13,-0.22,-1.6756,12205.83,15870.316
600696.SH,20191025,13.29,13.29,13.07,13.13,13.2,-0.07,-0.5303,8126.75,10679.129
