ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002147.SZ,20200110,2.55,2.55,2.33,2.41,2.43,-0.02,-0.823,231568.51,56266.128
002147.SZ,20200109,2.43,2.43,2.43,2.43,2.31,0.12,5.1948,20360.5,4947.601
002147.SZ,20200108,2.28,2.31,2.26,2.31,2.2,0.11,5.0,71330.89,16416.252
002147.SZ,20200107,2.19,2.2,2.16,2.2,2.17,0.03,1.3825,56452.0,12329.425
002147.SZ,20200106,2.18,2.21,2.16,2.17,2.19,-0.02,-0.9132,68923.1,15027.375
002147.SZ,20200103,2.15,2.22,2.14,2.19,2.16,0.03,1.3889,51827.68,11326.239
002147.SZ,20200102,2.14,2.17,2.12,2.16,2.12,0.04,1.8868,71068.8,15194.246
002147.SZ,20191231,2.09,2.15,2.09,2.12,2.1,0.02,0.9524,45832.56,9745.151
002147.SZ,20191230,2.11,2.15,2.07,2.1,2.17,-0.07,-3.2258,87972.45,18544.892
002147.SZ,20191227,2.16,2.21,2.16,2.17,2.15,0.02,0.9302,74240.4,16227.37
002147.SZ,20191226,2.2,2.21,2.13,2.15,2.17,-0.02,-0.9217,117547.46,25283.462
002147.SZ,20191225,2.27,2.27,2.17,2.17,2.28,-0.11,-4.8246,172605.3,37991.926
002147.SZ,20191224,2.2,2.3,2.19,2.28,2.2,0.08,3.6364,137665.82,31101.782
002147.SZ,20191223,2.18,2.23,2.15,2.2,2.18,0.02,0.9174,90657.56,19868.637
002147.SZ,20191220,2.13,2.23,2.11,2.18,2.12,0.06,2.8302,127093.65,27827.722
002147.SZ,20191219,2.11,2.14,2.09,2.12,2.11,0.01,0.4739,62951.0,13329.046
002147.SZ,20191218,2.09,2.14,2.09,2.11,2.1,0.01,0.4762,56172.21,11870.256
002147.SZ,20191217,2.1,2.1,2.08,2.1,2.1,0.0,0.0,56603.83,11834.802
002147.SZ,20191216,2.08,2.11,2.08,2.1,2.07,0.03,1.4493,45166.41,9449.265
002147.SZ,20191213,2.09,2.12,2.05,2.07,2.07,0.0,0.0,53298.93,11064.315
002147.SZ,20191212,2.06,2.14,2.06,2.07,2.07,0.0,0.0,83978.05,17662.365
002147.SZ,20191211,2.01,2.08,2.0,2.07,2.0,0.07,3.5,83195.55,17061.05
002147.SZ,20191210,1.96,2.0,1.95,2.0,1.97,0.03,1.5228,51725.85,10218.073
002147.SZ,20191209,1.97,1.98,1.95,1.97,1.97,0.0,0.0,35373.63,6946.323
002147.SZ,20191206,1.94,1.98,1.94,1.97,1.95,0.02,1.0256,28919.8,5684.477
002147.SZ,20191205,1.94,1.98,1.94,1.95,1.95,0.0,0.0,33607.03,6571.13
002147.SZ,20191204,1.92,2.01,1.92,1.95,1.94,0.01,0.5155,50706.8,10005.739
002147.SZ,20191203,1.89,1.95,1.86,1.94,1.91,0.03,1.5707,46307.0,8872.544
002147.SZ,20191202,1.99,2.0,1.91,1.91,2.01,-0.1,-4.9751,102852.21,20034.413
002147.SZ,20191129,2.0,2.03,1.99,2.01,2.0,0.01,0.5,42624.2,8547.797
002147.SZ,20191128,2.04,2.06,2.0,2.0,2.03,-0.03,-1.4778,39946.0,8094.119
002147.SZ,20191127,2.06,2.1,2.02,2.03,2.01,0.02,0.995,56154.0,11575.848
002147.SZ,20191126,1.99,2.03,1.99,2.01,2.02,-0.01,-0.495,27632.8,5552.247
002147.SZ,20191125,2.08,2.08,2.0,2.02,2.06,-0.04,-1.9417,54533.91,11018.608
002147.SZ,20191122,2.04,2.07,2.03,2.06,2.02,0.04,1.9802,38421.59,7863.727
002147.SZ,20191121,2.05,2.07,2.01,2.02,2.05,-0.03,-1.4634,42462.1,8627.285
002147.SZ,20191120,2.01,2.08,2.01,2.05,2.02,0.03,1.4851,50396.47,10334.618
002147.SZ,20191119,1.95,2.05,1.94,2.02,1.96,0.06,3.0612,57740.2,11666.323
002147.SZ,20191118,1.96,1.97,1.93,1.96,1.96,0.0,0.0,35614.47,6938.456
002147.SZ,20191115,1.97,1.99,1.95,1.96,1.97,-0.01,-0.5076,40189.3,7924.749
