ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002642.SZ,20200110,7.01,7.1,6.72,6.75,6.94,-0.19,-2.7378,155401.78,106640.368
002642.SZ,20200109,6.65,6.94,6.65,6.94,6.61,0.33,4.9924,185866.76,127016.001
002642.SZ,20200108,6.48,6.86,6.47,6.61,6.53,0.08,1.2251,178228.97,119423.922
002642.SZ,20200107,6.34,6.58,6.32,6.53,6.34,0.19,2.9968,104871.16,67605.931
002642.SZ,20200106,6.26,6.45,6.26,6.34,6.31,0.03,0.4754,87472.04,55614.939
002642.SZ,20200103,6.27,6.33,6.2,6.31,6.29,0.02,0.318,83564.51,52339.284
002642.SZ,20200102,6.2,6.34,6.2,6.29,6.22,0.07,1.1254,74227.25,46586.696
002642.SZ,20191231,6.03,6.24,6.03,6.22,6.06,0.16,2.6403,75431.07,46374.705
002642.SZ,20191230,6.13,6.15,5.95,6.06,6.19,-0.13,-2.1002,101723.93,61610.886
002642.SZ,20191227,6.46,6.47,6.18,6.19,6.4,-0.21,-3.2813,108972.0,68722.697
002642.SZ,20191226,6.41,6.51,6.36,6.4,6.41,-0.01,-0.156,81049.55,52047.9
002642.SZ,20191225,6.3,6.47,6.25,6.41,6.3,0.11,1.746,103613.89,65905.9
002642.SZ,20191224,6.2,6.36,6.16,6.3,6.2,0.1,1.6129,93887.42,58794.571
002642.SZ,20191223,6.33,6.4,6.18,6.2,6.34,-0.14,-2.2082,80323.14,50548.63
002642.SZ,20191220,6.34,6.43,6.29,6.34,6.32,0.02,0.3165,83368.5,52936.461
002642.SZ,20191219,6.3,6.5,6.29,6.32,6.29,0.03,0.4769,112341.88,71816.076
002642.SZ,20191218,6.26,6.35,6.24,6.29,6.29,0.0,0.0,84856.96,53366.056
002642.SZ,20191217,5.99,6.29,5.97,6.29,5.99,0.3,5.0083,157365.03,98195.747
002642.SZ,20191216,5.95,6.02,5.91,5.99,5.92,0.07,1.1824,69539.44,41485.587
002642.SZ,20191213,5.9,5.96,5.85,5.92,5.85,0.07,1.1966,59630.46,35182.882
002642.SZ,20191212,5.82,5.98,5.8,5.85,5.83,0.02,0.3431,58594.5,34565.68
002642.SZ,20191211,6.03,6.05,5.83,5.83,6.04,-0.21,-3.4768,94469.0,55994.233
002642.SZ,20191210,6.08,6.11,5.96,6.04,6.08,-0.04,-0.6579,71701.88,43256.107
002642.SZ,20191209,5.92,6.13,5.88,6.08,5.95,0.13,2.1849,83967.5,50580.248
002642.SZ,20191206,6.05,6.07,5.87,5.95,6.04,-0.09,-1.4901,116777.0,69440.561
002642.SZ,20191205,6.1,6.11,6.0,6.04,6.06,-0.02,-0.33,56466.5,34099.411
002642.SZ,20191204,6.03,6.11,5.99,6.06,6.07,-0.01,-0.1647,85121.5,51468.005
002642.SZ,20191203,5.93,6.1,5.86,6.07,5.95,0.12,2.0168,98308.35,58913.684
002642.SZ,20191202,5.8,6.04,5.77,5.95,5.76,0.19,3.2986,108834.37,64383.962
002642.SZ,20191129,5.66,5.79,5.63,5.76,5.74,0.02,0.3484,60981.15,34807.07
002642.SZ,20191128,5.73,5.82,5.68,5.74,5.76,-0.02,-0.3472,71997.25,41274.743
002642.SZ,20191127,5.59,5.77,5.58,5.76,5.6,0.16,2.8571,101361.2,57793.049
002642.SZ,20191126,5.6,5.65,5.54,5.6,5.6,0.0,0.0,59122.43,33041.012
002642.SZ,20191125,5.56,5.71,5.53,5.6,5.57,0.03,0.5386,86350.0,48585.546
002642.SZ,20191122,5.44,5.65,5.4,5.57,5.42,0.15,2.7675,127254.18,70644.184
002642.SZ,20191121,5.3,5.45,5.24,5.42,5.33,0.09,1.6886,73690.48,39616.429
002642.SZ,20191120,5.45,5.45,5.27,5.33,5.45,-0.12,-2.2018,69453.8,37286.006
002642.SZ,20191119,5.35,5.49,5.35,5.45,5.41,0.04,0.7394,58566.04,31779.995
002642.SZ,20191118,5.4,5.42,5.28,5.41,5.38,0.03,0.5576,61700.46,33050.263
002642.SZ,20191115,5.33,5.44,5.26,5.38,5.36,0.02,0.3731,97079.32,52129.861
002642.SZ,20191114,5.15,5.36,5.12,5.36,5.1,0.26,5.098,154583.65,81467.761
002642.SZ,20191113,5.38,5.41,5.09,5.1,5.36,-0.26,-4.8507,196112.0,101895.944
002642.SZ,20191112,5.43,5.5,5.35,5.36,5.63,-0.27,-4.7957,174566.5,93953.53
002642.SZ,20191111,5.89,5.98,5.63,5.63,5.93,-0.3,-5.059,157095.5,89928.795
002642.SZ,20191108,6.08,6.09,5.93,5.93,6.03,-0.1,-1.6584,87989.0,52576.147
002642.SZ,20191107,6.0,6.09,5.99,6.03,6.03,0.0,0.0,56548.08,34090.5
002642.SZ,20191106,5.96,6.18,5.81,6.03,5.95,0.08,1.3445,123548.94,74188.878
002642.SZ,20191105,6.12,6.21,5.91,5.95,6.15,-0.2,-3.252,127982.58,77085.378
002642.SZ,20191104,6.09,6.23,6.07,6.15,6.09,0.06,0.9852,62454.94,38462.788
002642.SZ,20191101,6.0,6.13,5.95,6.09,6.02,0.07,1.1628,69490.44,42114.666
002642.SZ,20191031,6.04,6.15,5.99,6.02,6.05,-0.03,-0.4959,77599.77,47172.766
002642.SZ,20191030,5.95,6.14,5.89,6.05,5.98,0.07,1.1706,97100.75,58471.072
002642.SZ,20191029,6.3,6.37,5.98,5.98,6.29,-0.31,-4.9285,173407.5,107397.288
002642.SZ,20191028,6.19,6.29,6.11,6.29,5.99,0.3,5.0083,97435.56,60902.761
002642.SZ,20191025,6.05,6.05,5.9,5.99,6.09,-0.1,-1.642,134761.59,80585.381
002642.SZ,20191024,6.42,6.43,6.09,6.09,6.41,-0.32,-4.9922,170676.5,105597.505
002642.SZ,20191023,6.37,6.48,6.35,6.41,6.38,0.03,0.4702,72110.55,46203.38
002642.SZ,20191022,6.38,6.43,6.27,6.38,6.38,0.0,0.0,90731.0,57571.018
002642.SZ,20191021,6.47,6.59,6.32,6.38,6.48,-0.1,-1.5432,120585.0,77974.899
002642.SZ,20191018,6.33,6.55,6.33,6.48,6.31,0.17,2.6941,129767.43,83769.146
002642.SZ,20191017,6.21,6.45,6.21,6.31,6.52,-0.21,-3.2209,207294.07,130932.09
002642.SZ,20191016,6.52,6.62,6.52,6.52,6.86,-0.34,-4.9563,79924.79,52211.955
002642.SZ,20191015,7.0,7.11,6.82,6.86,7.13,-0.27,-3.7868,170345.25,118699.511
002642.SZ,20191014,6.95,7.13,6.83,7.13,6.85,0.28,4.0876,155868.16,108553.15
002642.SZ,20191011,6.74,6.9,6.7,6.85,6.78,0.07,1.0324,139457.0,94907.071
002642.SZ,20191010,6.61,6.88,6.57,6.78,6.67,0.11,1.6492,123250.0,82681.064
002642.SZ,20191009,6.68,6.95,6.48,6.67,6.64,0.03,0.4518,203885.38,137327.142
002642.SZ,20191008,6.34,6.64,6.34,6.64,6.32,0.32,5.0633,80876.71,52853.965
002642.SZ,20190930,6.21,6.39,6.21,6.32,6.28,0.04,0.6369,83854.21,52964.448
002642.SZ,20190927,6.16,6.36,6.13,6.28,6.25,0.03,0.48,130645.71,81773.153
002642.SZ,20190926,6.51,6.66,6.25,6.25,6.58,-0.33,-5.0152,265665.07,168674.236
