ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000752.SZ,20200110,4.87,4.91,4.78,4.85,4.88,-0.03,-0.6148,15878.32,7685.216
000752.SZ,20200109,4.81,4.92,4.79,4.88,4.81,0.07,1.4553,16966.05,8261.821
000752.SZ,20200108,4.87,4.95,4.73,4.81,4.86,-0.05,-1.0288,24905.05,12021.231
000752.SZ,20200107,4.83,4.98,4.78,4.86,4.83,0.03,0.6211,37134.52,18155.454
000752.SZ,20200106,4.65,4.83,4.57,4.83,4.6,0.23,5.0,38170.23,18221.664
000752.SZ,20200103,4.62,4.66,4.56,4.6,4.61,-0.01,-0.2169,22503.2,10353.315
000752.SZ,20200102,4.55,4.74,4.54,4.61,4.55,0.06,1.3187,20266.2,9412.255
000752.SZ,20191231,4.52,4.69,4.44,4.55,4.48,0.07,1.5625,22529.01,10291.918
000752.SZ,20191230,4.63,4.65,4.48,4.48,4.72,-0.24,-5.0847,45051.05,20390.43
000752.SZ,20191227,4.92,4.96,4.72,4.72,4.97,-0.25,-5.0302,71328.05,34284.065
000752.SZ,20191226,4.7,5.09,4.69,4.97,4.85,0.12,2.4742,78310.47,37985.489
000752.SZ,20191225,5.36,5.36,4.85,4.85,5.1,-0.25,-4.902,129478.01,63803.798
000752.SZ,20191224,5.1,5.1,5.1,5.1,4.86,0.24,4.9383,2510.0,1280.1
000752.SZ,20191223,4.86,4.86,4.86,4.86,4.63,0.23,4.9676,5426.72,2637.385
000752.SZ,20191220,4.58,4.63,4.51,4.63,4.41,0.22,4.9887,23895.49,10983.847
000752.SZ,20191219,4.41,4.41,4.31,4.41,4.2,0.21,5.0,58099.93,25595.741
000752.SZ,20191218,4.2,4.2,4.2,4.2,4.0,0.2,5.0,5230.01,2196.604
000752.SZ,20191217,3.97,4.04,3.97,4.0,3.97,0.03,0.7557,21201.97,8496.838
000752.SZ,20191216,3.92,4.01,3.92,3.97,3.93,0.04,1.0178,21794.33,8655.589
000752.SZ,20191213,3.94,3.96,3.88,3.93,3.92,0.01,0.2551,16297.6,6378.519
000752.SZ,20191212,3.86,3.94,3.85,3.92,3.88,0.04,1.0309,9067.0,3552.059
000752.SZ,20191211,3.9,3.95,3.84,3.88,3.88,0.0,0.0,13534.0,5274.272
000752.SZ,20191210,3.93,3.94,3.83,3.88,3.97,-0.09,-2.267,16041.01,6218.415
000752.SZ,20191209,4.0,4.04,3.94,3.97,3.95,0.02,0.5063,11863.03,4716.339
000752.SZ,20191206,3.94,4.02,3.94,3.95,4.0,-0.05,-1.25,18652.31,7409.871
000752.SZ,20191205,3.82,4.04,3.8,4.0,3.85,0.15,3.8961,43030.71,17001.045
000752.SZ,20191204,3.7,3.89,3.69,3.85,3.74,0.11,2.9412,26485.02,10118.452
000752.SZ,20191203,3.65,3.74,3.6,3.74,3.66,0.08,2.1858,11863.53,4370.283
000752.SZ,20191202,3.66,3.7,3.63,3.66,3.66,0.0,0.0,9565.13,3495.911
000752.SZ,20191129,3.64,3.66,3.62,3.66,3.63,0.03,0.8264,5685.0,2068.318
000752.SZ,20191128,3.66,3.68,3.62,3.63,3.66,-0.03,-0.8197,7870.13,2872.404
000752.SZ,20191127,3.69,3.73,3.66,3.66,3.7,-0.04,-1.0811,12580.15,4643.903
000752.SZ,20191126,3.66,3.7,3.65,3.7,3.67,0.03,0.8174,11858.0,4368.683
000752.SZ,20191125,3.65,3.69,3.6,3.67,3.65,0.02,0.5479,9401.39,3436.579
000752.SZ,20191122,3.66,3.7,3.61,3.65,3.66,-0.01,-0.2732,7164.0,2618.631
000752.SZ,20191121,3.64,3.73,3.62,3.66,3.68,-0.02,-0.5435,13827.03,5069.354
000752.SZ,20191120,3.57,3.75,3.54,3.68,3.57,0.11,3.0812,24217.05,8882.124
000752.SZ,20191119,3.5,3.58,3.48,3.57,3.5,0.07,2.0,13331.2,4730.027
000752.SZ,20191118,3.52,3.57,3.48,3.5,3.54,-0.04,-1.1299,10722.26,3777.032
000752.SZ,20191115,3.71,3.71,3.53,3.54,3.69,-0.15,-4.065,14550.01,5246.104
000752.SZ,20191114,3.66,3.7,3.65,3.69,3.66,0.03,0.8197,12612.2,4632.766
000752.SZ,20191113,3.66,3.72,3.63,3.66,3.69,-0.03,-0.813,6996.0,2573.186
000752.SZ,20191112,3.74,3.77,3.64,3.69,3.75,-0.06,-1.6,9105.1,3362.355
000752.SZ,20191111,3.86,3.86,3.73,3.75,3.87,-0.12,-3.1008,12896.17,4877.763
000752.SZ,20191108,3.89,3.89,3.85,3.87,3.87,0.0,0.0,5696.01,2204.689
000752.SZ,20191107,3.89,3.91,3.85,3.87,3.87,0.0,0.0,6425.92,2491.784
000752.SZ,20191106,3.86,3.89,3.86,3.87,3.87,0.0,0.0,6765.0,2616.466
000752.SZ,20191105,3.88,3.92,3.85,3.87,3.87,0.0,0.0,11938.1,4618.666
000752.SZ,20191104,3.88,3.93,3.86,3.87,3.88,-0.01,-0.2577,8519.02,3317.622
000752.SZ,20191101,3.87,3.89,3.81,3.88,3.87,0.01,0.2584,7281.71,2812.244
000752.SZ,20191031,3.86,3.91,3.82,3.87,3.91,-0.04,-1.023,9250.03,3581.802
000752.SZ,20191030,3.92,3.94,3.86,3.91,3.94,-0.03,-0.7614,9168.0,3567.795
000752.SZ,20191029,3.95,3.98,3.91,3.94,3.96,-0.02,-0.5051,13484.03,5305.415
000752.SZ,20191028,3.93,3.99,3.93,3.96,3.95,0.01,0.2532,9534.0,3781.632
000752.SZ,20191025,3.89,3.98,3.86,3.95,3.88,0.07,1.8041,16118.02,6345.947
000752.SZ,20191024,3.87,3.94,3.86,3.88,3.89,-0.01,-0.2571,12112.01,4705.022
000752.SZ,20191023,3.94,3.95,3.87,3.89,3.95,-0.06,-1.519,13274.0,5185.267
000752.SZ,20191022,4.03,4.03,3.93,3.95,4.01,-0.06,-1.4963,18211.0,7222.22
000752.SZ,20191021,3.97,4.02,3.96,4.01,3.97,0.04,1.0076,9520.5,3805.262
000752.SZ,20191018,3.98,4.01,3.95,3.97,3.97,0.0,0.0,11678.48,4653.579
000752.SZ,20191017,4.05,4.05,3.95,3.97,4.02,-0.05,-1.2438,11422.01,4557.613
000752.SZ,20191016,4.06,4.11,4.02,4.02,4.07,-0.05,-1.2285,7710.02,3125.597
000752.SZ,20191015,4.07,4.12,4.02,4.07,4.15,-0.08,-1.9277,16062.14,6529.817
000752.SZ,20191014,4.14,4.19,4.12,4.15,4.16,-0.01,-0.2404,17253.13,7173.83
000752.SZ,20191011,4.14,4.26,4.1,4.16,4.15,0.01,0.241,24066.0,10088.781
000752.SZ,20191010,4.01,4.17,4.0,4.15,4.02,0.13,3.2338,25559.83,10472.741
000752.SZ,20191009,3.97,4.03,3.92,4.02,3.98,0.04,1.005,10290.0,4094.972
000752.SZ,20191008,3.97,4.04,3.96,3.98,3.97,0.01,0.2519,7577.0,3024.868
000752.SZ,20190930,3.99,4.0,3.94,3.97,3.96,0.01,0.2525,11590.24,4613.66
000752.SZ,20190927,3.91,4.02,3.88,3.96,3.92,0.04,1.0204,7822.0,3102.354
000752.SZ,20190926,3.95,3.99,3.84,3.92,3.96,-0.04,-1.0101,21760.0,8535.029
000752.SZ,20190925,4.05,4.05,3.94,3.96,4.06,-0.1,-2.4631,19582.0,7800.364
000752.SZ,20190924,4.03,4.1,4.02,4.06,4.04,0.02,0.495,16210.11,6576.344
000752.SZ,20190923,4.13,4.15,4.01,4.04,4.12,-0.08,-1.9417,17583.0,7141.058
000752.SZ,20190920,4.15,4.21,4.11,4.12,4.2,-0.08,-1.9048,27941.02,11596.55
000752.SZ,20190919,4.0,4.2,3.98,4.2,4.0,0.2,5.0,51458.12,21157.054
000752.SZ,20190918,3.98,4.02,3.96,4.0,3.98,0.02,0.5025,15708.26,6279.527
000752.SZ,20190917,4.01,4.02,3.95,3.98,4.0,-0.02,-0.5,21445.61,8560.68
000752.SZ,20190916,4.0,4.02,3.98,4.0,4.01,-0.01,-0.2494,19047.0,7626.718
000752.SZ,20190912,3.98,4.01,3.98,4.01,3.99,0.02,0.5013,11469.09,4587.821
000752.SZ,20190911,4.0,4.04,3.99,3.99,4.01,-0.02,-0.4988,18354.35,7357.125
000752.SZ,20190910,3.98,4.02,3.96,4.01,3.99,0.02,0.5013,22764.61,9078.465
000752.SZ,20190909,4.01,4.01,3.96,3.99,3.99,0.0,0.0,29889.61,11883.422
000752.SZ,20190906,3.98,4.0,3.94,3.99,3.98,0.01,0.2513,19087.01,7592.773
000752.SZ,20190905,3.96,4.05,3.96,3.98,3.96,0.02,0.5051,26559.47,10620.608
000752.SZ,20190904,3.95,3.98,3.93,3.96,3.95,0.01,0.2532,17650.3,6978.448
000752.SZ,20190903,3.97,3.99,3.91,3.95,3.97,-0.02,-0.5038,13109.87,5173.47
000752.SZ,20190902,3.94,3.98,3.93,3.97,3.94,0.03,0.7614,12736.4,5038.602
000752.SZ,20190830,4.0,4.02,3.92,3.94,4.0,-0.06,-1.5,16984.51,6739.276
000752.SZ,20190829,4.0,4.05,3.99,4.0,4.02,-0.02,-0.4975,14739.02,5908.446
000752.SZ,20190828,4.05,4.05,3.97,4.02,4.01,0.01,0.2494,14605.04,5850.658
000752.SZ,20190827,3.94,4.03,3.94,4.01,3.94,0.07,1.7766,11613.03,4644.198
000752.SZ,20190826,3.9,3.96,3.9,3.94,4.01,-0.07,-1.7456,10284.12,4043.399
000752.SZ,20190823,4.04,4.04,3.99,4.01,4.05,-0.04,-0.9877,15180.04,6089.676
000752.SZ,20190822,4.03,4.07,3.98,4.05,4.01,0.04,0.9975,16251.75,6544.018
000752.SZ,20190821,4.04,4.05,4.0,4.01,4.04,-0.03,-0.7426,10326.0,4156.563
000752.SZ,20190820,4.04,4.08,4.01,4.04,4.05,-0.01,-0.2469,13208.72,5344.823
000752.SZ,20190819,4.0,4.05,3.93,4.05,4.0,0.05,1.25,20551.63,8254.19
000752.SZ,20190816,3.98,4.1,3.93,4.0,3.92,0.08,2.0408,17506.62,7043.522
000752.SZ,20190815,3.85,3.93,3.81,3.92,3.93,-0.01,-0.2545,7755.62,3004.027
000752.SZ,20190814,3.95,4.0,3.92,3.93,3.92,0.01,0.2551,9553.66,3782.603
000752.SZ,20190813,3.89,3.96,3.86,3.92,3.91,0.01,0.2558,9182.22,3589.52
000752.SZ,20190812,3.88,3.92,3.85,3.91,3.89,0.02,0.5141,9024.03,3507.202
000752.SZ,20190809,3.92,3.96,3.86,3.89,3.9,-0.01,-0.2564,7981.01,3120.979
000752.SZ,20190808,3.95,3.95,3.86,3.9,3.94,-0.04,-1.0152,9765.02,3813.483
000752.SZ,20190807,3.93,4.04,3.88,3.94,3.91,0.03,0.7673,14249.12,5614.587
000752.SZ,20190806,4.04,4.06,3.9,3.91,4.1,-0.19,-4.6341,44593.0,17465.217
000752.SZ,20190805,4.13,4.14,4.05,4.1,4.17,-0.07,-1.6787,13605.02,5567.417
000752.SZ,20190802,4.12,4.2,4.09,4.17,4.17,0.0,0.0,20846.11,8657.608
000752.SZ,20190801,3.92,4.17,3.92,4.17,3.97,0.2,5.0378,34509.53,14088.057
000752.SZ,20190731,4.07,4.08,3.95,3.97,4.08,-0.11,-2.6961,12871.0,5152.391
000752.SZ,20190730,4.08,4.15,4.05,4.08,4.06,0.02,0.4926,11903.02,4869.528
000752.SZ,20190729,4.08,4.11,4.03,4.06,4.08,-0.02,-0.4902,13693.0,5575.072
000752.SZ,20190726,4.08,4.1,4.04,4.08,4.11,-0.03,-0.7299,10243.01,4170.214
000752.SZ,20190725,4.1,4.13,4.04,4.11,4.07,0.04,0.9828,14479.01,5882.713
000752.SZ,20190724,3.9,4.07,3.89,4.07,3.88,0.19,4.8969,23415.04,9423.864
000752.SZ,20190723,3.8,3.91,3.77,3.88,3.81,0.07,1.8373,13851.26,5334.616
000752.SZ,20190722,3.98,4.0,3.8,3.81,3.99,-0.18,-4.5113,18000.02,6949.609
000752.SZ,20190719,3.99,4.03,3.98,3.99,3.98,0.01,0.2513,10145.22,4058.106
000752.SZ,20190718,4.05,4.08,3.96,3.98,4.08,-0.1,-2.451,13923.0,5589.044
000752.SZ,20190717,4.08,4.13,4.07,4.08,4.1,-0.02,-0.4878,11283.03,4628.429
000752.SZ,20190716,4.09,4.13,4.07,4.1,4.08,0.02,0.4902,15796.0,6482.169
000752.SZ,20190715,4.15,4.15,4.05,4.08,4.17,-0.09,-2.1583,24501.0,10019.86
000752.SZ,20190712,4.18,4.19,4.14,4.17,4.18,-0.01,-0.2392,9331.02,3890.166
000752.SZ,20190711,4.2,4.26,4.15,4.18,4.18,0.0,0.0,15276.51,6430.816
000752.SZ,20190710,4.17,4.23,4.14,4.18,4.19,-0.01,-0.2387,9137.01,3826.448
000752.SZ,20190709,4.14,4.23,4.12,4.19,4.24,-0.05,-1.1792,18433.7,7669.235
000752.SZ,20190708,4.41,4.41,4.24,4.24,4.46,-0.22,-4.9327,20486.0,8835.351
000752.SZ,20190705,4.4,4.47,4.38,4.46,4.46,0.0,0.0,15362.51,6804.376
000752.SZ,20190704,4.48,4.5,4.43,4.46,4.47,-0.01,-0.2237,17246.76,7704.3
000752.SZ,20190703,4.54,4.54,4.43,4.47,4.53,-0.06,-1.3245,32958.48,14793.501
000752.SZ,20190702,4.44,4.65,4.41,4.53,4.44,0.09,2.027,42312.26,19228.817
000752.SZ,20190701,4.47,4.47,4.39,4.44,4.38,0.06,1.3699,27885.51,12352.462
000752.SZ,20190628,4.48,4.5,4.38,4.38,4.49,-0.11,-2.4499,24282.0,10714.702
000752.SZ,20190627,4.46,4.57,4.42,4.49,4.46,0.03,0.6726,28673.5,12955.716
000752.SZ,20190626,4.35,4.49,4.29,4.46,4.4,0.06,1.3636,33857.82,14906.731
000752.SZ,20190625,4.34,4.42,4.3,4.4,4.34,0.06,1.3825,29007.81,12654.817
000752.SZ,20190624,4.62,4.62,4.32,4.34,4.4,-0.06,-1.3636,57122.31,25386.707
000752.SZ,20190621,4.4,4.4,4.4,4.4,4.19,0.21,5.0119,7926.1,3487.484
000752.SZ,20190620,4.22,4.26,4.15,4.19,4.26,-0.07,-1.6432,30035.01,12620.411
000752.SZ,20190619,4.28,4.4,4.24,4.26,4.27,-0.01,-0.2342,43966.01,18888.922
000752.SZ,20190618,4.15,4.3,4.12,4.27,4.14,0.13,3.1401,32277.66,13650.782
000752.SZ,20190617,4.3,4.31,4.14,4.14,4.36,-0.22,-5.0459,42520.66,17710.586
