ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600396.SH,20200110,2.06,2.07,1.98,2.02,2.07,-0.05,-2.4155,132719.0,26727.311
600396.SH,20200109,2.1,2.16,2.05,2.07,2.1,-0.03,-1.4286,192880.0,40338.086
600396.SH,20200108,2.1,2.1,2.05,2.1,2.0,0.1,5.0,146634.86,30750.276
600396.SH,20200107,2.01,2.02,1.98,2.0,2.0,0.0,0.0,39507.28,7887.392
600396.SH,20200106,1.9,2.01,1.9,2.0,1.91,0.09,4.712,128712.26,25359.077
600396.SH,20200103,1.89,1.91,1.88,1.91,1.89,0.02,1.0582,46436.85,8812.63
600396.SH,20200102,1.89,1.9,1.87,1.89,1.86,0.03,1.6129,52147.23,9854.345
600396.SH,20191231,1.87,1.89,1.86,1.86,1.89,-0.03,-1.5873,46316.19,8665.542
600396.SH,20191230,1.89,1.89,1.82,1.89,1.9,-0.01,-0.5263,56817.53,10619.314
600396.SH,20191227,1.9,1.9,1.88,1.9,1.9,0.0,0.0,35043.06,6620.923
600396.SH,20191226,1.89,1.91,1.87,1.9,1.9,0.0,0.0,46126.0,8699.046
600396.SH,20191225,1.93,1.95,1.88,1.9,1.93,-0.03,-1.5544,50620.0,9643.522
600396.SH,20191224,1.87,1.94,1.87,1.93,1.87,0.06,3.2086,67865.75,13002.304
600396.SH,20191223,1.91,1.92,1.86,1.87,1.89,-0.02,-1.0582,48214.6,9139.008
600396.SH,20191220,1.87,1.94,1.86,1.89,1.86,0.03,1.6129,79483.0,15159.433
600396.SH,20191219,1.83,1.87,1.83,1.86,1.84,0.02,1.087,38177.88,7082.044
600396.SH,20191218,1.84,1.84,1.82,1.84,1.84,0.0,0.0,33536.0,6131.87
600396.SH,20191217,1.82,1.84,1.82,1.84,1.82,0.02,1.0989,29055.59,5322.023
600396.SH,20191216,1.81,1.83,1.81,1.82,1.82,0.0,0.0,20773.64,3778.325
600396.SH,20191213,1.81,1.83,1.8,1.82,1.8,0.02,1.1111,24623.0,4459.49
