ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002643.SZ,20200110,15.92,15.92,15.5,15.67,15.92,-0.25,-1.5704,121343.77,190078.61
002643.SZ,20200109,16.0,16.32,15.67,15.92,15.97,-0.05,-0.3131,140383.98,223734.361
002643.SZ,20200108,15.43,16.41,15.26,15.97,15.56,0.41,2.635,259170.8,412137.913
002643.SZ,20200107,14.97,15.8,14.92,15.56,14.98,0.58,3.8718,181940.53,282527.442
002643.SZ,20200106,14.87,15.47,14.73,14.98,14.95,0.03,0.2007,154256.89,234029.863
002643.SZ,20200103,14.94,15.07,14.78,14.95,15.03,-0.08,-0.5323,142845.79,213016.882
002643.SZ,20200102,15.3,15.33,14.75,15.03,15.19,-0.16,-1.0533,236966.72,355632.108
002643.SZ,20191231,15.16,15.5,15.03,15.19,15.2,-0.01,-0.0658,131916.31,200924.328
002643.SZ,20191230,14.81,15.57,14.72,15.2,14.91,0.29,1.945,160870.66,245139.199
002643.SZ,20191227,14.96,15.2,14.82,14.91,14.82,0.09,0.6073,121669.47,182702.02
002643.SZ,20191226,14.88,15.17,14.78,14.82,14.88,-0.06,-0.4032,115727.79,173083.34
002643.SZ,20191225,15.08,15.4,14.74,14.88,15.21,-0.33,-2.1696,186795.03,279705.885
002643.SZ,20191224,14.33,15.28,14.33,15.21,14.3,0.91,6.3636,162721.0,241429.152
002643.SZ,20191223,14.3,14.74,13.98,14.3,14.2,0.1,0.7042,139936.15,202313.493
002643.SZ,20191220,14.19,14.65,14.19,14.2,14.18,0.02,0.141,105701.5,151916.986
002643.SZ,20191219,14.32,14.55,14.14,14.18,14.23,-0.05,-0.3514,90462.5,129274.191
002643.SZ,20191218,14.42,14.58,14.17,14.23,14.46,-0.23,-1.5906,138559.93,199067.956
002643.SZ,20191217,14.59,14.77,14.3,14.46,14.52,-0.06,-0.4132,133707.62,193454.891
002643.SZ,20191216,14.0,14.75,13.95,14.52,13.96,0.56,4.0115,214032.67,307705.305
002643.SZ,20191213,13.96,14.19,13.77,13.96,13.9,0.06,0.4317,105716.3,147700.086
002643.SZ,20191212,13.88,14.1,13.74,13.9,13.88,0.02,0.1441,105680.62,147506.268
002643.SZ,20191211,14.08,14.15,13.77,13.88,13.92,-0.04,-0.2874,118474.43,164815.575
002643.SZ,20191210,13.51,13.97,13.47,13.92,13.59,0.33,2.4283,186301.01,256456.161
