ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000002.SZ,20200110,32.0,32.22,31.35,31.46,32.2,-0.74,-2.2981,557443.73,1762516.212
000002.SZ,20200109,32.15,32.48,31.85,32.2,31.68,0.52,1.6414,783734.46,2519927.706
000002.SZ,20200108,31.3,31.77,31.05,31.68,31.76,-0.08,-0.2519,529996.84,1667143.803
000002.SZ,20200107,31.61,31.93,31.35,31.76,31.51,0.25,0.7934,577933.43,1827510.871
000002.SZ,20200106,31.75,31.76,31.25,31.51,32.05,-0.54,-1.6849,876840.58,2761448.649
000002.SZ,20200103,32.71,32.81,31.78,32.05,32.56,-0.51,-1.5663,805536.29,2584309.903
000002.SZ,20200102,32.8,33.6,32.51,32.56,32.18,0.38,1.1809,1012130.4,3342373.87
000002.SZ,20191231,31.35,32.45,31.32,32.18,31.57,0.61,1.9322,663497.98,2122966.722
000002.SZ,20191230,31.35,31.79,31.02,31.57,31.0,0.57,1.8387,915751.42,2870247.85
000002.SZ,20191227,31.23,31.32,30.81,31.0,31.12,-0.12,-0.3856,703096.48,2185106.849
000002.SZ,20191226,30.5,31.3,30.5,31.12,30.29,0.83,2.7402,888790.74,2758745.302
000002.SZ,20191225,30.4,30.63,30.18,30.29,30.38,-0.09,-0.2962,685037.32,2082008.206
000002.SZ,20191224,31.01,31.1,30.09,30.38,31.01,-0.63,-2.0316,754924.76,2293911.135
000002.SZ,20191223,31.68,32.19,30.99,31.01,31.68,-0.67,-2.1149,638835.65,2006994.594
000002.SZ,20191220,31.35,32.25,31.35,31.68,31.03,0.65,2.0947,893368.1,2845286.063
000002.SZ,20191219,30.4,31.33,30.3,31.03,30.31,0.72,2.3755,861136.59,2663619.932
000002.SZ,20191218,30.5,30.96,30.2,30.31,30.45,-0.14,-0.4598,907932.96,2770950.971
000002.SZ,20191217,29.35,31.34,29.19,30.45,29.45,1.0,3.3956,1596500.08,4825522.418
000002.SZ,20191216,28.25,29.45,28.15,29.45,28.15,1.3,4.6181,1896062.95,5422583.746
000002.SZ,20191213,28.18,28.34,28.13,28.15,28.0,0.15,0.5357,1431370.48,4039464.921
000002.SZ,20191212,28.02,28.17,27.94,28.0,28.0,0.0,0.0,563827.86,1580712.929
000002.SZ,20191211,27.99,28.24,27.95,28.0,27.9,0.1,0.3584,985187.14,2765688.862
000002.SZ,20191210,28.08,28.15,27.73,27.9,28.17,-0.27,-0.9585,685469.29,1914187.737
000002.SZ,20191209,27.96,28.35,27.96,28.17,27.86,0.31,1.1127,1160606.12,3267608.704
000002.SZ,20191206,27.86,27.88,27.72,27.86,27.8,0.06,0.2158,358417.78,997431.113
000002.SZ,20191205,27.95,27.95,27.61,27.8,27.78,0.02,0.072,373263.56,1036876.654
000002.SZ,20191204,27.88,28.0,27.65,27.78,28.0,-0.22,-0.7857,343382.71,954765.854
000002.SZ,20191203,27.97,28.18,27.73,28.0,28.05,-0.05,-0.1783,596981.6,1673918.787
000002.SZ,20191202,27.87,28.12,27.86,28.05,27.7,0.35,1.2635,1006843.93,2823613.032
000002.SZ,20191129,27.83,27.85,27.59,27.7,27.8,-0.1,-0.3597,448064.84,1242373.843
000002.SZ,20191128,28.01,28.01,27.62,27.8,28.0,-0.2,-0.7143,439961.62,1222840.122
000002.SZ,20191127,28.29,28.39,27.88,28.0,28.35,-0.35,-1.2346,631435.43,1775378.956
000002.SZ,20191126,28.65,28.7,28.09,28.35,28.65,-0.3,-1.0471,717189.2,2033217.22
000002.SZ,20191125,27.3,28.65,27.3,28.65,27.01,1.64,6.0718,1368032.57,3856258.081
000002.SZ,20191122,26.78,27.1,26.69,27.01,26.75,0.26,0.972,669911.33,1804428.855
000002.SZ,20191121,26.55,26.76,26.45,26.75,26.65,0.1,0.3752,385674.61,1028865.557
000002.SZ,20191120,26.75,26.81,26.6,26.65,26.72,-0.07,-0.262,485753.69,1298731.943
000002.SZ,20191119,26.46,26.77,26.4,26.72,26.42,0.3,1.1355,670929.91,1790181.123
000002.SZ,20191118,26.4,26.56,26.11,26.42,26.49,-0.07,-0.2643,368123.61,971790.938
000002.SZ,20191115,26.44,26.66,26.37,26.49,26.39,0.1,0.3789,468115.31,1243472.92
000002.SZ,20191114,26.23,26.47,26.07,26.39,26.19,0.2,0.7637,378340.59,996571.596
000002.SZ,20191113,26.28,26.3,26.0,26.19,26.28,-0.09,-0.3425,346952.18,906913.752
000002.SZ,20191112,26.32,26.53,26.21,26.28,26.38,-0.1,-0.3791,363338.48,957393.717
000002.SZ,20191111,26.58,26.59,26.32,26.38,26.74,-0.36,-1.3463,463259.32,1225718.598
000002.SZ,20191108,26.69,26.81,26.57,26.74,26.57,0.17,0.6398,485246.82,1296314.035
000002.SZ,20191107,26.61,26.68,26.5,26.57,26.65,-0.08,-0.3002,338402.13,899446.952
000002.SZ,20191106,26.87,26.87,26.42,26.65,26.88,-0.23,-0.8557,674955.29,1793945.059
000002.SZ,20191105,26.9,27.04,26.53,26.88,26.86,0.02,0.0745,989568.41,2661351.01
000002.SZ,20191104,26.93,27.04,26.72,26.86,26.83,0.03,0.1118,538984.78,1449249.324
000002.SZ,20191101,26.56,26.86,26.19,26.83,26.53,0.3,1.1308,626001.06,1671105.769
000002.SZ,20191031,26.65,26.8,26.38,26.53,26.65,-0.12,-0.4503,336242.1,892565.154
000002.SZ,20191030,26.62,26.81,26.6,26.65,26.67,-0.02,-0.075,363281.93,970373.901
000002.SZ,20191029,26.86,26.94,26.65,26.67,26.88,-0.21,-0.7813,356020.1,952604.312
000002.SZ,20191028,26.96,26.96,26.5,26.88,26.97,-0.09,-0.3337,430973.13,1154334.459
000002.SZ,20191025,26.81,27.26,26.75,26.97,26.66,0.31,1.1628,576900.67,1557601.073
000002.SZ,20191024,26.75,26.94,26.55,26.66,26.78,-0.12,-0.4481,427847.72,1144057.301
000002.SZ,20191023,27.25,27.29,26.67,26.78,27.36,-0.58,-2.1199,567453.85,1524444.874
000002.SZ,20191022,27.74,27.76,27.13,27.36,27.64,-0.28,-1.013,610048.93,1666020.11
000002.SZ,20191021,27.08,27.75,27.0,27.64,26.96,0.68,2.5223,872102.99,2397091.54
000002.SZ,20191018,27.5,27.73,26.8,26.96,27.35,-0.39,-1.426,607699.49,1656770.01
000002.SZ,20191017,27.2,27.65,27.05,27.35,27.07,0.28,1.0344,680262.63,1863059.279
000002.SZ,20191016,26.97,27.73,26.91,27.07,26.77,0.3,1.1207,1003115.5,2738841.249
000002.SZ,20191015,27.19,27.28,26.69,26.77,27.12,-0.35,-1.2906,500297.87,1346872.054
000002.SZ,20191014,26.95,27.33,26.84,27.12,26.81,0.31,1.1563,1040628.13,2825413.279
000002.SZ,20191011,26.74,26.85,26.51,26.81,26.62,0.19,0.7137,690326.26,1847963.515
000002.SZ,20191010,26.85,26.95,26.5,26.62,26.8,-0.18,-0.6716,541049.4,1442136.207
000002.SZ,20191009,26.19,27.02,26.15,26.8,26.36,0.44,1.6692,1156158.91,3098614.759
000002.SZ,20191008,26.01,26.8,26.01,26.36,25.9,0.46,1.7761,846172.73,2244970.29
000002.SZ,20190930,25.97,26.14,25.81,25.9,26.0,-0.1,-0.3846,275853.64,715836.294
000002.SZ,20190927,26.21,26.21,25.91,26.0,26.22,-0.22,-0.8391,397929.72,1035915.227
000002.SZ,20190926,26.1,26.4,26.02,26.22,26.02,0.2,0.7686,513030.07,1345600.003
000002.SZ,20190925,26.09,26.24,25.94,26.02,26.13,-0.11,-0.421,377226.1,984737.112
