ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300112.SZ,20200110,9.65,9.75,9.39,9.43,9.65,-0.22,-2.2798,149546.37,143023.109
300112.SZ,20200109,9.48,9.65,9.43,9.65,9.4,0.25,2.6596,172238.79,164077.206
300112.SZ,20200108,9.72,9.98,9.39,9.4,9.79,-0.39,-3.9837,233567.88,226586.481
300112.SZ,20200107,9.86,9.9,9.66,9.79,9.93,-0.14,-1.4099,215383.33,210528.99
300112.SZ,20200106,9.69,9.95,9.42,9.93,9.97,-0.04,-0.4012,270249.49,262332.009
300112.SZ,20200103,9.56,10.15,9.49,9.97,9.63,0.34,3.5306,383526.57,378488.029
300112.SZ,20200102,9.48,9.77,9.34,9.63,9.48,0.15,1.5823,308868.36,295334.817
300112.SZ,20191231,9.25,9.49,9.12,9.48,9.27,0.21,2.2654,282780.51,264101.812
300112.SZ,20191230,9.88,9.9,9.27,9.27,10.3,-1.03,-10.0,411372.76,386328.216
300112.SZ,20191227,10.92,11.17,10.2,10.3,11.25,-0.95,-8.4444,472702.42,506742.288
300112.SZ,20191226,10.55,11.5,10.47,11.25,10.7,0.55,5.1402,600581.25,657118.534
300112.SZ,20191225,10.24,11.1,10.24,10.7,11.38,-0.68,-5.9754,592757.11,624507.041
300112.SZ,20191224,11.48,11.89,10.73,11.38,11.75,-0.37,-3.1489,656323.21,740933.08
300112.SZ,20191223,11.75,11.75,11.22,11.75,10.68,1.07,10.0187,688286.67,805943.053
300112.SZ,20191220,10.2,10.68,10.01,10.68,9.71,0.97,9.9897,475252.86,499493.225
300112.SZ,20191219,8.96,9.71,8.81,9.71,8.83,0.88,9.966,477682.58,450792.255
300112.SZ,20191218,8.15,8.83,8.13,8.83,8.03,0.8,9.9626,116263.71,101992.748
300112.SZ,20191217,8.07,8.1,7.95,8.03,8.04,-0.01,-0.1244,54478.67,43739.237
300112.SZ,20191216,7.81,8.39,7.76,8.04,7.8,0.24,3.0769,67765.21,54368.517
300112.SZ,20191213,7.59,7.85,7.59,7.8,7.57,0.23,3.0383,56399.98,43700.979
300112.SZ,20191212,7.52,7.72,7.36,7.57,7.55,0.02,0.2649,25138.01,19127.512
300112.SZ,20191211,7.57,7.64,7.49,7.55,7.62,-0.07,-0.9186,18349.35,13854.963
300112.SZ,20191210,7.6,7.64,7.52,7.62,7.64,-0.02,-0.2618,22024.0,16701.89
300112.SZ,20191209,7.5,7.74,7.47,7.64,7.51,0.13,1.731,40610.01,30815.822
300112.SZ,20191206,7.46,7.54,7.43,7.51,7.44,0.07,0.9409,20105.0,15076.196
300112.SZ,20191205,7.3,7.46,7.3,7.44,7.34,0.1,1.3624,15213.15,11285.419
300112.SZ,20191204,7.29,7.38,7.27,7.34,7.33,0.01,0.1364,10687.01,7848.553
300112.SZ,20191203,7.25,7.34,7.21,7.33,7.28,0.05,0.6868,11659.36,8477.327
300112.SZ,20191202,7.27,7.32,7.26,7.28,7.26,0.02,0.2755,9463.0,6899.546
300112.SZ,20191129,7.25,7.28,7.22,7.26,7.25,0.01,0.1379,11078.0,8031.989
300112.SZ,20191128,7.26,7.31,7.23,7.25,7.24,0.01,0.1381,11475.36,8341.395
300112.SZ,20191127,7.33,7.38,7.24,7.24,7.4,-0.16,-2.1622,25652.13,18723.226
300112.SZ,20191126,7.7,7.86,7.4,7.4,7.48,-0.08,-1.0695,29666.38,22477.101
300112.SZ,20191125,7.42,7.54,7.23,7.48,7.42,0.06,0.8086,28459.9,21012.933
300112.SZ,20191122,7.55,7.6,7.38,7.42,7.53,-0.11,-1.4608,22491.4,16812.544
300112.SZ,20191121,7.5,7.55,7.37,7.53,7.53,0.0,0.0,23471.35,17502.413
300112.SZ,20191120,7.44,7.54,7.36,7.53,7.48,0.05,0.6684,24145.32,18016.566
300112.SZ,20191119,7.34,7.48,7.31,7.48,7.34,0.14,1.9074,19821.0,14719.993
300112.SZ,20191118,7.22,7.34,7.21,7.34,7.2,0.14,1.9444,11903.54,8678.512
300112.SZ,20191115,7.34,7.35,7.2,7.2,7.34,-0.14,-1.9074,12675.84,9206.513
300112.SZ,20191114,7.25,7.37,7.25,7.34,7.31,0.03,0.4104,11384.28,8324.582
300112.SZ,20191113,7.29,7.31,7.25,7.31,7.27,0.04,0.5502,11868.2,8637.301
300112.SZ,20191112,7.23,7.3,7.15,7.27,7.21,0.06,0.8322,12371.99,8930.562
300112.SZ,20191111,7.44,7.44,7.18,7.21,7.5,-0.29,-3.8667,23700.34,17258.942
300112.SZ,20191108,7.51,7.68,7.47,7.5,7.45,0.05,0.6711,24212.73,18289.231
300112.SZ,20191107,7.38,7.49,7.38,7.45,7.37,0.08,1.0855,13922.0,10358.484
300112.SZ,20191106,7.49,7.52,7.32,7.37,7.48,-0.11,-1.4706,18473.38,13696.104
300112.SZ,20191105,7.54,7.54,7.41,7.48,7.48,0.0,0.0,16328.85,12204.74
300112.SZ,20191104,7.57,7.61,7.46,7.48,7.53,-0.05,-0.664,21665.48,16362.458
300112.SZ,20191101,7.52,7.59,7.46,7.53,7.52,0.01,0.133,20720.52,15636.795
300112.SZ,20191031,7.81,7.85,7.47,7.52,7.83,-0.31,-3.9591,43346.52,32981.856
300112.SZ,20191030,8.02,8.11,7.75,7.83,8.08,-0.25,-3.0941,38079.5,29991.622
300112.SZ,20191029,8.14,8.15,8.05,8.08,8.2,-0.12,-1.4634,29185.6,23646.542
300112.SZ,20191028,8.0,8.22,7.99,8.2,7.97,0.23,2.8858,50999.34,41564.267
300112.SZ,20191025,7.89,7.97,7.79,7.97,7.88,0.09,1.1421,21762.38,17176.568
300112.SZ,20191024,7.91,7.98,7.79,7.88,7.96,-0.08,-1.005,24479.0,19302.529
300112.SZ,20191023,7.99,8.03,7.9,7.96,7.99,-0.03,-0.3755,22195.36,17705.653
300112.SZ,20191022,8.01,8.08,7.81,7.99,7.98,0.01,0.1253,27585.51,21894.132
300112.SZ,20191021,7.89,8.04,7.81,7.98,7.79,0.19,2.439,30641.0,24313.687
300112.SZ,20191018,7.98,8.02,7.7,7.79,7.97,-0.18,-2.2585,25827.5,20262.567
300112.SZ,20191017,7.97,8.06,7.86,7.97,7.99,-0.02,-0.2503,26433.01,21056.323
300112.SZ,20191016,8.1,8.15,7.97,7.99,8.02,-0.03,-0.3741,27483.04,22147.279
