ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300168.SZ,20200110,17.21,17.55,16.74,16.88,17.14,-0.26,-1.5169,357672.83,612416.904
300168.SZ,20200109,16.04,17.3,15.93,17.14,15.76,1.38,8.7563,498515.76,838010.343
300168.SZ,20200108,16.09,16.23,15.7,15.76,16.25,-0.49,-3.0154,206311.72,328648.291
300168.SZ,20200107,15.98,16.28,15.78,16.25,15.98,0.27,1.6896,260657.15,418499.961
300168.SZ,20200106,15.76,16.22,15.7,15.98,15.84,0.14,0.8838,194843.68,311367.089
300168.SZ,20200103,15.71,15.99,15.66,15.84,15.76,0.08,0.5076,148607.1,235268.874
300168.SZ,20200102,15.58,16.06,15.24,15.76,15.43,0.33,2.1387,223092.12,351948.363
300168.SZ,20191231,15.44,15.66,15.33,15.43,15.46,-0.03,-0.194,118355.3,183413.774
300168.SZ,20191230,15.3,15.65,15.08,15.46,15.78,-0.32,-2.0279,200215.67,307503.585
300168.SZ,20191227,16.3,16.58,15.78,15.78,16.1,-0.32,-1.9876,264587.57,428826.013
300168.SZ,20191226,15.93,16.19,15.68,16.1,16.0,0.1,0.625,231319.91,368271.219
300168.SZ,20191225,16.06,16.21,15.91,16.0,16.19,-0.19,-1.1736,166974.98,267535.393
300168.SZ,20191224,16.03,16.26,15.96,16.19,15.96,0.23,1.4411,142034.81,228764.58
300168.SZ,20191223,16.05,16.44,15.85,15.96,16.19,-0.23,-1.4206,194690.66,313339.2
300168.SZ,20191220,16.4,16.69,16.17,16.19,16.53,-0.34,-2.0569,213327.79,348623.754
300168.SZ,20191219,16.86,17.0,16.52,16.53,17.01,-0.48,-2.8219,288395.56,481446.194
300168.SZ,20191218,17.18,17.43,17.01,17.01,17.28,-0.27,-1.5625,305908.17,525251.215
300168.SZ,20191217,17.32,17.6,16.99,17.28,17.26,0.02,0.1159,422995.85,731211.228
300168.SZ,20191216,17.0,17.3,16.75,17.26,16.87,0.39,2.3118,378334.15,645745.536
300168.SZ,20191213,16.95,17.04,16.55,16.87,16.69,0.18,1.0785,294968.7,495025.429
300168.SZ,20191212,16.85,17.27,16.63,16.69,17.04,-0.35,-2.054,306091.74,516776.463
300168.SZ,20191211,16.55,17.33,16.22,17.04,16.67,0.37,2.2196,519410.03,881803.424
