ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002434.SZ,20200110,9.86,10.1,9.75,9.99,9.82,0.17,1.7312,109144.68,109163.257
002434.SZ,20200109,9.88,9.88,9.6,9.82,9.63,0.19,1.973,74494.45,72495.822
002434.SZ,20200108,9.63,9.85,9.63,9.63,9.76,-0.13,-1.332,59885.22,58101.611
002434.SZ,20200107,9.68,9.8,9.65,9.76,9.68,0.08,0.8264,97637.29,94993.258
002434.SZ,20200106,9.56,9.8,9.53,9.68,9.62,0.06,0.6237,122863.66,118698.256
002434.SZ,20200103,9.51,9.78,9.46,9.62,9.53,0.09,0.9444,75829.1,72931.437
002434.SZ,20200102,9.38,9.58,9.38,9.53,9.48,0.05,0.5274,69854.59,66378.571
002434.SZ,20191231,9.33,9.53,9.25,9.48,9.33,0.15,1.6077,103858.59,97770.927
002434.SZ,20191230,9.2,9.46,9.02,9.33,9.21,0.12,1.3029,120018.55,111592.632
002434.SZ,20191227,9.23,9.42,9.18,9.21,9.2,0.01,0.1087,75806.01,70492.499
002434.SZ,20191226,9.35,9.42,9.05,9.2,9.19,0.01,0.1088,65394.99,60283.209
002434.SZ,20191225,9.45,9.58,9.11,9.19,9.36,-0.17,-1.8162,88008.86,81822.805
002434.SZ,20191224,9.31,9.45,9.15,9.36,9.18,0.18,1.9608,48139.78,44902.796
002434.SZ,20191223,9.36,9.5,9.18,9.18,9.37,-0.19,-2.0277,44891.0,41782.612
002434.SZ,20191220,9.54,9.63,9.33,9.37,9.54,-0.17,-1.782,68857.73,65045.61
002434.SZ,20191219,9.46,9.6,9.41,9.54,9.45,0.09,0.9524,56412.96,53660.348
002434.SZ,20191218,9.42,9.58,9.38,9.45,9.43,0.02,0.2121,53537.8,50645.85
002434.SZ,20191217,9.24,9.52,9.14,9.43,9.18,0.25,2.7233,101969.24,95567.346
002434.SZ,20191216,8.85,9.24,8.75,9.18,8.83,0.35,3.9638,106684.0,96829.123
002434.SZ,20191213,8.95,8.98,8.75,8.83,8.95,-0.12,-1.3408,58343.9,51569.268
002434.SZ,20191212,9.24,9.28,8.9,8.95,9.16,-0.21,-2.2926,113650.12,102291.586
002434.SZ,20191211,8.84,9.23,8.79,9.16,8.84,0.32,3.6199,82458.55,74439.382
002434.SZ,20191210,8.78,8.89,8.78,8.84,8.8,0.04,0.4545,28022.47,24788.817
002434.SZ,20191209,8.91,8.95,8.76,8.8,8.88,-0.08,-0.9009,41974.98,37114.068
002434.SZ,20191206,8.8,8.89,8.75,8.88,8.76,0.12,1.3699,34823.52,30762.714
002434.SZ,20191205,8.73,8.82,8.55,8.76,8.63,0.13,1.5064,39499.57,34514.021
002434.SZ,20191204,8.65,8.86,8.57,8.63,8.65,-0.02,-0.2312,31289.72,27248.91
002434.SZ,20191203,8.68,8.68,8.52,8.65,8.6,0.05,0.5814,25622.99,22091.712
002434.SZ,20191202,8.67,8.72,8.5,8.6,8.67,-0.07,-0.8074,33193.76,28607.174
002434.SZ,20191129,8.62,8.73,8.54,8.67,8.66,0.01,0.1155,37956.31,32768.503
002434.SZ,20191128,8.6,8.71,8.56,8.66,8.62,0.04,0.464,23386.99,20228.887
