ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600847.SH,20200110,11.27,11.31,11.11,11.17,11.27,-0.1,-0.8873,6439.0,7214.417
600847.SH,20200109,11.18,11.29,11.1,11.27,11.1,0.17,1.5315,9004.26,10091.569
600847.SH,20200108,11.2,11.29,11.06,11.1,11.26,-0.16,-1.421,10844.21,12102.836
600847.SH,20200107,11.2,11.28,11.15,11.26,11.12,0.14,1.259,10402.64,11661.439
600847.SH,20200106,11.18,11.26,10.91,11.12,11.2,-0.08,-0.7143,13571.34,15083.497
600847.SH,20200103,11.36,11.36,11.13,11.2,11.4,-0.2,-1.7544,16231.26,18193.305
600847.SH,20200102,11.26,11.4,11.13,11.4,11.14,0.26,2.3339,18297.53,20553.134
600847.SH,20191231,11.33,11.36,11.01,11.14,11.34,-0.2,-1.7637,16612.86,18520.54
600847.SH,20191230,11.5,11.6,11.05,11.34,12.08,-0.74,-6.1258,30208.39,34084.448
600847.SH,20191227,13.0,13.14,12.0,12.08,12.08,0.0,0.0,58156.86,73290.935
600847.SH,20191226,11.99,12.08,11.56,12.08,10.98,1.1,10.0182,16387.38,19694.672
600847.SH,20191225,10.9,11.14,10.85,10.98,10.9,0.08,0.7339,7525.0,8286.371
600847.SH,20191224,10.7,10.94,10.6,10.9,10.57,0.33,3.122,6948.62,7507.501
600847.SH,20191223,10.81,10.9,10.54,10.57,10.81,-0.24,-2.2202,4260.04,4550.907
600847.SH,20191220,10.82,10.85,10.71,10.81,10.79,0.02,0.1854,4731.41,5102.547
600847.SH,20191219,10.55,10.96,10.55,10.79,10.55,0.24,2.2749,7655.68,8263.655
600847.SH,20191218,10.52,10.64,10.5,10.55,10.5,0.05,0.4762,6952.12,7350.849
600847.SH,20191217,10.3,10.57,10.3,10.5,10.48,0.02,0.1908,6530.12,6841.802
600847.SH,20191216,10.42,10.53,10.28,10.48,10.3,0.18,1.7476,6057.6,6312.51
600847.SH,20191213,10.24,10.31,10.14,10.3,10.16,0.14,1.378,4063.4,4161.363
600847.SH,20191212,10.17,10.25,10.12,10.16,10.17,-0.01,-0.0983,1920.0,1955.128
600847.SH,20191211,10.36,10.36,10.14,10.17,10.27,-0.1,-0.9737,3382.2,3451.987
600847.SH,20191210,10.27,10.34,10.2,10.27,10.27,0.0,0.0,3448.2,3542.086
600847.SH,20191209,10.49,10.49,10.26,10.27,10.58,-0.31,-2.9301,5943.38,6158.1
600847.SH,20191206,10.2,10.58,9.56,10.58,10.27,0.31,3.0185,8854.18,9055.498
600847.SH,20191205,10.44,10.45,10.25,10.27,10.22,0.05,0.4892,6291.38,6514.865
600847.SH,20191204,10.19,10.25,9.62,10.22,10.44,-0.22,-2.1073,7069.89,7099.825
600847.SH,20191203,11.0,11.0,9.99,10.44,10.08,0.36,3.5714,8808.21,9258.665
600847.SH,20191202,10.13,10.19,10.01,10.08,10.13,-0.05,-0.4936,3354.6,3375.919
600847.SH,20191129,10.14,10.17,10.01,10.13,10.14,-0.01,-0.0986,1743.0,1760.011
600847.SH,20191128,10.18,10.29,10.05,10.14,10.27,-0.13,-1.2658,2218.0,2258.778
600847.SH,20191127,10.16,10.36,10.08,10.27,10.21,0.06,0.5877,3336.6,3409.726
600847.SH,20191126,10.15,10.35,10.14,10.21,10.16,0.05,0.4921,3638.44,3713.497
600847.SH,20191125,10.11,10.23,9.93,10.16,10.14,0.02,0.1972,2479.85,2515.797
600847.SH,20191122,10.24,10.39,9.88,10.14,10.21,-0.07,-0.6856,4622.54,4705.187
600847.SH,20191121,10.39,10.42,10.15,10.21,10.4,-0.19,-1.8269,3883.0,3988.027
600847.SH,20191120,10.65,10.74,10.31,10.4,10.76,-0.36,-3.3457,8391.07,8800.455
600847.SH,20191119,10.49,11.27,10.26,10.76,10.28,0.48,4.6693,12884.35,13846.626
600847.SH,20191118,9.95,10.48,9.1,10.28,10.03,0.25,2.4925,4702.58,4751.825
600847.SH,20191115,10.19,10.19,10.03,10.03,10.15,-0.12,-1.1823,3280.65,3317.039
600847.SH,20191114,9.81,10.22,9.81,10.15,10.23,-0.08,-0.782,2788.0,2802.127
600847.SH,20191113,10.24,10.44,9.95,10.23,10.23,0.0,0.0,5094.0,5159.377
600847.SH,20191112,10.2,10.36,10.1,10.23,10.35,-0.12,-1.1594,3814.0,3897.699
600847.SH,20191111,10.37,10.44,10.28,10.35,10.52,-0.17,-1.616,4712.0,4880.75
600847.SH,20191108,10.98,10.98,10.52,10.52,10.51,0.01,0.0951,5765.08,6171.469
600847.SH,20191107,10.46,10.71,10.36,10.51,10.52,-0.01,-0.0951,4812.0,5082.422
600847.SH,20191106,10.64,10.77,10.45,10.52,10.73,-0.21,-1.9571,4612.08,4894.448
600847.SH,20191105,10.87,10.87,10.32,10.73,10.76,-0.03,-0.2788,5547.0,5918.265
600847.SH,20191104,10.93,10.93,10.72,10.76,10.92,-0.16,-1.4652,4894.0,5286.356
600847.SH,20191101,10.9,10.99,10.64,10.92,10.71,0.21,1.9608,7018.0,7590.163
600847.SH,20191031,10.7,10.93,10.62,10.71,10.7,0.01,0.0935,3346.0,3593.78
600847.SH,20191030,10.85,10.85,10.55,10.7,10.86,-0.16,-1.4733,2667.0,2848.364
600847.SH,20191029,10.79,10.94,10.79,10.86,10.9,-0.04,-0.367,4969.0,5401.758
600847.SH,20191028,11.18,11.18,10.8,10.9,10.88,0.02,0.1838,5612.08,6139.093
600847.SH,20191025,10.86,10.92,10.5,10.88,10.95,-0.07,-0.6393,7040.0,7517.72
600847.SH,20191024,11.58,11.6,10.9,10.95,10.94,0.01,0.0914,6323.0,7064.085
600847.SH,20191023,10.92,11.01,10.86,10.94,11.01,-0.07,-0.6358,2271.5,2479.385
600847.SH,20191022,10.98,11.08,10.82,11.01,10.92,0.09,0.8242,3682.0,4022.129
600847.SH,20191021,10.96,10.96,10.71,10.92,10.84,0.08,0.738,2672.0,2896.609
600847.SH,20191018,10.97,11.18,10.82,10.84,11.0,-0.16,-1.4545,3667.0,4019.586
600847.SH,20191017,11.3,11.3,10.87,11.0,11.14,-0.14,-1.2567,2819.0,3116.286
600847.SH,20191016,11.16,11.33,11.09,11.14,11.16,-0.02,-0.1792,2373.0,2657.513
600847.SH,20191015,11.3,11.32,11.07,11.16,11.31,-0.15,-1.3263,2780.0,3103.215
600847.SH,20191014,11.27,11.36,11.17,11.31,11.16,0.15,1.3441,4195.1,4732.626
600847.SH,20191011,11.14,11.22,11.08,11.16,11.14,0.02,0.1795,3601.0,4013.94
600847.SH,20191010,11.11,11.27,11.05,11.14,11.22,-0.08,-0.713,5468.0,6089.462
600847.SH,20191009,11.99,12.12,11.02,11.22,11.02,0.2,1.8149,7878.0,8901.07
600847.SH,20191008,11.2,11.34,10.97,11.02,11.16,-0.14,-1.2545,6133.0,6845.737
600847.SH,20190930,11.5,11.6,11.16,11.16,11.37,-0.21,-1.847,3604.0,4080.743
