ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300276.SZ,20200110,8.33,8.38,8.18,8.24,8.29,-0.05,-0.6031,41216.2,34033.033
300276.SZ,20200109,8.21,8.3,8.2,8.29,8.12,0.17,2.0936,48481.62,40016.641
300276.SZ,20200108,8.3,8.3,8.09,8.12,8.34,-0.22,-2.6379,48579.96,39760.568
300276.SZ,20200107,8.24,8.35,8.16,8.34,8.24,0.1,1.2136,53490.75,44220.332
300276.SZ,20200106,8.04,8.32,8.03,8.24,8.11,0.13,1.603,65195.67,53561.356
300276.SZ,20200103,8.14,8.2,8.05,8.11,8.13,-0.02,-0.246,33774.21,27407.002
300276.SZ,20200102,8.08,8.18,8.0,8.13,7.95,0.18,2.2642,44687.96,36210.643
300276.SZ,20191231,8.05,8.05,7.89,7.95,8.08,-0.13,-1.6089,42825.15,34066.696
300276.SZ,20191230,7.98,8.13,7.83,8.08,7.98,0.1,1.2531,41515.5,33266.22
300276.SZ,20191227,8.22,8.24,7.97,7.98,8.3,-0.32,-3.8554,83290.91,67571.224
300276.SZ,20191226,7.72,8.48,7.71,8.3,7.74,0.56,7.2351,125345.79,102060.806
300276.SZ,20191225,7.74,7.84,7.7,7.74,7.73,0.01,0.1294,22142.6,17159.413
300276.SZ,20191224,7.62,7.74,7.57,7.73,7.62,0.11,1.4436,24487.14,18738.223
300276.SZ,20191223,7.82,7.82,7.62,7.62,7.79,-0.17,-2.1823,20941.24,16139.194
300276.SZ,20191220,8.0,8.04,7.79,7.79,8.0,-0.21,-2.625,29757.82,23501.161
300276.SZ,20191219,7.98,8.08,7.94,8.0,7.97,0.03,0.3764,25842.04,20673.591
300276.SZ,20191218,7.92,8.1,7.88,7.97,7.93,0.04,0.5044,46139.34,37017.805
300276.SZ,20191217,7.95,7.96,7.85,7.93,7.85,0.08,1.0191,36516.24,28858.574
300276.SZ,20191216,7.69,7.86,7.69,7.85,7.69,0.16,2.0806,31537.2,24656.788
300276.SZ,20191213,7.67,7.72,7.61,7.69,7.58,0.11,1.4512,23353.04,17880.408
300276.SZ,20191212,7.58,7.68,7.58,7.58,7.62,-0.04,-0.5249,15899.64,12130.398
300276.SZ,20191211,7.67,7.72,7.6,7.62,7.67,-0.05,-0.6519,16425.9,12565.437
300276.SZ,20191210,7.6,7.67,7.57,7.67,7.6,0.07,0.9211,20375.3,15530.591
300276.SZ,20191209,7.57,7.68,7.57,7.6,7.58,0.02,0.2639,21852.32,16647.531
300276.SZ,20191206,7.46,7.59,7.43,7.58,7.5,0.08,1.0667,23193.8,17431.839
300276.SZ,20191205,7.42,7.52,7.4,7.5,7.42,0.08,1.0782,23073.0,17255.336
300276.SZ,20191204,7.38,7.43,7.27,7.42,7.37,0.05,0.6784,19185.49,14084.412
300276.SZ,20191203,7.36,7.38,7.24,7.37,7.35,0.02,0.2721,20754.99,15141.154
300276.SZ,20191202,7.4,7.43,7.32,7.35,7.38,-0.03,-0.4065,11853.8,8740.132
300276.SZ,20191129,7.43,7.45,7.31,7.38,7.38,0.0,0.0,12615.81,9296.469
300276.SZ,20191128,7.37,7.49,7.37,7.38,7.44,-0.06,-0.8065,13578.23,10060.86
300276.SZ,20191127,7.58,7.58,7.38,7.44,7.53,-0.09,-1.1952,22940.0,17105.844
300276.SZ,20191126,7.65,7.65,7.5,7.53,7.58,-0.05,-0.6596,17084.21,12928.206
300276.SZ,20191125,7.54,7.65,7.52,7.58,7.6,-0.02,-0.2632,12852.6,9728.942
300276.SZ,20191122,7.86,7.87,7.57,7.6,7.71,-0.11,-1.4267,21418.0,16488.041
300276.SZ,20191121,7.65,7.78,7.65,7.71,7.69,0.02,0.2601,15272.2,11791.392
300276.SZ,20191120,7.76,7.83,7.69,7.69,7.76,-0.07,-0.9021,15389.2,11916.63
300276.SZ,20191119,7.6,7.77,7.6,7.76,7.65,0.11,1.4379,18200.24,14039.948
300276.SZ,20191118,7.55,7.65,7.53,7.65,7.55,0.1,1.3245,17411.6,13229.219
300276.SZ,20191115,7.6,7.66,7.53,7.55,7.65,-0.1,-1.3072,14421.89,10946.243
300276.SZ,20191114,7.53,7.67,7.53,7.65,7.56,0.09,1.1905,16008.82,12187.051
300276.SZ,20191113,7.61,7.61,7.52,7.56,7.61,-0.05,-0.657,13608.98,10287.908
300276.SZ,20191112,7.59,7.65,7.45,7.61,7.58,0.03,0.3958,21324.6,16100.345
300276.SZ,20191111,7.9,7.91,7.58,7.58,7.93,-0.35,-4.4136,34045.54,26209.899
300276.SZ,20191108,7.93,8.0,7.9,7.93,7.91,0.02,0.2528,26570.7,21113.375
300276.SZ,20191107,7.86,8.0,7.85,7.91,7.9,0.01,0.1266,19450.8,15368.75
300276.SZ,20191106,7.94,8.03,7.85,7.9,7.89,0.01,0.1267,25756.1,20430.269
300276.SZ,20191105,7.92,8.03,7.87,7.89,7.97,-0.08,-1.0038,27008.46,21451.201
300276.SZ,20191104,8.1,8.16,7.97,7.97,8.04,-0.07,-0.8706,22996.06,18465.339
300276.SZ,20191101,7.9,8.07,7.9,8.04,8.01,0.03,0.3745,23055.6,18430.225
300276.SZ,20191031,8.07,8.17,7.98,8.01,8.04,-0.03,-0.3731,24123.7,19442.793
300276.SZ,20191030,8.25,8.29,8.03,8.04,8.22,-0.18,-2.1898,34422.8,28002.907
300276.SZ,20191029,8.47,8.47,8.21,8.22,8.5,-0.28,-3.2941,47112.22,39083.15
300276.SZ,20191028,8.35,8.53,8.33,8.5,8.33,0.17,2.0408,43523.87,36742.52
300276.SZ,20191025,8.32,8.37,8.2,8.33,8.33,0.0,0.0,24459.04,20281.848
300276.SZ,20191024,8.43,8.44,8.25,8.33,8.41,-0.08,-0.9512,25935.89,21569.82
300276.SZ,20191023,8.56,8.56,8.34,8.41,8.54,-0.13,-1.5222,27687.77,23351.522
300276.SZ,20191022,8.47,8.58,8.44,8.54,8.44,0.1,1.1848,23840.97,20281.967
300276.SZ,20191021,8.62,8.62,8.32,8.44,8.57,-0.13,-1.5169,37834.96,31842.411
300276.SZ,20191018,8.63,8.67,8.5,8.57,8.62,-0.05,-0.58,29291.64,25136.22
300276.SZ,20191017,8.7,8.73,8.55,8.62,8.7,-0.08,-0.9195,37275.01,32108.887
300276.SZ,20191016,8.74,8.85,8.68,8.7,8.7,0.0,0.0,51202.96,44892.786
300276.SZ,20191015,9.42,9.42,8.7,8.7,9.67,-0.97,-10.031,155072.31,137204.308
300276.SZ,20191014,9.7,9.74,9.53,9.67,9.6,0.07,0.7292,57423.54,55299.931
300276.SZ,20191011,9.53,9.6,9.4,9.6,9.55,0.05,0.5236,43399.62,41273.681
300276.SZ,20191010,9.44,9.58,9.37,9.55,9.42,0.13,1.38,43692.86,41463.909
300276.SZ,20191009,9.16,9.45,9.16,9.42,9.28,0.14,1.5086,33138.95,30937.055
300276.SZ,20191008,9.5,9.5,9.23,9.28,9.42,-0.14,-1.4862,46018.26,43146.838
