ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002224.SZ,20200110,7.01,7.49,6.87,6.9,6.9,0.0,0.0,1110203.1,795355.961
002224.SZ,20200109,6.31,6.9,6.29,6.9,6.27,0.63,10.0478,310818.01,205352.443
002224.SZ,20200108,6.36,6.38,6.24,6.27,6.4,-0.13,-2.0313,171253.76,107945.696
002224.SZ,20200107,6.29,6.4,6.25,6.4,6.29,0.11,1.7488,177136.73,112026.001
002224.SZ,20200106,6.24,6.34,6.23,6.29,6.28,0.01,0.1592,147070.76,92392.989
002224.SZ,20200103,6.31,6.32,6.23,6.28,6.3,-0.02,-0.3175,122845.65,77041.772
002224.SZ,20200102,6.2,6.33,6.16,6.3,6.15,0.15,2.439,166937.97,104436.233
002224.SZ,20191231,6.13,6.21,6.09,6.15,6.19,-0.04,-0.6462,106659.03,65511.311
002224.SZ,20191230,6.06,6.26,6.0,6.19,6.11,0.08,1.3093,129096.97,79163.957
002224.SZ,20191227,6.11,6.23,6.09,6.11,6.12,-0.01,-0.1634,127223.29,78341.392
002224.SZ,20191226,6.11,6.16,6.03,6.12,6.11,0.01,0.1637,93688.75,57021.457
002224.SZ,20191225,6.05,6.12,6.01,6.11,6.05,0.06,0.9917,94109.48,57230.837
002224.SZ,20191224,5.91,6.05,5.9,6.05,5.9,0.15,2.5424,82752.21,49546.928
002224.SZ,20191223,6.0,6.04,5.88,5.9,6.0,-0.1,-1.6667,105336.59,62783.287
002224.SZ,20191220,6.18,6.25,5.99,6.0,6.26,-0.26,-4.1534,219262.58,133952.831
002224.SZ,20191219,6.36,6.53,6.2,6.26,6.16,0.1,1.6234,362486.41,228974.736
002224.SZ,20191218,6.04,6.17,5.97,6.16,6.03,0.13,2.1559,182777.31,110603.678
002224.SZ,20191217,5.9,6.04,5.9,6.03,5.87,0.16,2.7257,157111.05,93902.408
002224.SZ,20191216,5.8,5.88,5.75,5.87,5.77,0.1,1.7331,95557.38,55728.997
002224.SZ,20191213,5.73,5.83,5.64,5.77,5.71,0.06,1.0508,105714.27,60682.554
002224.SZ,20191212,5.73,5.92,5.67,5.71,5.75,-0.04,-0.6957,108214.48,62704.878
002224.SZ,20191211,5.8,5.82,5.72,5.75,5.78,-0.03,-0.519,60498.22,34923.136
002224.SZ,20191210,5.82,5.82,5.73,5.78,5.82,-0.04,-0.6873,61405.21,35473.938
002224.SZ,20191209,5.78,5.82,5.76,5.82,5.81,0.01,0.1721,55325.46,32034.275
002224.SZ,20191206,5.77,5.82,5.75,5.81,5.77,0.04,0.6932,53224.93,30794.787
002224.SZ,20191205,5.71,5.8,5.7,5.77,5.73,0.04,0.6981,75410.48,43504.678
002224.SZ,20191204,5.66,5.74,5.61,5.73,5.67,0.06,1.0582,53241.61,30296.393
002224.SZ,20191203,5.57,5.69,5.55,5.67,5.66,0.01,0.1767,51009.75,28666.963
002224.SZ,20191202,5.73,5.75,5.65,5.66,5.63,0.03,0.5329,60111.46,34212.404
002224.SZ,20191129,5.58,5.67,5.56,5.63,5.62,0.01,0.1779,55689.85,31273.083
002224.SZ,20191128,5.69,5.75,5.6,5.62,5.72,-0.1,-1.7483,87281.46,49276.97
002224.SZ,20191127,5.83,5.83,5.71,5.72,5.83,-0.11,-1.8868,73656.31,42407.744
002224.SZ,20191126,5.92,5.92,5.81,5.83,5.87,-0.04,-0.6814,46019.0,26930.846
002224.SZ,20191125,5.97,6.02,5.78,5.87,5.97,-0.1,-1.675,123393.39,72580.481
002224.SZ,20191122,6.09,6.13,5.93,5.97,6.07,-0.1,-1.6474,109583.28,65939.847
002224.SZ,20191121,6.03,6.09,5.98,6.07,6.06,0.01,0.165,75674.17,45745.398
002224.SZ,20191120,6.17,6.18,6.04,6.06,6.18,-0.12,-1.9417,112902.88,68820.52
002224.SZ,20191119,6.04,6.22,6.03,6.18,6.07,0.11,1.8122,133136.01,81549.087
002224.SZ,20191118,5.99,6.11,5.95,6.07,6.01,0.06,0.9983,94396.71,57049.844
002224.SZ,20191115,6.2,6.2,6.01,6.01,6.23,-0.22,-3.5313,166450.41,101326.433
