ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600703.SH,20200110,19.0,20.03,18.7,19.84,18.84,1.0,5.3079,1781774.6,3462959.334
600703.SH,20200109,18.7,19.0,18.46,18.84,18.4,0.44,2.3913,918111.0,1722311.965
600703.SH,20200108,18.8,18.92,18.32,18.4,19.04,-0.64,-3.3613,987552.01,1837220.895
600703.SH,20200107,19.25,19.54,18.66,19.04,19.38,-0.34,-1.7544,998843.71,1898410.075
600703.SH,20200106,18.94,19.65,18.84,19.38,19.24,0.14,0.7277,1043265.32,2013027.319
600703.SH,20200103,18.96,19.5,18.83,19.24,18.95,0.29,1.5303,963993.22,1850346.894
600703.SH,20200102,18.51,19.35,18.33,18.95,18.36,0.59,3.2135,1173767.95,2226076.996
600703.SH,20191231,18.49,18.74,18.15,18.36,18.6,-0.24,-1.2903,850980.14,1563292.503
600703.SH,20191230,18.45,19.13,18.01,18.6,18.76,-0.16,-0.8529,977082.6,1813645.935
600703.SH,20191227,19.61,19.75,18.76,18.76,19.5,-0.74,-3.7949,1086130.4,2081720.032
600703.SH,20191226,19.61,20.05,19.43,19.5,19.79,-0.29,-1.4654,793167.4,1559710.296
600703.SH,20191225,19.41,20.35,19.41,19.79,19.71,0.08,0.4059,1247793.5,2484228.823
600703.SH,20191224,18.58,19.75,18.13,19.71,18.53,1.18,6.3681,1247255.73,2365011.507
600703.SH,20191223,18.3,18.74,18.04,18.53,18.95,-0.42,-2.2164,912878.26,1684719.674
600703.SH,20191220,19.31,19.48,18.9,18.95,19.34,-0.39,-2.0165,769271.38,1470579.111
600703.SH,20191219,19.5,19.73,18.8,19.34,19.61,-0.27,-1.3768,1119006.04,2144804.349
600703.SH,20191218,19.65,20.4,19.33,19.61,19.82,-0.21,-1.0595,1275482.15,2524549.904
600703.SH,20191217,19.8,19.92,19.34,19.82,19.62,0.2,1.0194,1281473.63,2522367.6
600703.SH,20191216,18.82,19.96,18.8,19.62,18.74,0.88,4.6958,1746077.87,3405981.724
600703.SH,20191213,18.83,19.05,18.3,18.74,18.46,0.28,1.5168,1335312.36,2486364.031
600703.SH,20191212,18.39,19.4,18.31,18.46,18.37,0.09,0.4899,1802550.38,3384094.867
600703.SH,20191211,18.88,19.1,18.1,18.37,19.14,-0.77,-4.023,1523408.55,2825364.606
600703.SH,20191210,17.39,19.14,17.1,19.14,17.4,1.74,10.0,1941237.12,3518740.883
600703.SH,20191209,17.66,17.97,17.38,17.4,17.68,-0.28,-1.5837,975000.61,1716561.331
600703.SH,20191206,17.7,17.89,17.05,17.68,17.77,-0.09,-0.5065,1221891.44,2141493.223
600703.SH,20191205,17.52,18.34,17.31,17.77,17.48,0.29,1.659,1448436.54,2589862.505
600703.SH,20191204,17.43,17.89,17.22,17.48,17.6,-0.12,-0.6818,1084341.61,1899019.657
600703.SH,20191203,16.8,17.66,16.7,17.6,16.95,0.65,3.8348,1221768.34,2108541.082
600703.SH,20191202,16.68,17.22,16.52,16.95,16.63,0.32,1.9242,1065895.29,1806259.765
600703.SH,20191129,16.19,16.97,16.05,16.63,16.19,0.44,2.7177,1163602.87,1931169.223
600703.SH,20191128,16.15,16.39,16.02,16.19,16.41,-0.22,-1.3406,739280.83,1197468.929
600703.SH,20191127,15.58,16.78,15.5,16.41,15.78,0.63,3.9924,1470104.88,2393027.922
600703.SH,20191126,15.77,15.85,15.43,15.78,15.58,0.2,1.2837,863834.47,1350869.877
600703.SH,20191125,16.05,16.26,15.39,15.58,16.21,-0.63,-3.8865,1151290.48,1805584.332
600703.SH,20191122,16.88,17.25,16.1,16.21,16.97,-0.76,-4.4785,1624475.51,2704315.032
600703.SH,20191121,16.7,17.01,16.5,16.97,16.76,0.21,1.253,1243070.56,2091011.338
600703.SH,20191120,16.9,17.13,16.56,16.76,17.11,-0.35,-2.0456,1295915.46,2178091.047
600703.SH,20191119,17.07,17.15,16.76,17.11,17.12,-0.01,-0.0584,1349440.17,2291133.531
600703.SH,20191118,17.34,17.52,16.86,17.12,17.34,-0.22,-1.2687,1317102.56,2254017.031
600703.SH,20191115,17.6,17.89,17.33,17.34,17.63,-0.29,-1.6449,1569056.41,2758629.73
600703.SH,20191114,16.8,18.35,16.51,17.63,16.75,0.88,5.2537,2650319.66,4588767.911
600703.SH,20191113,15.23,16.75,15.09,16.75,15.23,1.52,9.9803,2486559.55,4006896.415
600703.SH,20191112,14.78,15.64,14.7,15.23,14.55,0.68,4.6735,1701230.51,2580705.185
600703.SH,20191111,14.8,14.88,14.41,14.55,15.02,-0.47,-3.1292,1077474.47,1576604.745
600703.SH,20191108,15.98,16.16,14.99,15.02,15.84,-0.82,-5.1768,1407864.16,2191722.479
600703.SH,20191107,15.46,15.84,15.16,15.84,15.47,0.37,2.3917,1042408.66,1612760.643
600703.SH,20191106,15.7,16.1,15.28,15.47,15.7,-0.23,-1.465,1126740.75,1774059.235
600703.SH,20191105,15.36,15.95,15.12,15.7,15.38,0.32,2.0806,1181081.88,1833383.361
600703.SH,20191104,15.41,16.06,15.28,15.38,15.44,-0.06,-0.3886,1257691.24,1964717.272
600703.SH,20191101,15.17,15.51,14.86,15.44,15.2,0.24,1.5789,1048808.22,1600349.855
600703.SH,20191031,14.96,15.72,14.93,15.2,14.91,0.29,1.945,1493170.07,2301113.855
600703.SH,20191030,14.97,15.16,14.65,14.91,15.15,-0.24,-1.5842,1008985.59,1502641.32
600703.SH,20191029,14.95,15.35,14.73,15.15,15.18,-0.03,-0.1976,1538591.56,2314700.338
600703.SH,20191028,14.0,15.44,13.99,15.18,14.23,0.95,6.676,1861391.88,2765964.192
600703.SH,20191025,13.2,14.49,13.11,14.23,13.2,1.03,7.803,1700706.62,2355280.194
600703.SH,20191024,12.93,13.23,12.79,13.2,12.98,0.22,1.6949,586665.15,764761.804
600703.SH,20191023,13.08,13.31,12.94,12.98,13.08,-0.1,-0.7645,661481.78,867718.155
600703.SH,20191022,12.92,13.14,12.88,13.08,12.9,0.18,1.3953,701120.43,912528.51
600703.SH,20191021,12.79,12.94,12.54,12.9,12.83,0.07,0.5456,620665.48,793850.049
600703.SH,20191018,13.27,13.38,12.69,12.83,13.24,-0.41,-3.0967,1003056.72,1299717.525
600703.SH,20191017,13.31,13.55,13.1,13.24,13.27,-0.03,-0.2261,740429.3,983636.513
600703.SH,20191016,13.54,13.68,13.19,13.27,13.53,-0.26,-1.9217,775945.86,1043520.946
600703.SH,20191015,14.2,14.2,13.4,13.53,14.43,-0.9,-6.237,1268995.18,1746386.113
600703.SH,20191014,13.96,14.45,13.76,14.43,13.83,0.6,4.3384,1521176.25,2139690.046
600703.SH,20191011,14.37,14.42,13.7,13.83,14.44,-0.61,-4.2244,1314015.13,1835135.108
600703.SH,20191010,14.05,14.48,13.79,14.44,14.05,0.39,2.7758,1270273.01,1794876.459
600703.SH,20191009,13.85,14.17,13.51,14.05,13.91,0.14,1.0065,1011676.13,1406312.55
600703.SH,20191008,14.58,14.78,13.69,13.91,14.08,-0.17,-1.2074,1253088.87,1782606.268
600703.SH,20190930,14.54,14.96,14.08,14.08,14.68,-0.6,-4.0872,1024121.85,1471957.222
600703.SH,20190927,14.2,14.95,14.15,14.68,13.99,0.69,4.9321,1686237.76,2452194.239
600703.SH,20190926,15.0,15.17,13.96,13.99,15.01,-1.02,-6.7955,2055974.1,2978597.555
600703.SH,20190925,15.86,16.0,14.9,15.01,16.15,-1.14,-7.0588,1890673.04,2904703.448
600703.SH,20190924,15.59,16.38,15.45,16.15,15.58,0.57,3.6585,1965479.19,3152087.978
600703.SH,20190923,15.13,16.2,15.06,15.58,15.34,0.24,1.5645,2214483.37,3456705.374
600703.SH,20190920,15.68,15.68,14.96,15.34,15.29,0.05,0.327,2285578.09,3502185.441
600703.SH,20190919,14.2,15.29,14.2,15.29,13.9,1.39,10.0,2486730.08,3732442.143
600703.SH,20190918,13.8,14.1,13.24,13.9,13.73,0.17,1.2382,1763887.43,2410724.99
600703.SH,20190917,14.15,14.33,13.21,13.73,13.8,-0.07,-0.5072,1894260.79,2616204.359
600703.SH,20190916,13.6,14.14,13.42,13.8,13.54,0.26,1.9202,1874466.59,2584289.866
600703.SH,20190912,13.42,13.58,13.19,13.54,13.27,0.27,2.0347,1270885.3,1702892.24
600703.SH,20190911,13.4,13.58,13.12,13.27,13.43,-0.16,-1.1914,1461078.71,1951642.557
600703.SH,20190910,13.33,13.61,13.02,13.43,12.98,0.45,3.4669,2583741.6,3447398.879
600703.SH,20190909,11.85,12.98,11.83,12.98,11.8,1.18,10.0,1879166.43,2345965.448
600703.SH,20190906,11.72,11.97,11.54,11.8,11.66,0.14,1.2007,899772.07,1057472.616
600703.SH,20190905,11.61,12.04,11.51,11.66,11.6,0.06,0.5172,1197437.74,1412498.66
600703.SH,20190904,11.42,11.68,11.27,11.6,11.52,0.08,0.6944,938886.92,1078772.377
600703.SH,20190903,10.98,11.66,10.93,11.52,11.0,0.52,4.7273,1115349.75,1266320.543
600703.SH,20190902,10.81,11.05,10.72,11.0,10.82,0.18,1.6636,596500.25,652203.276
600703.SH,20190830,11.04,11.13,10.69,10.82,10.92,-0.1,-0.9158,689450.51,754204.898
600703.SH,20190829,10.78,11.06,10.75,10.92,10.79,0.13,1.2048,569039.61,621856.235
600703.SH,20190828,10.9,10.9,10.73,10.79,10.93,-0.14,-1.2809,430712.73,465510.517
600703.SH,20190827,10.62,11.02,10.62,10.93,10.54,0.39,3.7002,865297.31,937712.423
600703.SH,20190826,10.5,10.65,10.4,10.54,10.82,-0.28,-2.5878,809125.66,851669.223
600703.SH,20190823,11.42,11.42,10.75,11.02,11.66,-0.64,-5.4889,1794383.38,1970032.375
600703.SH,20190822,11.96,12.38,11.6,11.66,12.09,-0.43,-3.5567,1754572.51,2092091.713
600703.SH,20190821,11.9,12.22,11.67,12.09,11.93,0.16,1.3412,1095271.14,1309543.351
600703.SH,20190820,12.18,12.28,11.89,11.93,12.19,-0.26,-2.1329,917977.14,1104074.185
600703.SH,20190819,11.8,12.3,11.61,12.19,11.59,0.6,5.1769,1431298.16,1717904.972
600703.SH,20190816,11.21,11.82,11.16,11.59,11.26,0.33,2.9307,1367194.99,1585060.851
600703.SH,20190815,10.79,11.3,10.65,11.26,11.13,0.13,1.168,775782.26,848693.258
600703.SH,20190814,11.32,11.51,11.07,11.13,11.02,0.11,0.9982,900927.77,1015788.19
600703.SH,20190813,10.82,11.09,10.71,11.02,11.01,0.01,0.0908,747344.0,814762.207
600703.SH,20190812,10.45,11.02,10.31,11.01,10.38,0.63,6.0694,821996.88,876786.715
