ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000632.SZ,20200110,6.5,6.69,6.45,6.68,6.46,0.22,3.4056,59822.0,39278.231
000632.SZ,20200109,6.36,6.49,6.36,6.46,6.36,0.1,1.5723,24892.97,16022.959
000632.SZ,20200108,6.53,6.53,6.34,6.36,6.48,-0.12,-1.8519,38529.0,24700.52
000632.SZ,20200107,6.4,6.57,6.39,6.48,6.37,0.11,1.7268,42229.27,27386.007
000632.SZ,20200106,6.47,6.47,6.32,6.37,6.49,-0.12,-1.849,29591.05,18959.467
000632.SZ,20200103,6.48,6.56,6.45,6.49,6.48,0.01,0.1543,22790.3,14834.144
000632.SZ,20200102,6.47,6.5,6.4,6.48,6.47,0.01,0.1546,36630.15,23662.643
000632.SZ,20191231,6.15,6.49,6.11,6.47,6.13,0.34,5.5465,65291.42,41364.986
000632.SZ,20191230,6.15,6.16,6.0,6.13,6.15,-0.02,-0.3252,20266.77,12332.944
000632.SZ,20191227,6.18,6.23,6.15,6.15,6.21,-0.06,-0.9662,15610.12,9658.89
000632.SZ,20191226,6.23,6.26,6.16,6.21,6.23,-0.02,-0.321,14543.0,9018.018
000632.SZ,20191225,6.26,6.29,6.2,6.23,6.26,-0.03,-0.4792,11280.01,7032.528
000632.SZ,20191224,6.31,6.31,6.22,6.26,6.27,-0.01,-0.1595,13329.61,8330.91
000632.SZ,20191223,6.32,6.34,6.22,6.27,6.33,-0.06,-0.9479,23069.09,14456.766
000632.SZ,20191220,6.31,6.35,6.29,6.33,6.29,0.04,0.6359,15710.47,9942.513
000632.SZ,20191219,6.36,6.36,6.28,6.29,6.38,-0.09,-1.4107,19615.33,12351.995
000632.SZ,20191218,6.4,6.4,6.3,6.38,6.37,0.01,0.157,19164.0,12168.031
000632.SZ,20191217,6.37,6.4,6.3,6.37,6.36,0.01,0.1572,16977.06,10785.312
000632.SZ,20191216,6.3,6.36,6.27,6.36,6.26,0.1,1.5974,20384.02,12903.184
000632.SZ,20191213,6.35,6.36,6.26,6.26,6.31,-0.05,-0.7924,18413.09,11599.498
000632.SZ,20191212,6.47,6.5,6.3,6.31,6.51,-0.2,-3.0722,29746.0,18895.359
000632.SZ,20191211,6.52,6.54,6.35,6.51,6.53,-0.02,-0.3063,34401.0,22182.836
000632.SZ,20191210,6.62,6.64,6.52,6.53,6.58,-0.05,-0.7599,21921.06,14368.557
000632.SZ,20191209,6.51,6.63,6.49,6.58,6.48,0.1,1.5432,27744.6,18237.563
000632.SZ,20191206,6.44,6.51,6.43,6.48,6.47,0.01,0.1546,16557.22,10738.949
000632.SZ,20191205,6.45,6.5,6.42,6.47,6.46,0.01,0.1548,14793.11,9543.07
000632.SZ,20191204,6.39,6.49,6.33,6.46,6.42,0.04,0.6231,23452.84,15112.207
000632.SZ,20191203,6.31,6.43,6.31,6.42,6.38,0.04,0.627,30096.16,19182.021
000632.SZ,20191202,6.14,6.39,6.11,6.38,6.12,0.26,4.2484,25811.47,16198.821
000632.SZ,20191129,6.23,6.3,6.1,6.12,6.27,-0.15,-2.3923,21772.58,13448.733
000632.SZ,20191128,6.31,6.36,6.23,6.27,6.29,-0.02,-0.318,25448.16,16034.396
000632.SZ,20191127,6.24,6.4,6.17,6.29,6.26,0.03,0.4792,44319.11,28023.551
000632.SZ,20191126,6.08,6.27,6.07,6.26,6.13,0.13,2.1207,56269.27,34921.496
000632.SZ,20191125,6.14,6.17,6.05,6.13,6.15,-0.02,-0.3252,12877.0,7860.943
000632.SZ,20191122,6.13,6.17,5.98,6.15,6.14,0.01,0.1629,21050.0,12827.387
000632.SZ,20191121,6.18,6.24,6.1,6.14,6.2,-0.06,-0.9677,12341.76,7592.439
000632.SZ,20191120,6.26,6.29,6.18,6.2,6.28,-0.08,-1.2739,8404.0,5230.512
000632.SZ,20191119,6.22,6.28,6.17,6.28,6.14,0.14,2.2801,13245.82,8256.079
000632.SZ,20191118,6.12,6.21,6.1,6.14,6.15,-0.01,-0.1626,13523.4,8336.709
000632.SZ,20191115,6.26,6.28,6.15,6.15,6.29,-0.14,-2.2258,13460.0,8334.845
000632.SZ,20191114,6.21,6.33,6.17,6.29,6.27,0.02,0.319,17414.15,10939.953
000632.SZ,20191113,6.16,6.27,6.15,6.27,6.25,0.02,0.32,17960.0,11150.375
000632.SZ,20191112,6.15,6.27,6.12,6.25,6.14,0.11,1.7915,23034.0,14235.385
000632.SZ,20191111,6.35,6.35,6.13,6.14,6.35,-0.21,-3.3071,36445.01,22746.975
000632.SZ,20191108,6.32,6.35,6.22,6.35,6.26,0.09,1.4377,53095.96,33431.224
000632.SZ,20191107,6.25,6.29,6.18,6.26,6.22,0.04,0.6431,33565.85,20947.538
000632.SZ,20191106,6.3,6.3,6.19,6.22,6.29,-0.07,-1.1129,20554.45,12820.992
000632.SZ,20191105,6.39,6.39,6.27,6.29,6.3,-0.01,-0.1587,18727.0,11861.316
000632.SZ,20191104,6.25,6.38,6.25,6.3,6.25,0.05,0.8,26696.0,16914.248
000632.SZ,20191101,6.13,6.27,6.1,6.25,6.13,0.12,1.9576,24003.69,14926.743
000632.SZ,20191031,6.16,6.18,6.12,6.13,6.12,0.01,0.1634,20779.45,12772.13
000632.SZ,20191030,6.01,6.12,5.95,6.12,6.04,0.08,1.3245,24832.01,15061.102
000632.SZ,20191029,6.14,6.14,6.0,6.04,6.04,0.0,0.0,16793.51,10145.429
000632.SZ,20191028,5.97,6.05,5.94,6.04,5.95,0.09,1.5126,19134.0,11492.507
000632.SZ,20191025,5.83,5.97,5.8,5.95,5.85,0.1,1.7094,18112.52,10649.367
000632.SZ,20191024,5.88,5.93,5.8,5.85,5.88,-0.03,-0.5102,9879.0,5812.828
000632.SZ,20191023,5.95,5.96,5.85,5.88,5.94,-0.06,-1.0101,11810.07,6950.58
000632.SZ,20191022,6.01,6.03,5.91,5.94,5.98,-0.04,-0.6689,20690.38,12348.958
000632.SZ,20191021,5.98,5.99,5.77,5.98,5.99,-0.01,-0.1669,37383.18,21951.626
000632.SZ,20191018,5.98,6.09,5.87,5.99,5.99,0.0,0.0,23337.2,13947.075
000632.SZ,20191017,6.12,6.12,5.95,5.99,6.12,-0.13,-2.1242,31946.45,19207.649
000632.SZ,20191016,6.08,6.27,6.01,6.12,6.1,0.02,0.3279,28467.78,17380.981
000632.SZ,20191015,6.26,6.26,6.05,6.1,6.22,-0.12,-1.9293,21167.0,12947.307
000632.SZ,20191014,6.24,6.33,6.2,6.22,6.23,-0.01,-0.1605,24371.05,15280.612
000632.SZ,20191011,6.31,6.32,6.23,6.23,6.27,-0.04,-0.638,14172.0,8862.791
000632.SZ,20191010,6.27,6.32,6.22,6.27,6.27,0.0,0.0,23522.0,14741.785
000632.SZ,20191009,6.26,6.28,6.17,6.27,6.23,0.04,0.6421,18642.02,11628.247
000632.SZ,20191008,6.28,6.29,6.19,6.23,6.23,0.0,0.0,23168.0,14487.84
000632.SZ,20190930,6.25,6.25,6.11,6.23,6.21,0.02,0.3221,34087.16,21138.61
000632.SZ,20190927,6.03,6.25,5.99,6.21,6.02,0.19,3.1561,44840.0,27783.041
000632.SZ,20190926,6.11,6.12,5.99,6.02,6.05,-0.03,-0.4959,28600.0,17286.537
000632.SZ,20190925,6.19,6.19,6.04,6.05,6.19,-0.14,-2.2617,33623.1,20517.706
000632.SZ,20190924,6.3,6.32,6.17,6.19,6.28,-0.09,-1.4331,30728.36,19122.826
000632.SZ,20190923,6.25,6.37,6.11,6.28,6.27,0.01,0.1595,44796.16,27958.613
000632.SZ,20190920,6.11,6.3,6.07,6.27,6.12,0.15,2.451,89041.11,55457.343
000632.SZ,20190919,5.94,6.14,5.82,6.12,5.92,0.2,3.3784,65885.01,39524.591
000632.SZ,20190918,6.0,6.02,5.91,5.92,5.97,-0.05,-0.8375,28278.85,16834.743
000632.SZ,20190917,6.15,6.15,5.87,5.97,6.13,-0.16,-2.6101,63451.08,37910.931
000632.SZ,20190916,6.19,6.23,6.06,6.13,6.2,-0.07,-1.129,53601.21,32806.772
000632.SZ,20190912,6.17,6.25,6.14,6.2,6.17,0.03,0.4862,46577.0,28851.846
000632.SZ,20190911,6.23,6.3,6.15,6.17,6.23,-0.06,-0.9631,61978.0,38669.162
000632.SZ,20190910,6.45,6.49,6.17,6.23,6.45,-0.22,-3.4109,121088.08,76124.897
000632.SZ,20190909,6.63,6.71,6.37,6.45,6.65,-0.2,-3.0075,106950.04,69283.669
000632.SZ,20190906,6.73,6.73,6.5,6.65,6.68,-0.03,-0.4491,68915.01,45327.453
000632.SZ,20190905,6.85,6.85,6.68,6.68,6.81,-0.13,-1.909,69537.0,46920.687
000632.SZ,20190904,6.85,6.86,6.7,6.81,6.8,0.01,0.1471,49505.0,33511.3
000632.SZ,20190903,6.72,6.85,6.72,6.8,6.72,0.08,1.1905,49115.0,33425.779
000632.SZ,20190902,6.66,6.82,6.63,6.72,6.68,0.04,0.5988,60170.18,40632.311
000632.SZ,20190830,6.67,6.8,6.57,6.68,6.65,0.03,0.4511,65902.01,44146.442
000632.SZ,20190829,6.71,6.75,6.6,6.65,6.67,-0.02,-0.2999,46775.23,31077.012
000632.SZ,20190828,6.63,6.79,6.55,6.67,6.63,0.04,0.6033,56957.91,38051.224
000632.SZ,20190827,6.52,6.64,6.42,6.63,6.5,0.13,2.0,51299.02,33575.081
000632.SZ,20190826,6.39,6.52,6.3,6.5,6.49,0.01,0.1541,51007.4,32627.604
000632.SZ,20190823,6.55,6.62,6.39,6.49,6.6,-0.11,-1.6667,84725.34,54953.751
000632.SZ,20190822,6.26,6.73,6.26,6.6,6.29,0.31,4.9285,100862.03,65533.687
000632.SZ,20190821,6.24,6.34,6.15,6.29,6.22,0.07,1.1254,45386.0,28351.735
000632.SZ,20190820,6.13,6.24,6.1,6.22,6.13,0.09,1.4682,62817.64,38927.319
000632.SZ,20190819,6.14,6.17,6.05,6.13,6.06,0.07,1.1551,47368.0,28975.637
000632.SZ,20190816,5.93,6.12,5.93,6.06,5.94,0.12,2.0202,50434.0,30626.595
000632.SZ,20190815,5.93,6.0,5.84,5.94,6.03,-0.09,-1.4925,67592.03,39985.362
000632.SZ,20190814,5.9,6.07,5.89,6.03,5.89,0.14,2.3769,73529.04,44128.607
000632.SZ,20190813,5.68,5.89,5.68,5.89,5.75,0.14,2.4348,42913.0,25107.225
000632.SZ,20190812,5.65,5.76,5.64,5.75,5.65,0.1,1.7699,22635.02,12914.862
000632.SZ,20190809,5.64,5.71,5.6,5.65,5.66,-0.01,-0.1767,26016.0,14670.634
000632.SZ,20190808,5.62,5.72,5.59,5.66,5.62,0.04,0.7117,26738.0,15138.756
000632.SZ,20190807,5.73,5.77,5.62,5.62,5.64,-0.02,-0.3546,21980.0,12488.306
000632.SZ,20190806,5.67,5.73,5.4,5.64,5.79,-0.15,-2.5907,67182.09,37550.75
000632.SZ,20190805,5.76,5.94,5.7,5.79,5.82,-0.03,-0.5155,55220.0,32134.694
000632.SZ,20190802,5.73,5.96,5.66,5.82,5.79,0.03,0.5181,68267.98,39907.913
000632.SZ,20190801,5.66,5.87,5.62,5.79,5.66,0.13,2.2968,59938.13,34636.377
000632.SZ,20190731,5.67,5.71,5.63,5.66,5.68,-0.02,-0.3521,31498.04,17885.491
000632.SZ,20190730,5.78,5.78,5.67,5.68,5.7,-0.02,-0.3509,32850.0,18722.115
000632.SZ,20190729,5.55,5.76,5.51,5.7,5.51,0.19,3.4483,67027.77,38184.393
000632.SZ,20190726,5.48,5.53,5.46,5.51,5.5,0.01,0.1818,20965.78,11530.961
