ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600170.SH,20200110,3.61,3.62,3.58,3.61,3.62,-0.01,-0.2762,233500.9,84050.485
600170.SH,20200109,3.62,3.67,3.58,3.62,3.57,0.05,1.4006,377962.72,136652.965
600170.SH,20200108,3.58,3.6,3.56,3.57,3.6,-0.03,-0.8333,318488.79,113853.581
600170.SH,20200107,3.59,3.6,3.58,3.6,3.59,0.01,0.2786,186023.94,66822.797
600170.SH,20200106,3.57,3.62,3.56,3.59,3.58,0.01,0.2793,337263.11,121312.749
600170.SH,20200103,3.59,3.6,3.57,3.58,3.58,0.0,0.0,300855.59,107880.635
600170.SH,20200102,3.56,3.6,3.55,3.58,3.54,0.04,1.1299,441586.41,158024.629
600170.SH,20191231,3.53,3.55,3.5,3.54,3.53,0.01,0.2833,241805.86,85169.552
600170.SH,20191230,3.49,3.54,3.48,3.53,3.49,0.04,1.1461,235912.1,82956.844
600170.SH,20191227,3.49,3.53,3.48,3.49,3.5,-0.01,-0.2857,227587.52,79781.138
600170.SH,20191226,3.47,3.5,3.47,3.5,3.48,0.02,0.5747,143172.09,49943.615
600170.SH,20191225,3.52,3.52,3.47,3.48,3.52,-0.04,-1.1364,173440.73,60553.136
600170.SH,20191224,3.48,3.53,3.47,3.52,3.48,0.04,1.1494,158068.1,55293.169
600170.SH,20191223,3.52,3.53,3.47,3.48,3.52,-0.04,-1.1364,187360.04,65709.276
600170.SH,20191220,3.53,3.54,3.51,3.52,3.53,-0.01,-0.2833,209102.11,73796.613
600170.SH,20191219,3.54,3.55,3.52,3.53,3.53,0.0,0.0,220546.34,77905.766
600170.SH,20191218,3.55,3.56,3.53,3.53,3.55,-0.02,-0.5634,259506.48,91996.464
600170.SH,20191217,3.54,3.57,3.52,3.55,3.54,0.01,0.2825,439524.5,155921.274
600170.SH,20191216,3.52,3.54,3.51,3.54,3.52,0.02,0.5682,205517.76,72531.558
600170.SH,20191213,3.49,3.52,3.47,3.52,3.48,0.04,1.1494,300952.43,105222.121
600170.SH,20191212,3.5,3.5,3.46,3.48,3.49,-0.01,-0.2865,225194.03,78303.579
600170.SH,20191211,3.52,3.52,3.48,3.49,3.52,-0.03,-0.8523,198596.84,69474.236
600170.SH,20191210,3.52,3.53,3.5,3.52,3.52,0.0,0.0,188282.32,66189.384
600170.SH,20191209,3.53,3.54,3.49,3.52,3.52,0.0,0.0,243632.13,85647.913
600170.SH,20191206,3.52,3.54,3.5,3.52,3.51,0.01,0.2849,248277.9,87431.876
600170.SH,20191205,3.49,3.52,3.48,3.51,3.47,0.04,1.1527,256355.33,89935.049
600170.SH,20191204,3.46,3.49,3.45,3.47,3.46,0.01,0.289,248416.26,86390.253
600170.SH,20191203,3.46,3.48,3.44,3.46,3.46,0.0,0.0,219948.04,76151.911
600170.SH,20191202,3.49,3.5,3.44,3.46,3.48,-0.02,-0.5747,169605.1,58971.307
600170.SH,20191129,3.47,3.48,3.46,3.48,3.47,0.01,0.2882,138210.83,47990.041
600170.SH,20191128,3.47,3.49,3.45,3.47,3.46,0.01,0.289,151082.31,52425.728
600170.SH,20191127,3.48,3.49,3.46,3.46,3.49,-0.03,-0.8596,177490.24,61594.909
600170.SH,20191126,3.45,3.49,3.44,3.49,3.44,0.05,1.4535,446547.41,154765.354
600170.SH,20191125,3.4,3.46,3.4,3.44,3.39,0.05,1.4749,242819.3,83500.885
600170.SH,20191122,3.4,3.41,3.38,3.39,3.39,0.0,0.0,119697.3,40667.02
600170.SH,20191121,3.4,3.41,3.39,3.39,3.41,-0.02,-0.5865,94741.45,32179.711
600170.SH,20191120,3.41,3.43,3.4,3.41,3.41,0.0,0.0,106803.8,36475.157
600170.SH,20191119,3.38,3.42,3.38,3.41,3.39,0.02,0.59,119011.25,40471.197
600170.SH,20191118,3.37,3.4,3.36,3.39,3.37,0.02,0.5935,101648.7,34394.997
600170.SH,20191115,3.4,3.4,3.37,3.37,3.4,-0.03,-0.8824,100210.17,33873.673
600170.SH,20191114,3.39,3.41,3.38,3.4,3.39,0.01,0.295,99695.68,33830.689
600170.SH,20191113,3.4,3.41,3.37,3.39,3.4,-0.01,-0.2941,119008.89,40297.15
600170.SH,20191112,3.37,3.4,3.36,3.4,3.38,0.02,0.5917,163211.86,55228.123
600170.SH,20191111,3.45,3.45,3.37,3.38,3.45,-0.07,-2.029,227062.69,77074.118
600170.SH,20191108,3.49,3.5,3.45,3.45,3.49,-0.04,-1.1461,196088.68,68108.062
600170.SH,20191107,3.46,3.49,3.46,3.49,3.47,0.02,0.5764,202859.73,70550.648
600170.SH,20191106,3.48,3.49,3.46,3.47,3.48,-0.01,-0.2874,160918.6,55803.823
600170.SH,20191105,3.44,3.49,3.42,3.48,3.44,0.04,1.1628,396949.89,137498.39
600170.SH,20191104,3.44,3.45,3.43,3.44,3.44,0.0,0.0,211776.84,72878.727
600170.SH,20191101,3.4,3.44,3.38,3.44,3.41,0.03,0.8798,313221.71,107260.707
600170.SH,20191031,3.41,3.43,3.36,3.41,3.42,-0.01,-0.2924,285410.74,96996.827
600170.SH,20191030,3.41,3.45,3.41,3.42,3.38,0.04,1.1834,305652.51,104754.834
600170.SH,20191029,3.41,3.41,3.37,3.38,3.41,-0.03,-0.8798,106679.89,36176.5
600170.SH,20191028,3.4,3.42,3.39,3.41,3.4,0.01,0.2941,123048.99,41927.269
600170.SH,20191025,3.4,3.4,3.37,3.4,3.39,0.01,0.295,98854.08,33478.892
600170.SH,20191024,3.4,3.42,3.38,3.39,3.41,-0.02,-0.5865,81724.04,27809.778
600170.SH,20191023,3.42,3.44,3.4,3.41,3.41,0.0,0.0,134646.0,46078.133
600170.SH,20191022,3.4,3.42,3.38,3.41,3.4,0.01,0.2941,164661.86,55943.459
600170.SH,20191021,3.37,3.4,3.35,3.4,3.39,0.01,0.295,153669.11,51965.847
600170.SH,20191018,3.42,3.43,3.37,3.39,3.41,-0.02,-0.5865,170288.04,57918.391
600170.SH,20191017,3.42,3.43,3.4,3.41,3.43,-0.02,-0.5831,104978.51,35865.993
600170.SH,20191016,3.45,3.45,3.41,3.43,3.43,0.0,0.0,146445.34,50245.103
600170.SH,20191015,3.43,3.45,3.41,3.43,3.43,0.0,0.0,198634.42,68064.89
600170.SH,20191014,3.39,3.44,3.39,3.43,3.38,0.05,1.4793,263850.24,90280.149
600170.SH,20191011,3.37,3.38,3.33,3.38,3.36,0.02,0.5952,213738.56,71777.947
