ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601198.SH,20200110,12.66,12.77,12.48,12.56,12.66,-0.1,-0.7899,245135.34,309337.628
601198.SH,20200109,12.76,12.88,12.57,12.66,12.52,0.14,1.1182,228987.86,291299.473
601198.SH,20200108,12.86,12.9,12.51,12.52,13.04,-0.52,-3.9877,337366.61,428524.967
601198.SH,20200107,12.88,13.11,12.83,13.04,12.85,0.19,1.4786,305070.5,395585.226
601198.SH,20200106,12.75,13.14,12.69,12.85,12.94,-0.09,-0.6955,331301.28,427511.63
601198.SH,20200103,13.06,13.18,12.89,12.94,13.08,-0.14,-1.0703,321981.83,419480.233
601198.SH,20200102,13.35,13.49,13.05,13.08,13.14,-0.06,-0.4566,492013.18,652567.644
601198.SH,20191231,13.15,13.33,12.93,13.14,13.2,-0.06,-0.4545,482399.45,633949.404
601198.SH,20191230,12.23,13.54,12.22,13.2,12.33,0.87,7.056,758878.16,988645.073
601198.SH,20191227,12.8,12.96,12.28,12.33,12.92,-0.59,-4.5666,652732.99,827486.789
601198.SH,20191226,12.2,13.0,12.15,12.92,12.15,0.77,6.3374,705121.38,895426.9
601198.SH,20191225,11.99,12.38,11.86,12.15,12.1,0.05,0.4132,358323.34,433302.46
601198.SH,20191224,12.0,12.14,11.72,12.1,12.0,0.1,0.8333,344267.02,410902.671
601198.SH,20191223,12.6,12.73,12.0,12.0,12.82,-0.82,-6.3963,677862.78,839702.981
601198.SH,20191220,11.98,13.16,11.98,12.82,11.96,0.86,7.1906,1084846.44,1396430.087
601198.SH,20191219,11.93,12.05,11.83,11.96,11.94,0.02,0.1675,234061.02,279057.413
601198.SH,20191218,11.79,12.1,11.72,11.94,11.8,0.14,1.1864,393061.39,468645.698
601198.SH,20191217,11.45,12.22,11.43,11.8,11.48,0.32,2.7875,490633.47,581808.723
601198.SH,20191216,11.3,11.53,11.2,11.48,11.28,0.2,1.773,267002.26,303474.696
601198.SH,20191213,10.98,11.4,10.93,11.28,10.84,0.44,4.059,311846.01,348143.665
601198.SH,20191212,10.92,10.93,10.82,10.84,10.92,-0.08,-0.7326,58828.17,63913.258
601198.SH,20191211,10.91,11.04,10.84,10.92,10.91,0.01,0.0917,91228.89,99800.14
601198.SH,20191210,10.95,10.95,10.79,10.91,10.96,-0.05,-0.4562,77522.72,84284.133
601198.SH,20191209,11.05,11.08,10.93,10.96,11.01,-0.05,-0.4541,70481.37,77355.314
601198.SH,20191206,11.0,11.05,10.9,11.01,11.02,-0.01,-0.0907,76078.13,83408.151
601198.SH,20191205,10.95,11.07,10.93,11.02,10.91,0.11,1.0082,105434.08,115917.033
601198.SH,20191204,10.87,10.95,10.87,10.91,10.93,-0.02,-0.183,49980.7,54476.174
601198.SH,20191203,10.79,10.94,10.76,10.93,10.88,0.05,0.4596,59314.06,64454.725
601198.SH,20191202,10.99,11.03,10.84,10.88,10.83,0.05,0.4617,86696.63,94824.28
601198.SH,20191129,10.75,10.92,10.73,10.83,10.76,0.07,0.6506,81770.2,88596.138
601198.SH,20191128,10.77,10.78,10.7,10.76,10.72,0.04,0.3731,45775.73,49168.122
601198.SH,20191127,10.71,10.79,10.67,10.72,10.8,-0.08,-0.7407,57439.98,61622.264
601198.SH,20191126,10.69,10.8,10.62,10.8,10.69,0.11,1.029,103774.92,111256.712
601198.SH,20191125,10.6,10.71,10.57,10.69,10.61,0.08,0.754,59809.53,63661.565
601198.SH,20191122,10.69,10.79,10.53,10.61,10.7,-0.09,-0.8411,91493.12,97528.784
601198.SH,20191121,10.6,10.75,10.56,10.7,10.66,0.04,0.3752,55249.01,58903.757
601198.SH,20191120,10.73,10.8,10.65,10.66,10.77,-0.11,-1.0214,62284.0,66847.744
601198.SH,20191119,10.68,10.78,10.65,10.77,10.68,0.09,0.8427,71510.13,76721.784
601198.SH,20191118,10.61,10.74,10.58,10.68,10.57,0.11,1.0407,69579.91,74330.878
601198.SH,20191115,10.67,10.71,10.57,10.57,10.66,-0.09,-0.8443,65513.24,69652.02
601198.SH,20191114,10.62,10.7,10.57,10.66,10.61,0.05,0.4713,60372.64,64248.293
601198.SH,20191113,10.76,10.76,10.58,10.61,10.77,-0.16,-1.4856,83727.0,89181.058
601198.SH,20191112,10.74,10.8,10.65,10.77,10.72,0.05,0.4664,76956.32,82545.876
601198.SH,20191111,11.0,11.02,10.7,10.72,11.03,-0.31,-2.8105,141575.95,153203.452
601198.SH,20191108,11.22,11.27,11.01,11.03,11.14,-0.11,-0.9874,117216.42,130787.211
601198.SH,20191107,11.07,11.2,11.04,11.14,11.08,0.06,0.5415,94149.41,104673.373
601198.SH,20191106,11.15,11.26,11.05,11.08,11.2,-0.12,-1.0714,103674.8,115594.969
601198.SH,20191105,11.14,11.33,11.12,11.2,11.1,0.1,0.9009,174676.61,196350.789
601198.SH,20191104,11.08,11.2,11.06,11.1,11.07,0.03,0.271,93813.12,104431.476
601198.SH,20191101,10.84,11.11,10.84,11.07,10.88,0.19,1.7463,93322.73,102755.585
601198.SH,20191031,10.94,11.05,10.82,10.88,10.9,-0.02,-0.1835,77918.0,85206.065
601198.SH,20191030,10.95,11.04,10.8,10.9,11.0,-0.1,-0.9091,79207.7,86421.979
601198.SH,20191029,11.21,11.23,11.0,11.0,11.21,-0.21,-1.8733,104913.38,116424.008
601198.SH,20191028,10.98,11.27,10.95,11.21,11.0,0.21,1.9091,139231.1,155033.503
