ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002675.SZ,20200110,16.64,16.85,16.42,16.61,16.52,0.09,0.5448,107600.38,178456.726
002675.SZ,20200109,15.5,16.66,15.5,16.52,15.42,1.1,7.1336,225705.8,367371.718
002675.SZ,20200108,15.46,15.73,15.41,15.42,15.55,-0.13,-0.836,87173.46,135720.411
002675.SZ,20200107,15.15,15.6,15.09,15.55,15.2,0.35,2.3026,103609.4,159585.37
002675.SZ,20200106,15.57,15.65,15.01,15.2,15.55,-0.35,-2.2508,149266.25,226835.844
002675.SZ,20200103,16.1,16.1,15.52,15.55,16.02,-0.47,-2.9338,107266.78,168211.581
002675.SZ,20200102,16.12,16.2,15.74,16.02,16.11,-0.09,-0.5587,96908.07,155019.316
002675.SZ,20191231,15.43,16.15,15.36,16.11,15.43,0.68,4.407,175464.52,278765.349
002675.SZ,20191230,15.34,15.47,15.0,15.43,15.4,0.03,0.1948,98171.38,150208.714
002675.SZ,20191227,15.46,15.68,15.17,15.4,15.51,-0.11,-0.7092,103573.51,159070.352
002675.SZ,20191226,15.45,15.65,15.3,15.51,15.56,-0.05,-0.3213,49698.71,76994.364
002675.SZ,20191225,15.7,15.75,15.47,15.56,15.79,-0.23,-1.4566,63122.98,98367.122
002675.SZ,20191224,15.51,15.84,15.46,15.79,15.51,0.28,1.8053,58505.02,91712.803
002675.SZ,20191223,15.47,15.62,15.29,15.51,15.51,0.0,0.0,50829.28,78616.56
002675.SZ,20191220,15.53,15.64,15.39,15.51,15.56,-0.05,-0.3213,50259.6,77952.021
002675.SZ,20191219,15.52,15.62,15.35,15.56,15.52,0.04,0.2577,77684.11,120265.829
002675.SZ,20191218,16.16,16.16,15.5,15.52,16.14,-0.62,-3.8414,145896.74,229932.338
002675.SZ,20191217,16.24,16.25,15.78,16.14,16.24,-0.1,-0.6158,118462.7,190251.365
002675.SZ,20191216,16.5,16.6,16.11,16.24,16.36,-0.12,-0.7335,124958.81,203528.597
002675.SZ,20191213,16.35,16.68,16.23,16.36,16.31,0.05,0.3066,104203.15,170899.033
002675.SZ,20191212,15.88,16.36,15.53,16.31,15.9,0.41,2.5786,115476.0,184389.504
002675.SZ,20191211,16.0,16.01,15.58,15.9,15.81,0.09,0.5693,69012.37,109022.488
002675.SZ,20191210,15.16,15.91,15.06,15.81,15.19,0.62,4.0816,128572.58,200970.793
002675.SZ,20191209,15.58,15.58,15.07,15.19,15.57,-0.38,-2.4406,111375.35,170008.267
002675.SZ,20191206,15.48,15.58,15.1,15.57,15.39,0.18,1.1696,73776.62,113512.921
002675.SZ,20191205,15.25,15.63,15.22,15.39,15.26,0.13,0.8519,101764.66,156942.638
002675.SZ,20191204,15.18,15.39,15.1,15.26,15.28,-0.02,-0.1309,64132.29,97628.436
002675.SZ,20191203,15.3,15.49,14.99,15.28,15.36,-0.08,-0.5208,119231.92,180576.016
002675.SZ,20191202,15.73,15.93,15.08,15.36,15.75,-0.39,-2.4762,156964.46,241333.021
002675.SZ,20191129,16.1,16.4,15.33,15.75,16.21,-0.46,-2.8378,169028.62,264696.422
002675.SZ,20191128,16.22,16.58,16.1,16.21,16.1,0.11,0.6832,79693.66,129915.896
002675.SZ,20191127,16.16,16.4,15.98,16.1,16.2,-0.1,-0.6173,82515.44,133859.102
002675.SZ,20191126,16.25,16.55,16.06,16.2,16.25,-0.05,-0.3077,84538.67,137357.561
002675.SZ,20191125,16.05,16.52,15.67,16.25,16.19,0.06,0.3706,131919.49,213159.404
002675.SZ,20191122,17.01,17.08,15.74,16.19,17.11,-0.92,-5.377,259581.0,423845.254
002675.SZ,20191121,17.91,18.0,17.0,17.11,18.09,-0.98,-5.4174,223907.32,389867.359
