ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600081.SH,20200110,12.65,12.66,12.21,12.33,12.76,-0.43,-3.3699,96259.22,119128.092
600081.SH,20200109,12.85,12.9,12.5,12.76,12.69,0.07,0.5516,120362.55,152727.159
600081.SH,20200108,12.32,13.29,12.11,12.69,12.37,0.32,2.5869,212588.07,270242.981
600081.SH,20200107,12.24,12.43,12.12,12.37,12.38,-0.01,-0.0808,91737.67,112422.507
600081.SH,20200106,12.07,12.74,12.03,12.38,12.22,0.16,1.3093,138277.92,171266.52
600081.SH,20200103,11.91,12.24,11.82,12.22,11.92,0.3,2.5168,89818.51,108310.373
600081.SH,20200102,11.72,12.02,11.65,11.92,11.57,0.35,3.0251,74470.52,88254.494
600081.SH,20191231,11.63,11.78,11.52,11.57,11.7,-0.13,-1.1111,65412.74,76049.774
600081.SH,20191230,11.83,11.89,11.35,11.7,12.02,-0.32,-2.6622,82777.45,96263.468
600081.SH,20191227,12.38,12.54,11.89,12.02,12.3,-0.28,-2.2764,91612.86,112181.216
600081.SH,20191226,12.32,12.48,12.13,12.3,12.42,-0.12,-0.9662,78190.26,95766.232
600081.SH,20191225,12.09,12.67,12.09,12.42,12.11,0.31,2.5599,117338.24,145255.178
600081.SH,20191224,11.8,12.17,11.7,12.11,12.29,-0.18,-1.4646,84206.73,100851.006
600081.SH,20191223,12.09,13.09,12.04,12.29,12.06,0.23,1.9071,162921.46,203402.852
600081.SH,20191220,12.0,12.33,11.91,12.06,12.0,0.06,0.5,98512.65,119703.656
600081.SH,20191219,12.14,12.19,11.85,12.0,12.27,-0.27,-2.2005,90324.04,108294.715
600081.SH,20191218,12.0,12.35,11.96,12.27,11.99,0.28,2.3353,122885.27,149832.332
600081.SH,20191217,11.83,12.45,11.79,11.99,11.78,0.21,1.7827,155995.44,189555.951
600081.SH,20191216,11.57,11.83,11.52,11.78,11.7,0.08,0.6838,105359.23,123223.558
600081.SH,20191213,11.67,11.95,11.48,11.7,11.97,-0.27,-2.2556,144434.78,168962.632
600081.SH,20191212,10.8,11.97,10.78,11.97,10.88,1.09,10.0184,121159.06,136488.15
600081.SH,20191211,10.75,11.12,10.64,10.88,10.81,0.07,0.6475,77130.32,83953.904
600081.SH,20191210,10.68,10.84,10.6,10.81,10.68,0.13,1.2172,44804.88,48215.31
600081.SH,20191209,10.8,10.87,10.63,10.68,10.8,-0.12,-1.1111,42029.72,45096.999
600081.SH,20191206,10.68,10.82,10.61,10.8,10.72,0.08,0.7463,42104.88,45120.818
600081.SH,20191205,10.59,10.85,10.5,10.72,10.54,0.18,1.7078,60383.09,64683.478
600081.SH,20191204,10.4,10.68,10.35,10.54,10.55,-0.01,-0.0948,39592.97,41773.862
600081.SH,20191203,10.21,10.56,10.14,10.55,10.36,0.19,1.834,52780.3,54613.192
