ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600249.SH,20200110,4.56,4.63,4.52,4.55,4.59,-0.04,-0.8715,30308.15,13792.609
600249.SH,20200109,4.57,4.61,4.55,4.59,4.51,0.08,1.7738,56981.01,26070.092
600249.SH,20200108,4.64,4.64,4.5,4.51,4.65,-0.14,-3.0108,59418.5,27074.364
600249.SH,20200107,4.59,4.65,4.59,4.65,4.6,0.05,1.087,50884.11,23499.319
600249.SH,20200106,4.6,4.67,4.55,4.6,4.63,-0.03,-0.6479,62490.51,28768.195
600249.SH,20200103,4.59,4.67,4.56,4.63,4.59,0.04,0.8715,59321.93,27327.929
600249.SH,20200102,4.57,4.64,4.57,4.59,4.57,0.02,0.4376,58834.95,27087.898
600249.SH,20191231,4.55,4.62,4.49,4.57,4.57,0.0,0.0,58359.8,26553.58
600249.SH,20191230,4.5,4.59,4.43,4.57,4.54,0.03,0.6608,66177.91,29888.917
600249.SH,20191227,4.61,4.66,4.5,4.54,4.62,-0.08,-1.7316,63456.54,28940.383
600249.SH,20191226,4.59,4.71,4.55,4.62,4.58,0.04,0.8734,70363.01,32446.179
600249.SH,20191225,4.64,4.84,4.53,4.58,4.67,-0.09,-1.9272,132021.0,61583.598
600249.SH,20191224,4.45,4.68,4.42,4.67,4.42,0.25,5.6561,139094.01,64036.452
600249.SH,20191223,4.39,4.56,4.39,4.42,4.4,0.02,0.4545,77093.51,34411.397
600249.SH,20191220,4.56,4.56,4.39,4.4,4.51,-0.11,-2.439,72587.5,32325.258
600249.SH,20191219,4.28,4.54,4.28,4.51,4.28,0.23,5.3738,133878.85,59289.343
600249.SH,20191218,4.29,4.32,4.27,4.28,4.3,-0.02,-0.4651,48130.0,20655.223
600249.SH,20191217,4.25,4.33,4.23,4.3,4.25,0.05,1.1765,77799.53,33329.999
600249.SH,20191216,4.29,4.29,4.22,4.25,4.27,-0.02,-0.4684,64767.72,27468.178
600249.SH,20191213,4.26,4.28,4.19,4.27,4.24,0.03,0.7075,52577.0,22344.733
600249.SH,20191212,4.17,4.27,4.17,4.24,4.19,0.05,1.1933,52005.51,21939.877
600249.SH,20191211,4.19,4.23,4.16,4.19,4.22,-0.03,-0.7109,42026.51,17598.496
600249.SH,20191210,4.24,4.26,4.15,4.22,4.23,-0.01,-0.2364,67625.39,28435.29
600249.SH,20191209,4.29,4.39,4.18,4.23,4.16,0.07,1.6827,93323.89,39876.077
600249.SH,20191206,4.18,4.18,4.13,4.16,4.17,-0.01,-0.2398,28752.5,11940.26
600249.SH,20191205,4.1,4.18,4.1,4.17,4.13,0.04,0.9685,57361.4,23780.768
600249.SH,20191204,4.01,4.15,4.0,4.13,4.03,0.1,2.4814,57117.62,23341.23
600249.SH,20191203,3.98,4.04,3.96,4.03,4.01,0.02,0.4988,20154.03,8066.416
600249.SH,20191202,4.07,4.07,3.98,4.01,4.06,-0.05,-1.2315,46459.5,18637.041
600249.SH,20191129,4.06,4.07,4.02,4.06,4.08,-0.02,-0.4902,22346.0,9038.585
600249.SH,20191128,4.06,4.08,4.02,4.08,4.07,0.01,0.2457,32597.53,13191.644
600249.SH,20191127,4.11,4.12,4.05,4.07,4.11,-0.04,-0.9732,36872.5,15033.824
600249.SH,20191126,4.09,4.12,4.06,4.11,4.11,0.0,0.0,34176.0,13980.743
600249.SH,20191125,4.06,4.14,4.05,4.11,4.05,0.06,1.4815,41749.0,17060.481
600249.SH,20191122,4.1,4.14,4.03,4.05,4.1,-0.05,-1.2195,59677.56,24285.2
600249.SH,20191121,4.07,4.14,4.02,4.1,4.1,0.0,0.0,64218.51,26236.24
600249.SH,20191120,4.2,4.23,4.09,4.1,4.21,-0.11,-2.6128,91074.5,37652.834
600249.SH,20191119,4.18,4.24,4.1,4.21,4.19,0.02,0.4773,130118.7,54186.384
600249.SH,20191118,4.15,4.36,4.12,4.19,4.03,0.16,3.9702,178037.91,75173.849
600249.SH,20191115,4.06,4.21,4.0,4.03,4.38,-0.35,-7.9909,239157.2,98189.588
600249.SH,20191114,4.4,4.6,4.22,4.38,4.19,0.19,4.5346,431661.52,192364.933
600249.SH,20191113,4.19,4.19,4.19,4.19,3.81,0.38,9.9738,63206.02,26483.322
600249.SH,20191112,3.76,3.82,3.74,3.81,3.76,0.05,1.3298,20985.5,7933.213
600249.SH,20191111,3.9,3.9,3.74,3.76,3.91,-0.15,-3.8363,33449.0,12780.823
600249.SH,20191108,3.9,3.93,3.88,3.91,3.9,0.01,0.2564,18413.15,7195.125
600249.SH,20191107,3.9,3.93,3.88,3.9,3.92,-0.02,-0.5102,23498.0,9172.788
600249.SH,20191106,3.94,3.96,3.89,3.92,3.95,-0.03,-0.7595,26544.0,10420.119
600249.SH,20191105,3.94,3.96,3.91,3.95,3.94,0.01,0.2538,29233.85,11512.127
600249.SH,20191104,3.94,3.97,3.92,3.94,3.94,0.0,0.0,24526.19,9671.362
600249.SH,20191101,3.95,3.95,3.86,3.94,3.92,0.02,0.5102,28498.24,11164.327
600249.SH,20191031,4.02,4.02,3.91,3.92,4.02,-0.1,-2.4876,39891.0,15803.368
600249.SH,20191030,4.07,4.07,3.98,4.02,4.09,-0.07,-1.7115,53560.52,21450.496
600249.SH,20191029,4.17,4.17,4.08,4.09,4.17,-0.08,-1.9185,35602.0,14658.557
600249.SH,20191028,4.13,4.17,4.12,4.17,4.13,0.04,0.9685,38959.5,16164.698
600249.SH,20191025,4.07,4.14,4.06,4.13,4.08,0.05,1.2255,33690.5,13831.707
600249.SH,20191024,4.13,4.14,4.05,4.08,4.12,-0.04,-0.9709,24790.0,10100.276
600249.SH,20191023,4.11,4.17,4.07,4.12,4.12,0.0,0.0,36786.91,15230.259
600249.SH,20191022,4.1,4.12,4.05,4.12,4.09,0.03,0.7335,27330.0,11157.996
600249.SH,20191021,4.04,4.09,4.0,4.09,4.05,0.04,0.9877,23653.53,9562.216
600249.SH,20191018,4.08,4.11,4.02,4.05,4.09,-0.04,-0.978,27069.03,10997.544
600249.SH,20191017,4.12,4.16,4.06,4.09,4.14,-0.05,-1.2077,26868.48,11025.743
600249.SH,20191016,4.21,4.23,4.13,4.14,4.18,-0.04,-0.9569,28618.31,11924.317
600249.SH,20191015,4.22,4.22,4.15,4.18,4.22,-0.04,-0.9479,32061.02,13402.245
600249.SH,20191014,4.19,4.25,4.15,4.22,4.19,0.03,0.716,46384.13,19549.023
600249.SH,20191011,4.11,4.2,4.1,4.19,4.13,0.06,1.4528,45712.94,18990.748
600249.SH,20191010,4.08,4.13,4.05,4.13,4.08,0.05,1.2255,33688.0,13815.305
600249.SH,20191009,4.04,4.08,3.99,4.08,4.04,0.04,0.9901,22027.49,8880.23
600249.SH,20191008,4.07,4.12,4.03,4.04,4.07,-0.03,-0.7371,21245.72,8662.28
600249.SH,20190930,4.07,4.14,4.05,4.07,4.06,0.01,0.2463,27506.12,11267.625
600249.SH,20190927,4.04,4.08,3.94,4.06,4.04,0.02,0.495,33143.72,13407.452
600249.SH,20190926,4.08,4.13,3.99,4.04,4.12,-0.08,-1.9417,45664.34,18480.104
600249.SH,20190925,4.2,4.23,4.09,4.12,4.21,-0.09,-2.1378,43244.4,17892.731
600249.SH,20190924,4.23,4.29,4.19,4.21,4.24,-0.03,-0.7075,36490.5,15482.621
600249.SH,20190923,4.29,4.32,4.21,4.24,4.33,-0.09,-2.0785,26600.0,11282.637
600249.SH,20190920,4.29,4.34,4.28,4.33,4.29,0.04,0.9324,42174.0,18187.287
600249.SH,20190919,4.23,4.29,4.2,4.29,4.22,0.07,1.6588,36270.76,15428.06
600249.SH,20190918,4.26,4.27,4.2,4.22,4.22,0.0,0.0,29399.81,12418.989
600249.SH,20190917,4.36,4.36,4.18,4.22,4.35,-0.13,-2.9885,55816.28,23695.142
600249.SH,20190916,4.35,4.39,4.33,4.35,4.35,0.0,0.0,30788.46,13406.28
600249.SH,20190912,4.28,4.36,4.27,4.35,4.28,0.07,1.6355,59780.0,25898.544
600249.SH,20190911,4.29,4.4,4.27,4.28,4.29,-0.01,-0.2331,62023.5,26852.916
600249.SH,20190910,4.27,4.31,4.24,4.29,4.29,0.0,0.0,44483.49,18996.465
600249.SH,20190909,4.22,4.3,4.19,4.29,4.19,0.1,2.3866,51731.5,22013.094
600249.SH,20190906,4.22,4.24,4.15,4.19,4.21,-0.02,-0.4751,36663.0,15354.467
600249.SH,20190905,4.2,4.27,4.19,4.21,4.19,0.02,0.4773,52976.96,22414.003
