ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600158.SH,20200110,10.26,10.3,10.13,10.22,10.24,-0.02,-0.1953,70702.17,72260.79
600158.SH,20200109,10.1,10.34,10.09,10.24,10.02,0.22,2.1956,107991.75,110228.682
600158.SH,20200108,10.25,10.26,9.98,10.02,10.29,-0.27,-2.6239,132354.53,134186.465
600158.SH,20200107,10.02,10.32,10.02,10.29,10.01,0.28,2.7972,166979.05,170728.741
600158.SH,20200106,10.07,10.13,9.91,10.01,10.14,-0.13,-1.2821,129985.82,130306.573
600158.SH,20200103,10.1,10.19,10.06,10.14,10.07,0.07,0.6951,87310.99,88376.097
600158.SH,20200102,10.11,10.11,10.02,10.07,10.03,0.04,0.3988,102457.04,102986.556
600158.SH,20191231,9.94,10.05,9.91,10.03,9.93,0.1,1.007,112377.21,112172.393
600158.SH,20191230,9.97,10.19,9.85,9.93,9.69,0.24,2.4768,224216.13,224412.044
600158.SH,20191227,9.73,9.83,9.68,9.69,9.72,-0.03,-0.3086,64731.66,63098.368
600158.SH,20191226,9.75,9.81,9.66,9.72,9.75,-0.03,-0.3077,54399.65,52865.578
600158.SH,20191225,9.79,9.85,9.69,9.75,9.79,-0.04,-0.4086,68528.45,66930.811
600158.SH,20191224,9.53,9.84,9.49,9.79,9.52,0.27,2.8361,92484.53,89627.785
600158.SH,20191223,9.81,9.87,9.5,9.52,9.88,-0.36,-3.6437,107915.87,104428.371
600158.SH,20191220,9.75,10.15,9.74,9.88,9.76,0.12,1.2295,208298.85,207855.933
600158.SH,20191219,9.7,9.85,9.69,9.76,9.72,0.04,0.4115,68305.05,66699.622
600158.SH,20191218,9.64,9.86,9.62,9.72,9.66,0.06,0.6211,121578.16,118383.353
600158.SH,20191217,9.56,9.69,9.52,9.66,9.59,0.07,0.7299,110336.23,106061.234
600158.SH,20191216,9.55,9.59,9.45,9.59,9.51,0.08,0.8412,87003.4,82870.534
600158.SH,20191213,9.59,9.59,9.49,9.51,9.5,0.01,0.1053,58197.75,55426.805
600158.SH,20191212,9.53,9.55,9.45,9.5,9.54,-0.04,-0.4193,36370.57,34497.506
600158.SH,20191211,9.42,9.6,9.39,9.54,9.43,0.11,1.1665,68526.28,65377.556
600158.SH,20191210,9.38,9.45,9.34,9.43,9.39,0.04,0.426,27957.06,26285.947
600158.SH,20191209,9.48,9.5,9.38,9.39,9.45,-0.06,-0.6349,41491.46,39123.608
