ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600787.SH,20200110,5.47,5.52,5.37,5.42,5.47,-0.05,-0.9141,108822.27,59001.736
600787.SH,20200109,5.28,5.57,5.27,5.47,5.23,0.24,4.5889,226962.77,123922.938
600787.SH,20200108,5.35,5.36,5.22,5.23,5.37,-0.14,-2.6071,106221.42,56126.4
600787.SH,20200107,5.37,5.42,5.32,5.37,5.36,0.01,0.1866,80333.38,43039.85
600787.SH,20200106,5.29,5.42,5.25,5.36,5.32,0.04,0.7519,147705.2,79060.775
600787.SH,20200103,5.29,5.34,5.24,5.32,5.28,0.04,0.7576,124304.43,65717.051
600787.SH,20200102,5.24,5.32,5.23,5.28,5.21,0.07,1.3436,96303.71,50772.169
600787.SH,20191231,5.24,5.26,5.16,5.21,5.24,-0.03,-0.5725,67791.13,35295.973
600787.SH,20191230,5.17,5.25,5.12,5.24,5.18,0.06,1.1583,69776.57,36282.566
600787.SH,20191227,5.21,5.24,5.17,5.18,5.2,-0.02,-0.3846,72953.0,37993.591
600787.SH,20191226,5.13,5.21,5.12,5.2,5.13,0.07,1.3645,57119.64,29530.13
600787.SH,20191225,5.13,5.21,5.09,5.13,5.12,0.01,0.1953,50948.0,26224.077
600787.SH,20191224,5.09,5.15,5.06,5.12,5.08,0.04,0.7874,47098.02,24027.825
600787.SH,20191223,5.18,5.2,5.07,5.08,5.19,-0.11,-2.1195,72661.36,37183.172
600787.SH,20191220,5.18,5.26,5.16,5.19,5.18,0.01,0.1931,49489.58,25705.839
600787.SH,20191219,5.22,5.23,5.15,5.18,5.22,-0.04,-0.7663,54472.07,28248.454
600787.SH,20191218,5.17,5.27,5.17,5.22,5.17,0.05,0.9671,116190.23,60671.61
600787.SH,20191217,5.14,5.2,5.09,5.17,5.12,0.05,0.9766,93407.13,48181.598
600787.SH,20191216,5.03,5.14,5.0,5.12,5.01,0.11,2.1956,93668.73,47432.377
600787.SH,20191213,4.99,5.03,4.98,5.01,4.97,0.04,0.8048,64297.83,32193.762
600787.SH,20191212,4.93,4.97,4.93,4.97,4.95,0.02,0.404,34031.0,16873.129
600787.SH,20191211,4.99,4.99,4.93,4.95,4.98,-0.03,-0.6024,45146.25,22357.237
600787.SH,20191210,5.02,5.02,4.95,4.98,5.0,-0.02,-0.4,37797.45,18780.719
600787.SH,20191209,5.03,5.05,4.98,5.0,5.02,-0.02,-0.3984,44132.41,22068.573
600787.SH,20191206,4.99,5.03,4.98,5.02,4.99,0.03,0.6012,46470.09,23253.447
600787.SH,20191205,4.96,5.01,4.95,4.99,4.96,0.03,0.6048,42676.68,21264.096
600787.SH,20191204,4.91,4.97,4.9,4.96,4.95,0.01,0.202,44538.03,21992.502
600787.SH,20191203,4.93,4.95,4.89,4.95,4.95,0.0,0.0,33735.4,16602.989
600787.SH,20191202,4.91,4.98,4.91,4.95,4.92,0.03,0.6098,56206.35,27788.724
600787.SH,20191129,4.9,4.92,4.88,4.92,4.91,0.01,0.2037,35106.6,17207.239
600787.SH,20191128,4.91,4.93,4.87,4.91,4.91,0.0,0.0,49044.42,24031.656
600787.SH,20191127,4.93,4.98,4.9,4.91,4.92,-0.01,-0.2033,68828.15,33994.576
600787.SH,20191126,4.97,5.01,4.92,4.92,4.98,-0.06,-1.2048,71899.63,35669.054
600787.SH,20191125,4.99,5.01,4.94,4.98,4.97,0.01,0.2012,55957.18,27865.92
600787.SH,20191122,5.0,5.06,4.93,4.97,5.01,-0.04,-0.7984,56290.86,28121.629
600787.SH,20191121,5.01,5.04,4.95,5.01,5.01,0.0,0.0,47328.52,23602.785
600787.SH,20191120,5.08,5.1,5.01,5.01,5.04,-0.03,-0.5952,42837.87,21636.44
600787.SH,20191119,4.99,5.05,4.97,5.04,4.99,0.05,1.002,47290.85,23746.032
600787.SH,20191118,4.95,4.99,4.88,4.99,4.94,0.05,1.0121,60054.92,29663.941
600787.SH,20191115,4.98,5.01,4.93,4.94,4.99,-0.05,-1.002,48968.19,24293.057
600787.SH,20191114,5.0,5.03,4.97,4.99,4.98,0.01,0.2008,36169.13,18091.09
600787.SH,20191113,4.97,5.02,4.95,4.98,4.97,0.01,0.2012,68781.0,34220.543
600787.SH,20191112,5.02,5.04,4.94,4.97,5.01,-0.04,-0.7984,71518.39,35650.166
600787.SH,20191111,5.16,5.18,4.99,5.01,5.2,-0.19,-3.6538,109767.43,55413.962
600787.SH,20191108,5.38,5.38,5.19,5.2,5.33,-0.13,-2.439,119809.1,62985.251
600787.SH,20191107,5.26,5.35,5.23,5.33,5.27,0.06,1.1385,47957.01,25451.861
600787.SH,20191106,5.38,5.38,5.22,5.27,5.36,-0.09,-1.6791,60510.54,32047.761
600787.SH,20191105,5.3,5.37,5.27,5.36,5.29,0.07,1.3233,89112.53,47579.898
600787.SH,20191104,5.3,5.33,5.25,5.29,5.3,-0.01,-0.1887,76783.83,40631.595
600787.SH,20191101,5.26,5.32,5.15,5.3,5.26,0.04,0.7605,97889.92,51349.053
600787.SH,20191031,5.26,5.36,5.21,5.26,5.22,0.04,0.7663,114239.01,60347.391
600787.SH,20191030,5.16,5.23,5.12,5.22,5.19,0.03,0.578,73045.82,37871.625
600787.SH,20191029,5.27,5.27,5.17,5.19,5.27,-0.08,-1.518,74447.02,38766.685
600787.SH,20191028,5.17,5.28,5.16,5.27,5.15,0.12,2.3301,103648.2,54203.436
600787.SH,20191025,5.14,5.17,5.08,5.15,5.12,0.03,0.5859,52940.99,27124.93
600787.SH,20191024,5.13,5.14,5.06,5.12,5.11,0.01,0.1957,57682.63,29381.909
600787.SH,20191023,5.22,5.23,5.1,5.11,5.2,-0.09,-1.7308,79367.89,40908.006
600787.SH,20191022,5.16,5.3,5.16,5.2,5.21,-0.01,-0.1919,111211.39,57889.87
600787.SH,20191021,5.25,5.47,5.14,5.21,5.23,-0.02,-0.3824,138043.46,72683.826
600787.SH,20191018,5.28,5.35,5.17,5.23,5.3,-0.07,-1.3208,72796.49,38255.271
600787.SH,20191017,5.32,5.35,5.25,5.3,5.33,-0.03,-0.5629,60838.72,32210.036
600787.SH,20191016,5.36,5.4,5.29,5.33,5.36,-0.03,-0.5597,80848.54,43129.972
600787.SH,20191015,5.29,5.38,5.22,5.36,5.28,0.08,1.5152,115079.86,61247.165
600787.SH,20191014,5.26,5.29,5.2,5.28,5.18,0.1,1.9305,99784.74,52495.055
600787.SH,20191011,5.1,5.18,5.06,5.18,5.09,0.09,1.7682,80360.8,41204.724
600787.SH,20191010,5.07,5.09,5.02,5.09,5.06,0.03,0.5929,74398.69,37659.241
600787.SH,20191009,4.95,5.07,4.89,5.06,4.95,0.11,2.2222,70587.74,35344.095
600787.SH,20191008,4.94,5.0,4.92,4.95,4.95,0.0,0.0,55107.19,27337.391
600787.SH,20190930,5.01,5.03,4.93,4.95,5.01,-0.06,-1.1976,52251.07,26003.344
600787.SH,20190927,4.99,5.04,4.99,5.01,5.0,0.01,0.2,52908.11,26541.926
600787.SH,20190926,5.04,5.08,4.99,5.0,5.04,-0.04,-0.7937,80716.37,40612.913
600787.SH,20190925,5.18,5.18,5.03,5.04,5.18,-0.14,-2.7027,102248.05,51937.63
600787.SH,20190924,5.17,5.25,5.17,5.18,5.2,-0.02,-0.3846,72925.48,37982.809
600787.SH,20190923,5.33,5.33,5.14,5.2,5.33,-0.13,-2.439,106099.53,55102.209
600787.SH,20190920,5.3,5.39,5.29,5.33,5.29,0.04,0.7561,102044.9,54507.503
600787.SH,20190919,5.3,5.32,5.25,5.29,5.29,0.0,0.0,63526.98,33550.392
600787.SH,20190918,5.39,5.39,5.25,5.29,5.34,-0.05,-0.9363,76490.02,40639.615
600787.SH,20190917,5.42,5.52,5.3,5.34,5.42,-0.08,-1.476,106329.04,57506.285
600787.SH,20190916,5.49,5.53,5.38,5.42,5.49,-0.07,-1.275,109544.36,59744.556
600787.SH,20190912,5.49,5.49,5.42,5.49,5.45,0.04,0.7339,73469.13,40166.856
600787.SH,20190911,5.49,5.49,5.43,5.45,5.46,-0.01,-0.1832,69869.23,38122.977
