ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601766.SH,20200110,7.17,7.18,7.1,7.12,7.15,-0.03,-0.4196,339139.38,241718.781
601766.SH,20200109,7.15,7.19,7.13,7.15,7.11,0.04,0.5626,519418.56,371408.216
601766.SH,20200108,7.16,7.16,7.1,7.11,7.19,-0.08,-1.1127,591324.47,421756.613
601766.SH,20200107,7.2,7.22,7.16,7.19,7.19,0.0,0.0,547208.91,393166.386
601766.SH,20200106,7.19,7.25,7.15,7.19,7.25,-0.06,-0.8276,800045.31,575958.618
601766.SH,20200103,7.3,7.33,7.21,7.25,7.24,0.01,0.1381,784003.77,568752.793
601766.SH,20200102,7.19,7.29,7.19,7.24,7.14,0.1,1.4006,1068579.39,774130.835
601766.SH,20191231,7.15,7.17,7.1,7.14,7.15,-0.01,-0.1399,414788.2,295593.922
601766.SH,20191230,7.0,7.16,6.99,7.15,7.02,0.13,1.8519,660015.88,468810.986
601766.SH,20191227,7.0,7.07,7.0,7.02,7.0,0.02,0.2857,454976.88,319955.567
601766.SH,20191226,6.96,7.03,6.96,7.0,6.97,0.03,0.4304,311128.14,217652.296
601766.SH,20191225,7.0,7.01,6.96,6.97,7.0,-0.03,-0.4286,260030.37,181582.534
601766.SH,20191224,6.98,7.01,6.96,7.0,6.99,0.01,0.1431,242028.93,169311.98
601766.SH,20191223,7.11,7.12,6.98,6.99,7.1,-0.11,-1.5493,401516.94,282611.756
601766.SH,20191220,7.14,7.15,7.1,7.1,7.14,-0.04,-0.5602,350369.98,249472.613
601766.SH,20191219,7.14,7.15,7.11,7.14,7.14,0.0,0.0,359117.8,256187.399
601766.SH,20191218,7.16,7.22,7.11,7.14,7.13,0.01,0.1403,549974.99,393518.623
601766.SH,20191217,7.03,7.16,7.01,7.13,7.02,0.11,1.567,688417.18,488734.209
601766.SH,20191216,7.0,7.03,6.97,7.02,6.98,0.04,0.5731,431195.24,302009.048
601766.SH,20191213,6.92,6.98,6.91,6.98,6.89,0.09,1.3062,459810.47,319327.512
601766.SH,20191212,6.89,6.9,6.87,6.89,6.9,-0.01,-0.1449,223421.25,153768.433
601766.SH,20191211,6.92,6.92,6.86,6.9,6.9,0.0,0.0,252183.46,173668.004
601766.SH,20191210,6.93,6.93,6.89,6.9,6.95,-0.05,-0.7194,219661.56,151620.133
601766.SH,20191209,6.91,6.95,6.89,6.95,6.9,0.05,0.7246,365230.74,252624.289
601766.SH,20191206,6.91,6.92,6.87,6.9,6.89,0.01,0.1451,199147.78,137209.162
601766.SH,20191205,6.89,6.91,6.85,6.89,6.86,0.03,0.4373,250946.97,172660.867
601766.SH,20191204,6.88,6.88,6.81,6.86,6.88,-0.02,-0.2907,223858.85,153146.555
601766.SH,20191203,6.87,6.89,6.82,6.88,6.9,-0.02,-0.2899,198750.06,136441.474
601766.SH,20191202,6.98,7.04,6.87,6.9,6.97,-0.07,-1.0043,252263.37,174622.965
601766.SH,20191129,6.97,7.02,6.95,6.97,7.0,-0.03,-0.4286,218766.09,152658.686
601766.SH,20191128,7.01,7.05,6.97,7.0,7.02,-0.02,-0.2849,232188.63,162622.916
601766.SH,20191127,7.06,7.08,6.99,7.02,7.08,-0.06,-0.8475,240897.98,169278.012
601766.SH,20191126,7.08,7.08,7.0,7.08,7.04,0.04,0.5682,557750.79,392945.232
601766.SH,20191125,6.92,7.1,6.91,7.04,6.91,0.13,1.8813,584353.46,410709.052
601766.SH,20191122,6.88,7.01,6.85,6.91,6.87,0.04,0.5822,444669.66,307894.786
601766.SH,20191121,6.86,6.9,6.83,6.87,6.88,-0.01,-0.1453,240943.81,165293.24
601766.SH,20191120,6.93,6.97,6.86,6.88,6.94,-0.06,-0.8646,213512.62,147707.194
601766.SH,20191119,6.88,6.97,6.85,6.94,6.88,0.06,0.8721,282099.35,195706.4
601766.SH,20191118,6.82,6.91,6.72,6.88,6.82,0.06,0.8798,291936.34,199855.715
601766.SH,20191115,6.96,6.97,6.81,6.82,6.95,-0.13,-1.8705,399034.72,274381.652
601766.SH,20191114,6.97,6.99,6.94,6.95,6.97,-0.02,-0.2869,311344.23,216826.096
601766.SH,20191113,7.14,7.14,6.93,6.97,7.11,-0.14,-1.9691,603025.73,422424.971
601766.SH,20191112,7.14,7.16,7.09,7.11,7.12,-0.01,-0.1404,213819.56,152249.672
601766.SH,20191111,7.18,7.18,7.11,7.12,7.19,-0.07,-0.9736,313950.51,224348.59
601766.SH,20191108,7.23,7.24,7.18,7.19,7.2,-0.01,-0.1389,270186.7,194805.232
601766.SH,20191107,7.2,7.25,7.18,7.2,7.2,0.0,0.0,270989.61,195376.916
601766.SH,20191106,7.27,7.28,7.2,7.2,7.27,-0.07,-0.9629,283959.61,205342.134
601766.SH,20191105,7.25,7.31,7.2,7.27,7.23,0.04,0.5533,424184.02,307718.265
601766.SH,20191104,7.23,7.25,7.2,7.23,7.21,0.02,0.2774,295068.94,213114.643
601766.SH,20191101,7.19,7.24,7.16,7.21,7.2,0.01,0.1389,327375.17,235633.87
601766.SH,20191031,7.17,7.21,7.17,7.2,7.16,0.04,0.5587,221384.14,159174.149
601766.SH,20191030,7.2,7.21,7.14,7.16,7.2,-0.04,-0.5556,201519.16,144355.649
