ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601628.SH,20200110,34.86,35.15,34.7,35.05,34.61,0.44,1.2713,101518.18,354975.401
601628.SH,20200109,34.5,34.82,34.45,34.61,34.13,0.48,1.4064,94828.75,328324.579
601628.SH,20200108,34.75,34.86,34.03,34.13,35.14,-1.01,-2.8742,118045.0,406548.528
601628.SH,20200107,34.9,35.33,34.84,35.14,34.65,0.49,1.4141,113472.62,397984.676
601628.SH,20200106,34.74,35.28,34.4,34.65,34.98,-0.33,-0.9434,144654.76,505424.459
601628.SH,20200103,35.09,35.28,34.9,34.98,34.95,0.03,0.0858,106162.36,372480.477
601628.SH,20200102,35.12,35.51,34.62,34.95,34.87,0.08,0.2294,186225.28,653836.164
601628.SH,20191231,34.81,34.98,34.41,34.87,34.81,0.06,0.1724,115137.09,399921.856
601628.SH,20191230,33.7,34.84,33.28,34.81,33.8,1.01,2.9882,159664.98,548842.081
601628.SH,20191227,33.93,34.48,33.8,33.8,34.13,-0.33,-0.9669,122756.91,419145.939
601628.SH,20191226,33.51,34.19,33.51,34.13,33.65,0.48,1.4264,90110.05,306169.451
601628.SH,20191225,33.47,33.97,33.3,33.65,33.5,0.15,0.4478,86235.3,290863.494
601628.SH,20191224,33.63,33.76,32.9,33.5,33.62,-0.12,-0.3569,104837.84,348572.806
601628.SH,20191223,34.2,34.38,33.59,33.62,34.09,-0.47,-1.3787,96262.49,326081.767
601628.SH,20191220,34.55,34.68,34.0,34.09,34.59,-0.5,-1.4455,136432.27,467158.539
601628.SH,20191219,34.69,34.95,34.43,34.59,34.77,-0.18,-0.5177,98152.76,339854.667
601628.SH,20191218,34.8,35.1,34.55,34.77,35.13,-0.36,-1.0248,137402.18,477668.435
601628.SH,20191217,34.85,35.78,34.44,35.13,35.02,0.11,0.3141,241488.08,846725.828
601628.SH,20191216,35.95,35.95,34.51,35.02,35.69,-0.67,-1.8773,259767.75,906141.513
601628.SH,20191213,34.36,35.69,33.9,35.69,33.71,1.98,5.8736,244889.64,855454.868
601628.SH,20191212,34.13,34.37,33.57,33.71,33.88,-0.17,-0.5018,101801.03,344568.197
601628.SH,20191211,33.68,34.45,33.5,33.88,33.41,0.47,1.4068,135778.74,461173.667
601628.SH,20191210,33.1,33.63,32.73,33.41,33.23,0.18,0.5417,104264.59,347053.704
601628.SH,20191209,33.09,33.53,32.65,33.23,33.04,0.19,0.5751,99788.12,330385.276
601628.SH,20191206,33.36,33.55,32.75,33.04,33.3,-0.26,-0.7808,94064.88,311089.034
601628.SH,20191205,32.77,33.51,32.54,33.3,32.41,0.89,2.7461,114983.32,379783.782
601628.SH,20191204,32.78,32.9,32.22,32.41,33.04,-0.63,-1.9068,88943.46,288486.345
601628.SH,20191203,32.87,33.25,32.42,33.04,32.7,0.34,1.0398,80631.6,264762.978
601628.SH,20191202,33.05,33.16,32.46,32.7,32.81,-0.11,-0.3353,87477.86,286468.608
601628.SH,20191129,33.34,33.86,32.52,32.81,33.55,-0.74,-2.2057,108054.53,356222.729
601628.SH,20191128,33.79,33.99,33.1,33.55,33.86,-0.31,-0.9155,67046.08,224035.959
601628.SH,20191127,33.9,34.28,33.6,33.86,33.65,0.21,0.6241,89677.87,304946.495
601628.SH,20191126,33.59,33.96,33.19,33.65,33.19,0.46,1.386,126128.14,424209.201
601628.SH,20191125,32.8,33.5,32.8,33.19,32.79,0.4,1.2199,127363.56,422143.448
601628.SH,20191122,33.49,33.83,32.5,32.79,33.55,-0.76,-2.2653,162104.77,536605.427
601628.SH,20191121,34.37,34.59,33.11,33.55,34.6,-1.05,-3.0347,171507.95,575116.632
601628.SH,20191120,34.8,34.9,34.3,34.6,35.09,-0.49,-1.3964,118853.2,410869.973
601628.SH,20191119,35.11,35.39,34.55,35.09,35.56,-0.47,-1.3217,135562.97,473060.793
601628.SH,20191118,34.26,35.75,34.25,35.56,34.6,0.96,2.7746,142781.45,504305.552
601628.SH,20191115,34.35,35.04,34.11,34.6,34.22,0.38,1.1105,161081.75,557317.197
601628.SH,20191114,34.4,34.55,33.8,34.22,34.6,-0.38,-1.0983,148219.25,506533.007
601628.SH,20191113,35.15,35.25,33.55,34.6,35.42,-0.82,-2.3151,241775.84,830956.057
601628.SH,20191112,35.18,35.62,34.92,35.42,35.3,0.12,0.3399,132835.58,468022.306
601628.SH,20191111,34.47,36.3,34.3,35.3,34.84,0.46,1.3203,246835.11,877206.476
601628.SH,20191108,35.16,35.53,34.77,34.84,34.88,-0.04,-0.1147,129030.64,452351.671
601628.SH,20191107,35.74,35.78,34.59,34.88,35.8,-0.92,-2.5698,210022.05,734946.871
601628.SH,20191106,35.84,35.97,35.31,35.8,35.75,0.05,0.1399,139449.8,496980.29
601628.SH,20191105,34.86,36.28,34.53,35.75,34.81,0.94,2.7004,270105.62,961285.325
601628.SH,20191104,33.32,35.28,33.2,34.81,33.32,1.49,4.4718,298173.87,1028943.769
601628.SH,20191101,33.2,33.44,32.92,33.32,33.45,-0.13,-0.3886,185438.24,615099.205
601628.SH,20191031,32.14,33.75,32.08,33.45,32.41,1.04,3.2089,286916.3,949929.664
601628.SH,20191030,31.36,32.75,31.24,32.41,30.87,1.54,4.9887,328546.09,1057427.349
601628.SH,20191029,31.06,31.36,30.71,30.87,31.23,-0.36,-1.1527,132923.34,412241.423
601628.SH,20191028,30.18,31.34,30.11,31.23,30.5,0.73,2.3934,202086.63,625785.382
601628.SH,20191025,30.28,30.85,29.68,30.5,30.46,0.04,0.1313,155840.06,473630.222
601628.SH,20191024,30.77,30.84,30.13,30.46,30.77,-0.31,-1.0075,141969.53,432650.247
601628.SH,20191023,30.66,30.88,30.33,30.77,30.68,0.09,0.2934,120167.53,368174.347
601628.SH,20191022,30.58,30.95,30.3,30.68,30.81,-0.13,-0.4219,174748.31,534548.953
601628.SH,20191021,29.8,31.02,29.8,30.81,29.35,1.46,4.9744,388347.92,1182240.011
601628.SH,20191018,29.64,30.05,29.24,29.35,29.58,-0.23,-0.7776,145137.83,430826.996
601628.SH,20191017,29.39,29.89,29.33,29.58,29.26,0.32,1.0936,118706.66,352322.761
601628.SH,20191016,29.2,29.82,29.06,29.26,29.05,0.21,0.7229,155912.64,460114.466
601628.SH,20191015,29.15,29.18,28.93,29.05,29.02,0.03,0.1034,119807.18,348288.459
601628.SH,20191014,28.63,29.14,28.58,29.02,28.41,0.61,2.1471,163933.5,474943.766
601628.SH,20191011,28.2,28.5,27.9,28.41,27.93,0.48,1.7186,84711.87,239560.402
601628.SH,20191010,27.74,28.05,27.6,27.93,27.74,0.19,0.6849,70411.1,196429.567
601628.SH,20191009,27.49,27.81,27.28,27.74,27.66,0.08,0.2892,57715.0,159183.59
601628.SH,20191008,27.49,27.91,27.48,27.66,27.48,0.18,0.655,63019.37,174514.527
601628.SH,20190930,27.86,28.11,27.46,27.48,28.06,-0.58,-2.067,73425.35,204222.963
601628.SH,20190927,28.02,28.14,27.85,28.06,28.11,-0.05,-0.1779,56750.55,158660.761
601628.SH,20190926,28.32,28.56,28.01,28.11,28.15,-0.04,-0.1421,77049.73,217997.606
601628.SH,20190925,28.5,28.63,28.06,28.15,28.5,-0.35,-1.2281,76384.99,215934.052
601628.SH,20190924,28.63,28.77,28.4,28.5,28.63,-0.13,-0.4541,95759.86,273618.005
601628.SH,20190923,28.8,28.87,28.35,28.63,28.97,-0.34,-1.1736,73895.85,210503.734
601628.SH,20190920,28.82,29.07,28.81,28.97,28.81,0.16,0.5554,99017.33,286651.525
601628.SH,20190919,28.86,28.88,28.45,28.81,28.68,0.13,0.4533,66536.93,191027.684
601628.SH,20190918,28.88,28.93,28.56,28.68,28.71,-0.03,-0.1045,59207.51,170101.108
601628.SH,20190917,29.28,29.31,28.63,28.71,29.31,-0.6,-2.0471,104404.89,301929.183
601628.SH,20190916,29.75,29.75,29.15,29.31,29.8,-0.49,-1.6443,145948.54,427949.725
601628.SH,20190912,29.4,29.85,29.29,29.8,29.28,0.52,1.776,167232.85,494260.541
601628.SH,20190911,29.3,29.38,29.16,29.28,29.14,0.14,0.4804,110406.23,323279.816
