ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
003816.SZ,20200110,3.72,3.72,3.66,3.68,3.72,-0.04,-1.0753,596726.45,219928.832
003816.SZ,20200109,3.67,3.74,3.65,3.72,3.63,0.09,2.4793,1221641.73,452464.965
003816.SZ,20200108,3.69,3.69,3.63,3.63,3.7,-0.07,-1.8919,690486.26,252649.181
003816.SZ,20200107,3.66,3.72,3.66,3.7,3.67,0.03,0.8174,647092.72,238925.967
003816.SZ,20200106,3.65,3.69,3.64,3.67,3.67,0.0,0.0,697972.83,255992.144
003816.SZ,20200103,3.66,3.68,3.63,3.67,3.65,0.02,0.5479,651448.33,238533.17
003816.SZ,20200102,3.62,3.67,3.61,3.65,3.6,0.05,1.3889,806052.63,294038.708
003816.SZ,20191231,3.6,3.6,3.57,3.6,3.6,0.0,0.0,338893.68,121558.237
003816.SZ,20191230,3.58,3.6,3.54,3.6,3.59,0.01,0.2786,441747.74,157983.352
003816.SZ,20191227,3.61,3.62,3.59,3.59,3.6,-0.01,-0.2778,421704.09,151970.358
003816.SZ,20191226,3.58,3.62,3.58,3.6,3.58,0.02,0.5587,294779.34,106019.132
003816.SZ,20191225,3.61,3.61,3.58,3.58,3.61,-0.03,-0.831,366577.81,131667.664
003816.SZ,20191224,3.59,3.63,3.58,3.61,3.59,0.02,0.5571,322734.78,116443.36
003816.SZ,20191223,3.69,3.7,3.59,3.59,3.69,-0.1,-2.71,598024.01,217247.626
003816.SZ,20191220,3.69,3.76,3.68,3.69,3.69,0.0,0.0,600206.29,222914.424
003816.SZ,20191219,3.7,3.71,3.67,3.69,3.68,0.01,0.2717,482321.99,177722.532
003816.SZ,20191218,3.69,3.72,3.67,3.68,3.7,-0.02,-0.5405,792969.06,293287.922
003816.SZ,20191217,3.61,3.73,3.6,3.7,3.6,0.1,2.7778,1349218.04,496156.047
003816.SZ,20191216,3.56,3.61,3.55,3.6,3.56,0.04,1.1236,629761.99,225534.732
003816.SZ,20191213,3.52,3.56,3.52,3.56,3.53,0.03,0.8499,407811.29,144501.163
