ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601985.SH,20200110,5.12,5.12,5.06,5.08,5.12,-0.04,-0.7813,172647.77,87757.152
601985.SH,20200109,5.09,5.15,5.08,5.12,5.07,0.05,0.9862,259559.79,132623.232
601985.SH,20200108,5.12,5.13,5.05,5.07,5.14,-0.07,-1.3619,223040.56,113501.341
601985.SH,20200107,5.14,5.17,5.12,5.14,5.13,0.01,0.1949,211463.31,108807.721
601985.SH,20200106,5.09,5.15,5.07,5.13,5.09,0.04,0.7859,315488.73,161431.421
601985.SH,20200103,5.09,5.12,5.08,5.09,5.09,0.0,0.0,209971.36,107042.182
601985.SH,20200102,5.03,5.1,5.02,5.09,5.0,0.09,1.8,307410.92,156008.479
601985.SH,20191231,5.02,5.03,4.99,5.0,5.01,-0.01,-0.1996,268726.06,134435.034
601985.SH,20191230,5.0,5.04,4.98,5.01,5.01,0.0,0.0,328924.16,164490.642
601985.SH,20191227,5.0,5.05,4.99,5.01,4.99,0.02,0.4008,208892.0,104904.551
601985.SH,20191226,4.98,5.02,4.96,4.99,4.98,0.01,0.2008,153779.54,76687.424
601985.SH,20191225,5.07,5.07,4.97,4.98,5.07,-0.09,-1.7751,346679.19,173148.578
601985.SH,20191224,5.06,5.08,5.04,5.07,5.06,0.01,0.1976,119265.68,60396.026
601985.SH,20191223,5.1,5.12,5.04,5.06,5.12,-0.06,-1.1719,195561.0,99387.581
601985.SH,20191220,5.13,5.16,5.12,5.12,5.13,-0.01,-0.1949,165087.08,84718.707
601985.SH,20191219,5.15,5.18,5.11,5.13,5.14,-0.01,-0.1946,193117.77,99167.697
601985.SH,20191218,5.17,5.19,5.11,5.14,5.14,0.0,0.0,291086.13,149951.64
601985.SH,20191217,5.1,5.18,5.09,5.14,5.09,0.05,0.9823,291794.61,149982.95
601985.SH,20191216,5.05,5.11,5.03,5.09,5.02,0.07,1.3944,254289.4,129092.844
601985.SH,20191213,4.97,5.07,4.96,5.02,4.96,0.06,1.2097,410143.2,206145.286
601985.SH,20191212,4.92,4.98,4.92,4.96,4.94,0.02,0.4049,158358.5,78439.171
601985.SH,20191211,4.92,4.95,4.9,4.94,4.91,0.03,0.611,142522.0,70274.097
601985.SH,20191210,4.91,4.92,4.89,4.91,4.93,-0.02,-0.4057,90221.0,44286.006
601985.SH,20191209,4.89,4.94,4.86,4.93,4.9,0.03,0.6122,142072.54,69577.746
601985.SH,20191206,4.87,4.91,4.86,4.9,4.87,0.03,0.616,94499.98,46157.935
601985.SH,20191205,4.91,4.91,4.84,4.87,4.88,-0.01,-0.2049,117712.16,57385.926
601985.SH,20191204,4.82,4.89,4.81,4.88,4.82,0.06,1.2448,140963.13,68637.118
601985.SH,20191203,4.81,4.84,4.78,4.82,4.8,0.02,0.4167,103603.22,49873.261
601985.SH,20191202,4.86,4.86,4.8,4.8,4.86,-0.06,-1.2346,133540.31,64440.603
601985.SH,20191129,4.84,4.86,4.83,4.86,4.84,0.02,0.4132,94989.45,46054.43
601985.SH,20191128,4.86,4.9,4.84,4.84,4.88,-0.04,-0.8197,99084.63,48165.322
601985.SH,20191127,4.91,4.92,4.87,4.88,4.95,-0.07,-1.4141,157461.78,77086.681
601985.SH,20191126,4.9,4.95,4.87,4.95,4.87,0.08,1.6427,413609.66,203689.451
601985.SH,20191125,4.8,4.93,4.8,4.87,4.8,0.07,1.4583,320510.13,156217.144
601985.SH,20191122,4.78,4.81,4.76,4.8,4.77,0.03,0.6289,154121.8,73778.85
601985.SH,20191121,4.75,4.78,4.73,4.77,4.76,0.01,0.2101,104502.49,49723.587
601985.SH,20191120,4.8,4.8,4.76,4.76,4.8,-0.04,-0.8333,94544.91,45146.551
601985.SH,20191119,4.75,4.81,4.74,4.8,4.75,0.05,1.0526,138807.05,66331.092
601985.SH,20191118,4.74,4.75,4.69,4.75,4.73,0.02,0.4228,119106.0,56370.76
601985.SH,20191115,4.8,4.81,4.72,4.73,4.8,-0.07,-1.4583,177449.62,84126.277
601985.SH,20191114,4.77,4.83,4.77,4.8,4.78,0.02,0.4184,143283.53,68861.595
601985.SH,20191113,4.85,4.85,4.75,4.78,4.86,-0.08,-1.6461,242900.0,116568.155
601985.SH,20191112,4.9,4.9,4.81,4.86,4.9,-0.04,-0.8163,193653.48,93972.104
601985.SH,20191111,5.01,5.02,4.88,4.9,5.03,-0.13,-2.5845,363012.33,178752.749
601985.SH,20191108,5.09,5.09,5.02,5.03,5.08,-0.05,-0.9843,177304.68,89470.294
601985.SH,20191107,5.07,5.11,5.06,5.08,5.05,0.03,0.5941,143773.23,73041.531
601985.SH,20191106,5.08,5.09,5.04,5.05,5.08,-0.03,-0.5906,103510.09,52383.623
601985.SH,20191105,5.06,5.1,5.03,5.08,5.05,0.03,0.5941,160808.27,81519.837
601985.SH,20191104,5.07,5.09,5.04,5.05,5.08,-0.03,-0.5906,188718.15,95449.155
601985.SH,20191101,5.05,5.09,5.0,5.08,5.06,0.02,0.3953,249502.9,125828.835
601985.SH,20191031,5.14,5.15,5.05,5.06,5.14,-0.08,-1.5564,309870.09,158040.676
601985.SH,20191030,5.2,5.21,5.13,5.14,5.22,-0.08,-1.5326,212001.67,109529.008
601985.SH,20191029,5.21,5.25,5.2,5.22,5.21,0.01,0.1919,168322.81,87812.581
601985.SH,20191028,5.2,5.22,5.19,5.21,5.2,0.01,0.1923,181398.64,94400.669
601985.SH,20191025,5.22,5.22,5.17,5.2,5.22,-0.02,-0.3831,201519.16,104586.724
601985.SH,20191024,5.22,5.24,5.2,5.22,5.22,0.0,0.0,167266.95,87207.414
601985.SH,20191023,5.26,5.27,5.2,5.22,5.26,-0.04,-0.7605,193057.21,100996.028
