ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300470.SZ,20200110,28.6,28.7,28.2,28.28,28.5,-0.22,-0.7719,15252.23,43341.211
300470.SZ,20200109,27.97,28.56,27.8,28.5,27.78,0.72,2.5918,26609.15,75562.998
300470.SZ,20200108,27.23,27.95,27.18,27.78,27.45,0.33,1.2022,19560.66,54126.837
300470.SZ,20200107,27.5,27.69,27.25,27.45,27.57,-0.12,-0.4353,22849.96,62727.98
300470.SZ,20200106,27.95,28.49,27.29,27.57,27.98,-0.41,-1.4653,25176.23,69668.965
300470.SZ,20200103,27.66,28.12,27.5,27.98,27.8,0.18,0.6475,19110.53,53053.87
300470.SZ,20200102,27.27,27.86,27.22,27.8,27.02,0.78,2.8868,32715.65,90346.01
300470.SZ,20191231,26.88,27.32,26.5,27.02,26.88,0.14,0.5208,21811.43,58877.282
300470.SZ,20191230,27.1,27.53,26.51,26.88,27.1,-0.22,-0.8118,32936.83,88586.246
300470.SZ,20191227,26.13,27.18,26.11,27.1,26.2,0.9,3.4351,35916.73,96369.02
300470.SZ,20191226,26.3,26.48,25.98,26.2,26.28,-0.08,-0.3044,11727.83,30724.645
300470.SZ,20191225,26.03,26.36,25.71,26.28,26.02,0.26,0.9992,16344.15,42588.67
300470.SZ,20191224,25.25,26.18,25.25,26.02,25.25,0.77,3.0495,25865.9,66730.864
300470.SZ,20191223,26.33,26.4,25.22,25.25,26.32,-1.07,-4.0653,20069.67,51596.946
300470.SZ,20191220,26.51,26.75,26.3,26.32,26.66,-0.34,-1.2753,10581.37,27990.203
300470.SZ,20191219,26.79,26.79,26.38,26.66,26.85,-0.19,-0.7076,12530.32,33257.975
300470.SZ,20191218,26.16,27.08,26.05,26.85,26.15,0.7,2.6769,26884.19,71479.204
300470.SZ,20191217,26.09,26.7,25.9,26.15,26.0,0.15,0.5769,20495.13,53755.946
300470.SZ,20191216,26.1,26.13,25.55,26.0,26.0,0.0,0.0,23211.27,59919.273
300470.SZ,20191213,26.16,26.49,25.7,26.0,26.0,0.0,0.0,13758.19,35728.142
300470.SZ,20191212,26.1,26.37,25.95,26.0,26.16,-0.16,-0.6116,12626.96,32989.836
300470.SZ,20191211,25.99,26.28,25.85,26.16,25.94,0.22,0.8481,10818.26,28250.212
300470.SZ,20191210,25.95,26.18,25.85,25.94,26.08,-0.14,-0.5368,12364.91,32154.009
300470.SZ,20191209,25.52,26.26,25.52,26.08,25.5,0.58,2.2745,24941.04,65018.725
300470.SZ,20191206,24.83,25.67,24.83,25.5,24.95,0.55,2.2044,21502.4,54558.727
300470.SZ,20191205,24.47,24.97,24.38,24.95,24.45,0.5,2.045,14021.8,34628.827
300470.SZ,20191204,24.18,24.46,23.95,24.45,24.2,0.25,1.0331,13734.6,33174.98
300470.SZ,20191203,23.8,24.23,23.8,24.2,23.98,0.22,0.9174,8221.0,19738.933
300470.SZ,20191202,24.27,24.29,23.96,23.98,24.3,-0.32,-1.3169,10287.03,24780.787
300470.SZ,20191129,24.78,24.78,24.02,24.3,24.61,-0.31,-1.2597,8180.3,19798.47
300470.SZ,20191128,24.33,24.8,24.28,24.61,24.33,0.28,1.1508,8412.09,20697.838
300470.SZ,20191127,24.43,24.43,24.08,24.33,24.39,-0.06,-0.246,9380.0,22726.121
300470.SZ,20191126,24.63,24.75,24.33,24.39,24.45,-0.06,-0.2454,7006.2,17173.29
300470.SZ,20191125,24.21,24.72,24.09,24.45,24.4,0.05,0.2049,9278.86,22541.773
300470.SZ,20191122,25.17,25.17,24.33,24.4,25.12,-0.72,-2.8662,15241.7,37554.911
300470.SZ,20191121,25.24,25.24,24.84,25.12,25.24,-0.12,-0.4754,7490.31,18749.545
300470.SZ,20191120,25.23,25.4,25.14,25.24,25.29,-0.05,-0.1977,8151.71,20597.618
300470.SZ,20191119,25.13,25.4,24.87,25.29,25.04,0.25,0.9984,12702.8,32072.983
300470.SZ,20191118,24.6,25.15,24.37,25.04,24.61,0.43,1.7473,12435.92,31024.869
300470.SZ,20191115,24.45,24.87,24.33,24.61,24.45,0.16,0.6544,12340.5,30493.233
300470.SZ,20191114,24.47,24.61,24.27,24.45,24.47,-0.02,-0.0817,7456.8,18266.736
300470.SZ,20191113,24.59,24.67,23.98,24.47,24.51,-0.04,-0.1632,10358.75,25166.262
300470.SZ,20191112,24.34,24.62,24.18,24.51,24.11,0.4,1.6591,13132.4,32087.95
300470.SZ,20191111,25.22,25.22,24.01,24.11,25.24,-1.13,-4.477,22565.6,55087.615
300470.SZ,20191108,25.74,25.74,25.05,25.24,25.55,-0.31,-1.2133,10561.36,26764.802
300470.SZ,20191107,25.25,25.58,25.0,25.55,25.28,0.27,1.068,11460.74,29105.318
300470.SZ,20191106,25.14,25.55,24.99,25.28,25.3,-0.02,-0.0791,11972.83,30250.311
300470.SZ,20191105,25.0,25.37,24.51,25.3,25.0,0.3,1.2,25847.87,64417.344
300470.SZ,20191104,25.65,25.75,24.88,25.0,25.5,-0.5,-1.9608,26119.92,65578.114
300470.SZ,20191101,25.53,25.98,25.38,25.5,25.48,0.02,0.0785,12353.0,31641.745
300470.SZ,20191031,26.01,26.29,25.48,25.48,26.15,-0.67,-2.5621,12798.0,33033.13
300470.SZ,20191030,26.13,26.15,25.53,26.15,26.13,0.02,0.0765,11274.4,29128.577
300470.SZ,20191029,26.72,27.01,26.1,26.13,26.98,-0.85,-3.1505,17591.65,46529.86
300470.SZ,20191028,26.45,27.01,26.17,26.98,26.45,0.53,2.0038,14600.1,38847.871
300470.SZ,20191025,26.7,27.23,26.35,26.45,26.53,-0.08,-0.3015,12277.8,32740.23
300470.SZ,20191024,26.71,26.9,26.2,26.53,26.81,-0.28,-1.0444,13534.2,35899.99
300470.SZ,20191023,27.1,27.23,26.5,26.81,27.11,-0.3,-1.1066,7296.4,19586.007
300470.SZ,20191022,26.7,27.24,26.29,27.11,26.62,0.49,1.8407,13992.37,37487.743
300470.SZ,20191021,27.28,27.28,26.46,26.62,27.27,-0.65,-2.3836,16861.17,45173.505
300470.SZ,20191018,27.08,27.61,26.8,27.27,27.37,-0.1,-0.3654,14601.41,39637.887
300470.SZ,20191017,27.41,27.88,27.03,27.37,27.3,0.07,0.2564,20628.11,56542.068
300470.SZ,20191016,27.82,28.14,27.02,27.3,28.06,-0.76,-2.7085,27064.55,74192.593
300470.SZ,20191015,28.5,28.8,27.81,28.06,28.6,-0.54,-1.8881,16684.93,46872.769
300470.SZ,20191014,27.8,28.96,27.8,28.6,27.75,0.85,3.0631,23149.94,65899.29
300470.SZ,20191011,27.52,27.94,27.5,27.75,27.67,0.08,0.2891,19237.17,53340.464
300470.SZ,20191010,27.99,28.17,27.5,27.67,28.61,-0.94,-3.2856,48968.69,135633.585
300470.SZ,20191009,27.1,28.68,26.8,28.61,26.95,1.66,6.1596,34391.08,96136.475
300470.SZ,20191008,26.8,27.55,26.65,26.95,27.11,-0.16,-0.5902,17078.84,46141.416
300470.SZ,20190930,27.0,27.63,26.67,27.11,26.87,0.24,0.8932,15538.31,42274.262
300470.SZ,20190927,27.6,27.6,26.85,26.87,27.1,-0.23,-0.8487,23198.86,62986.052
