ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002364.SZ,20200110,12.42,12.49,12.07,12.1,12.41,-0.31,-2.498,106721.03,130109.819
002364.SZ,20200109,12.58,12.66,12.25,12.41,12.45,-0.04,-0.3213,150647.5,187166.326
002364.SZ,20200108,12.4,12.85,12.17,12.45,12.26,0.19,1.5498,270073.57,337896.525
002364.SZ,20200107,12.19,12.48,12.0,12.26,12.1,0.16,1.3223,148786.47,181926.468
002364.SZ,20200106,11.65,12.11,11.63,12.1,11.74,0.36,3.0664,104010.28,124061.263
002364.SZ,20200103,11.85,11.86,11.6,11.74,11.84,-0.1,-0.8446,62685.27,73412.561
002364.SZ,20200102,11.67,12.0,11.56,11.84,11.57,0.27,2.3336,72171.7,84780.17
002364.SZ,20191231,11.55,11.63,11.52,11.57,11.54,0.03,0.26,35324.0,40881.721
002364.SZ,20191230,11.63,11.63,11.35,11.54,11.53,0.01,0.0867,54398.12,62244.631
002364.SZ,20191227,11.59,11.67,11.47,11.53,11.59,-0.06,-0.5177,42889.0,49473.672
002364.SZ,20191226,11.5,11.62,11.48,11.59,11.51,0.08,0.695,30973.0,35779.703
002364.SZ,20191225,11.65,11.66,11.46,11.51,11.67,-0.16,-1.371,61465.04,70815.606
002364.SZ,20191224,11.59,11.69,11.58,11.67,11.56,0.11,0.9516,25979.31,30233.868
002364.SZ,20191223,11.88,11.88,11.52,11.56,11.85,-0.29,-2.4473,35208.46,41008.439
002364.SZ,20191220,12.32,12.38,11.83,11.85,12.28,-0.43,-3.5016,67912.0,81446.326
002364.SZ,20191219,12.65,12.68,12.24,12.28,12.56,-0.28,-2.2293,75624.0,93548.652
002364.SZ,20191218,12.13,12.56,12.08,12.56,12.13,0.43,3.5449,94167.1,116877.43
002364.SZ,20191217,11.75,12.16,11.68,12.13,11.71,0.42,3.5867,75108.05,90281.269
002364.SZ,20191216,11.58,11.76,11.38,11.71,11.52,0.19,1.6493,42389.0,48888.791
002364.SZ,20191213,11.56,11.66,11.41,11.52,11.5,0.02,0.1739,24993.0,28712.764
002364.SZ,20191212,11.73,11.8,11.5,11.5,11.76,-0.26,-2.2109,25809.0,30015.382
002364.SZ,20191211,11.76,11.83,11.68,11.76,11.78,-0.02,-0.1698,22493.05,26405.392
002364.SZ,20191210,11.84,11.87,11.66,11.78,11.85,-0.07,-0.5907,21905.54,25720.89
002364.SZ,20191209,11.58,11.9,11.58,11.85,11.6,0.25,2.1552,31116.05,36656.682
002364.SZ,20191206,11.53,11.64,11.5,11.6,11.51,0.09,0.7819,17682.0,20442.156
002364.SZ,20191205,11.41,11.58,11.41,11.51,11.45,0.06,0.524,19659.08,22631.878
002364.SZ,20191204,11.53,11.58,11.4,11.45,11.55,-0.1,-0.8658,16376.41,18787.451
002364.SZ,20191203,11.49,11.59,11.34,11.55,11.53,0.02,0.1735,21842.0,25061.816
002364.SZ,20191202,11.72,11.76,11.48,11.53,11.63,-0.1,-0.8598,27002.0,31230.291
002364.SZ,20191129,11.6,11.7,11.45,11.63,11.59,0.04,0.3451,22754.76,26351.979
002364.SZ,20191128,11.77,11.98,11.48,11.59,11.87,-0.28,-2.3589,42825.68,49930.78
002364.SZ,20191127,11.69,12.12,11.6,11.87,11.68,0.19,1.6267,50213.0,59982.269
002364.SZ,20191126,11.64,11.8,11.6,11.68,11.64,0.04,0.3436,20933.91,24383.197
002364.SZ,20191125,11.71,11.75,11.45,11.64,11.71,-0.07,-0.5978,41133.05,47684.743
002364.SZ,20191122,12.16,12.23,11.68,11.71,12.02,-0.31,-2.579,51806.0,61603.919
002364.SZ,20191121,12.2,12.27,12.0,12.02,12.2,-0.18,-1.4754,47142.76,57182.606
002364.SZ,20191120,12.7,12.7,12.19,12.2,12.62,-0.42,-3.3281,76606.89,94535.08
002364.SZ,20191119,12.58,12.67,12.32,12.62,12.56,0.06,0.4777,52568.5,65767.602
002364.SZ,20191118,12.65,12.72,12.5,12.56,12.59,-0.03,-0.2383,41949.52,52763.141
002364.SZ,20191115,12.89,12.95,12.51,12.59,12.75,-0.16,-1.2549,38815.02,49208.454
002364.SZ,20191114,12.89,12.95,12.5,12.75,12.88,-0.13,-1.0093,64209.57,81593.242
002364.SZ,20191113,12.79,13.04,12.65,12.88,12.73,0.15,1.1783,82595.0,106327.36
002364.SZ,20191112,12.62,13.02,12.5,12.73,12.51,0.22,1.7586,79594.5,101274.883
002364.SZ,20191111,12.5,12.78,12.43,12.51,12.64,-0.13,-1.0285,78306.0,98545.457
002364.SZ,20191108,12.04,12.72,12.04,12.64,12.02,0.62,5.1581,131854.01,164832.649
002364.SZ,20191107,11.62,12.06,11.52,12.02,11.62,0.4,3.4423,63036.21,74647.66
002364.SZ,20191106,11.8,11.87,11.46,11.62,11.79,-0.17,-1.4419,41998.0,48695.747
002364.SZ,20191105,11.88,11.96,11.75,11.79,11.85,-0.06,-0.5063,37427.0,44370.021
002364.SZ,20191104,11.62,12.07,11.54,11.85,11.56,0.29,2.5087,53046.07,62709.852
002364.SZ,20191101,12.14,12.14,11.0,11.56,12.05,-0.49,-4.0664,75415.57,86954.721
002364.SZ,20191031,12.21,12.25,11.92,12.05,12.19,-0.14,-1.1485,32071.0,38628.27
002364.SZ,20191030,12.17,12.42,12.08,12.19,12.16,0.03,0.2467,52630.0,64398.787
002364.SZ,20191029,12.05,12.2,11.88,12.16,12.06,0.1,0.8292,50768.02,61128.033
002364.SZ,20191028,11.97,12.18,11.88,12.06,11.97,0.09,0.7519,40006.57,48286.244
002364.SZ,20191025,12.06,12.08,11.8,11.97,12.15,-0.18,-1.4815,29586.0,35220.583
002364.SZ,20191024,12.0,12.38,12.0,12.15,11.94,0.21,1.7588,44072.68,53611.607
002364.SZ,20191023,12.1,12.11,11.83,11.94,12.09,-0.15,-1.2407,40260.0,48011.594
002364.SZ,20191022,12.09,12.16,11.9,12.09,12.1,-0.01,-0.0826,47392.0,56971.353
002364.SZ,20191021,12.57,12.58,11.72,12.1,12.5,-0.4,-3.2,84978.01,102278.891
002364.SZ,20191018,12.92,12.95,12.31,12.5,12.91,-0.41,-3.1758,90066.63,113342.89
002364.SZ,20191017,12.8,12.96,12.67,12.91,12.83,0.08,0.6235,56489.21,72413.406
002364.SZ,20191016,13.12,13.17,12.71,12.83,13.12,-0.29,-2.2104,72933.04,94063.134
002364.SZ,20191015,13.19,13.29,12.94,13.12,13.2,-0.08,-0.6061,76759.71,100290.178
002364.SZ,20191014,13.55,13.68,13.15,13.2,13.37,-0.17,-1.2715,89699.68,119363.558
002364.SZ,20191011,13.4,13.55,13.15,13.37,13.39,-0.02,-0.1494,117295.09,156680.516
002364.SZ,20191010,12.48,13.54,12.48,13.39,12.48,0.91,7.2917,177441.59,233594.466
002364.SZ,20191009,12.47,12.92,12.33,12.48,12.31,0.17,1.381,121571.49,153248.391
002364.SZ,20191008,12.38,12.42,12.21,12.31,12.36,-0.05,-0.4045,44621.73,54896.289
002364.SZ,20190930,12.39,12.56,12.18,12.36,12.4,-0.04,-0.3226,64141.42,79239.612
002364.SZ,20190927,12.0,12.47,11.94,12.4,11.93,0.47,3.9396,143411.52,175172.508
002364.SZ,20190926,11.92,11.95,11.53,11.93,11.84,0.09,0.7601,61691.0,72416.329
002364.SZ,20190925,11.89,11.89,11.52,11.84,11.92,-0.08,-0.6711,71906.03,84111.922
