ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600329.SH,20200110,14.16,14.18,14.03,14.16,14.14,0.02,0.1414,26377.35,37219.991
600329.SH,20200109,13.88,14.19,13.88,14.14,13.8,0.34,2.4638,55409.88,78036.854
600329.SH,20200108,14.0,14.03,13.77,13.8,14.06,-0.26,-1.8492,37410.31,51918.411
600329.SH,20200107,13.92,14.08,13.88,14.06,13.89,0.17,1.2239,36107.15,50434.404
600329.SH,20200106,13.85,13.99,13.72,13.89,13.9,-0.01,-0.0719,41574.55,57665.326
600329.SH,20200103,13.89,14.11,13.81,13.9,13.89,0.01,0.072,43597.5,60795.837
600329.SH,20200102,13.87,13.94,13.74,13.89,13.86,0.03,0.2165,60572.64,83833.047
600329.SH,20191231,13.59,14.05,13.54,13.86,13.57,0.29,2.1371,77901.66,107845.088
600329.SH,20191230,13.46,13.58,13.35,13.57,13.49,0.08,0.593,33688.32,45504.694
600329.SH,20191227,13.53,13.65,13.47,13.49,13.58,-0.09,-0.6627,29867.08,40485.089
600329.SH,20191226,13.4,13.61,13.4,13.58,13.42,0.16,1.1923,28785.74,38976.022
600329.SH,20191225,13.39,13.55,13.38,13.42,13.37,0.05,0.374,21571.0,29038.602
600329.SH,20191224,13.24,13.38,13.24,13.37,13.25,0.12,0.9057,12396.0,16522.572
600329.SH,20191223,13.39,13.48,13.24,13.25,13.44,-0.19,-1.4137,26499.96,35399.685
600329.SH,20191220,13.59,13.65,13.43,13.44,13.6,-0.16,-1.1765,32059.5,43328.857
600329.SH,20191219,13.58,13.63,13.51,13.6,13.55,0.05,0.369,35704.58,48457.679
600329.SH,20191218,13.59,13.63,13.51,13.55,13.61,-0.06,-0.4409,29977.9,40657.877
600329.SH,20191217,13.46,13.63,13.41,13.61,13.45,0.16,1.1896,36856.47,50037.957
600329.SH,20191216,13.36,13.47,13.22,13.45,13.33,0.12,0.9002,40763.34,54413.253
600329.SH,20191213,13.25,13.35,13.2,13.33,13.19,0.14,1.0614,32317.57,42937.794
600329.SH,20191212,13.18,13.22,13.11,13.19,13.19,0.0,0.0,17167.72,22629.963
600329.SH,20191211,13.28,13.28,13.13,13.19,13.23,-0.04,-0.3023,20205.91,26601.055
600329.SH,20191210,13.22,13.28,13.15,13.23,13.24,-0.01,-0.0755,17527.48,23177.46
600329.SH,20191209,13.3,13.33,13.18,13.24,13.33,-0.09,-0.6752,26897.61,35568.994
600329.SH,20191206,13.4,13.45,13.22,13.33,13.4,-0.07,-0.5224,21425.51,28481.304
600329.SH,20191205,13.35,13.42,13.3,13.4,13.34,0.06,0.4498,20006.47,26753.109
