ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603619.SH,20200110,17.13,17.13,16.58,16.63,17.77,-1.14,-6.4153,189111.56,317573.965
603619.SH,20200109,17.11,18.33,17.11,17.77,19.01,-1.24,-6.5229,330440.16,577541.815
603619.SH,20200108,19.01,19.01,17.81,19.01,17.28,1.73,10.0116,373893.77,697668.894
603619.SH,20200107,16.47,17.75,16.38,17.28,17.09,0.19,1.1118,307264.15,524582.205
603619.SH,20200106,16.9,17.09,16.4,17.09,15.54,1.55,9.9743,264387.04,445709.396
603619.SH,20200103,14.13,15.54,14.07,15.54,14.13,1.41,9.9788,189393.09,287898.045
603619.SH,20200102,13.98,14.15,13.97,14.13,13.94,0.19,1.363,44974.28,63262.365
603619.SH,20191231,14.0,14.02,13.85,13.94,14.05,-0.11,-0.7829,31408.0,43741.4
603619.SH,20191230,13.84,14.09,13.65,14.05,13.84,0.21,1.5173,40975.44,56859.803
603619.SH,20191227,13.82,14.04,13.76,13.84,13.78,0.06,0.4354,38045.39,52847.589
603619.SH,20191226,13.71,13.78,13.6,13.78,13.7,0.08,0.5839,25075.28,34304.854
603619.SH,20191225,13.94,13.94,13.6,13.7,13.65,0.05,0.3663,27300.0,37520.447
603619.SH,20191224,13.49,13.72,13.46,13.65,13.49,0.16,1.1861,19546.0,26575.05
603619.SH,20191223,13.83,13.83,13.46,13.49,13.83,-0.34,-2.4584,26675.73,36322.316
603619.SH,20191220,14.17,14.22,13.83,13.83,14.18,-0.35,-2.4683,38740.73,54195.508
603619.SH,20191219,13.99,14.32,13.96,14.18,13.95,0.23,1.6487,43662.0,61616.254
603619.SH,20191218,13.87,14.06,13.82,13.95,13.88,0.07,0.5043,37958.46,53002.169
603619.SH,20191217,13.65,13.96,13.62,13.88,13.65,0.23,1.685,43490.75,60210.487
603619.SH,20191216,13.75,13.75,13.53,13.65,13.46,0.19,1.4116,31714.0,43171.744
603619.SH,20191213,13.41,13.48,13.38,13.46,13.34,0.12,0.8996,24132.39,32384.965
603619.SH,20191212,13.42,13.44,13.33,13.34,13.36,-0.02,-0.1497,18323.6,24518.661
603619.SH,20191211,13.4,13.46,13.36,13.36,13.45,-0.09,-0.6691,16728.6,22407.12
603619.SH,20191210,13.47,13.48,13.3,13.45,13.53,-0.08,-0.5913,18408.0,24703.445
603619.SH,20191209,13.48,13.55,13.29,13.53,13.45,0.08,0.5948,24018.0,32311.259
603619.SH,20191206,13.43,13.58,13.29,13.45,13.5,-0.05,-0.3704,29388.0,39342.521
603619.SH,20191205,13.52,13.75,13.46,13.5,13.32,0.18,1.3514,32530.6,44175.164
