ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300526.SZ,20200110,51.62,52.1,51.51,51.64,51.62,0.02,0.0387,2773.0,14355.695
300526.SZ,20200109,51.11,52.3,51.11,51.62,51.43,0.19,0.3694,5828.0,30146.708
300526.SZ,20200108,52.16,52.44,51.33,51.43,52.19,-0.76,-1.4562,3430.0,17807.703
300526.SZ,20200107,52.12,52.68,51.8,52.19,52.12,0.07,0.1343,4228.2,22022.118
300526.SZ,20200106,51.9,52.62,50.01,52.12,51.93,0.19,0.3659,4199.67,21920.405
300526.SZ,20200103,53.01,53.45,51.63,51.93,53.72,-1.79,-3.3321,8481.64,44269.429
300526.SZ,20200102,54.8,55.84,53.5,53.72,56.0,-2.28,-4.0714,10734.62,57792.183
300526.SZ,20191231,51.86,56.0,51.02,56.0,52.01,3.99,7.6716,10326.66,55630.449
300526.SZ,20191230,52.1,52.56,49.69,52.01,52.03,-0.02,-0.0384,5523.62,28399.727
300526.SZ,20191227,53.3,53.3,51.0,52.03,52.75,-0.72,-1.3649,5046.5,26451.486
300526.SZ,20191226,53.0,53.24,52.3,52.75,52.78,-0.03,-0.0568,8403.0,44437.757
300526.SZ,20191225,52.63,53.73,52.19,52.78,52.82,-0.04,-0.0757,4260.0,22538.053
300526.SZ,20191224,52.84,53.28,52.07,52.82,52.2,0.62,1.1877,4072.0,21505.354
300526.SZ,20191223,53.0,53.87,51.93,52.2,53.33,-1.13,-2.1189,6819.42,36078.595
300526.SZ,20191220,56.13,56.8,51.99,53.33,56.16,-2.83,-5.0392,13188.92,70848.295
300526.SZ,20191219,56.17,56.17,54.21,56.16,54.89,1.27,2.3137,12074.39,67168.814
300526.SZ,20191218,55.8,59.11,54.77,54.89,57.02,-2.13,-3.7355,13699.06,77750.125
300526.SZ,20191217,54.5,57.71,54.11,57.02,54.3,2.72,5.0092,20613.37,116340.401
300526.SZ,20191216,53.4,54.5,52.69,54.3,53.31,0.99,1.8571,9143.57,49374.794
300526.SZ,20191213,54.15,54.4,52.51,53.31,53.75,-0.44,-0.8186,9980.32,53531.831
300526.SZ,20191212,54.52,55.88,53.33,53.75,54.52,-0.77,-1.4123,20008.17,109179.125
300526.SZ,20191211,53.98,56.28,52.58,54.52,53.51,1.01,1.8875,20442.66,110699.728
300526.SZ,20191210,53.6,54.38,52.0,53.51,53.73,-0.22,-0.4095,15543.86,82800.761
300526.SZ,20191209,53.0,53.85,51.86,53.73,52.95,0.78,1.4731,17086.29,90751.492
300526.SZ,20191206,51.89,53.86,51.3,52.95,53.01,-0.06,-0.1132,19717.63,103696.112
300526.SZ,20191205,51.85,55.55,50.71,53.01,50.7,2.31,4.5562,21606.65,113936.883
300526.SZ,20191204,46.16,50.7,45.9,50.7,46.09,4.61,10.0022,16915.64,82235.98
300526.SZ,20191203,42.0,46.09,40.7,46.09,41.9,4.19,10.0,22100.35,97533.177
300526.SZ,20191202,41.71,42.34,39.86,41.9,42.57,-0.67,-1.5739,6604.53,27311.39
300526.SZ,20191129,41.8,43.16,41.4,42.57,42.54,0.03,0.0705,4907.0,20695.342
300526.SZ,20191128,43.22,44.5,42.38,42.54,43.22,-0.68,-1.5733,4591.19,19594.274
300526.SZ,20191127,43.01,43.7,42.49,43.22,43.07,0.15,0.3483,4723.0,20385.876
300526.SZ,20191126,44.44,44.44,42.28,43.07,43.3,-0.23,-0.5312,6395.68,27398.309
300526.SZ,20191125,45.0,45.43,42.65,43.3,44.45,-1.15,-2.5872,6278.68,27652.687
300526.SZ,20191122,45.66,46.24,44.45,44.45,45.66,-1.21,-2.65,5406.02,24397.918
300526.SZ,20191121,45.46,47.2,45.42,45.66,46.36,-0.7,-1.5099,4461.0,20465.362
300526.SZ,20191120,47.04,47.45,46.14,46.36,47.0,-0.64,-1.3617,4315.0,20151.29
300526.SZ,20191119,46.85,47.61,46.63,47.0,46.63,0.37,0.7935,4601.48,21627.951
300526.SZ,20191118,46.24,47.3,45.12,46.63,46.65,-0.02,-0.0429,3552.18,16549.738
300526.SZ,20191115,47.37,47.6,46.6,46.65,47.37,-0.72,-1.5199,4278.49,20056.167
300526.SZ,20191114,48.1,48.22,47.2,47.37,48.5,-1.13,-2.3299,4942.0,23522.972
300526.SZ,20191113,47.93,48.58,46.22,48.5,48.63,-0.13,-0.2673,19970.5,94390.814
300526.SZ,20191112,47.37,48.76,47.37,48.63,48.24,0.39,0.8085,5872.11,28373.738
