ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002738.SZ,20200110,17.32,17.57,16.93,17.16,17.54,-0.38,-2.1665,50047.73,86075.512
002738.SZ,20200109,16.85,17.65,16.72,17.54,16.52,1.02,6.1743,81983.09,141686.457
002738.SZ,20200108,16.8,16.96,16.49,16.52,16.76,-0.24,-1.432,35307.58,59011.292
002738.SZ,20200107,16.79,16.94,16.66,16.76,16.78,-0.02,-0.1192,24553.5,41133.477
002738.SZ,20200106,16.7,17.08,16.45,16.78,16.7,0.08,0.479,39025.92,65549.718
002738.SZ,20200103,16.59,16.84,16.46,16.7,16.62,0.08,0.4813,40821.74,68050.097
002738.SZ,20200102,16.96,17.03,16.58,16.62,16.86,-0.24,-1.4235,51703.0,86640.707
002738.SZ,20191231,16.8,17.08,16.69,16.86,16.79,0.07,0.4169,25323.14,42684.026
002738.SZ,20191230,16.92,17.16,16.65,16.79,16.86,-0.07,-0.4152,35968.0,60511.156
002738.SZ,20191227,16.9,17.3,16.76,16.86,16.95,-0.09,-0.531,42027.56,71494.17
002738.SZ,20191226,16.48,17.14,16.34,16.95,16.47,0.48,2.9144,48615.54,82120.013
002738.SZ,20191225,16.25,16.6,16.12,16.47,16.24,0.23,1.4163,35705.5,58426.352
002738.SZ,20191224,15.88,16.37,15.72,16.24,15.74,0.5,3.1766,33278.5,53562.058
002738.SZ,20191223,15.75,16.43,15.66,15.74,15.65,0.09,0.5751,36895.22,58962.696
002738.SZ,20191220,15.96,16.12,15.62,15.65,16.05,-0.4,-2.4922,34145.1,54176.602
002738.SZ,20191219,15.31,16.2,15.2,16.05,15.3,0.75,4.902,55616.66,87460.748
002738.SZ,20191218,15.08,15.45,14.95,15.3,15.07,0.23,1.5262,40943.8,62364.451
002738.SZ,20191217,14.88,15.38,14.66,15.07,14.77,0.3,2.0311,41866.81,63282.842
002738.SZ,20191216,14.1,14.99,14.1,14.77,14.34,0.43,2.9986,42528.7,62334.235
