ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300678.SZ,20200110,23.39,23.71,23.08,23.19,23.35,-0.16,-0.6852,46995.86,109749.947
300678.SZ,20200109,22.91,23.55,22.91,23.35,22.78,0.57,2.5022,58550.33,136227.591
300678.SZ,20200108,23.07,23.19,22.4,22.78,23.22,-0.44,-1.8949,44733.57,101883.328
300678.SZ,20200107,23.16,23.24,22.82,23.22,23.08,0.14,0.6066,40014.8,92306.126
300678.SZ,20200106,22.57,23.3,22.44,23.08,22.81,0.27,1.1837,66312.55,152166.312
300678.SZ,20200103,22.18,23.08,22.06,22.81,22.19,0.62,2.7941,63177.31,142341.241
300678.SZ,20200102,21.69,22.29,21.61,22.19,21.56,0.63,2.9221,41554.3,91518.913
300678.SZ,20191231,21.92,22.06,21.38,21.56,21.91,-0.35,-1.5974,33744.99,73048.315
300678.SZ,20191230,21.6,22.15,21.56,21.91,21.87,0.04,0.1829,35193.41,77068.835
300678.SZ,20191227,22.11,22.64,21.83,21.87,22.32,-0.45,-2.0161,42581.22,94751.484
300678.SZ,20191226,22.21,22.34,21.23,22.32,22.9,-0.58,-2.5328,71471.61,156866.106
300678.SZ,20191225,22.63,23.14,22.43,22.9,22.69,0.21,0.9255,45943.16,104891.711
300678.SZ,20191224,22.06,22.93,22.06,22.69,22.03,0.66,2.9959,31518.66,71144.96
300678.SZ,20191223,22.98,23.22,21.98,22.03,22.8,-0.77,-3.3772,38926.46,87017.432
300678.SZ,20191220,23.93,23.99,22.76,22.8,23.93,-1.13,-4.7221,52904.44,123355.234
300678.SZ,20191219,23.35,24.16,23.22,23.93,23.4,0.53,2.265,81546.18,193433.06
300678.SZ,20191218,23.1,23.78,23.1,23.4,23.26,0.14,0.6019,59135.11,138970.454
300678.SZ,20191217,23.22,23.6,23.02,23.26,23.41,-0.15,-0.6408,54370.0,126608.242
300678.SZ,20191216,23.2,23.54,22.85,23.41,23.4,0.01,0.0427,46976.77,109221.101
300678.SZ,20191213,23.03,24.2,22.72,23.4,23.13,0.27,1.1673,114463.25,269658.079
300678.SZ,20191212,23.49,23.49,22.51,23.13,23.5,-0.37,-1.5745,68019.19,155418.291
300678.SZ,20191211,21.96,23.87,21.56,23.5,21.75,1.75,8.046,78987.56,177180.967
300678.SZ,20191210,21.2,21.8,20.9,21.75,21.26,0.49,2.3048,37201.19,79444.959
300678.SZ,20191209,20.99,21.35,20.84,21.26,21.0,0.26,1.2381,26044.02,55130.441
300678.SZ,20191206,20.95,21.0,20.61,21.0,20.73,0.27,1.3025,18945.2,39419.017
300678.SZ,20191205,20.48,20.79,20.4,20.73,20.39,0.34,1.6675,26977.8,55646.549
300678.SZ,20191204,20.35,20.6,20.25,20.39,20.42,-0.03,-0.1469,14215.8,28969.529
300678.SZ,20191203,20.16,20.45,20.11,20.42,20.4,0.02,0.098,14432.8,29251.728
300678.SZ,20191202,20.5,20.55,20.23,20.4,20.32,0.08,0.3937,8960.0,18248.832
300678.SZ,20191129,20.2,20.39,20.09,20.32,20.18,0.14,0.6938,11823.8,23947.388
300678.SZ,20191128,20.33,20.52,20.15,20.18,20.4,-0.22,-1.0784,11718.2,23784.02
300678.SZ,20191127,20.33,20.65,20.1,20.4,20.31,0.09,0.4431,12660.0,25878.337
300678.SZ,20191126,20.61,20.73,20.24,20.31,20.52,-0.21,-1.0234,16711.2,34123.466
300678.SZ,20191125,20.89,20.99,20.38,20.52,20.82,-0.3,-1.4409,17994.2,37073.587
300678.SZ,20191122,21.3,21.62,20.6,20.82,21.47,-0.65,-3.0275,32200.77,67736.22
300678.SZ,20191121,21.1,21.68,21.07,21.47,21.27,0.2,0.9403,21219.49,45345.229
300678.SZ,20191120,21.69,21.77,21.06,21.27,21.53,-0.26,-1.2076,34708.49,74487.833
300678.SZ,20191119,20.76,21.53,20.76,21.53,20.76,0.77,3.7091,31818.6,67717.332
300678.SZ,20191118,20.6,20.9,20.41,20.76,20.51,0.25,1.2189,15950.6,33061.075
300678.SZ,20191115,21.01,21.13,20.5,20.51,20.97,-0.46,-2.1936,20997.0,43708.541
