ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603019.SH,20200110,38.0,38.16,37.25,37.7,38.0,-0.3,-0.7895,334868.51,1260406.95
603019.SH,20200109,36.49,38.39,36.41,38.0,36.37,1.63,4.4817,544425.56,2045531.321
603019.SH,20200108,36.01,37.43,35.91,36.37,36.25,0.12,0.331,421720.8,1539546.26
603019.SH,20200107,35.94,36.26,35.64,36.25,35.92,0.33,0.9187,245224.03,883314.628
603019.SH,20200106,35.45,36.26,35.28,35.92,35.72,0.2,0.5599,287570.3,1031647.279
603019.SH,20200103,35.58,35.76,35.2,35.72,35.54,0.18,0.5065,214781.43,762903.909
603019.SH,20200102,35.0,35.65,34.8,35.54,34.58,0.96,2.7762,249883.92,883513.549
603019.SH,20191231,34.6,34.86,34.38,34.58,34.64,-0.06,-0.1732,116271.7,402263.019
603019.SH,20191230,34.4,34.73,33.78,34.64,34.39,0.25,0.727,156020.67,535985.905
603019.SH,20191227,35.29,35.38,34.29,34.39,35.2,-0.81,-2.3011,185020.48,644771.928
603019.SH,20191226,35.07,35.3,34.8,35.2,35.1,0.1,0.2849,152053.13,532251.009
603019.SH,20191225,34.47,35.4,34.23,35.1,34.4,0.7,2.0349,227420.63,795827.746
603019.SH,20191224,34.1,34.47,34.09,34.4,34.1,0.3,0.8798,126248.61,432573.61
603019.SH,20191223,35.0,35.09,34.1,34.1,35.31,-1.21,-3.4268,236193.79,817977.341
603019.SH,20191220,36.7,36.9,35.29,35.31,36.63,-1.32,-3.6036,326975.49,1175599.994
603019.SH,20191219,36.32,36.73,36.07,36.63,36.27,0.36,0.9926,251359.4,915641.26
603019.SH,20191218,36.49,36.68,36.15,36.27,36.49,-0.22,-0.6029,256616.95,934057.825
603019.SH,20191217,36.71,36.74,36.1,36.49,36.6,-0.11,-0.3005,317415.7,1155657.61
603019.SH,20191216,35.7,36.64,35.54,36.6,35.5,1.1,3.0986,357757.68,1298882.667
603019.SH,20191213,35.59,35.7,34.9,35.5,35.03,0.47,1.3417,245243.41,865884.242
603019.SH,20191212,34.9,35.67,34.81,35.03,34.86,0.17,0.4877,248467.79,877749.111
603019.SH,20191211,35.5,35.75,34.76,34.86,35.7,-0.84,-2.3529,222363.54,781592.065
603019.SH,20191210,35.21,35.9,35.11,35.7,35.4,0.3,0.8475,290704.7,1034013.602
603019.SH,20191209,34.6,35.49,34.51,35.4,34.5,0.9,2.6087,316744.79,1113381.553
603019.SH,20191206,34.52,34.75,33.92,34.5,34.65,-0.15,-0.4329,193375.32,664650.649
603019.SH,20191205,34.38,34.86,34.1,34.65,34.33,0.32,0.9321,228477.64,789449.437
603019.SH,20191204,33.72,34.62,33.54,34.33,34.0,0.33,0.9706,202238.4,692170.227
603019.SH,20191203,33.5,34.0,33.39,34.0,33.72,0.28,0.8304,117389.92,395874.299
603019.SH,20191202,34.13,34.18,33.6,33.72,33.97,-0.25,-0.7359,130224.08,441172.651
603019.SH,20191129,33.2,34.0,33.16,33.97,33.33,0.64,1.9202,147716.4,496282.646
603019.SH,20191128,33.21,33.65,33.12,33.33,33.28,0.05,0.1502,100439.96,335065.006
