ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002822.SZ,20200110,11.69,11.86,11.46,11.62,11.77,-0.15,-1.2744,269818.61,314111.074
002822.SZ,20200109,11.3,11.95,11.22,11.77,11.27,0.5,4.4366,389312.06,453424.106
002822.SZ,20200108,10.96,11.48,10.8,11.27,10.49,0.78,7.4357,551637.43,612964.939
002822.SZ,20200107,9.88,10.58,9.88,10.49,9.89,0.6,6.0667,362733.58,372029.55
002822.SZ,20200106,9.8,10.02,9.72,9.89,9.9,-0.01,-0.101,171589.88,169631.64
002822.SZ,20200103,9.87,9.92,9.74,9.9,9.9,0.0,0.0,155813.48,153123.772
002822.SZ,20200102,10.0,10.15,9.84,9.9,9.89,0.01,0.1011,271284.24,269720.202
002822.SZ,20191231,9.71,9.99,9.62,9.89,9.63,0.26,2.6999,303648.22,299080.153
002822.SZ,20191230,9.66,10.04,9.54,9.63,9.7,-0.07,-0.7216,291143.58,283497.936
002822.SZ,20191227,9.65,9.95,9.59,9.7,9.7,0.0,0.0,297329.17,289945.679
002822.SZ,20191226,9.2,9.83,9.1,9.7,9.29,0.41,4.4133,509075.8,490178.645
002822.SZ,20191225,8.99,9.3,8.91,9.29,9.0,0.29,3.2222,311716.45,283324.996
002822.SZ,20191224,9.2,9.48,8.95,9.0,9.2,-0.2,-2.1739,259758.01,236840.922
002822.SZ,20191223,9.54,9.61,9.19,9.2,9.53,-0.33,-3.4627,238248.8,223163.388
002822.SZ,20191220,9.11,9.76,8.99,9.53,9.13,0.4,4.3812,378386.13,354096.611
002822.SZ,20191219,8.61,9.16,8.61,9.13,8.9,0.23,2.5843,278611.24,250951.422
002822.SZ,20191218,9.06,9.19,8.83,8.9,9.1,-0.2,-2.1978,225185.99,202794.355
002822.SZ,20191217,9.12,9.18,8.99,9.1,9.15,-0.05,-0.5464,202605.95,183950.188
002822.SZ,20191216,9.24,9.31,9.05,9.15,9.04,0.11,1.2168,194652.88,178282.153
002822.SZ,20191213,9.28,9.39,8.9,9.04,9.26,-0.22,-2.3758,280528.55,253772.995
002822.SZ,20191212,9.02,9.28,8.84,9.26,8.99,0.27,3.0033,222689.45,202210.81
002822.SZ,20191211,9.23,9.39,8.98,8.99,9.28,-0.29,-3.125,206118.52,189768.544
002822.SZ,20191210,9.06,9.29,9.0,9.28,9.09,0.19,2.0902,165390.28,151124.763
002822.SZ,20191209,9.16,9.23,9.06,9.09,9.17,-0.08,-0.8724,126161.0,115419.521
002822.SZ,20191206,8.88,9.18,8.86,9.17,8.91,0.26,2.9181,165192.84,149393.201
002822.SZ,20191205,8.64,8.94,8.56,8.91,8.64,0.27,3.125,155509.33,137015.871
002822.SZ,20191204,8.53,8.72,8.47,8.64,8.62,0.02,0.232,108638.44,93440.391
002822.SZ,20191203,8.3,8.68,8.23,8.62,8.39,0.23,2.7414,159789.71,135236.743
002822.SZ,20191202,8.48,8.6,8.14,8.39,8.46,-0.07,-0.8274,213779.89,178626.713
002822.SZ,20191129,8.74,8.89,8.46,8.46,8.74,-0.28,-3.2037,260124.0,225601.767
002822.SZ,20191128,8.21,8.84,8.1,8.74,8.48,0.26,3.066,295505.44,250637.051
002822.SZ,20191127,9.05,9.21,8.46,8.48,9.06,-0.58,-6.4018,261398.2,230943.372
002822.SZ,20191126,8.88,9.27,8.42,9.06,8.94,0.12,1.3423,290951.97,256492.942
002822.SZ,20191125,9.22,9.32,8.92,8.94,9.36,-0.42,-4.4872,148684.81,134749.987
002822.SZ,20191122,9.64,9.77,9.32,9.36,9.64,-0.28,-2.9046,266306.8,252837.738
002822.SZ,20191121,9.43,9.68,9.11,9.64,9.54,0.1,1.0482,305354.58,287689.138
002822.SZ,20191120,9.3,9.54,9.18,9.54,9.37,0.17,1.8143,211415.74,198469.682
002822.SZ,20191119,9.58,9.65,9.32,9.37,9.66,-0.29,-3.0021,248590.85,235135.29
002822.SZ,20191118,9.7,9.91,9.49,9.66,9.72,-0.06,-0.6173,268664.22,259213.777
002822.SZ,20191115,9.44,9.85,9.29,9.72,9.65,0.07,0.7254,322735.85,308381.652
002822.SZ,20191114,8.91,9.75,8.91,9.65,9.08,0.57,6.2775,379600.09,357380.86
002822.SZ,20191113,9.25,9.25,8.78,9.08,9.25,-0.17,-1.8378,222174.29,200029.404
002822.SZ,20191112,9.23,9.43,9.1,9.25,9.39,-0.14,-1.4909,227115.22,209905.566
002822.SZ,20191111,9.53,9.75,9.25,9.39,9.48,-0.09,-0.9494,266024.82,252931.292
002822.SZ,20191108,9.97,10.24,9.42,9.48,9.88,-0.4,-4.0486,461110.2,452250.615
002822.SZ,20191107,9.71,10.17,9.65,9.88,9.81,0.07,0.7136,479549.28,477122.669
002822.SZ,20191106,9.47,10.1,9.39,9.81,9.59,0.22,2.2941,587909.1,577258.299
002822.SZ,20191105,9.33,9.71,8.98,9.59,9.34,0.25,2.6767,589614.26,546422.917
002822.SZ,20191104,8.4,9.68,8.4,9.34,9.28,0.06,0.6466,705424.02,637317.937
002822.SZ,20191101,8.79,10.03,8.68,9.28,9.12,0.16,1.7544,757641.05,715932.336
002822.SZ,20191031,9.55,9.55,8.85,9.12,9.83,-0.71,-7.2228,551205.21,503342.544
002822.SZ,20191030,9.99,10.76,9.8,9.83,10.36,-0.53,-5.1158,897616.67,918923.636
002822.SZ,20191029,9.7,10.36,9.56,10.36,9.42,0.94,9.9788,652064.35,661070.194
002822.SZ,20191028,9.42,9.42,9.29,9.42,8.56,0.86,10.0467,456512.92,429884.658
002822.SZ,20191025,8.74,8.74,8.37,8.56,8.64,-0.08,-0.9259,124058.91,106115.385
002822.SZ,20191024,8.52,8.76,8.42,8.64,8.44,0.2,2.3697,165766.87,142330.064
002822.SZ,20191023,8.5,8.58,8.33,8.44,8.5,-0.06,-0.7059,62162.26,52465.182
002822.SZ,20191022,8.21,8.6,8.04,8.5,8.27,0.23,2.7811,176909.14,146669.418
002822.SZ,20191021,8.4,8.4,8.08,8.27,8.35,-0.08,-0.9581,60817.16,50088.933
002822.SZ,20191018,8.35,8.59,8.26,8.35,8.51,-0.16,-1.8801,66622.8,55890.524
