ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300327.SZ,20200110,29.02,30.66,28.9,29.4,28.67,0.73,2.5462,175634.75,522685.749
300327.SZ,20200109,28.67,28.82,28.26,28.67,28.23,0.44,1.5586,71241.33,203493.146
300327.SZ,20200108,28.9,28.94,28.06,28.23,29.1,-0.87,-2.9897,87970.92,250465.661
300327.SZ,20200107,29.38,29.57,28.77,29.1,29.2,-0.1,-0.3425,72481.85,210532.308
300327.SZ,20200106,28.82,29.56,28.65,29.2,29.27,-0.07,-0.2392,118824.65,346532.235
300327.SZ,20200103,28.09,29.87,27.67,29.27,27.95,1.32,4.7227,211730.1,608338.303
300327.SZ,20200102,26.28,28.34,26.07,27.95,25.76,2.19,8.5016,228790.26,634491.489
300327.SZ,20191231,25.88,26.32,25.35,25.76,26.02,-0.26,-0.9992,52434.71,135125.135
300327.SZ,20191230,25.52,26.12,25.27,26.02,25.88,0.14,0.541,65236.69,167561.481
300327.SZ,20191227,27.25,27.39,25.78,25.88,27.07,-1.19,-4.396,89289.83,236941.589
300327.SZ,20191226,27.3,27.3,26.75,27.07,27.33,-0.26,-0.9513,67379.85,181787.978
300327.SZ,20191225,26.53,27.5,26.34,27.33,26.57,0.76,2.8604,97047.83,263511.054
300327.SZ,20191224,26.1,26.6,25.89,26.57,25.89,0.68,2.6265,55719.42,146524.822
300327.SZ,20191223,26.4,26.5,25.78,25.89,27.09,-1.2,-4.4297,79402.53,207522.901
300327.SZ,20191220,27.36,27.67,27.01,27.09,27.29,-0.2,-0.7329,60625.78,165555.727
300327.SZ,20191219,28.0,28.0,27.01,27.29,28.22,-0.93,-3.2955,105621.84,288743.088
300327.SZ,20191218,28.0,28.59,27.65,28.22,28.09,0.13,0.4628,107485.78,301575.459
300327.SZ,20191217,28.6,28.6,27.78,28.09,28.48,-0.39,-1.3694,110915.46,310896.782
300327.SZ,20191216,27.15,28.91,27.03,28.48,27.14,1.34,4.9374,148039.92,416818.217
300327.SZ,20191213,26.74,27.93,26.25,27.14,26.5,0.64,2.4151,132571.96,358462.415
300327.SZ,20191212,25.5,27.26,25.34,26.5,25.4,1.1,4.3307,148112.73,392866.938
300327.SZ,20191211,25.82,25.96,25.12,25.4,25.98,-0.58,-2.2325,59816.89,152466.421
300327.SZ,20191210,25.58,26.15,25.1,25.98,25.63,0.35,1.3656,77060.06,198027.413
300327.SZ,20191209,25.86,25.94,25.42,25.63,25.49,0.14,0.5492,68151.21,174728.012
