ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603810.SH,20200110,30.69,30.94,30.49,30.84,30.72,0.12,0.3906,3243.0,9941.357
603810.SH,20200109,30.85,31.1,30.57,30.72,30.57,0.15,0.4907,5006.0,15403.594
603810.SH,20200108,31.02,31.47,30.53,30.57,31.3,-0.73,-2.3323,7942.0,24624.733
603810.SH,20200107,30.54,31.47,30.41,31.3,30.54,0.76,2.4885,11491.0,35457.624
603810.SH,20200106,30.68,30.68,30.2,30.54,30.79,-0.25,-0.812,8914.42,27162.473
603810.SH,20200103,30.18,31.59,30.01,30.79,30.31,0.48,1.5836,12236.06,37733.071
603810.SH,20200102,30.09,30.48,30.01,30.31,30.01,0.3,0.9997,6542.0,19806.221
603810.SH,20191231,29.9,30.08,29.83,30.01,30.05,-0.04,-0.1331,4725.0,14167.543
603810.SH,20191230,29.6,30.13,29.51,30.05,29.76,0.29,0.9745,5105.0,15247.025
603810.SH,20191227,29.79,29.96,29.6,29.76,29.75,0.01,0.0336,4727.0,14114.1
603810.SH,20191226,29.46,29.77,29.39,29.75,29.42,0.33,1.1217,3292.0,9722.568
603810.SH,20191225,29.4,29.6,29.36,29.42,29.55,-0.13,-0.4399,3448.0,10160.852
603810.SH,20191224,29.3,29.68,29.3,29.55,29.43,0.12,0.4077,2948.0,8685.846
603810.SH,20191223,29.66,29.8,29.35,29.43,29.78,-0.35,-1.1753,4351.0,12881.577
603810.SH,20191220,30.1,30.1,29.71,29.78,29.9,-0.12,-0.4013,3566.0,10640.806
603810.SH,20191219,29.8,30.06,29.68,29.9,29.8,0.1,0.3356,6050.0,18046.858
603810.SH,20191218,29.98,30.16,29.65,29.8,29.98,-0.18,-0.6004,7188.0,21503.089
603810.SH,20191217,29.72,30.29,29.52,29.98,29.72,0.26,0.8748,6457.0,19315.395
603810.SH,20191216,29.41,29.76,29.26,29.72,29.28,0.44,1.5027,4317.0,12749.838
603810.SH,20191213,29.15,29.4,29.12,29.28,29.15,0.13,0.446,4061.0,11872.453
603810.SH,20191212,29.33,29.38,29.1,29.15,29.32,-0.17,-0.5798,2848.56,8329.712
603810.SH,20191211,29.37,29.5,29.32,29.32,29.49,-0.17,-0.5765,1864.56,5478.276
603810.SH,20191210,29.36,29.64,29.11,29.49,29.37,0.12,0.4086,2605.0,7677.929
603810.SH,20191209,29.74,29.82,29.2,29.37,29.74,-0.37,-1.2441,5697.0,16806.498
603810.SH,20191206,29.32,29.98,29.04,29.74,29.3,0.44,1.5017,5093.01,15042.536
603810.SH,20191205,28.93,29.48,28.8,29.3,28.8,0.5,1.7361,5107.0,14904.909
603810.SH,20191204,28.8,28.88,28.66,28.8,28.8,0.0,0.0,3920.68,11272.385
