ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002279.SZ,20200110,6.6,6.6,6.36,6.42,6.58,-0.16,-2.4316,265678.95,170938.844
002279.SZ,20200109,6.23,6.63,6.22,6.58,6.15,0.43,6.9919,433006.82,278962.787
002279.SZ,20200108,6.3,6.34,6.13,6.15,6.39,-0.24,-3.7559,236987.43,147669.265
002279.SZ,20200107,6.31,6.55,6.27,6.39,6.31,0.08,1.2678,294816.44,188013.264
002279.SZ,20200106,6.31,6.37,6.15,6.31,6.34,-0.03,-0.4732,235271.06,147625.194
002279.SZ,20200103,6.31,6.36,6.23,6.34,6.37,-0.03,-0.471,269680.81,169811.917
002279.SZ,20200102,6.1,6.38,6.08,6.37,6.07,0.3,4.9423,330463.23,207169.893
002279.SZ,20191231,6.08,6.17,6.02,6.07,6.13,-0.06,-0.9788,164458.06,100038.443
002279.SZ,20191230,6.02,6.21,5.9,6.13,6.0,0.13,2.1667,255696.86,155883.063
002279.SZ,20191227,5.88,6.18,5.86,6.0,5.89,0.11,1.8676,231205.93,139680.766
002279.SZ,20191226,5.87,5.89,5.82,5.89,5.86,0.03,0.5119,88505.62,51862.319
002279.SZ,20191225,5.77,5.9,5.74,5.86,5.79,0.07,1.209,114621.56,67014.46
002279.SZ,20191224,5.75,5.79,5.68,5.79,5.72,0.07,1.2238,101787.0,58403.182
002279.SZ,20191223,5.94,5.95,5.7,5.72,5.96,-0.24,-4.0268,136970.4,79703.214
002279.SZ,20191220,6.15,6.17,5.94,5.96,6.15,-0.19,-3.0894,150048.12,90657.694
002279.SZ,20191219,6.11,6.16,6.08,6.15,6.09,0.06,0.9852,138111.19,84585.697
002279.SZ,20191218,6.1,6.19,6.06,6.09,6.12,-0.03,-0.4902,146961.66,89961.059
002279.SZ,20191217,6.07,6.16,6.01,6.12,6.06,0.06,0.9901,180835.46,110102.474
002279.SZ,20191216,5.94,6.07,5.88,6.06,5.93,0.13,2.1922,167435.3,100302.378
002279.SZ,20191213,5.93,5.97,5.88,5.93,5.92,0.01,0.1689,143065.26,84753.659
002279.SZ,20191212,5.85,5.98,5.81,5.92,5.84,0.08,1.3699,154521.31,91360.224
002279.SZ,20191211,5.89,5.97,5.84,5.84,5.87,-0.03,-0.5111,108506.26,63907.49
002279.SZ,20191210,5.86,5.89,5.74,5.87,5.85,0.02,0.3419,102205.26,59571.006
002279.SZ,20191209,5.82,5.94,5.78,5.85,5.8,0.05,0.8621,112024.9,65729.146
002279.SZ,20191206,5.74,5.81,5.71,5.8,5.75,0.05,0.8696,81664.18,47135.6
002279.SZ,20191205,5.66,5.76,5.66,5.75,5.66,0.09,1.5901,86400.3,49433.256
002279.SZ,20191204,5.67,5.7,5.63,5.66,5.69,-0.03,-0.5272,52842.6,29955.088
002279.SZ,20191203,5.63,5.7,5.58,5.69,5.67,0.02,0.3527,45704.19,25840.343
002279.SZ,20191202,5.65,5.68,5.6,5.67,5.64,0.03,0.5319,45802.45,25858.947
002279.SZ,20191129,5.56,5.67,5.51,5.64,5.58,0.06,1.0753,77679.8,43430.031
002279.SZ,20191128,5.63,5.65,5.52,5.58,5.63,-0.05,-0.8881,72667.92,40572.784
002279.SZ,20191127,5.65,5.7,5.6,5.63,5.65,-0.02,-0.354,51805.12,29252.053
002279.SZ,20191126,5.61,5.72,5.61,5.65,5.68,-0.03,-0.5282,57099.53,32348.442
002279.SZ,20191125,5.86,5.91,5.61,5.68,5.91,-0.23,-3.8917,150036.54,85666.257
002279.SZ,20191122,6.04,6.1,5.85,5.91,6.1,-0.19,-3.1148,178164.44,106194.557
002279.SZ,20191121,5.95,6.12,5.92,6.1,6.01,0.09,1.4975,143862.98,86916.759
002279.SZ,20191120,6.0,6.14,5.99,6.01,6.04,-0.03,-0.4967,135161.99,81949.465
002279.SZ,20191119,5.86,6.09,5.85,6.04,5.9,0.14,2.3729,132255.24,79245.112
002279.SZ,20191118,5.87,5.93,5.82,5.9,5.87,0.03,0.5111,101431.33,59514.693
002279.SZ,20191115,6.0,6.04,5.86,5.87,6.06,-0.19,-3.1353,123279.75,73396.694
002279.SZ,20191114,6.01,6.1,5.91,6.06,6.0,0.06,1.0,152388.34,91939.726
002279.SZ,20191113,6.04,6.13,5.92,6.0,6.14,-0.14,-2.2801,161597.2,96928.903
002279.SZ,20191112,6.03,6.26,6.0,6.14,5.95,0.19,3.1933,242719.13,148652.142
002279.SZ,20191111,5.88,6.04,5.88,5.95,5.98,-0.03,-0.5017,102188.45,60951.062
002279.SZ,20191108,5.98,6.07,5.96,5.98,5.95,0.03,0.5042,116897.27,70214.316
002279.SZ,20191107,5.86,5.99,5.82,5.95,5.86,0.09,1.5358,112003.12,66433.111
002279.SZ,20191106,6.0,6.06,5.82,5.86,6.02,-0.16,-2.6578,158676.3,94084.417
002279.SZ,20191105,6.1,6.13,5.91,6.02,6.1,-0.08,-1.3115,180551.4,108549.681
002279.SZ,20191104,6.14,6.26,6.1,6.1,6.12,-0.02,-0.3268,198469.47,122408.016
002279.SZ,20191101,6.08,6.22,5.93,6.12,6.18,-0.06,-0.9709,272375.39,165727.85
002279.SZ,20191031,6.54,6.67,6.08,6.18,6.5,-0.32,-4.9231,500792.72,318435.325
002279.SZ,20191030,6.8,7.07,6.49,6.5,7.21,-0.71,-9.8474,766749.68,515828.127
002279.SZ,20191029,7.25,7.61,6.88,7.21,6.92,0.29,4.1908,859433.55,618606.143
002279.SZ,20191028,6.92,6.92,6.85,6.92,6.29,0.63,10.0159,340689.58,235742.394
002279.SZ,20191025,6.15,6.45,6.13,6.29,6.23,0.06,0.9631,81185.3,51087.299
002279.SZ,20191024,6.29,6.35,6.19,6.23,6.23,0.0,0.0,59543.93,37326.847
002279.SZ,20191023,6.28,6.39,6.22,6.23,6.3,-0.07,-1.1111,61309.9,38580.548
002279.SZ,20191022,6.19,6.4,6.18,6.3,6.2,0.1,1.6129,51364.36,32266.28
002279.SZ,20191021,6.36,6.36,6.07,6.2,6.4,-0.2,-3.125,66129.4,40851.784
002279.SZ,20191018,6.48,6.56,6.32,6.4,6.62,-0.22,-3.3233,92440.4,59465.122
002279.SZ,20191017,6.39,6.73,6.39,6.62,6.41,0.21,3.2761,124733.52,82181.681
002279.SZ,20191016,6.3,6.77,6.24,6.41,6.27,0.14,2.2329,119526.61,77898.764
002279.SZ,20191015,6.56,6.56,6.23,6.27,6.47,-0.2,-3.0912,59738.65,37853.041
002279.SZ,20191014,6.33,6.63,6.33,6.47,6.29,0.18,2.8617,72762.05,47040.067
002279.SZ,20191011,6.29,6.35,6.18,6.29,6.28,0.01,0.1592,46627.45,29185.109
002279.SZ,20191010,6.16,6.29,6.13,6.28,6.16,0.12,1.9481,46190.23,28737.164
002279.SZ,20191009,6.12,6.17,6.02,6.16,6.13,0.03,0.4894,31812.4,19442.277
002279.SZ,20191008,6.11,6.19,6.1,6.13,6.11,0.02,0.3273,30508.02,18741.095
002279.SZ,20190930,6.22,6.32,6.11,6.11,6.22,-0.11,-1.7685,40379.32,24957.779
002279.SZ,20190927,6.12,6.3,6.1,6.22,6.15,0.07,1.1382,40559.52,25292.901
002279.SZ,20190926,6.49,6.52,6.12,6.15,6.43,-0.28,-4.3546,60197.96,37785.048
002279.SZ,20190925,6.6,6.6,6.4,6.43,6.62,-0.19,-2.8701,65765.94,42552.228
002279.SZ,20190924,6.66,6.75,6.6,6.62,6.61,0.01,0.1513,64215.62,42887.652
002279.SZ,20190923,6.71,6.72,6.53,6.61,6.71,-0.1,-1.4903,60725.52,39979.358
002279.SZ,20190920,6.79,6.85,6.7,6.71,6.83,-0.12,-1.757,67886.24,45939.979
002279.SZ,20190919,6.76,6.84,6.58,6.83,6.76,0.07,1.0355,91634.88,61551.415
002279.SZ,20190918,6.81,6.91,6.75,6.76,6.8,-0.04,-0.5882,68667.75,46809.224
002279.SZ,20190917,7.05,7.07,6.75,6.8,7.09,-0.29,-4.0903,124985.25,85807.301
002279.SZ,20190916,6.93,7.14,6.85,7.09,6.91,0.18,2.6049,173835.71,122373.982
002279.SZ,20190912,6.97,7.0,6.84,6.91,6.94,-0.03,-0.4323,100387.99,69269.045
002279.SZ,20190911,7.09,7.09,6.9,6.94,7.05,-0.11,-1.5603,130727.18,91064.191
002279.SZ,20190910,7.15,7.17,6.96,7.05,7.18,-0.13,-1.8106,195742.55,137879.977
002279.SZ,20190909,6.93,7.3,6.81,7.18,6.8,0.38,5.5882,277549.87,195573.811
002279.SZ,20190906,6.88,6.95,6.7,6.8,6.9,-0.1,-1.4493,149367.17,101796.535
002279.SZ,20190905,6.93,7.26,6.89,6.9,6.97,-0.07,-1.0043,275024.97,194254.049
002279.SZ,20190904,6.7,7.07,6.69,6.97,6.82,0.15,2.1994,263640.72,180842.468
002279.SZ,20190903,6.87,6.95,6.7,6.82,7.08,-0.26,-3.6723,310110.48,211411.178
002279.SZ,20190902,6.76,7.29,6.4,7.08,6.78,0.3,4.4248,483971.82,334982.999
002279.SZ,20190830,6.16,6.78,6.16,6.78,6.16,0.62,10.0649,251778.4,168759.468
002279.SZ,20190829,6.06,6.34,6.06,6.16,6.07,0.09,1.4827,105365.38,65517.416
002279.SZ,20190828,6.11,6.13,6.01,6.07,6.09,-0.02,-0.3284,56062.51,33980.33
002279.SZ,20190827,6.01,6.14,5.97,6.09,5.97,0.12,2.0101,83166.24,50492.992
002279.SZ,20190826,6.02,6.08,5.94,5.97,6.29,-0.32,-5.0874,136984.75,82243.76
002279.SZ,20190823,5.83,6.48,5.82,6.29,5.89,0.4,6.7912,252496.66,160691.369
002279.SZ,20190822,5.88,5.89,5.78,5.89,5.86,0.03,0.5119,28572.36,16694.34
002279.SZ,20190821,5.96,5.96,5.83,5.86,5.91,-0.05,-0.846,28421.6,16701.021
002279.SZ,20190820,5.91,6.03,5.88,5.91,5.89,0.02,0.3396,56596.89,33684.609
002279.SZ,20190819,5.73,5.91,5.71,5.89,5.69,0.2,3.5149,57705.85,33716.698
002279.SZ,20190816,5.67,5.76,5.67,5.69,5.74,-0.05,-0.8711,32482.55,18547.569
002279.SZ,20190815,5.52,5.85,5.47,5.74,5.63,0.11,1.9538,43094.93,24344.335
002279.SZ,20190814,5.72,5.74,5.61,5.63,5.62,0.01,0.1779,21698.2,12302.264
002279.SZ,20190813,5.63,5.7,5.55,5.62,5.64,-0.02,-0.3546,24578.7,13821.291
002279.SZ,20190812,5.5,5.65,5.48,5.64,5.5,0.14,2.5455,31090.88,17310.772
002279.SZ,20190809,5.7,5.7,5.47,5.5,5.65,-0.15,-2.6549,33667.9,18732.515
002279.SZ,20190808,5.69,5.72,5.64,5.65,5.66,-0.01,-0.1767,21447.6,12177.772
002279.SZ,20190807,5.77,5.83,5.66,5.66,5.73,-0.07,-1.2216,21721.75,12452.116
002279.SZ,20190806,5.94,5.94,5.54,5.73,6.02,-0.29,-4.8173,45592.4,26075.814
002279.SZ,20190805,5.95,6.05,5.95,6.02,6.02,0.0,0.0,26183.2,15680.269
002279.SZ,20190802,5.96,6.02,5.9,6.02,6.09,-0.07,-1.1494,31494.75,18754.62
002279.SZ,20190801,6.11,6.13,6.0,6.09,6.1,-0.01,-0.1639,24385.1,14808.874
002279.SZ,20190731,6.19,6.19,6.08,6.1,6.17,-0.07,-1.1345,26449.28,16144.572
002279.SZ,20190730,6.15,6.23,6.13,6.17,6.14,0.03,0.4886,21473.9,13271.45
002279.SZ,20190729,6.21,6.22,6.12,6.14,6.19,-0.05,-0.8078,20060.28,12339.188
002279.SZ,20190726,6.24,6.26,6.19,6.19,6.23,-0.04,-0.6421,19011.45,11804.622
002279.SZ,20190725,6.2,6.26,6.15,6.23,6.21,0.02,0.3221,21142.52,13173.02
002279.SZ,20190724,6.16,6.27,6.16,6.21,6.16,0.05,0.8117,29439.54,18335.963
002279.SZ,20190723,6.11,6.18,6.06,6.16,6.07,0.09,1.4827,24748.48,15186.789
002279.SZ,20190722,6.36,6.37,6.04,6.07,6.32,-0.25,-3.9557,48350.9,29641.848
002279.SZ,20190719,6.3,6.44,6.3,6.32,6.3,0.02,0.3175,24453.27,15571.946
002279.SZ,20190718,6.39,6.4,6.23,6.3,6.42,-0.12,-1.8692,35857.04,22582.423
002279.SZ,20190717,6.37,6.47,6.37,6.42,6.36,0.06,0.9434,29947.8,19246.675
002279.SZ,20190716,6.41,6.45,6.33,6.36,6.41,-0.05,-0.78,33904.37,21631.498
