ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002319.SZ,20200110,9.09,9.16,8.98,9.13,9.08,0.05,0.5507,20637.0,18729.441
002319.SZ,20200109,9.04,9.17,9.04,9.08,9.08,0.0,0.0,25708.19,23436.002
002319.SZ,20200108,9.31,9.37,8.94,9.08,9.27,-0.19,-2.0496,30431.14,27713.316
002319.SZ,20200107,9.07,9.28,9.04,9.27,9.07,0.2,2.2051,28493.98,26164.588
002319.SZ,20200106,9.1,9.16,8.98,9.07,9.16,-0.09,-0.9825,24542.98,22302.743
002319.SZ,20200103,9.11,9.22,9.07,9.16,9.14,0.02,0.2188,27120.0,24784.014
002319.SZ,20200102,9.15,9.27,9.1,9.14,9.14,0.0,0.0,34189.0,31403.186
002319.SZ,20191231,8.94,9.15,8.87,9.14,8.98,0.16,1.7817,20140.76,18209.115
002319.SZ,20191230,8.81,9.04,8.7,8.98,8.96,0.02,0.2232,22819.83,20316.394
002319.SZ,20191227,9.0,9.2,8.9,8.96,9.1,-0.14,-1.5385,33043.04,30074.399
002319.SZ,20191226,9.0,9.16,8.82,9.1,9.03,0.07,0.7752,36448.03,32525.692
002319.SZ,20191225,9.16,9.16,8.97,9.03,9.24,-0.21,-2.2727,42834.07,38761.853
002319.SZ,20191224,8.85,9.39,8.85,9.24,8.82,0.42,4.7619,65707.78,60362.046
002319.SZ,20191223,9.11,9.16,8.75,8.82,9.18,-0.36,-3.9216,40230.47,35818.365
002319.SZ,20191220,9.3,9.35,9.06,9.18,9.25,-0.07,-0.7568,64584.46,59544.287
002319.SZ,20191219,9.44,9.53,9.08,9.25,9.8,-0.55,-5.6122,97007.91,89974.368
002319.SZ,20191218,9.5,10.28,8.52,9.8,9.45,0.35,3.7037,171875.95,166316.284
002319.SZ,20191217,9.38,9.45,9.29,9.45,8.59,0.86,10.0116,52968.2,49904.482
002319.SZ,20191216,7.88,8.59,7.71,8.59,7.81,0.78,9.9872,41034.98,34119.428
002319.SZ,20191213,7.82,7.94,7.75,7.81,7.82,-0.01,-0.1279,20556.68,16118.321
002319.SZ,20191212,7.9,7.91,7.76,7.82,7.88,-0.06,-0.7614,18946.63,14856.282
002319.SZ,20191211,8.12,8.12,7.85,7.88,8.07,-0.19,-2.3544,18740.0,14891.716
002319.SZ,20191210,8.13,8.25,7.92,8.07,8.1,-0.03,-0.3704,24510.0,19710.303
002319.SZ,20191209,8.24,8.4,8.07,8.1,8.24,-0.14,-1.699,24267.72,19816.041
002319.SZ,20191206,7.94,8.65,7.88,8.24,7.93,0.31,3.9092,55781.68,46315.463
002319.SZ,20191205,7.77,8.0,7.7,7.93,7.73,0.2,2.5873,25961.0,20374.349
002319.SZ,20191204,7.72,7.75,7.57,7.73,7.65,0.08,1.0458,17242.84,13264.568
002319.SZ,20191203,7.58,7.7,7.44,7.65,7.6,0.05,0.6579,16990.67,12867.631
002319.SZ,20191202,7.65,7.79,7.57,7.6,7.6,0.0,0.0,12912.01,9876.446
002319.SZ,20191129,7.67,7.75,7.53,7.6,7.68,-0.08,-1.0417,12816.97,9746.507
002319.SZ,20191128,7.68,7.82,7.61,7.68,7.69,-0.01,-0.13,12143.62,9365.334
002319.SZ,20191127,7.93,7.93,7.65,7.69,7.82,-0.13,-1.6624,11888.58,9211.523
002319.SZ,20191126,7.9,7.99,7.72,7.82,7.89,-0.07,-0.8872,19966.1,15608.661
002319.SZ,20191125,8.09,8.15,7.85,7.89,8.07,-0.18,-2.2305,16959.17,13518.387
002319.SZ,20191122,8.08,8.33,8.0,8.07,8.15,-0.08,-0.9816,19653.0,16030.662
002319.SZ,20191121,8.17,8.26,8.07,8.15,8.25,-0.1,-1.2121,15890.5,12940.25
002319.SZ,20191120,8.44,8.56,8.23,8.25,8.46,-0.21,-2.4823,10784.07,9003.693
002319.SZ,20191119,8.17,8.49,8.17,8.46,8.2,0.26,3.1707,14561.0,12199.199
002319.SZ,20191118,8.07,8.26,8.03,8.2,8.11,0.09,1.1097,14722.75,11994.126
002319.SZ,20191115,8.3,8.37,8.09,8.11,8.28,-0.17,-2.0531,15038.57,12319.327
002319.SZ,20191114,8.26,8.47,8.23,8.28,8.36,-0.08,-0.9569,14293.0,11871.831
