ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300040.SZ,20200110,5.81,5.95,5.7,5.83,5.8,0.03,0.5172,93788.06,54571.118
300040.SZ,20200109,5.77,5.82,5.74,5.8,5.73,0.07,1.2216,51461.89,29762.222
300040.SZ,20200108,5.71,5.88,5.66,5.73,5.75,-0.02,-0.3478,85121.81,49273.654
300040.SZ,20200107,5.62,5.81,5.62,5.75,5.64,0.11,1.9504,58143.87,33324.282
300040.SZ,20200106,5.58,5.69,5.55,5.64,5.62,0.02,0.3559,38668.04,21832.333
300040.SZ,20200103,5.63,5.64,5.58,5.62,5.61,0.01,0.1783,22816.0,12806.255
300040.SZ,20200102,5.58,5.63,5.57,5.61,5.54,0.07,1.2635,32078.27,17966.019
300040.SZ,20191231,5.5,5.56,5.49,5.54,5.52,0.02,0.3623,18467.0,10203.747
300040.SZ,20191230,5.47,5.54,5.38,5.52,5.49,0.03,0.5464,23635.42,12939.647
300040.SZ,20191227,5.55,5.58,5.48,5.49,5.55,-0.06,-1.0811,26810.0,14848.841
300040.SZ,20191226,5.46,5.55,5.45,5.55,5.46,0.09,1.6484,21524.05,11868.535
300040.SZ,20191225,5.46,5.52,5.43,5.46,5.46,0.0,0.0,22603.88,12395.724
300040.SZ,20191224,5.36,5.48,5.36,5.46,5.35,0.11,2.0561,22540.0,12237.056
300040.SZ,20191223,5.5,5.52,5.35,5.35,5.51,-0.16,-2.9038,24374.0,13231.552
300040.SZ,20191220,5.59,5.61,5.51,5.51,5.58,-0.07,-1.2545,31959.0,17709.861
300040.SZ,20191219,5.5,5.61,5.48,5.58,5.5,0.08,1.4545,40859.01,22716.215
300040.SZ,20191218,5.48,5.53,5.47,5.5,5.48,0.02,0.365,26714.0,14680.817
300040.SZ,20191217,5.46,5.52,5.44,5.48,5.44,0.04,0.7353,34722.28,19042.809
300040.SZ,20191216,5.38,5.45,5.32,5.44,5.38,0.06,1.1152,36422.0,19658.242
300040.SZ,20191213,5.33,5.4,5.32,5.38,5.31,0.07,1.3183,23990.0,12869.621
300040.SZ,20191212,5.35,5.35,5.29,5.31,5.35,-0.04,-0.7477,20994.02,11154.877
300040.SZ,20191211,5.39,5.39,5.32,5.35,5.39,-0.04,-0.7421,19247.27,10299.404
300040.SZ,20191210,5.38,5.41,5.33,5.39,5.39,0.0,0.0,19103.01,10262.109
300040.SZ,20191209,5.37,5.43,5.37,5.39,5.38,0.01,0.1859,15670.01,8460.17
300040.SZ,20191206,5.38,5.4,5.32,5.38,5.37,0.01,0.1862,16663.04,8937.842
300040.SZ,20191205,5.35,5.39,5.33,5.37,5.32,0.05,0.9398,23091.03,12392.492
300040.SZ,20191204,5.28,5.35,5.25,5.32,5.3,0.02,0.3774,15076.01,7998.846
300040.SZ,20191203,5.21,5.31,5.21,5.3,5.26,0.04,0.7605,15765.01,8297.949
300040.SZ,20191202,5.24,5.29,5.23,5.26,5.25,0.01,0.1905,11604.0,6100.5
300040.SZ,20191129,5.22,5.25,5.2,5.25,5.24,0.01,0.1908,12754.52,6672.069
300040.SZ,20191128,5.23,5.26,5.21,5.24,5.25,-0.01,-0.1905,15535.53,8128.353
300040.SZ,20191127,5.32,5.32,5.24,5.25,5.38,-0.13,-2.4164,30368.0,16013.348
300040.SZ,20191126,5.4,5.55,5.3,5.38,5.26,0.12,2.2814,52504.01,28469.013
300040.SZ,20191125,5.22,5.28,5.2,5.26,5.22,0.04,0.7663,15126.0,7942.233
300040.SZ,20191122,5.27,5.34,5.18,5.22,5.26,-0.04,-0.7605,16616.0,8737.55
300040.SZ,20191121,5.21,5.28,5.19,5.26,5.22,0.04,0.7663,9188.0,4817.264
300040.SZ,20191120,5.28,5.33,5.21,5.22,5.31,-0.09,-1.6949,13917.0,7315.432
300040.SZ,20191119,5.17,5.33,5.17,5.31,5.22,0.09,1.7241,15370.01,8111.59
300040.SZ,20191118,5.2,5.23,5.16,5.22,5.2,0.02,0.3846,11674.0,6069.371
300040.SZ,20191115,5.31,5.31,5.18,5.2,5.31,-0.11,-2.0716,16168.0,8452.189
300040.SZ,20191114,5.35,5.35,5.26,5.31,5.3,0.01,0.1887,10698.01,5667.345
300040.SZ,20191113,5.33,5.35,5.28,5.3,5.33,-0.03,-0.5629,8883.0,4720.102
300040.SZ,20191112,5.29,5.35,5.24,5.33,5.29,0.04,0.7561,13850.77,7339.618
300040.SZ,20191111,5.47,5.47,5.28,5.29,5.47,-0.18,-3.2907,27457.0,14701.512
300040.SZ,20191108,5.53,5.61,5.47,5.47,5.52,-0.05,-0.9058,23074.0,12770.285
300040.SZ,20191107,5.5,5.53,5.46,5.52,5.48,0.04,0.7299,14420.02,7934.553
300040.SZ,20191106,5.51,5.53,5.47,5.48,5.51,-0.03,-0.5445,14628.03,8047.367
300040.SZ,20191105,5.52,5.55,5.47,5.51,5.54,-0.03,-0.5415,25901.73,14261.074
300040.SZ,20191104,5.53,5.61,5.52,5.54,5.55,-0.01,-0.1802,21022.74,11686.004
300040.SZ,20191101,5.47,5.55,5.45,5.55,5.48,0.07,1.2774,21670.03,11951.356
300040.SZ,20191031,5.51,5.58,5.48,5.48,5.55,-0.07,-1.2613,29639.83,16373.741
300040.SZ,20191030,5.7,5.7,5.53,5.55,5.72,-0.17,-2.972,49703.73,27730.794
300040.SZ,20191029,5.93,5.96,5.7,5.72,5.85,-0.13,-2.2222,90815.02,53107.184
300040.SZ,20191028,5.8,5.87,5.7,5.85,5.84,0.01,0.1712,78608.78,45606.992
300040.SZ,20191025,5.73,5.84,5.67,5.84,5.78,0.06,1.0381,94115.9,54357.148
300040.SZ,20191024,6.0,6.0,5.76,5.78,6.11,-0.33,-5.401,182201.1,106397.795
300040.SZ,20191023,5.55,6.11,5.51,6.11,5.55,0.56,10.0901,135278.31,81597.112
300040.SZ,20191022,5.56,5.59,5.49,5.55,5.59,-0.04,-0.7156,27279.41,15097.52
300040.SZ,20191021,5.52,5.61,5.42,5.59,5.44,0.15,2.7574,37471.0,20669.759
300040.SZ,20191018,5.56,5.6,5.43,5.44,5.55,-0.11,-1.982,29821.91,16374.725
300040.SZ,20191017,5.61,5.63,5.51,5.55,5.58,-0.03,-0.5376,25220.0,14043.982
300040.SZ,20191016,5.69,5.7,5.56,5.58,5.67,-0.09,-1.5873,27954.0,15691.904
