ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601566.SH,20200110,11.4,11.56,11.37,11.56,11.39,0.17,1.4925,27951.83,32022.405
601566.SH,20200109,11.37,11.43,11.32,11.39,11.32,0.07,0.6184,19621.51,22339.576
601566.SH,20200108,11.38,11.42,11.29,11.32,11.42,-0.1,-0.8757,23448.69,26612.466
601566.SH,20200107,11.46,11.46,11.32,11.42,11.42,0.0,0.0,30933.02,35257.655
601566.SH,20200106,11.47,11.5,11.38,11.42,11.48,-0.06,-0.5226,22308.11,25519.04
601566.SH,20200103,11.51,11.55,11.39,11.48,11.51,-0.03,-0.2606,27121.4,31109.485
601566.SH,20200102,11.47,11.55,11.43,11.51,11.44,0.07,0.6119,34081.9,39179.299
601566.SH,20191231,11.33,11.45,11.3,11.44,11.33,0.11,0.9709,21754.79,24757.446
601566.SH,20191230,11.24,11.35,11.18,11.33,11.27,0.06,0.5324,18299.5,20621.355
601566.SH,20191227,11.36,11.43,11.27,11.27,11.34,-0.07,-0.6173,23500.34,26657.923
601566.SH,20191226,11.33,11.35,11.26,11.34,11.33,0.01,0.0883,11514.0,13024.364
601566.SH,20191225,11.27,11.33,11.22,11.33,11.29,0.04,0.3543,16856.56,18987.507
601566.SH,20191224,11.26,11.3,11.19,11.29,11.25,0.04,0.3556,15650.9,17610.947
601566.SH,20191223,11.34,11.39,11.24,11.25,11.34,-0.09,-0.7937,16272.87,18401.755
601566.SH,20191220,11.44,11.46,11.34,11.34,11.44,-0.1,-0.8741,15623.1,17810.677
601566.SH,20191219,11.4,11.45,11.35,11.44,11.39,0.05,0.439,15875.0,18126.629
601566.SH,20191218,11.48,11.55,11.37,11.39,11.51,-0.12,-1.0426,19763.39,22609.096
601566.SH,20191217,11.57,11.66,11.45,11.51,11.54,-0.03,-0.26,36844.03,42670.6
601566.SH,20191216,11.54,11.6,11.45,11.54,11.57,-0.03,-0.2593,25034.0,28822.698
601566.SH,20191213,11.46,11.6,11.37,11.57,11.45,0.12,1.048,39051.32,44904.119
601566.SH,20191212,11.29,11.48,11.25,11.45,11.29,0.16,1.4172,39350.93,44892.104
601566.SH,20191211,11.18,11.31,11.15,11.29,11.19,0.1,0.8937,18625.83,20952.823
601566.SH,20191210,11.14,11.2,11.1,11.19,11.13,0.06,0.5391,11040.0,12299.38
601566.SH,20191209,11.13,11.15,11.08,11.13,11.12,0.01,0.0899,7521.1,8349.683
601566.SH,20191206,11.08,11.12,11.05,11.12,11.07,0.05,0.4517,9103.91,10104.953
601566.SH,20191205,11.06,11.1,11.04,11.07,11.07,0.0,0.0,6894.0,7631.011
601566.SH,20191204,11.06,11.07,11.02,11.07,11.04,0.03,0.2717,7973.7,8815.682
601566.SH,20191203,11.01,11.05,11.0,11.04,11.05,-0.01,-0.0905,6920.6,7631.143
601566.SH,20191202,11.05,11.06,11.01,11.05,11.05,0.0,0.0,6552.01,7235.828
601566.SH,20191129,11.06,11.06,11.0,11.05,11.03,0.02,0.1813,6593.77,7280.088
601566.SH,20191128,11.11,11.11,11.01,11.03,11.08,-0.05,-0.4513,7237.07,7995.454
