ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603389.SH,20200110,6.21,6.27,6.08,6.14,6.28,-0.14,-2.2293,54706.48,33674.059
603389.SH,20200109,6.24,6.37,6.21,6.28,6.26,0.02,0.3195,51701.6,32477.447
603389.SH,20200108,6.51,6.59,6.19,6.26,6.66,-0.4,-6.006,108050.89,69162.18
603389.SH,20200107,6.7,7.2,6.6,6.66,6.57,0.09,1.3699,178925.09,121882.058
603389.SH,20200106,6.57,6.57,6.57,6.57,5.97,0.6,10.0503,23987.8,15759.985
603389.SH,20200103,6.04,6.04,5.9,5.97,5.98,-0.01,-0.1672,33224.11,19814.362
603389.SH,20200102,5.88,6.03,5.85,5.98,5.84,0.14,2.3973,35752.48,21337.215
603389.SH,20191231,5.78,5.87,5.75,5.84,5.79,0.05,0.8636,19764.4,11491.232
603389.SH,20191230,5.86,5.86,5.64,5.79,5.83,-0.04,-0.6861,24006.69,13782.48
603389.SH,20191227,5.81,5.95,5.81,5.83,5.87,-0.04,-0.6814,28067.4,16459.982
603389.SH,20191226,5.76,5.87,5.69,5.87,5.76,0.11,1.9097,22766.63,13147.452
603389.SH,20191225,5.77,5.82,5.71,5.76,5.75,0.01,0.1739,15488.99,8927.23
603389.SH,20191224,5.69,5.78,5.69,5.75,5.68,0.07,1.2324,17336.2,9938.384
603389.SH,20191223,5.85,5.85,5.67,5.68,5.85,-0.17,-2.906,31102.74,17896.532
603389.SH,20191220,5.92,6.03,5.85,5.85,5.91,-0.06,-1.0152,34532.32,20503.489
603389.SH,20191219,5.86,5.97,5.84,5.91,5.86,0.05,0.8532,27065.48,15970.45
603389.SH,20191218,5.82,5.92,5.8,5.86,5.83,0.03,0.5146,30675.0,17940.991
603389.SH,20191217,5.74,5.85,5.71,5.83,5.74,0.09,1.5679,35644.2,20656.009
603389.SH,20191216,5.65,5.74,5.62,5.74,5.65,0.09,1.5929,28003.34,15951.013
603389.SH,20191213,5.67,5.69,5.59,5.65,5.62,0.03,0.5338,23703.2,13346.497
603389.SH,20191212,5.66,5.73,5.62,5.62,5.63,-0.01,-0.1776,22622.38,12845.699
603389.SH,20191211,5.68,5.7,5.61,5.63,5.7,-0.07,-1.2281,23837.2,13476.538
603389.SH,20191210,5.68,5.74,5.65,5.7,5.73,-0.03,-0.5236,24322.4,13833.469
603389.SH,20191209,5.8,5.83,5.69,5.73,5.79,-0.06,-1.0363,30666.33,17608.825
603389.SH,20191206,5.75,5.98,5.75,5.79,5.68,0.11,1.9366,49990.13,29084.91
603389.SH,20191205,5.64,5.75,5.62,5.68,5.73,-0.05,-0.8726,27093.2,15390.941
603389.SH,20191204,5.62,5.98,5.56,5.73,5.62,0.11,1.9573,49405.73,28176.484
603389.SH,20191203,5.51,5.63,5.48,5.62,5.57,0.05,0.8977,26698.47,14864.037
603389.SH,20191202,5.71,5.75,5.54,5.57,5.69,-0.12,-2.109,28351.0,15945.852
603389.SH,20191129,5.78,5.78,5.64,5.69,5.75,-0.06,-1.0435,21261.8,12099.904
603389.SH,20191128,5.74,5.82,5.7,5.75,5.74,0.01,0.1742,20679.8,11937.42
603389.SH,20191127,5.81,5.86,5.68,5.74,5.85,-0.11,-1.8803,29272.8,16832.234
603389.SH,20191126,5.87,5.91,5.81,5.85,5.87,-0.02,-0.3407,15710.4,9211.388
603389.SH,20191125,6.03,6.07,5.82,5.87,6.03,-0.16,-2.6534,28386.4,16751.048
603389.SH,20191122,6.07,6.15,6.0,6.03,6.07,-0.04,-0.659,19890.74,12092.247
603389.SH,20191121,6.14,6.14,6.02,6.07,6.16,-0.09,-1.461,21595.74,13094.012
603389.SH,20191120,6.16,6.22,6.11,6.16,6.17,-0.01,-0.1621,14900.6,9181.559
603389.SH,20191119,6.08,6.19,6.08,6.17,6.08,0.09,1.4803,15997.6,9846.916
603389.SH,20191118,6.02,6.14,6.01,6.08,6.05,0.03,0.4959,17453.65,10617.241
603389.SH,20191115,6.11,6.21,6.0,6.05,6.11,-0.06,-0.982,21378.2,13046.503
603389.SH,20191114,6.11,6.18,6.05,6.11,6.09,0.02,0.3284,17477.4,10695.976
603389.SH,20191113,6.18,6.24,6.03,6.09,6.2,-0.11,-1.7742,20175.2,12320.086
603389.SH,20191112,6.19,6.32,6.12,6.2,6.14,0.06,0.9772,20416.6,12642.132
603389.SH,20191111,6.4,6.41,6.11,6.14,6.42,-0.28,-4.3614,25476.1,15832.097
603389.SH,20191108,6.55,6.57,6.35,6.42,6.59,-0.17,-2.5797,31224.44,20134.617
603389.SH,20191107,6.5,6.79,6.41,6.59,6.49,0.1,1.5408,39920.24,26243.717
603389.SH,20191106,6.62,6.62,6.47,6.49,6.57,-0.08,-1.2177,13843.4,9015.132
603389.SH,20191105,6.55,6.6,6.45,6.57,6.57,0.0,0.0,20810.96,13626.372
603389.SH,20191104,6.45,6.59,6.45,6.57,6.46,0.11,1.7028,22198.24,14542.185
603389.SH,20191101,6.38,6.51,6.3,6.46,6.32,0.14,2.2152,23595.2,15181.626
603389.SH,20191031,6.54,6.57,6.32,6.32,6.55,-0.23,-3.5115,30223.8,19444.598
603389.SH,20191030,6.64,6.75,6.52,6.55,6.73,-0.18,-2.6746,22625.28,14933.591
603389.SH,20191029,6.98,6.98,6.7,6.73,6.89,-0.16,-2.3222,26687.4,18190.646
603389.SH,20191028,6.79,6.93,6.77,6.89,6.83,0.06,0.8785,25266.96,17357.614
603389.SH,20191025,6.78,6.84,6.68,6.83,6.77,0.06,0.8863,20032.4,13589.18
603389.SH,20191024,6.74,6.8,6.7,6.77,6.73,0.04,0.5944,14767.8,9985.728
603389.SH,20191023,6.68,6.83,6.67,6.73,6.7,0.03,0.4478,23509.0,15896.435
603389.SH,20191022,6.61,6.71,6.52,6.7,6.59,0.11,1.6692,21633.2,14366.729
603389.SH,20191021,6.63,6.65,6.46,6.59,6.63,-0.04,-0.6033,21279.98,13915.625
603389.SH,20191018,6.72,6.78,6.57,6.63,6.72,-0.09,-1.3393,20181.58,13431.15
603389.SH,20191017,6.74,6.8,6.66,6.72,6.73,-0.01,-0.1486,15629.4,10545.15
603389.SH,20191016,6.85,6.92,6.71,6.73,6.85,-0.12,-1.7518,16566.28,11319.121
603389.SH,20191015,6.97,6.97,6.84,6.85,6.94,-0.09,-1.2968,14879.18,10224.672
603389.SH,20191014,6.92,6.96,6.84,6.94,6.83,0.11,1.6105,22473.2,15537.111
603389.SH,20191011,6.71,6.9,6.71,6.83,6.78,0.05,0.7375,25840.4,17646.825
603389.SH,20191010,6.7,6.8,6.67,6.78,6.73,0.05,0.7429,19914.28,13445.575
603389.SH,20191009,6.61,6.73,6.51,6.73,6.62,0.11,1.6616,19755.54,13056.443
603389.SH,20191008,6.68,6.71,6.59,6.62,6.67,-0.05,-0.7496,17718.14,11782.112
603389.SH,20190930,6.71,6.73,6.6,6.67,6.71,-0.04,-0.5961,22704.48,15120.042
603389.SH,20190927,6.79,6.85,6.66,6.71,6.71,0.0,0.0,20604.25,13907.336
603389.SH,20190926,6.93,7.07,6.62,6.71,6.93,-0.22,-3.1746,36613.2,24937.634
603389.SH,20190925,7.14,7.17,6.92,6.93,7.12,-0.19,-2.6685,27455.5,19260.625
603389.SH,20190924,7.1,7.18,7.05,7.12,7.1,0.02,0.2817,23809.0,16941.65
603389.SH,20190923,7.06,7.19,7.02,7.1,7.1,0.0,0.0,24320.12,17213.845
603389.SH,20190920,7.13,7.18,7.06,7.1,7.09,0.01,0.141,21566.4,15342.936
603389.SH,20190919,7.09,7.13,7.02,7.09,7.05,0.04,0.5674,21397.25,15132.748
603389.SH,20190918,7.01,7.13,7.01,7.05,7.05,0.0,0.0,23348.3,16505.151
603389.SH,20190917,7.24,7.24,6.98,7.05,7.26,-0.21,-2.8926,33493.75,23699.37
603389.SH,20190916,7.24,7.34,7.19,7.26,7.22,0.04,0.554,24941.03,18097.616
603389.SH,20190912,7.31,7.31,7.17,7.22,7.18,0.04,0.5571,32646.72,23623.764
603389.SH,20190911,7.22,7.32,7.17,7.18,7.2,-0.02,-0.2778,35428.64,25630.621
603389.SH,20190910,7.14,7.25,7.1,7.2,7.1,0.1,1.4085,41221.58,29618.637
603389.SH,20190909,7.05,7.16,7.03,7.1,7.0,0.1,1.4286,28562.8,20254.333
603389.SH,20190906,7.02,7.08,6.91,7.0,7.02,-0.02,-0.2849,25495.7,17810.603
603389.SH,20190905,7.05,7.19,7.01,7.02,7.0,0.02,0.2857,39234.92,27782.484
603389.SH,20190904,7.02,7.06,6.93,7.0,7.06,-0.06,-0.8499,29783.8,20798.706
603389.SH,20190903,6.94,7.26,6.87,7.06,6.91,0.15,2.1708,55307.38,38903.563
603389.SH,20190902,6.76,6.92,6.75,6.91,6.75,0.16,2.3704,27559.0,18909.73
603389.SH,20190830,6.87,6.96,6.57,6.75,6.85,-0.1,-1.4599,27425.8,18638.03
603389.SH,20190829,6.9,6.99,6.81,6.85,6.91,-0.06,-0.8683,26917.4,18577.203
603389.SH,20190828,6.93,7.03,6.85,6.91,6.91,0.0,0.0,23655.0,16396.821
603389.SH,20190827,6.8,6.95,6.77,6.91,6.77,0.14,2.0679,28520.08,19661.665
603389.SH,20190826,6.56,6.92,6.56,6.77,6.74,0.03,0.4451,23646.12,15916.152
603389.SH,20190823,6.9,6.9,6.73,6.74,6.87,-0.13,-1.8923,19270.32,13093.94
