ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688015.SH,20200110,35.3,35.52,34.56,34.6,34.91,-0.31,-0.888,20234.74,70556.082
688015.SH,20200109,33.95,34.96,33.95,34.91,33.88,1.03,3.0401,25174.89,87095.393
688015.SH,20200108,33.47,34.4,33.24,33.88,33.68,0.2,0.5938,25305.77,85921.957
688015.SH,20200107,33.63,33.87,33.2,33.68,33.63,0.05,0.1487,16654.09,55860.908
688015.SH,20200106,34.09,34.4,33.19,33.63,34.09,-0.46,-1.3494,19552.45,66013.415
688015.SH,20200103,33.8,34.53,33.8,34.09,33.63,0.46,1.3678,21733.85,74265.928
688015.SH,20200102,33.45,33.87,33.0,33.63,33.1,0.53,1.6012,21709.68,72659.273
688015.SH,20191231,33.3,33.68,32.8,33.1,33.37,-0.27,-0.8091,17150.1,56799.524
688015.SH,20191230,32.35,33.79,32.35,33.37,32.19,1.18,3.6657,27094.41,90006.408
688015.SH,20191227,32.45,32.89,32.06,32.19,32.45,-0.26,-0.8012,14623.96,47714.762
688015.SH,20191226,32.48,32.68,32.02,32.45,32.31,0.14,0.4333,12570.32,40656.836
688015.SH,20191225,31.63,32.48,31.61,32.31,31.76,0.55,1.7317,16009.67,51610.87
688015.SH,20191224,31.28,31.92,31.22,31.76,30.92,0.84,2.7167,11581.14,36625.77
688015.SH,20191223,32.72,32.78,30.85,30.92,32.68,-1.76,-5.3856,14338.77,45413.257
688015.SH,20191220,32.96,33.25,32.62,32.68,32.91,-0.23,-0.6989,12706.39,41772.464
688015.SH,20191219,33.5,33.68,32.32,32.91,33.2,-0.29,-0.8735,17517.26,57549.225
688015.SH,20191218,32.36,33.69,32.36,33.2,32.3,0.9,2.7864,24423.52,81201.896
688015.SH,20191217,31.9,32.59,31.82,32.3,31.91,0.39,1.2222,15946.31,51445.47
688015.SH,20191216,31.65,31.92,31.3,31.91,31.31,0.6,1.9163,10718.9,33958.323
688015.SH,20191213,32.09,32.19,30.74,31.31,31.78,-0.47,-1.4789,17625.34,55251.206
688015.SH,20191212,31.77,32.52,31.7,31.78,31.75,0.03,0.0945,14731.24,47307.656
688015.SH,20191211,32.43,33.28,31.48,31.75,32.71,-0.96,-2.9349,26355.53,84982.506
688015.SH,20191210,30.33,33.98,29.88,32.71,30.34,2.37,7.8115,51563.14,166429.785
688015.SH,20191209,29.17,30.67,29.17,30.34,29.17,1.17,4.011,23388.03,70090.059
688015.SH,20191206,29.34,29.67,28.95,29.17,29.2,-0.03,-0.1027,10346.05,30276.642
