ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300211.SZ,20200110,7.94,8.35,7.92,8.17,7.95,0.22,2.7673,103825.62,84894.954
300211.SZ,20200109,7.87,7.97,7.82,7.95,7.86,0.09,1.145,41776.53,33012.438
300211.SZ,20200108,7.93,7.94,7.7,7.86,7.95,-0.09,-1.1321,63695.81,49854.621
300211.SZ,20200107,7.93,7.98,7.83,7.95,7.98,-0.03,-0.3759,62984.96,49671.829
300211.SZ,20200106,7.94,8.04,7.65,7.98,8.23,-0.25,-3.0377,121284.45,95654.601
300211.SZ,20200103,7.94,8.63,7.94,8.23,7.92,0.31,3.9141,184690.71,153275.643
300211.SZ,20200102,8.07,8.28,7.7,7.92,8.01,-0.09,-1.1236,85374.59,68939.456
300211.SZ,20191231,8.16,8.2,7.97,8.01,8.12,-0.11,-1.3547,43737.43,35186.923
300211.SZ,20191230,8.15,8.19,7.72,8.12,8.2,-0.08,-0.9756,66904.46,53752.349
300211.SZ,20191227,8.3,8.36,8.13,8.2,8.23,-0.03,-0.3645,48111.0,39706.592
300211.SZ,20191226,8.22,8.32,8.08,8.23,8.22,0.01,0.1217,55356.3,45193.826
300211.SZ,20191225,8.36,8.45,8.17,8.22,8.31,-0.09,-1.083,64228.4,53216.015
300211.SZ,20191224,8.07,8.35,7.92,8.31,7.86,0.45,5.7252,67794.74,55349.017
300211.SZ,20191223,8.16,8.18,7.61,7.86,8.16,-0.3,-3.6765,64156.7,50991.384
300211.SZ,20191220,8.16,8.36,8.11,8.16,8.13,0.03,0.369,94490.85,77716.926
300211.SZ,20191219,8.21,8.35,8.05,8.13,8.2,-0.07,-0.8537,83291.58,67921.884
300211.SZ,20191218,8.0,8.33,7.98,8.2,8.09,0.11,1.3597,90405.79,74158.941
300211.SZ,20191217,7.78,8.28,7.78,8.09,7.76,0.33,4.2526,116271.61,93509.675
300211.SZ,20191216,7.71,7.76,7.6,7.76,7.71,0.05,0.6485,72522.8,55736.619
300211.SZ,20191213,7.62,7.75,7.58,7.71,7.6,0.11,1.4474,48833.94,37395.551
300211.SZ,20191212,7.58,7.74,7.55,7.6,7.6,0.0,0.0,55620.28,42311.614
300211.SZ,20191211,7.51,7.71,7.51,7.6,7.59,0.01,0.1318,50823.5,38697.503
300211.SZ,20191210,7.48,7.66,7.4,7.59,7.5,0.09,1.2,53551.73,40331.944
300211.SZ,20191209,7.41,7.6,7.38,7.5,7.41,0.09,1.2146,51062.38,38131.44
300211.SZ,20191206,7.47,7.47,7.28,7.41,7.43,-0.02,-0.2692,29755.68,21929.119
300211.SZ,20191205,7.31,7.47,7.31,7.43,7.33,0.1,1.3643,43155.29,31977.991
300211.SZ,20191204,7.25,7.39,7.23,7.33,7.32,0.01,0.1366,36987.67,27043.215
300211.SZ,20191203,7.33,7.35,7.2,7.32,7.34,-0.02,-0.2725,31855.63,23167.279
300211.SZ,20191202,7.23,7.35,7.12,7.34,7.21,0.13,1.8031,32185.1,23334.389
300211.SZ,20191129,7.17,7.25,7.1,7.21,7.15,0.06,0.8392,18575.52,13340.67
300211.SZ,20191128,7.32,7.32,7.11,7.15,7.34,-0.19,-2.5886,27224.0,19636.744
300211.SZ,20191127,7.22,7.41,7.16,7.34,7.25,0.09,1.2414,41342.23,30127.564
300211.SZ,20191126,7.03,7.27,7.02,7.25,6.98,0.27,3.8682,50213.62,35967.99
300211.SZ,20191125,7.26,7.26,6.96,6.98,7.21,-0.23,-3.19,48021.0,33878.304
300211.SZ,20191122,7.36,7.49,7.12,7.21,7.31,-0.1,-1.368,60641.0,44224.795
300211.SZ,20191121,7.54,7.54,7.26,7.31,7.55,-0.24,-3.1788,73345.89,54052.671
300211.SZ,20191120,7.75,7.76,7.46,7.55,7.7,-0.15,-1.9481,83752.39,63674.162
300211.SZ,20191119,7.41,8.15,7.32,7.7,7.43,0.27,3.6339,145027.78,111006.076
300211.SZ,20191118,7.2,7.48,7.14,7.43,7.23,0.2,2.7663,65371.85,48289.052
300211.SZ,20191115,7.03,7.5,7.01,7.23,7.1,0.13,1.831,90894.5,66030.211
300211.SZ,20191114,7.07,7.13,6.95,7.1,7.07,0.03,0.4243,45794.07,32256.907
300211.SZ,20191113,6.9,7.12,6.83,7.07,6.88,0.19,2.7616,71003.69,49758.618
300211.SZ,20191112,6.81,6.9,6.71,6.88,6.88,0.0,0.0,35880.1,24371.788
300211.SZ,20191111,6.68,7.0,6.67,6.88,6.8,0.08,1.1765,68945.12,47323.206
300211.SZ,20191108,6.78,6.82,6.66,6.8,6.72,0.08,1.1905,22574.39,15207.325
300211.SZ,20191107,6.69,6.78,6.65,6.72,6.69,0.03,0.4484,16200.2,10876.943
300211.SZ,20191106,6.75,6.88,6.65,6.69,6.79,-0.1,-1.4728,23070.0,15527.042
300211.SZ,20191105,6.8,6.84,6.72,6.79,6.76,0.03,0.4438,16274.8,11057.73
300211.SZ,20191104,6.74,6.82,6.62,6.76,6.71,0.05,0.7452,25809.0,17465.874
300211.SZ,20191101,6.69,6.77,6.59,6.71,6.64,0.07,1.0542,27170.41,18212.486
300211.SZ,20191031,6.72,6.72,6.55,6.64,6.72,-0.08,-1.1905,31321.19,20761.325
300211.SZ,20191030,6.76,6.78,6.66,6.72,6.76,-0.04,-0.5917,25586.39,17147.844
300211.SZ,20191029,6.85,6.95,6.76,6.76,6.91,-0.15,-2.1708,32627.4,22349.811
300211.SZ,20191028,6.65,7.0,6.65,6.91,6.78,0.13,1.9174,54906.5,37785.352
300211.SZ,20191025,6.87,6.87,6.66,6.78,6.81,-0.03,-0.4405,26518.0,17871.213
300211.SZ,20191024,6.8,6.85,6.72,6.81,6.78,0.03,0.4425,22486.4,15264.125
300211.SZ,20191023,6.8,6.84,6.71,6.78,6.82,-0.04,-0.5865,28934.83,19662.66
300211.SZ,20191022,6.91,6.97,6.62,6.82,6.98,-0.16,-2.2923,59649.4,40513.428
300211.SZ,20191021,6.9,7.18,6.8,6.98,6.74,0.24,3.5608,95130.2,66488.01
300211.SZ,20191018,6.7,6.88,6.69,6.74,6.71,0.03,0.4471,43444.36,29450.882
300211.SZ,20191017,6.95,6.95,6.65,6.71,6.82,-0.11,-1.6129,57487.37,39003.076
