ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300254.SZ,20200110,8.3,8.36,8.2,8.26,8.35,-0.09,-1.0778,26693.52,22061.715
300254.SZ,20200109,8.12,8.35,8.12,8.35,8.08,0.27,3.3416,44454.45,36761.417
300254.SZ,20200108,8.27,8.27,8.05,8.08,8.28,-0.2,-2.4155,26502.22,21613.694
300254.SZ,20200107,8.19,8.28,8.19,8.28,8.21,0.07,0.8526,24722.09,20351.809
300254.SZ,20200106,8.16,8.27,8.11,8.21,8.2,0.01,0.122,30624.14,25119.969
300254.SZ,20200103,8.26,8.27,8.15,8.2,8.23,-0.03,-0.3645,26377.38,21624.743
300254.SZ,20200102,8.18,8.26,8.1,8.23,8.11,0.12,1.4797,47889.25,39194.505
300254.SZ,20191231,7.99,8.19,7.99,8.11,8.02,0.09,1.1222,50849.6,41236.828
300254.SZ,20191230,7.9,8.02,7.68,8.02,7.93,0.09,1.1349,20543.0,16153.709
300254.SZ,20191227,8.03,8.06,7.92,7.93,8.02,-0.09,-1.1222,21373.2,17121.373
300254.SZ,20191226,7.88,8.02,7.88,8.02,7.89,0.13,1.6477,16330.01,13002.816
300254.SZ,20191225,7.9,7.99,7.88,7.89,7.95,-0.06,-0.7547,9381.52,7441.893
300254.SZ,20191224,7.8,7.96,7.78,7.95,7.81,0.14,1.7926,17142.44,13487.827
300254.SZ,20191223,8.03,8.03,7.79,7.81,8.04,-0.23,-2.8607,18974.0,15046.931
300254.SZ,20191220,8.19,8.19,8.0,8.04,8.14,-0.1,-1.2285,25260.24,20405.733
300254.SZ,20191219,7.99,8.16,7.98,8.14,8.01,0.13,1.623,35332.04,28512.237
300254.SZ,20191218,7.97,8.06,7.92,8.01,7.96,0.05,0.6281,28979.8,23102.918
300254.SZ,20191217,7.96,8.04,7.92,7.96,7.95,0.01,0.1258,19882.81,15857.967
300254.SZ,20191216,7.88,7.95,7.82,7.95,7.85,0.1,1.2739,16410.22,12938.519
300254.SZ,20191213,7.79,7.85,7.76,7.85,7.74,0.11,1.4212,11599.4,9050.321
300254.SZ,20191212,7.82,7.84,7.74,7.74,7.81,-0.07,-0.8963,8470.01,6595.854
300254.SZ,20191211,7.91,7.93,7.76,7.81,7.91,-0.1,-1.2642,12678.81,9925.534
300254.SZ,20191210,7.86,7.92,7.82,7.91,7.86,0.05,0.6361,10959.8,8625.679
300254.SZ,20191209,7.85,7.94,7.82,7.86,7.9,-0.04,-0.5063,9935.0,7808.485
300254.SZ,20191206,7.89,7.93,7.81,7.9,7.89,0.01,0.1267,9432.27,7413.215
300254.SZ,20191205,7.8,7.92,7.8,7.89,7.82,0.07,0.8951,13891.0,10939.027
300254.SZ,20191204,7.73,7.85,7.71,7.82,7.74,0.08,1.0336,9304.77,7251.306
300254.SZ,20191203,7.69,7.75,7.63,7.74,7.7,0.04,0.5195,6403.2,4932.486
300254.SZ,20191202,7.59,7.72,7.54,7.7,7.6,0.1,1.3158,10034.0,7697.071
300254.SZ,20191129,7.62,7.62,7.45,7.6,7.63,-0.03,-0.3932,11264.32,8493.449
300254.SZ,20191128,7.63,7.7,7.6,7.63,7.65,-0.02,-0.2614,8403.32,6430.969
300254.SZ,20191127,7.62,7.66,7.54,7.65,7.6,0.05,0.6579,9611.51,7325.148
300254.SZ,20191126,7.54,7.63,7.54,7.6,7.55,0.05,0.6623,8438.4,6409.819
300254.SZ,20191125,7.67,7.68,7.45,7.55,7.69,-0.14,-1.8205,11896.0,8993.492
300254.SZ,20191122,7.81,7.9,7.65,7.69,7.81,-0.12,-1.5365,16193.07,12578.84
300254.SZ,20191121,7.83,7.85,7.73,7.81,7.85,-0.04,-0.5096,7936.0,6189.931
300254.SZ,20191120,7.83,7.9,7.82,7.85,7.87,-0.02,-0.2541,13935.2,10942.533
300254.SZ,20191119,7.77,7.89,7.7,7.87,7.82,0.05,0.6394,23787.16,18612.25
300254.SZ,20191118,8.11,8.11,7.77,7.82,7.65,0.17,2.2222,31766.66,25134.365
300254.SZ,20191115,7.65,7.74,7.63,7.65,7.63,0.02,0.2621,17682.26,13605.742
300254.SZ,20191114,7.56,7.67,7.56,7.63,7.6,0.03,0.3947,9592.6,7308.553
300254.SZ,20191113,7.69,7.7,7.57,7.6,7.69,-0.09,-1.1704,9660.8,7367.304
300254.SZ,20191112,7.62,7.69,7.57,7.69,7.62,0.07,0.9186,10425.0,7971.557
300254.SZ,20191111,7.89,7.89,7.55,7.62,7.89,-0.27,-3.4221,22357.32,17195.048
300254.SZ,20191108,8.02,8.04,7.88,7.89,7.99,-0.1,-1.2516,15723.2,12522.83
300254.SZ,20191107,7.9,8.01,7.84,7.99,7.86,0.13,1.6539,17272.8,13734.942
300254.SZ,20191106,8.14,8.14,7.8,7.86,8.13,-0.27,-3.321,38400.0,30456.944
300254.SZ,20191105,8.11,8.15,7.91,8.13,8.1,0.03,0.3704,29542.6,23819.277
300254.SZ,20191104,8.22,8.29,8.06,8.1,8.18,-0.08,-0.978,33014.53,27066.133
300254.SZ,20191101,8.2,8.24,8.08,8.18,8.23,-0.05,-0.6075,28368.0,23147.725
300254.SZ,20191031,8.3,8.37,8.02,8.23,8.31,-0.08,-0.9627,43783.84,35823.396
300254.SZ,20191030,8.31,8.39,8.16,8.31,8.37,-0.06,-0.7168,50467.12,41739.308
300254.SZ,20191029,8.66,8.66,8.34,8.37,8.73,-0.36,-4.1237,44368.53,37665.532
300254.SZ,20191028,8.55,8.77,8.48,8.73,8.59,0.14,1.6298,67739.04,58515.122
300254.SZ,20191025,8.35,8.65,8.27,8.59,8.41,0.18,2.1403,40508.49,34231.78
300254.SZ,20191024,8.49,8.5,8.32,8.41,8.52,-0.11,-1.2911,30971.8,26025.159
300254.SZ,20191023,8.43,8.58,8.41,8.52,8.54,-0.02,-0.2342,53498.5,45431.024
300254.SZ,20191022,8.42,8.54,8.26,8.54,8.41,0.13,1.5458,57294.73,48018.092
300254.SZ,20191021,8.24,8.47,8.08,8.41,8.2,0.21,2.561,36020.11,29731.241
300254.SZ,20191018,8.33,8.39,8.11,8.2,8.3,-0.1,-1.2048,23429.52,19367.642
300254.SZ,20191017,8.4,8.4,8.24,8.3,8.32,-0.02,-0.2404,15715.2,13069.719
300254.SZ,20191016,8.4,8.45,8.27,8.32,8.45,-0.13,-1.5385,31650.07,26437.124
300254.SZ,20191015,8.4,8.49,8.29,8.45,8.38,0.07,0.8353,36773.2,30878.709
300254.SZ,20191014,8.32,8.45,8.29,8.38,8.28,0.1,1.2077,27376.6,22956.135
300254.SZ,20191011,8.2,8.32,8.17,8.28,8.2,0.08,0.9756,24179.4,19934.268
300254.SZ,20191010,8.12,8.22,8.08,8.2,8.08,0.12,1.4851,21093.2,17203.215
300254.SZ,20191009,8.0,8.08,7.86,8.08,7.93,0.15,1.8916,16839.01,13491.74
300254.SZ,20191008,7.92,8.14,7.91,7.93,7.88,0.05,0.6345,19528.0,15647.624
300254.SZ,20190930,7.97,8.13,7.86,7.88,8.02,-0.14,-1.7456,15406.6,12287.442
300254.SZ,20190927,7.89,8.11,7.81,8.02,7.81,0.21,2.6889,26827.41,21509.196
300254.SZ,20190926,8.24,8.24,7.81,7.81,8.13,-0.32,-3.936,26701.44,21270.769
300254.SZ,20190925,8.34,8.4,8.1,8.13,8.4,-0.27,-3.2143,28849.02,23682.834
300254.SZ,20190924,8.26,8.5,8.26,8.4,8.25,0.15,1.8182,31599.0,26572.794
300254.SZ,20190923,8.43,8.43,8.15,8.25,8.41,-0.16,-1.9025,20471.0,16850.896
300254.SZ,20190920,8.35,8.49,8.35,8.41,8.38,0.03,0.358,21166.99,17831.735
300254.SZ,20190919,8.25,8.4,8.22,8.38,8.25,0.13,1.5758,19430.14,16167.496
300254.SZ,20190918,8.26,8.33,8.21,8.25,8.22,0.03,0.365,14988.0,12398.516
300254.SZ,20190917,8.47,8.5,8.18,8.22,8.47,-0.25,-2.9516,36345.0,30163.329
300254.SZ,20190916,8.53,8.62,8.43,8.47,8.5,-0.03,-0.3529,27398.71,23275.044
300254.SZ,20190912,8.41,8.54,8.36,8.5,8.41,0.09,1.0702,26160.59,22142.454
300254.SZ,20190911,8.66,8.75,8.4,8.41,8.51,-0.1,-1.1751,42815.6,36678.077
300254.SZ,20190910,8.34,8.51,8.31,8.51,8.35,0.16,1.9162,41897.06,35333.97
300254.SZ,20190909,8.31,8.39,8.23,8.35,8.22,0.13,1.5815,32292.8,26815.69
300254.SZ,20190906,8.2,8.29,8.14,8.22,8.2,0.02,0.2439,23774.9,19505.746
300254.SZ,20190905,8.25,8.31,8.12,8.2,8.18,0.02,0.2445,35000.6,28833.752
300254.SZ,20190904,8.11,8.22,8.08,8.18,8.11,0.07,0.8631,28333.0,23071.182
300254.SZ,20190903,8.12,8.22,8.05,8.11,8.04,0.07,0.8706,38253.0,31061.094
300254.SZ,20190902,7.78,8.07,7.78,8.04,7.82,0.22,2.8133,36032.0,28821.041
300254.SZ,20190830,8.04,8.08,7.73,7.82,8.04,-0.22,-2.7363,40645.4,32249.363
300254.SZ,20190829,8.15,8.15,7.97,8.04,8.11,-0.07,-0.8631,37526.2,30164.723
300254.SZ,20190828,8.29,8.3,8.06,8.11,8.4,-0.29,-3.4524,52688.84,42938.419
300254.SZ,20190827,8.09,8.55,8.0,8.4,7.94,0.46,5.7935,90459.78,75162.741
300254.SZ,20190826,7.68,8.1,7.6,7.94,7.84,0.1,1.2755,41108.8,32503.326
300254.SZ,20190823,7.7,7.92,7.66,7.84,7.91,-0.07,-0.885,41452.07,32231.272
300254.SZ,20190822,7.92,8.05,7.84,7.91,7.88,0.03,0.3807,21860.2,17325.062
300254.SZ,20190821,7.87,7.97,7.8,7.88,7.87,0.01,0.1271,19056.4,15085.133
300254.SZ,20190820,7.86,7.98,7.82,7.87,7.89,-0.02,-0.2535,22066.27,17449.511
300254.SZ,20190819,7.64,7.93,7.64,7.89,7.57,0.32,4.2272,26913.0,20968.953
300254.SZ,20190816,7.54,7.66,7.51,7.57,7.55,0.02,0.2649,19035.24,14481.024
