ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000925.SZ,20200110,7.07,7.1,6.88,6.95,7.05,-0.1,-1.4184,69685.11,48453.88
000925.SZ,20200109,7.05,7.12,6.98,7.05,7.01,0.04,0.5706,80797.55,56945.079
000925.SZ,20200108,7.06,7.25,6.96,7.01,7.05,-0.04,-0.5674,152128.27,108154.895
000925.SZ,20200107,6.94,7.07,6.9,7.05,6.94,0.11,1.585,78793.0,55017.011
000925.SZ,20200106,6.85,6.99,6.81,6.94,6.88,0.06,0.8721,62560.2,43292.174
000925.SZ,20200103,6.88,6.89,6.8,6.88,6.84,0.04,0.5848,47576.4,32583.054
000925.SZ,20200102,6.77,6.87,6.72,6.84,6.7,0.14,2.0896,52156.01,35542.842
000925.SZ,20191231,6.64,6.78,6.63,6.7,6.68,0.02,0.2994,40192.0,26918.649
000925.SZ,20191230,6.63,6.73,6.5,6.68,6.75,-0.07,-1.037,50556.5,33578.148
000925.SZ,20191227,6.85,7.06,6.73,6.75,6.76,-0.01,-0.1479,83451.12,57493.553
000925.SZ,20191226,6.8,6.82,6.71,6.76,6.76,0.0,0.0,33916.08,22876.919
000925.SZ,20191225,6.79,6.88,6.7,6.76,6.79,-0.03,-0.4418,33451.2,22689.377
000925.SZ,20191224,6.76,6.8,6.66,6.79,6.72,0.07,1.0417,28858.85,19422.933
000925.SZ,20191223,6.77,6.89,6.71,6.72,6.8,-0.08,-1.1765,36797.24,25033.644
000925.SZ,20191220,6.86,6.95,6.8,6.8,6.87,-0.07,-1.0189,33078.73,22713.497
000925.SZ,20191219,6.88,6.89,6.82,6.87,6.85,0.02,0.292,29130.0,19983.768
000925.SZ,20191218,6.83,6.93,6.82,6.85,6.86,-0.01,-0.1458,40358.59,27696.426
000925.SZ,20191217,6.9,6.95,6.83,6.86,6.88,-0.02,-0.2907,62062.14,42749.794
000925.SZ,20191216,6.72,6.89,6.67,6.88,6.72,0.16,2.381,57555.64,39201.088
000925.SZ,20191213,6.56,6.75,6.56,6.72,6.52,0.2,3.0675,53966.89,35989.891
000925.SZ,20191212,6.6,6.64,6.5,6.52,6.6,-0.08,-1.2121,32157.4,21145.498
000925.SZ,20191211,6.7,6.7,6.58,6.6,6.68,-0.08,-1.1976,37179.73,24626.569
000925.SZ,20191210,6.74,6.74,6.62,6.68,6.71,-0.03,-0.4471,36580.6,24372.117
000925.SZ,20191209,6.68,6.75,6.68,6.71,6.66,0.05,0.7508,38926.62,26175.333
000925.SZ,20191206,6.67,6.7,6.61,6.66,6.69,-0.03,-0.4484,40228.78,26789.078
000925.SZ,20191205,6.56,6.69,6.56,6.69,6.57,0.12,1.8265,48274.67,32066.297
000925.SZ,20191204,6.53,6.59,6.47,6.57,6.53,0.04,0.6126,39509.41,25937.447
000925.SZ,20191203,6.4,6.56,6.38,6.53,6.45,0.08,1.2403,42579.98,27684.198
000925.SZ,20191202,6.32,6.46,6.32,6.45,6.32,0.13,2.057,36581.14,23413.49
000925.SZ,20191129,6.26,6.33,6.24,6.32,6.26,0.06,0.9585,27407.18,17271.022
000925.SZ,20191128,6.25,6.28,6.24,6.26,6.25,0.01,0.16,23653.48,14804.988
000925.SZ,20191127,6.28,6.28,6.18,6.25,6.24,0.01,0.1603,17502.0,10898.739
000925.SZ,20191126,6.17,6.29,6.17,6.24,6.18,0.06,0.9709,22818.22,14227.735
000925.SZ,20191125,6.18,6.23,6.11,6.18,6.17,0.01,0.1621,18496.2,11408.536
000925.SZ,20191122,6.21,6.29,6.06,6.17,6.21,-0.04,-0.6441,21790.62,13523.708
000925.SZ,20191121,6.19,6.26,6.14,6.21,6.23,-0.02,-0.321,16713.49,10373.268
000925.SZ,20191120,6.28,6.3,6.21,6.23,6.27,-0.04,-0.638,19378.42,12105.33
000925.SZ,20191119,6.17,6.29,6.13,6.27,6.15,0.12,1.9512,27344.26,17084.949
000925.SZ,20191118,6.04,6.15,6.03,6.15,6.07,0.08,1.318,23078.4,14101.487
000925.SZ,20191115,6.19,6.19,6.06,6.07,6.2,-0.13,-2.0968,27162.59,16624.33
000925.SZ,20191114,6.13,6.21,6.09,6.2,6.13,0.07,1.1419,28544.32,17582.99
000925.SZ,20191113,6.23,6.24,6.09,6.13,6.22,-0.09,-1.4469,43067.99,26409.135
000925.SZ,20191112,6.28,6.33,6.11,6.22,6.27,-0.05,-0.7974,48057.68,29755.796
000925.SZ,20191111,6.44,6.46,6.25,6.27,6.47,-0.2,-3.0912,44907.2,28391.674
000925.SZ,20191108,6.62,6.62,6.42,6.47,6.54,-0.07,-1.0703,42046.0,27335.534
000925.SZ,20191107,6.55,6.57,6.48,6.54,6.53,0.01,0.1531,41361.62,26979.728
000925.SZ,20191106,6.67,6.68,6.53,6.53,6.6,-0.07,-1.0606,36443.61,23974.199
000925.SZ,20191105,6.64,6.7,6.52,6.6,6.68,-0.08,-1.1976,59547.29,39296.034
000925.SZ,20191104,6.71,6.79,6.68,6.68,6.71,-0.03,-0.4471,38336.36,25769.183
000925.SZ,20191101,6.67,6.83,6.63,6.71,6.8,-0.09,-1.3235,45915.98,30966.943
000925.SZ,20191031,6.8,6.85,6.55,6.8,7.01,-0.21,-2.9957,127351.18,85167.502
000925.SZ,20191030,6.8,7.39,6.8,7.01,6.9,0.11,1.5942,209113.27,148092.918
000925.SZ,20191029,7.0,7.0,6.7,6.9,6.99,-0.09,-1.2876,117378.28,80362.433
000925.SZ,20191028,7.09,7.09,6.71,6.99,6.51,0.48,7.3733,128851.47,88683.515
000925.SZ,20191025,6.47,6.53,6.41,6.51,6.47,0.04,0.6182,22612.2,14626.493
000925.SZ,20191024,6.49,6.49,6.41,6.47,6.49,-0.02,-0.3082,22776.0,14714.586
000925.SZ,20191023,6.51,6.58,6.47,6.49,6.53,-0.04,-0.6126,20643.4,13459.738
000925.SZ,20191022,6.5,6.54,6.4,6.53,6.43,0.1,1.5552,28782.24,18626.58
000925.SZ,20191021,6.51,6.54,6.36,6.43,6.5,-0.07,-1.0769,26205.0,16789.037
