ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603527.SH,20200110,11.36,11.42,11.28,11.31,11.43,-0.12,-1.0499,14508.14,16440.586
603527.SH,20200109,11.36,11.47,11.23,11.43,11.32,0.11,0.9717,24819.24,28223.31
603527.SH,20200108,11.62,11.62,11.28,11.32,11.58,-0.26,-2.2453,31935.65,36463.386
603527.SH,20200107,11.5,11.76,11.44,11.58,11.59,-0.01,-0.0863,40132.63,46461.94
603527.SH,20200106,11.33,11.67,11.25,11.59,11.66,-0.07,-0.6003,48768.21,56115.217
603527.SH,20200103,11.76,11.92,11.66,11.66,11.96,-0.3,-2.5084,65669.58,77026.614
603527.SH,20200102,11.7,12.05,11.41,11.96,11.83,0.13,1.0989,94515.82,110292.289
603527.SH,20191231,12.77,12.77,11.82,11.83,11.85,-0.02,-0.1688,159952.6,196920.207
603527.SH,20191230,10.8,11.85,10.71,11.85,10.77,1.08,10.0279,56378.99,66010.838
603527.SH,20191227,10.63,11.25,10.51,10.77,10.65,0.12,1.1268,57577.34,62437.706
603527.SH,20191226,10.45,10.72,10.37,10.65,10.45,0.2,1.9139,36625.6,38726.207
603527.SH,20191225,10.52,10.52,10.34,10.45,10.53,-0.08,-0.7597,23528.94,24530.228
603527.SH,20191224,10.14,10.71,10.1,10.53,10.14,0.39,3.8462,32262.92,33591.382
603527.SH,20191223,10.35,10.35,10.13,10.14,10.31,-0.17,-1.6489,7159.92,7310.452
603527.SH,20191220,10.43,10.46,10.31,10.31,10.41,-0.1,-0.9606,8820.74,9152.451
603527.SH,20191219,10.43,10.43,10.34,10.41,10.44,-0.03,-0.2874,12435.97,12916.799
603527.SH,20191218,10.38,10.47,10.32,10.44,10.39,0.05,0.4812,11061.5,11517.704
603527.SH,20191217,10.34,10.43,10.29,10.39,10.34,0.05,0.4836,14569.4,15114.516
603527.SH,20191216,10.28,10.38,10.28,10.34,10.3,0.04,0.3883,11654.91,12028.721
603527.SH,20191213,10.32,10.39,10.25,10.3,10.29,0.01,0.0972,11313.37,11646.682
603527.SH,20191212,10.03,10.38,9.97,10.29,10.01,0.28,2.7972,29823.55,30596.472
603527.SH,20191211,10.04,10.11,9.98,10.01,10.11,-0.1,-0.9891,5597.45,5610.13
603527.SH,20191210,9.99,10.13,9.97,10.11,9.99,0.12,1.2012,7971.4,8031.306
603527.SH,20191209,10.01,10.06,9.98,9.99,10.03,-0.04,-0.3988,4518.4,4521.427
603527.SH,20191206,9.95,10.05,9.94,10.03,10.01,0.02,0.1998,5555.98,5554.946
603527.SH,20191205,9.94,10.01,9.87,10.01,9.9,0.11,1.1111,6819.09,6797.708
603527.SH,20191204,9.8,9.92,9.77,9.9,9.83,0.07,0.7121,4768.81,4706.702
603527.SH,20191203,9.77,9.84,9.73,9.83,9.79,0.04,0.4086,4431.89,4335.167
603527.SH,20191202,9.89,9.99,9.76,9.79,9.88,-0.09,-0.9109,6098.66,5997.395
603527.SH,20191129,9.86,9.93,9.82,9.88,9.9,-0.02,-0.202,3797.44,3748.928
603527.SH,20191128,10.02,10.02,9.78,9.9,9.96,-0.06,-0.6024,4138.67,4103.044
603527.SH,20191127,9.9,10.0,9.86,9.96,10.0,-0.04,-0.4,5003.0,4977.505
603527.SH,20191126,10.05,10.09,9.92,10.0,10.06,-0.06,-0.5964,7049.35,7050.951
603527.SH,20191125,9.96,10.11,9.89,10.06,9.92,0.14,1.4113,8608.6,8625.762
603527.SH,20191122,9.85,9.98,9.81,9.92,9.84,0.08,0.813,8495.51,8422.301
603527.SH,20191121,9.87,9.93,9.74,9.84,9.87,-0.03,-0.304,4632.4,4561.098
603527.SH,20191120,9.97,10.02,9.86,9.87,9.99,-0.12,-1.2012,4073.8,4042.378
603527.SH,20191119,9.88,10.03,9.79,9.99,9.77,0.22,2.2518,6708.0,6674.429
603527.SH,20191118,9.72,9.81,9.7,9.77,9.75,0.02,0.2051,4015.01,3920.603
603527.SH,20191115,9.95,9.99,9.74,9.75,9.94,-0.19,-1.9115,6171.29,6075.986
603527.SH,20191114,9.89,9.99,9.82,9.94,9.9,0.04,0.404,5471.2,5419.95
603527.SH,20191113,9.9,10.01,9.83,9.9,9.94,-0.04,-0.4024,5248.8,5193.106
603527.SH,20191112,10.03,10.03,9.81,9.94,9.95,-0.01,-0.1005,6232.8,6168.427
603527.SH,20191111,10.28,10.28,9.95,9.95,10.28,-0.33,-3.2101,7859.51,7938.529
603527.SH,20191108,10.43,10.44,10.28,10.28,10.33,-0.05,-0.484,5478.6,5678.692
603527.SH,20191107,10.33,10.38,10.26,10.33,10.34,-0.01,-0.0967,5183.2,5350.369
603527.SH,20191106,10.39,10.44,10.24,10.34,10.4,-0.06,-0.5769,6924.6,7163.055
