ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300549.SZ,20200110,13.96,13.98,13.77,13.91,13.92,-0.01,-0.0718,7722.19,10704.063
300549.SZ,20200109,13.79,14.05,13.78,13.92,13.74,0.18,1.31,8758.5,12187.924
300549.SZ,20200108,13.9,13.94,13.66,13.74,13.93,-0.19,-1.364,11188.77,15475.295
300549.SZ,20200107,13.88,14.02,13.79,13.93,13.83,0.1,0.7231,9354.57,13003.2
300549.SZ,20200106,13.65,13.97,13.6,13.83,13.76,0.07,0.5087,11120.0,15390.114
300549.SZ,20200103,13.7,13.87,13.64,13.76,13.7,0.06,0.438,9598.21,13185.024
300549.SZ,20200102,13.58,13.74,13.56,13.7,13.55,0.15,1.107,8414.6,11482.166
300549.SZ,20191231,13.53,13.65,13.45,13.55,13.53,0.02,0.1478,4670.6,6327.371
300549.SZ,20191230,13.27,13.57,13.22,13.53,13.35,0.18,1.3483,6061.0,8143.787
300549.SZ,20191227,13.59,13.71,13.04,13.35,13.57,-0.22,-1.6212,5173.4,6984.27
300549.SZ,20191226,13.54,13.76,13.45,13.57,13.45,0.12,0.8922,5069.54,6874.586
300549.SZ,20191225,13.42,13.51,13.3,13.45,13.39,0.06,0.4481,7401.93,9930.967
300549.SZ,20191224,13.13,13.44,13.12,13.39,13.13,0.26,1.9802,4934.4,6560.96
300549.SZ,20191223,13.5,13.5,13.1,13.13,13.5,-0.37,-2.7407,6092.0,8079.929
300549.SZ,20191220,13.58,13.68,13.46,13.5,13.58,-0.08,-0.5891,7464.0,10108.73
300549.SZ,20191219,13.44,13.69,13.44,13.58,13.47,0.11,0.8166,6152.0,8348.375
300549.SZ,20191218,13.52,13.61,13.39,13.47,13.58,-0.11,-0.81,9143.0,12346.248
300549.SZ,20191217,13.39,13.86,13.31,13.58,13.38,0.2,1.4948,10098.0,13603.903
300549.SZ,20191216,13.15,13.44,13.13,13.38,13.15,0.23,1.749,7471.0,9945.612
300549.SZ,20191213,13.05,13.18,13.01,13.15,12.97,0.18,1.3878,4927.0,6450.208
300549.SZ,20191212,12.98,13.14,12.92,12.97,13.05,-0.08,-0.613,4337.4,5641.948
300549.SZ,20191211,13.11,13.11,12.93,13.05,13.19,-0.14,-1.0614,4074.0,5306.174
300549.SZ,20191210,12.99,13.23,12.86,13.19,13.02,0.17,1.3057,5571.4,7241.435
300549.SZ,20191209,12.95,13.06,12.88,13.02,13.01,0.01,0.0769,3736.6,4858.88
300549.SZ,20191206,13.3,13.3,12.91,13.01,13.11,-0.1,-0.7628,8047.52,10460.028
300549.SZ,20191205,12.84,13.13,12.84,13.11,12.95,0.16,1.2355,7297.79,9522.337
300549.SZ,20191204,12.82,12.95,12.72,12.95,12.8,0.15,1.1719,7303.18,9381.845
300549.SZ,20191203,12.85,13.56,12.67,12.8,12.87,-0.07,-0.5439,12759.0,16502.932
300549.SZ,20191202,12.68,12.94,12.61,12.87,12.65,0.22,1.7391,4425.0,5644.347
300549.SZ,20191129,12.5,12.65,12.46,12.65,12.56,0.09,0.7166,2717.0,3413.478
300549.SZ,20191128,12.53,12.74,12.51,12.56,12.56,0.0,0.0,3067.0,3854.39
300549.SZ,20191127,12.6,12.77,12.51,12.56,12.6,-0.04,-0.3175,3128.0,3949.719
300549.SZ,20191126,12.73,12.78,12.53,12.6,12.74,-0.14,-1.0989,3627.0,4585.066
300549.SZ,20191125,12.94,13.12,12.65,12.74,12.86,-0.12,-0.9331,5447.0,6969.592
300549.SZ,20191122,12.65,13.19,12.65,12.86,12.95,-0.09,-0.695,7580.81,9784.535
300549.SZ,20191121,13.0,13.14,12.86,12.95,13.0,-0.05,-0.3846,4646.0,6033.861
300549.SZ,20191120,13.19,13.36,12.9,13.0,13.24,-0.24,-1.8127,6377.0,8359.235
300549.SZ,20191119,12.7,13.28,12.7,13.24,12.7,0.54,4.252,11736.4,15359.144
300549.SZ,20191118,12.43,12.76,12.43,12.7,12.47,0.23,1.8444,5246.6,6628.294
300549.SZ,20191115,12.94,12.98,12.47,12.47,12.91,-0.44,-3.4082,7122.0,9035.068
300549.SZ,20191114,12.83,13.08,12.83,12.91,12.89,0.02,0.1552,4340.79,5631.71
300549.SZ,20191113,13.11,13.33,12.75,12.89,13.14,-0.25,-1.9026,4777.0,6191.985
300549.SZ,20191112,13.33,13.33,12.9,13.14,13.37,-0.23,-1.7203,6963.0,9113.362
300549.SZ,20191111,13.64,13.64,13.05,13.37,13.52,-0.15,-1.1095,6734.0,8940.787
300549.SZ,20191108,13.57,13.78,13.45,13.52,13.39,0.13,0.9709,8026.0,10953.309
300549.SZ,20191107,13.38,13.62,13.28,13.39,13.43,-0.04,-0.2978,4774.0,6415.101
300549.SZ,20191106,13.65,13.78,13.35,13.43,13.76,-0.33,-2.3983,5804.0,7844.4
300549.SZ,20191105,13.72,14.17,13.61,13.76,13.72,0.04,0.2915,9167.0,12735.606
