ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601579.SH,20200110,8.89,8.94,8.78,8.86,8.83,0.03,0.3398,10192.0,9047.333
601579.SH,20200109,8.77,8.87,8.74,8.83,8.73,0.1,1.1455,12688.42,11209.793
601579.SH,20200108,8.75,8.91,8.7,8.73,8.8,-0.07,-0.7955,14046.0,12347.664
601579.SH,20200107,8.68,8.84,8.68,8.8,8.7,0.1,1.1494,16453.4,14410.068
601579.SH,20200106,8.75,8.75,8.66,8.7,8.69,0.01,0.1151,14537.0,12644.422
601579.SH,20200103,8.65,8.73,8.61,8.69,8.65,0.04,0.4624,11597.98,10082.269
601579.SH,20200102,8.57,8.66,8.54,8.65,8.56,0.09,1.0514,16106.0,13870.344
601579.SH,20191231,8.48,8.58,8.45,8.56,8.51,0.05,0.5875,7875.0,6715.406
601579.SH,20191230,8.39,8.52,8.33,8.51,8.43,0.08,0.949,7905.49,6675.419
601579.SH,20191227,8.46,8.56,8.42,8.43,8.45,-0.02,-0.2367,10291.0,8727.817
601579.SH,20191226,8.42,8.49,8.38,8.45,8.42,0.03,0.3563,7183.0,6044.404
601579.SH,20191225,8.4,8.57,8.38,8.42,8.43,-0.01,-0.1186,8725.0,7362.242
601579.SH,20191224,8.43,8.45,8.37,8.43,8.43,0.0,0.0,8562.29,7198.502
601579.SH,20191223,8.55,8.57,8.41,8.43,8.58,-0.15,-1.7483,6337.0,5377.635
601579.SH,20191220,8.64,8.71,8.54,8.58,8.63,-0.05,-0.5794,8408.0,7275.202
601579.SH,20191219,8.71,8.71,8.61,8.63,8.67,-0.04,-0.4614,9905.0,8564.721
601579.SH,20191218,8.64,8.85,8.61,8.67,8.66,0.01,0.1155,12734.0,11109.037
601579.SH,20191217,8.58,8.67,8.54,8.66,8.53,0.13,1.524,8758.95,7555.932
601579.SH,20191216,8.57,8.57,8.46,8.53,8.51,0.02,0.235,7384.0,6289.977
601579.SH,20191213,8.45,8.53,8.43,8.51,8.47,0.04,0.4723,17951.0,15239.281
601579.SH,20191212,8.62,8.65,8.45,8.47,8.61,-0.14,-1.626,7468.0,6354.861
601579.SH,20191211,8.64,8.73,8.6,8.61,8.69,-0.08,-0.9206,6970.0,6042.136
601579.SH,20191210,8.66,8.71,8.64,8.69,8.7,-0.01,-0.1149,8131.29,7065.759
601579.SH,20191209,8.75,8.76,8.64,8.7,8.7,0.0,0.0,8843.0,7685.031
601579.SH,20191206,8.6,8.75,8.59,8.7,8.61,0.09,1.0453,14117.0,12311.746
601579.SH,20191205,8.51,8.69,8.51,8.61,8.54,0.07,0.8197,8512.0,7325.261
601579.SH,20191204,8.48,8.57,8.45,8.54,8.49,0.05,0.5889,6933.0,5922.996
601579.SH,20191203,8.38,8.5,8.38,8.49,8.42,0.07,0.8314,3627.1,3069.092
601579.SH,20191202,8.43,8.45,8.31,8.42,8.45,-0.03,-0.355,4613.47,3871.141
601579.SH,20191129,8.45,8.51,8.44,8.45,8.47,-0.02,-0.2361,4210.0,3561.015
601579.SH,20191128,8.42,8.56,8.37,8.47,8.4,0.07,0.8333,5179.0,4376.146
601579.SH,20191127,8.4,8.45,8.36,8.4,8.43,-0.03,-0.3559,3988.16,3350.336
601579.SH,20191126,8.28,8.59,8.27,8.43,8.29,0.14,1.6888,12087.0,10235.974
601579.SH,20191125,8.26,8.32,8.16,8.29,8.22,0.07,0.8516,5933.48,4898.872
601579.SH,20191122,8.35,8.37,8.19,8.22,8.35,-0.13,-1.5569,6276.0,5191.619
601579.SH,20191121,8.32,8.36,8.28,8.35,8.32,0.03,0.3606,4789.0,3984.802
601579.SH,20191120,8.34,8.38,8.28,8.32,8.36,-0.04,-0.4785,4359.0,3627.579
601579.SH,20191119,8.45,8.45,8.32,8.36,8.34,0.02,0.2398,4220.0,3528.589
601579.SH,20191118,8.15,8.45,8.14,8.34,8.19,0.15,1.8315,7044.01,5866.392
601579.SH,20191115,8.24,8.25,8.16,8.19,8.24,-0.05,-0.6068,3787.0,3104.747
601579.SH,20191114,8.19,8.27,8.1,8.24,8.16,0.08,0.9804,5744.0,4701.126
601579.SH,20191113,8.22,8.23,8.1,8.16,8.18,-0.02,-0.2445,3733.0,3043.889
601579.SH,20191112,8.18,8.2,8.14,8.18,8.16,0.02,0.2451,4172.35,3407.982
601579.SH,20191111,8.36,8.36,8.15,8.16,8.36,-0.2,-2.3923,7897.0,6487.372
601579.SH,20191108,8.36,8.42,8.35,8.36,8.38,-0.02,-0.2387,6320.35,5292.736
601579.SH,20191107,8.34,8.38,8.31,8.38,8.37,0.01,0.1195,5324.0,4445.172
601579.SH,20191106,8.47,8.49,8.35,8.37,8.48,-0.11,-1.2972,8834.0,7415.068
601579.SH,20191105,8.55,8.55,8.47,8.48,8.54,-0.06,-0.7026,5259.0,4468.174
601579.SH,20191104,8.52,8.59,8.49,8.54,8.52,0.02,0.2347,4316.0,3683.833
601579.SH,20191101,8.55,8.56,8.48,8.52,8.54,-0.02,-0.2342,5770.0,4914.037
601579.SH,20191031,8.47,8.59,8.43,8.54,8.48,0.06,0.7075,13452.0,11482.027
601579.SH,20191030,8.44,8.55,8.39,8.48,8.49,-0.01,-0.1178,12647.0,10716.798
601579.SH,20191029,8.4,8.5,8.4,8.49,8.47,0.02,0.2361,10491.42,8866.347
601579.SH,20191028,8.4,8.49,8.37,8.47,8.4,0.07,0.8333,8090.0,6824.829
601579.SH,20191025,8.43,8.43,8.36,8.4,8.41,-0.01,-0.1189,6504.0,5459.339
601579.SH,20191024,8.42,8.46,8.36,8.41,8.42,-0.01,-0.1188,4778.0,4013.555
601579.SH,20191023,8.44,8.48,8.4,8.42,8.43,-0.01,-0.1186,4205.0,3549.855
601579.SH,20191022,8.43,8.47,8.38,8.43,8.41,0.02,0.2378,4800.0,4038.719
601579.SH,20191021,8.38,8.47,8.34,8.41,8.39,0.02,0.2384,5051.97,4236.965
601579.SH,20191018,8.6,8.61,8.38,8.39,8.61,-0.22,-2.5552,11066.0,9365.621
601579.SH,20191017,8.88,8.88,8.6,8.61,8.8,-0.19,-2.1591,12156.0,10543.758
601579.SH,20191016,8.8,8.83,8.72,8.8,8.81,-0.01,-0.1135,8771.18,7697.529
601579.SH,20191015,8.76,8.83,8.7,8.81,8.82,-0.01,-0.1134,9056.0,7960.062
601579.SH,20191014,8.84,8.87,8.73,8.82,8.8,0.02,0.2273,16783.0,14772.183
601579.SH,20191011,8.55,8.85,8.47,8.8,8.53,0.27,3.1653,22795.14,19870.621
601579.SH,20191010,8.53,8.55,8.47,8.53,8.5,0.03,0.3529,9371.65,7974.91
601579.SH,20191009,8.55,8.59,8.41,8.5,8.58,-0.08,-0.9324,9457.0,8024.38
601579.SH,20191008,8.61,8.72,8.53,8.58,8.64,-0.06,-0.6944,10163.17,8758.019
601579.SH,20190930,8.7,8.73,8.62,8.64,8.73,-0.09,-1.0309,9307.0,8047.272
601579.SH,20190927,8.9,8.97,8.6,8.73,8.93,-0.2,-2.2396,22227.32,19500.963
601579.SH,20190926,8.89,9.11,8.82,8.93,8.85,0.08,0.904,43146.0,38820.742
601579.SH,20190925,8.75,8.97,8.73,8.85,8.8,0.05,0.5682,22743.16,20191.033
601579.SH,20190924,8.69,8.88,8.65,8.8,8.71,0.09,1.0333,15276.81,13447.2
601579.SH,20190923,8.75,8.77,8.63,8.71,8.77,-0.06,-0.6842,10979.01,9541.468
601579.SH,20190920,8.66,8.82,8.65,8.77,8.69,0.08,0.9206,18305.1,16046.934
601579.SH,20190919,8.65,8.74,8.54,8.69,8.66,0.03,0.3464,19596.0,16932.781
601579.SH,20190918,8.51,8.76,8.51,8.66,8.51,0.15,1.7626,28093.0,24401.947
601579.SH,20190917,8.6,8.67,8.46,8.51,8.6,-0.09,-1.0465,19410.04,16626.914
601579.SH,20190916,8.65,8.67,8.58,8.6,8.67,-0.07,-0.8074,13056.92,11247.593
601579.SH,20190912,8.53,8.69,8.43,8.67,8.55,0.12,1.4035,23262.1,19964.825
601579.SH,20190911,8.49,8.7,8.46,8.55,8.52,0.03,0.3521,23074.0,19778.637
601579.SH,20190910,8.43,8.54,8.39,8.52,8.46,0.06,0.7092,13619.0,11509.4
601579.SH,20190909,8.45,8.5,8.39,8.46,8.44,0.02,0.237,15240.71,12835.714
601579.SH,20190906,8.38,8.46,8.38,8.44,8.41,0.03,0.3567,12032.0,10128.793
601579.SH,20190905,8.35,8.5,8.35,8.41,8.35,0.06,0.7186,18772.18,15828.294
601579.SH,20190904,8.3,8.37,8.26,8.35,8.3,0.05,0.6024,10465.43,8711.074
601579.SH,20190903,8.33,8.36,8.25,8.3,8.3,0.0,0.0,9537.0,7908.027
601579.SH,20190902,8.22,8.3,8.18,8.3,8.24,0.06,0.7282,12036.43,9939.488
601579.SH,20190830,8.29,8.49,8.22,8.24,8.26,-0.02,-0.2421,15984.34,13297.422
601579.SH,20190829,8.36,8.37,8.25,8.26,8.34,-0.08,-0.9592,7891.0,6557.492
601579.SH,20190828,8.31,8.37,8.3,8.34,8.34,0.0,0.0,7356.0,6140.068
601579.SH,20190827,8.3,8.4,8.23,8.34,8.3,0.04,0.4819,12374.0,10306.49
601579.SH,20190826,8.26,8.36,8.15,8.3,8.31,-0.01,-0.1203,7460.0,6165.658
601579.SH,20190823,8.32,8.34,8.28,8.31,8.31,0.0,0.0,5530.0,4596.331
601579.SH,20190822,8.3,8.33,8.25,8.31,8.26,0.05,0.6053,7032.0,5829.275
601579.SH,20190821,8.33,8.33,8.26,8.26,8.33,-0.07,-0.8403,4539.0,3760.137
601579.SH,20190820,8.35,8.39,8.26,8.33,8.35,-0.02,-0.2395,9646.0,8049.018
601579.SH,20190819,8.27,8.36,8.24,8.35,8.26,0.09,1.0896,9361.0,7777.737
601579.SH,20190816,8.21,8.32,8.18,8.26,8.2,0.06,0.7317,7043.0,5820.263
601579.SH,20190815,8.08,8.28,8.06,8.2,8.24,-0.04,-0.4854,7211.0,5865.391
601579.SH,20190814,8.28,8.45,8.21,8.24,8.28,-0.04,-0.4831,5011.02,4159.269
601579.SH,20190813,8.26,8.32,8.2,8.28,8.33,-0.05,-0.6002,5510.19,4538.303
601579.SH,20190812,8.03,8.39,8.03,8.33,8.07,0.26,3.2218,9528.19,7817.844
601579.SH,20190809,8.13,8.13,8.06,8.07,8.09,-0.02,-0.2472,4601.0,3720.772
601579.SH,20190808,8.14,8.15,8.05,8.09,8.08,0.01,0.1238,5566.02,4515.958
601579.SH,20190807,8.15,8.15,8.07,8.08,8.08,0.0,0.0,3550.0,2877.14
601579.SH,20190806,8.22,8.24,8.01,8.08,8.32,-0.24,-2.8846,14702.0,11946.495
601579.SH,20190805,8.37,8.4,8.31,8.32,8.38,-0.06,-0.716,6777.0,5652.677
601579.SH,20190802,8.46,8.46,8.35,8.38,8.5,-0.12,-1.4118,9661.0,8101.909
601579.SH,20190801,8.53,8.58,8.45,8.5,8.6,-0.1,-1.1628,7565.0,6434.098
601579.SH,20190731,8.66,8.67,8.57,8.6,8.63,-0.03,-0.3476,5756.0,4950.888
601579.SH,20190730,8.66,8.7,8.62,8.63,8.62,0.01,0.116,9876.0,8547.742
601579.SH,20190729,8.55,8.64,8.54,8.62,8.58,0.04,0.4662,9111.0,7832.437
601579.SH,20190726,8.61,8.61,8.52,8.58,8.56,0.02,0.2336,4818.68,4134.214
601579.SH,20190725,8.57,8.62,8.5,8.56,8.62,-0.06,-0.6961,8963.0,7663.328
601579.SH,20190724,8.63,8.69,8.58,8.62,8.65,-0.03,-0.3468,13220.0,11396.037
601579.SH,20190723,8.3,8.73,8.27,8.65,8.33,0.32,3.8415,31511.01,27014.579
601579.SH,20190722,8.5,8.5,8.28,8.33,8.46,-0.13,-1.5366,15094.0,12594.393
601579.SH,20190719,8.54,8.65,8.54,8.57,8.62,-0.05,-0.58,16413.0,14115.59
601579.SH,20190718,8.6,8.66,8.57,8.62,8.67,-0.05,-0.5767,10563.0,9100.691
601579.SH,20190717,8.65,8.73,8.65,8.67,8.71,-0.04,-0.4592,11034.0,9590.977
601579.SH,20190716,8.75,8.82,8.65,8.71,8.8,-0.09,-1.0227,20790.19,18133.957
601579.SH,20190715,8.87,8.87,8.63,8.8,8.87,-0.07,-0.7892,18703.25,16352.695
601579.SH,20190712,8.9,8.94,8.81,8.87,8.85,0.02,0.226,14526.0,12906.396
601579.SH,20190711,9.0,9.05,8.82,8.85,9.01,-0.16,-1.7758,22559.22,20093.976
601579.SH,20190710,9.03,9.09,8.95,9.01,9.02,-0.01,-0.1109,14433.67,13014.972
601579.SH,20190709,8.89,9.11,8.82,9.02,8.9,0.12,1.3483,23862.18,21490.344
601579.SH,20190708,9.15,9.16,8.8,8.9,9.13,-0.23,-2.5192,27294.0,24455.842
601579.SH,20190705,9.24,9.24,9.05,9.13,9.15,-0.02,-0.2186,18039.92,16440.382
601579.SH,20190704,9.24,9.28,9.07,9.15,9.25,-0.1,-1.0811,29992.0,27403.058
601579.SH,20190703,9.21,9.49,9.11,9.25,9.25,0.0,0.0,56345.0,52589.247
601579.SH,20190702,9.02,9.48,9.02,9.25,9.06,0.19,2.0971,49783.19,46188.599
601579.SH,20190701,8.89,9.08,8.84,9.06,8.83,0.23,2.6048,30016.17,27004.051
601579.SH,20190628,8.85,8.93,8.76,8.83,8.89,-0.06,-0.6749,18941.0,16775.891
601579.SH,20190627,8.79,9.0,8.76,8.89,8.73,0.16,1.8328,34544.0,30722.511
601579.SH,20190626,8.74,8.8,8.72,8.73,8.76,-0.03,-0.3425,10117.0,8864.452
601579.SH,20190625,8.86,8.86,8.65,8.76,8.85,-0.09,-1.0169,17986.01,15708.312
601579.SH,20190624,8.76,8.97,8.72,8.85,8.8,0.05,0.5682,26650.13,23591.369
601579.SH,20190621,8.7,8.85,8.65,8.8,8.65,0.15,1.7341,27547.7,24023.87
