ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300559.SZ,20200110,33.57,33.8,32.69,33.18,33.88,-0.7,-2.0661,42939.85,142414.334
300559.SZ,20200109,33.36,34.16,33.02,33.88,33.73,0.15,0.4447,81984.83,274133.801
300559.SZ,20200108,30.55,33.73,30.23,33.73,30.66,3.07,10.013,121643.34,400454.724
300559.SZ,20200107,29.85,31.01,29.56,30.66,29.99,0.67,2.2341,56365.4,170977.448
300559.SZ,20200106,29.0,29.99,28.73,29.99,29.1,0.89,3.0584,42473.64,124636.73
300559.SZ,20200103,29.41,29.57,28.67,29.1,29.4,-0.3,-1.0204,37254.59,107861.737
300559.SZ,20200102,29.57,29.69,28.61,29.4,29.3,0.1,0.3413,46183.27,135166.891
300559.SZ,20191231,29.32,30.98,29.0,29.3,29.2,0.1,0.3425,55488.95,166019.049
300559.SZ,20191230,29.38,29.5,28.41,29.2,29.1,0.1,0.3436,28580.64,82826.135
300559.SZ,20191227,29.59,29.86,28.79,29.1,29.53,-0.43,-1.4561,26375.03,77089.711
300559.SZ,20191226,29.84,30.18,29.25,29.53,29.84,-0.31,-1.0389,19743.01,58427.776
300559.SZ,20191225,29.4,30.29,29.16,29.84,29.44,0.4,1.3587,23807.37,71001.096
300559.SZ,20191224,28.41,29.45,28.16,29.44,28.37,1.07,3.7716,22834.88,65943.685
300559.SZ,20191223,28.86,28.88,28.04,28.37,29.23,-0.86,-2.9422,27059.73,76713.027
300559.SZ,20191220,29.36,29.79,29.0,29.23,29.28,-0.05,-0.1708,27102.1,79440.884
300559.SZ,20191219,29.34,29.87,29.0,29.28,29.3,-0.02,-0.0683,23307.28,68318.176
300559.SZ,20191218,28.75,29.76,28.43,29.3,28.8,0.5,1.7361,38673.14,113056.667
300559.SZ,20191217,28.75,29.1,28.22,28.8,28.5,0.3,1.0526,39375.53,112717.747
300559.SZ,20191216,27.05,28.65,26.95,28.5,26.9,1.6,5.948,48557.28,135373.135
300559.SZ,20191213,26.7,27.09,26.59,26.9,26.4,0.5,1.8939,28074.2,75450.332
300559.SZ,20191212,27.42,27.42,26.3,26.4,27.3,-0.9,-3.2967,34595.01,92587.376
300559.SZ,20191211,28.39,28.65,26.9,27.3,28.49,-1.19,-4.1769,42608.58,117382.71
300559.SZ,20191210,28.16,28.75,27.75,28.49,28.35,0.14,0.4938,23841.98,67508.52
300559.SZ,20191209,27.6,28.73,27.25,28.35,27.45,0.9,3.2787,37611.41,105721.811
300559.SZ,20191206,27.39,27.48,27.02,27.45,27.29,0.16,0.5863,16627.5,45343.277
300559.SZ,20191205,27.06,27.62,27.02,27.29,26.92,0.37,1.3744,22168.27,60475.94
300559.SZ,20191204,26.9,27.59,26.82,26.92,27.21,-0.29,-1.0658,21269.0,57671.967
