ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300193.SZ,20200110,8.98,9.03,8.86,8.93,8.97,-0.04,-0.4459,29895.34,26710.999
300193.SZ,20200109,8.81,9.0,8.8,8.97,8.76,0.21,2.3973,56378.8,50134.907
300193.SZ,20200108,8.9,8.97,8.71,8.76,8.99,-0.23,-2.5584,52047.12,46079.617
300193.SZ,20200107,9.03,9.03,8.85,8.99,9.0,-0.01,-0.1111,64600.85,57639.497
300193.SZ,20200106,9.05,9.06,8.84,9.0,9.06,-0.06,-0.6623,77087.25,69129.229
300193.SZ,20200103,9.06,9.09,9.01,9.06,9.06,0.0,0.0,62504.04,56589.084
300193.SZ,20200102,9.08,9.12,8.94,9.06,9.06,0.0,0.0,99381.65,89718.449
300193.SZ,20191231,8.88,9.06,8.88,9.06,8.94,0.12,1.3423,46502.8,41726.483
300193.SZ,20191230,8.96,9.08,8.81,8.94,8.95,-0.01,-0.1117,64703.96,57783.895
300193.SZ,20191227,8.64,9.05,8.64,8.95,8.69,0.26,2.9919,115391.19,103236.795
300193.SZ,20191226,8.41,8.83,8.41,8.69,8.41,0.28,3.3294,79975.03,69285.433
300193.SZ,20191225,8.25,8.44,8.23,8.41,8.25,0.16,1.9394,28125.7,23521.257
300193.SZ,20191224,8.27,8.28,8.16,8.25,8.15,0.1,1.227,18785.22,15444.686
300193.SZ,20191223,8.36,8.43,8.13,8.15,8.31,-0.16,-1.9254,37870.35,31319.138
300193.SZ,20191220,8.55,8.58,8.28,8.31,8.54,-0.23,-2.6932,63117.09,53022.832
300193.SZ,20191219,8.57,8.61,8.5,8.54,8.52,0.02,0.2347,30652.79,26215.555
300193.SZ,20191218,8.5,8.62,8.48,8.52,8.44,0.08,0.9479,43480.2,37104.4
300193.SZ,20191217,8.42,8.51,8.35,8.44,8.41,0.03,0.3567,41706.16,35133.777
300193.SZ,20191216,8.4,8.42,8.35,8.41,8.38,0.03,0.358,34633.41,29046.225
300193.SZ,20191213,8.29,8.42,8.27,8.38,8.28,0.1,1.2077,37009.6,30925.84
300193.SZ,20191212,8.34,8.36,8.26,8.28,8.35,-0.07,-0.8383,26179.23,21736.045
300193.SZ,20191211,8.28,8.45,8.25,8.35,8.29,0.06,0.7238,25700.22,21513.441
300193.SZ,20191210,8.26,8.33,8.21,8.29,8.28,0.01,0.1208,17380.75,14370.713
300193.SZ,20191209,8.17,8.4,8.17,8.28,8.17,0.11,1.3464,30433.43,25277.743
300193.SZ,20191206,8.09,8.18,8.07,8.17,8.12,0.05,0.6158,11092.82,9021.819
300193.SZ,20191205,7.97,8.18,7.97,8.12,7.97,0.15,1.8821,20990.43,16962.14
300193.SZ,20191204,7.91,8.02,7.88,7.97,7.97,0.0,0.0,11168.0,8898.645
300193.SZ,20191203,7.88,7.97,7.82,7.97,7.9,0.07,0.8861,11457.6,9068.744
300193.SZ,20191202,7.9,7.95,7.85,7.9,7.9,0.0,0.0,11408.96,9006.023
300193.SZ,20191129,7.97,7.97,7.83,7.9,7.96,-0.06,-0.7538,14405.6,11360.565
300193.SZ,20191128,7.98,8.05,7.93,7.96,8.02,-0.06,-0.7481,6325.0,5047.975
300193.SZ,20191127,7.99,8.07,7.94,8.02,8.0,0.02,0.25,8840.0,7097.698
300193.SZ,20191126,8.04,8.04,7.93,8.0,7.99,0.01,0.1252,8825.03,7041.395
300193.SZ,20191125,8.1,8.11,7.91,7.99,8.1,-0.11,-1.358,26478.79,21094.969
300193.SZ,20191122,8.15,8.2,8.05,8.1,8.18,-0.08,-0.978,25522.0,20727.97
300193.SZ,20191121,8.16,8.2,8.11,8.18,8.13,0.05,0.615,9537.5,7783.015
300193.SZ,20191120,8.19,8.23,8.06,8.13,8.21,-0.08,-0.9744,21836.0,17802.827
300193.SZ,20191119,7.99,8.22,7.99,8.21,8.01,0.2,2.4969,24672.01,20021.966
300193.SZ,20191118,7.89,8.06,7.84,8.01,7.96,0.05,0.6281,21253.47,17016.965
300193.SZ,20191115,8.19,8.19,7.96,7.96,8.21,-0.25,-3.0451,35851.83,28994.195
300193.SZ,20191114,8.13,8.22,8.09,8.21,8.15,0.06,0.7362,13611.88,11107.417
300193.SZ,20191113,8.16,8.18,8.08,8.15,8.17,-0.02,-0.2448,18777.09,15252.361
300193.SZ,20191112,8.17,8.33,8.06,8.17,8.19,-0.02,-0.2442,25064.8,20419.14
300193.SZ,20191111,8.36,8.4,8.19,8.19,8.45,-0.26,-3.0769,26536.5,22021.972
300193.SZ,20191108,8.5,8.61,8.43,8.45,8.45,0.0,0.0,26038.08,22155.296
300193.SZ,20191107,8.53,8.69,8.42,8.45,8.62,-0.17,-1.9722,39107.59,33260.279
300193.SZ,20191106,8.69,8.78,8.56,8.62,8.66,-0.04,-0.4619,36648.5,31748.778
300193.SZ,20191105,8.73,8.75,8.54,8.66,8.7,-0.04,-0.4598,31160.05,27026.258
300193.SZ,20191104,8.63,8.74,8.6,8.7,8.65,0.05,0.578,30718.52,26643.874
300193.SZ,20191101,8.58,8.7,8.53,8.65,8.64,0.01,0.1157,27322.97,23600.958
300193.SZ,20191031,8.76,8.76,8.47,8.64,8.75,-0.11,-1.2571,60792.75,52260.569
300193.SZ,20191030,9.1,9.1,8.67,8.75,9.25,-0.5,-5.4054,97582.37,85932.71
300193.SZ,20191029,9.16,9.36,9.13,9.25,9.23,0.02,0.2167,83652.29,77200.054
300193.SZ,20191028,9.15,9.26,9.09,9.23,9.1,0.13,1.4286,74059.88,67856.475
300193.SZ,20191025,8.8,9.13,8.8,9.1,8.83,0.27,3.0578,67399.21,60767.189
300193.SZ,20191024,8.66,8.89,8.66,8.83,8.69,0.14,1.611,36020.35,31649.187
300193.SZ,20191023,8.8,8.96,8.68,8.69,8.82,-0.13,-1.4739,55052.74,48382.192
300193.SZ,20191022,8.49,8.85,8.41,8.82,8.46,0.36,4.2553,33984.34,29370.535
300193.SZ,20191021,8.45,8.52,8.34,8.46,8.44,0.02,0.237,21221.73,17915.684
300193.SZ,20191018,8.41,8.53,8.36,8.44,8.44,0.0,0.0,19719.6,16613.404
300193.SZ,20191017,8.41,8.48,8.33,8.44,8.36,0.08,0.9569,22934.4,19312.794
300193.SZ,20191016,8.59,8.61,8.31,8.36,8.53,-0.17,-1.993,30340.73,25589.55
300193.SZ,20191015,8.75,8.75,8.52,8.53,8.65,-0.12,-1.3873,40207.88,34546.419
300193.SZ,20191014,8.57,8.8,8.56,8.65,8.56,0.09,1.0514,44988.35,39172.301
300193.SZ,20191011,8.5,8.56,8.43,8.56,8.46,0.1,1.182,19381.72,16429.417
300193.SZ,20191010,8.47,8.49,8.39,8.46,8.4,0.06,0.7143,17174.05,14505.621
300193.SZ,20191009,8.29,8.43,8.25,8.4,8.31,0.09,1.083,16886.0,14146.162
300193.SZ,20191008,8.19,8.5,8.1,8.31,8.18,0.13,1.5892,28836.15,24064.886
300193.SZ,20190930,8.43,8.5,8.17,8.18,8.44,-0.26,-3.0806,40385.48,33254.753
300193.SZ,20190927,8.55,8.7,8.3,8.44,8.6,-0.16,-1.8605,83842.48,71250.992
300193.SZ,20190926,9.14,9.16,8.53,8.6,9.33,-0.73,-7.8242,112225.01,99564.925
300193.SZ,20190925,9.3,9.48,9.16,9.33,9.35,-0.02,-0.2139,119115.15,111240.366
300193.SZ,20190924,9.1,9.38,9.1,9.35,9.12,0.23,2.5219,117008.92,108231.901
300193.SZ,20190923,9.15,9.16,8.95,9.12,9.15,-0.03,-0.3279,34259.18,31024.958
300193.SZ,20190920,9.16,9.26,9.09,9.15,9.14,0.01,0.1094,39869.59,36655.47
300193.SZ,20190919,8.98,9.16,8.9,9.14,9.01,0.13,1.4428,33561.4,30498.46
300193.SZ,20190918,8.91,9.03,8.78,9.01,8.88,0.13,1.464,31267.69,27825.875
300193.SZ,20190917,9.13,9.16,8.82,8.88,9.15,-0.27,-2.9508,47974.11,43085.538
300193.SZ,20190916,9.17,9.29,9.12,9.15,9.17,-0.02,-0.2181,37424.78,34417.682
300193.SZ,20190912,9.22,9.23,9.11,9.17,9.15,0.02,0.2186,36091.72,33073.549
300193.SZ,20190911,9.15,9.26,9.14,9.15,9.14,0.01,0.1094,41007.16,37723.116
300193.SZ,20190910,9.34,9.34,9.08,9.14,9.35,-0.21,-2.246,65145.54,59735.646
300193.SZ,20190909,9.36,9.39,9.23,9.35,9.33,0.02,0.2144,62349.95,58047.958
300193.SZ,20190906,9.09,9.35,9.04,9.33,9.03,0.3,3.3223,82730.46,76087.018
300193.SZ,20190905,9.11,9.16,9.0,9.03,9.04,-0.01,-0.1106,60911.78,55375.503
300193.SZ,20190904,8.88,9.09,8.87,9.04,8.87,0.17,1.9166,61625.87,55448.255
300193.SZ,20190903,8.83,8.91,8.76,8.87,8.83,0.04,0.453,43387.94,38311.575
300193.SZ,20190902,8.78,8.94,8.62,8.83,8.78,0.05,0.5695,72002.28,63193.088
300193.SZ,20190830,8.99,9.2,8.7,8.78,8.89,-0.11,-1.2373,108147.42,96895.644
300193.SZ,20190829,9.16,9.16,8.84,8.89,9.13,-0.24,-2.6287,62060.68,55606.942
300193.SZ,20190828,9.03,9.44,8.93,9.13,9.08,0.05,0.5507,109817.57,101338.851
300193.SZ,20190827,8.91,9.13,8.87,9.08,8.9,0.18,2.0225,86810.95,78074.841
300193.SZ,20190826,8.92,9.01,8.81,8.9,9.1,-0.2,-2.1978,117729.47,104686.535
300193.SZ,20190823,8.47,9.22,8.45,9.1,8.5,0.6,7.0588,213526.21,190661.677
300193.SZ,20190822,8.55,8.65,8.31,8.5,8.59,-0.09,-1.0477,66644.27,56692.1
300193.SZ,20190821,8.53,8.59,8.45,8.59,8.55,0.04,0.4678,69203.3,58947.678
300193.SZ,20190820,8.48,8.62,8.38,8.55,8.49,0.06,0.7067,110182.95,93726.515
300193.SZ,20190819,8.57,8.65,8.33,8.49,8.37,0.12,1.4337,120078.75,101465.577
300193.SZ,20190816,8.17,8.37,8.17,8.37,8.18,0.19,2.3227,57113.92,47334.901
300193.SZ,20190815,7.95,8.2,7.91,8.18,8.09,0.09,1.1125,26248.53,21237.542
300193.SZ,20190814,8.1,8.18,8.05,8.09,8.09,0.0,0.0,23332.0,18913.805
300193.SZ,20190813,8.0,8.15,7.92,8.09,8.03,0.06,0.7472,25809.94,20803.158
300193.SZ,20190812,7.93,8.05,7.86,8.03,7.89,0.14,1.7744,13557.78,10809.987
300193.SZ,20190809,8.07,8.08,7.87,7.89,8.01,-0.12,-1.4981,20496.05,16315.678
300193.SZ,20190808,8.19,8.19,7.98,8.01,8.1,-0.09,-1.1111,18154.2,14604.937
300193.SZ,20190807,8.15,8.21,8.04,8.1,8.14,-0.04,-0.4914,21268.0,17249.997
300193.SZ,20190806,7.92,8.16,7.78,8.14,8.0,0.14,1.75,35459.34,28285.484
300193.SZ,20190805,8.01,8.12,7.97,8.0,8.1,-0.1,-1.2346,17578.0,14114.511
300193.SZ,20190802,7.9,8.19,7.81,8.1,8.06,0.04,0.4963,27870.0,22506.453
300193.SZ,20190801,8.04,8.1,7.96,8.06,8.05,0.01,0.1242,20891.92,16779.732
300193.SZ,20190731,7.92,8.07,7.86,8.05,7.92,0.13,1.6414,26108.05,20886.622
300193.SZ,20190730,7.86,7.92,7.77,7.92,7.78,0.14,1.7995,17775.42,13986.139
300193.SZ,20190729,7.8,7.87,7.73,7.78,7.86,-0.08,-1.0178,9163.42,7142.361
300193.SZ,20190726,7.73,7.87,7.7,7.86,7.71,0.15,1.9455,23335.32,18250.647
300193.SZ,20190725,7.82,7.84,7.67,7.71,7.82,-0.11,-1.4066,24861.42,19214.779
300193.SZ,20190724,7.79,7.89,7.73,7.82,7.76,0.06,0.7732,29531.0,23161.459
300193.SZ,20190723,7.7,7.77,7.67,7.76,7.7,0.06,0.7792,25421.0,19671.405
300193.SZ,20190722,7.69,7.8,7.59,7.7,7.73,-0.03,-0.3881,15764.25,12116.809
300193.SZ,20190719,7.69,7.8,7.67,7.73,7.74,-0.01,-0.1292,25418.51,19673.776
300193.SZ,20190718,7.91,7.96,7.69,7.74,8.05,-0.31,-3.8509,56391.66,43912.278
300193.SZ,20190717,8.49,8.49,8.02,8.05,8.34,-0.29,-3.4772,154062.18,127061.167
300193.SZ,20190716,7.8,8.41,7.8,8.34,7.84,0.5,6.3776,73794.81,59850.77
300193.SZ,20190715,7.74,7.89,7.67,7.84,7.74,0.1,1.292,20447.01,15942.533
300193.SZ,20190712,7.57,7.83,7.57,7.74,7.57,0.17,2.2457,24981.01,19330.502
300193.SZ,20190711,7.6,7.65,7.53,7.57,7.56,0.01,0.1323,11830.2,8981.519
300193.SZ,20190710,7.66,7.7,7.5,7.56,7.67,-0.11,-1.4342,18262.64,13880.629
300193.SZ,20190709,7.59,7.68,7.51,7.67,7.6,0.07,0.9211,18954.59,14442.973
300193.SZ,20190708,8.1,8.1,7.47,7.6,8.02,-0.42,-5.2369,70664.36,54092.398
300193.SZ,20190705,8.08,8.16,7.97,8.02,8.13,-0.11,-1.353,26875.79,21629.304
300193.SZ,20190704,8.14,8.2,8.06,8.13,8.15,-0.02,-0.2454,12961.15,10521.413
300193.SZ,20190703,8.25,8.27,8.1,8.15,8.23,-0.08,-0.9721,28104.07,22927.844
300193.SZ,20190702,8.27,8.32,8.18,8.23,8.21,0.02,0.2436,24774.62,20419.759
300193.SZ,20190701,8.23,8.35,8.19,8.21,8.17,0.04,0.4896,40157.69,33166.433
300193.SZ,20190628,8.27,8.38,8.15,8.17,8.31,-0.14,-1.6847,51528.22,42446.482
