ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600794.SH,20200110,4.0,4.04,3.95,3.98,4.01,-0.03,-0.7481,206479.2,82191.41
600794.SH,20200109,3.89,4.08,3.88,4.01,3.87,0.14,3.6176,400983.34,159793.544
600794.SH,20200108,3.95,3.95,3.87,3.87,3.97,-0.1,-2.5189,232783.29,90879.544
600794.SH,20200107,3.95,3.97,3.92,3.97,3.94,0.03,0.7614,233023.86,92012.863
600794.SH,20200106,3.95,3.99,3.89,3.94,3.98,-0.04,-1.005,321324.29,126574.953
600794.SH,20200103,3.9,4.03,3.87,3.98,3.9,0.08,2.0513,387273.24,152854.114
600794.SH,20200102,3.84,3.92,3.83,3.9,3.82,0.08,2.0942,257166.26,99529.672
600794.SH,20191231,3.79,3.85,3.77,3.82,3.78,0.04,1.0582,152951.22,58257.697
600794.SH,20191230,3.77,3.79,3.72,3.78,3.77,0.01,0.2653,119510.28,44959.482
600794.SH,20191227,3.78,3.82,3.77,3.77,3.79,-0.02,-0.5277,142144.39,53959.659
600794.SH,20191226,3.77,3.8,3.76,3.79,3.78,0.01,0.2646,110755.64,41806.116
600794.SH,20191225,3.8,3.8,3.76,3.78,3.8,-0.02,-0.5263,110112.84,41603.822
600794.SH,20191224,3.76,3.8,3.76,3.8,3.76,0.04,1.0638,89233.65,33731.559
600794.SH,20191223,3.86,3.9,3.75,3.76,3.87,-0.11,-2.8424,161622.77,61573.109
600794.SH,20191220,3.86,3.95,3.86,3.87,3.88,-0.01,-0.2577,222610.58,86963.975
600794.SH,20191219,3.83,3.89,3.83,3.88,3.84,0.04,1.0417,171742.38,66260.822
600794.SH,20191218,3.86,3.88,3.83,3.84,3.87,-0.03,-0.7752,233402.23,89877.933
600794.SH,20191217,3.82,3.88,3.79,3.87,3.81,0.06,1.5748,253636.73,97557.418
600794.SH,20191216,3.76,3.82,3.75,3.81,3.75,0.06,1.6,149559.93,56638.949
600794.SH,20191213,3.75,3.77,3.73,3.75,3.73,0.02,0.5362,107750.0,40401.335
600794.SH,20191212,3.76,3.77,3.73,3.73,3.76,-0.03,-0.7979,75097.0,28116.293
600794.SH,20191211,3.77,3.8,3.74,3.76,3.79,-0.03,-0.7916,91031.02,34193.929
600794.SH,20191210,3.87,3.87,3.77,3.79,3.8,-0.01,-0.2632,153391.25,58240.546
600794.SH,20191209,3.8,3.82,3.75,3.8,3.76,0.04,1.0638,122073.98,46093.473
600794.SH,20191206,3.78,3.79,3.73,3.76,3.78,-0.02,-0.5291,93677.02,35162.664
600794.SH,20191205,3.72,3.79,3.7,3.78,3.72,0.06,1.6129,165096.04,61808.219
600794.SH,20191204,3.7,3.75,3.7,3.72,3.74,-0.02,-0.5348,71576.21,26634.54
600794.SH,20191203,3.72,3.75,3.68,3.74,3.78,-0.04,-1.0582,133295.62,49507.399
600794.SH,20191202,3.82,3.89,3.77,3.78,3.73,0.05,1.3405,198680.41,75863.515
600794.SH,20191129,3.77,3.78,3.7,3.73,3.75,-0.02,-0.5333,77743.4,28977.831
600794.SH,20191128,3.79,3.81,3.74,3.75,3.81,-0.06,-1.5748,80654.21,30401.481
600794.SH,20191127,3.83,3.84,3.79,3.81,3.85,-0.04,-1.039,98527.61,37546.097
600794.SH,20191126,3.8,3.9,3.76,3.85,3.78,0.07,1.8519,171463.02,65561.429
600794.SH,20191125,3.8,3.8,3.71,3.78,3.77,0.01,0.2653,82135.0,30849.65
600794.SH,20191122,3.8,3.84,3.75,3.77,3.76,0.01,0.266,130150.0,49295.185
600794.SH,20191121,3.73,3.78,3.71,3.76,3.76,0.0,0.0,104701.01,39127.848
600794.SH,20191120,3.8,3.81,3.74,3.76,3.83,-0.07,-1.8277,111984.06,42210.149
600794.SH,20191119,3.82,3.84,3.78,3.83,3.82,0.01,0.2618,150601.01,57340.081
600794.SH,20191118,3.7,3.83,3.68,3.82,3.72,0.1,2.6882,152250.85,57110.902
600794.SH,20191115,3.81,3.85,3.7,3.72,3.84,-0.12,-3.125,173153.14,65311.589
600794.SH,20191114,3.91,3.92,3.79,3.84,3.96,-0.12,-3.0303,269383.97,103350.303
600794.SH,20191113,4.0,4.01,3.96,3.96,3.98,-0.02,-0.5025,78953.64,31416.57
