ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603388.SH,20200110,8.69,8.75,8.44,8.54,8.79,-0.25,-2.8441,68083.83,58458.215
603388.SH,20200109,8.2,8.99,8.16,8.79,8.17,0.62,7.5887,111343.96,95067.604
603388.SH,20200108,8.13,8.48,8.13,8.17,8.13,0.04,0.492,69548.57,57630.872
603388.SH,20200107,8.1,8.15,8.05,8.13,8.11,0.02,0.2466,33412.0,27099.923
603388.SH,20200106,8.03,8.16,7.94,8.11,8.12,-0.01,-0.1232,33937.67,27455.591
603388.SH,20200103,8.16,8.25,8.07,8.12,8.16,-0.04,-0.4902,36598.67,29783.075
603388.SH,20200102,8.26,8.26,8.07,8.16,8.11,0.05,0.6165,39955.6,32667.827
603388.SH,20191231,8.1,8.26,8.02,8.11,8.1,0.01,0.1235,33086.63,26877.883
603388.SH,20191230,7.92,8.15,7.71,8.1,7.96,0.14,1.7588,44611.63,35612.09
603388.SH,20191227,8.21,8.22,7.91,7.96,8.27,-0.31,-3.7485,54672.8,44242.383
603388.SH,20191226,7.87,8.27,7.85,8.27,7.86,0.41,5.2163,81067.0,65950.11
603388.SH,20191225,7.9,7.92,7.8,7.86,7.92,-0.06,-0.7576,43905.12,34443.992
603388.SH,20191224,8.04,8.05,7.83,7.92,7.91,0.01,0.1264,42330.69,33525.941
603388.SH,20191223,8.36,8.59,7.83,7.91,8.3,-0.39,-4.6988,79480.03,65313.766
603388.SH,20191220,8.2,8.3,8.06,8.3,8.18,0.12,1.467,62496.06,51161.085
603388.SH,20191219,8.18,8.24,8.01,8.18,8.19,-0.01,-0.1221,67410.84,54687.438
603388.SH,20191218,7.85,8.55,7.78,8.19,7.88,0.31,3.934,130108.28,106321.773
603388.SH,20191217,7.79,7.95,7.68,7.88,7.84,0.04,0.5102,130693.0,102204.188
603388.SH,20191216,7.16,7.84,7.16,7.84,7.13,0.71,9.9579,125206.79,96969.897
603388.SH,20191213,7.14,7.17,7.08,7.13,7.09,0.04,0.5642,17438.05,12405.104
603388.SH,20191212,7.18,7.19,7.05,7.09,7.1,-0.01,-0.1408,9225.6,6568.399
603388.SH,20191211,7.18,7.18,7.1,7.1,7.15,-0.05,-0.6993,6269.18,4466.461
603388.SH,20191210,7.13,7.16,7.1,7.15,7.14,0.01,0.1401,7694.78,5500.398
603388.SH,20191209,7.17,7.17,7.1,7.14,7.15,-0.01,-0.1399,11626.23,8305.15
603388.SH,20191206,7.1,7.18,7.1,7.15,7.14,0.01,0.1401,8895.26,6349.03
603388.SH,20191205,7.13,7.17,7.06,7.14,7.09,0.05,0.7052,9222.2,6568.271
