ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300333.SZ,20200110,11.53,11.58,11.26,11.42,11.54,-0.12,-1.0399,177358.37,202735.24
300333.SZ,20200109,11.16,11.7,11.15,11.54,11.05,0.49,4.4344,265404.27,304640.233
300333.SZ,20200108,11.35,11.43,11.01,11.05,11.48,-0.43,-3.7456,205898.19,231162.81
300333.SZ,20200107,11.19,11.58,11.08,11.48,11.16,0.32,2.8674,253411.85,288256.33
300333.SZ,20200106,11.2,11.28,11.05,11.16,11.31,-0.15,-1.3263,205467.13,229321.318
300333.SZ,20200103,11.08,11.33,10.86,11.31,11.01,0.3,2.7248,263643.73,292987.278
300333.SZ,20200102,10.66,11.18,10.62,11.01,10.56,0.45,4.2614,235476.3,258026.581
300333.SZ,20191231,10.65,10.84,10.46,10.56,10.64,-0.08,-0.7519,105410.27,112088.689
300333.SZ,20191230,10.66,10.72,10.33,10.64,10.62,0.02,0.1883,120074.84,126445.91
300333.SZ,20191227,10.9,10.95,10.62,10.62,10.86,-0.24,-2.2099,134154.85,144312.825
300333.SZ,20191226,10.6,10.86,10.52,10.86,10.56,0.3,2.8409,156295.49,167475.074
300333.SZ,20191225,10.25,10.73,10.2,10.56,10.29,0.27,2.6239,132815.62,139565.894
300333.SZ,20191224,10.25,10.32,10.05,10.29,10.16,0.13,1.2795,84396.45,86062.045
300333.SZ,20191223,10.6,10.62,10.15,10.16,10.54,-0.38,-3.6053,126886.01,131329.799
300333.SZ,20191220,10.85,10.87,10.54,10.54,10.82,-0.28,-2.5878,135880.95,145157.775
300333.SZ,20191219,10.77,10.89,10.73,10.82,10.78,0.04,0.3711,124774.2,134949.445
300333.SZ,20191218,10.87,10.93,10.62,10.78,10.76,0.02,0.1859,156026.77,168504.227
300333.SZ,20191217,10.69,10.83,10.6,10.76,10.68,0.08,0.7491,150152.07,161123.583
300333.SZ,20191216,10.46,10.74,10.44,10.68,10.44,0.24,2.2989,151888.92,161365.078
300333.SZ,20191213,10.52,10.55,10.27,10.44,10.37,0.07,0.675,129423.9,134474.807
300333.SZ,20191212,10.21,10.58,10.15,10.37,10.15,0.22,2.1675,187415.54,195153.639
300333.SZ,20191211,10.3,10.45,10.15,10.15,10.32,-0.17,-1.6473,89065.13,91166.253
300333.SZ,20191210,10.08,10.5,9.98,10.32,10.12,0.2,1.9763,145135.57,148959.046
300333.SZ,20191209,10.13,10.23,10.06,10.12,10.1,0.02,0.198,77586.59,78564.246
300333.SZ,20191206,10.05,10.1,9.94,10.1,10.05,0.05,0.4975,81543.01,81832.235
300333.SZ,20191205,9.98,10.12,9.91,10.05,9.92,0.13,1.3105,90330.66,90572.907
300333.SZ,20191204,9.8,10.01,9.73,9.92,9.88,0.04,0.4049,62825.32,62202.153
300333.SZ,20191203,9.76,9.88,9.7,9.88,9.86,0.02,0.2028,63248.07,62038.674
300333.SZ,20191202,9.73,9.89,9.71,9.86,9.76,0.1,1.0246,58404.63,57324.697
300333.SZ,20191129,9.65,9.81,9.55,9.76,9.62,0.14,1.4553,55885.54,54220.978
300333.SZ,20191128,9.65,9.8,9.58,9.62,9.72,-0.1,-1.0288,53724.99,51880.134
300333.SZ,20191127,9.64,9.82,9.52,9.72,9.68,0.04,0.4132,60632.62,58902.818
300333.SZ,20191126,9.64,9.76,9.5,9.68,9.62,0.06,0.6237,45790.93,44318.503
300333.SZ,20191125,9.93,9.98,9.48,9.62,9.94,-0.32,-3.2193,104843.85,101371.954
300333.SZ,20191122,10.2,10.32,9.91,9.94,10.13,-0.19,-1.8756,98974.41,99704.466
300333.SZ,20191121,10.19,10.25,10.06,10.13,10.23,-0.1,-0.9775,63668.14,64612.08
300333.SZ,20191120,10.37,10.44,10.16,10.23,10.36,-0.13,-1.2548,82723.24,85142.398
300333.SZ,20191119,10.08,10.56,10.08,10.36,10.09,0.27,2.6759,119171.61,123050.524
300333.SZ,20191118,9.98,10.13,9.89,10.09,10.01,0.08,0.7992,61651.43,61823.254
300333.SZ,20191115,10.08,10.26,10.0,10.01,10.12,-0.11,-1.087,80251.77,81276.365
