ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603986.SH,20200110,223.0,248.38,223.0,245.0,225.8,19.2,8.5031,86485.07,2058410.995
603986.SH,20200109,215.4,227.89,211.67,225.8,213.5,12.3,5.7611,80106.53,1769473.261
603986.SH,20200108,212.43,217.0,210.39,213.5,212.78,0.72,0.3384,50610.14,1080656.125
603986.SH,20200107,223.0,226.88,209.0,212.78,226.0,-13.22,-5.8496,92438.58,1987585.677
603986.SH,20200106,215.5,229.8,215.5,226.0,220.4,5.6,2.5408,64696.72,1450349.029
603986.SH,20200103,224.0,224.4,214.66,220.4,219.53,0.87,0.3963,70564.44,1545268.901
603986.SH,20200102,207.01,224.86,206.1,219.53,204.89,14.64,7.1453,99546.53,2167567.315
603986.SH,20191231,207.64,210.15,201.06,204.89,207.38,-2.49,-1.2007,52478.46,1082163.007
603986.SH,20191230,200.0,209.1,194.0,207.38,200.0,7.38,3.69,64937.1,1324806.865
603986.SH,20191227,210.0,212.0,199.4,200.0,210.33,-10.33,-4.9113,73890.79,1514537.808
603986.SH,20191226,216.1,218.64,205.18,210.33,214.92,-4.59,-2.1357,73775.37,1555413.723
603986.SH,20191225,199.0,214.92,197.92,214.92,195.38,19.54,10.001,82945.68,1747207.447
603986.SH,20191224,186.24,199.8,182.81,195.38,182.3,13.08,7.175,85863.21,1638218.932
603986.SH,20191223,183.99,187.16,179.0,182.3,195.3,-13.0,-6.6564,113482.93,2079560.121
603986.SH,20191220,197.9,199.88,194.0,195.3,195.97,-0.67,-0.3419,48446.81,954184.007
603986.SH,20191219,201.91,202.0,192.22,195.97,205.97,-10.0,-4.8551,86043.83,1692778.896
603986.SH,20191218,202.52,210.58,202.0,205.97,203.55,2.42,1.1889,61679.88,1272339.176
603986.SH,20191217,204.19,206.43,201.0,203.55,204.99,-1.44,-0.7025,52146.6,1061504.291
603986.SH,20191216,202.0,208.4,196.77,204.99,203.33,1.66,0.8164,82742.46,1673577.565
603986.SH,20191213,210.0,210.0,198.5,203.33,210.0,-6.67,-3.1762,86370.09,1753827.224
603986.SH,20191212,201.44,212.99,199.59,210.0,200.0,10.0,5.0,75760.31,1568265.566
603986.SH,20191211,197.0,202.6,193.46,200.0,199.11,0.89,0.447,60824.19,1208355.889
603986.SH,20191210,194.85,202.7,191.0,199.11,196.85,2.26,1.1481,70737.51,1395199.202
603986.SH,20191209,194.95,199.98,190.87,196.85,194.05,2.8,1.4429,80401.87,1575531.649
603986.SH,20191206,188.0,195.99,186.0,194.05,188.5,5.55,2.9443,70313.12,1343305.889
603986.SH,20191205,180.26,196.56,179.36,188.5,181.7,6.8,3.7424,97082.0,1831253.607
603986.SH,20191204,177.3,184.67,175.26,181.7,179.55,2.15,1.1974,81001.88,1462520.343
603986.SH,20191203,169.01,180.8,168.14,179.55,171.6,7.95,4.6329,93388.95,1637173.106
603986.SH,20191202,164.5,171.9,163.86,171.6,165.4,6.2,3.7485,67907.34,1149981.711
603986.SH,20191129,165.97,168.67,159.53,165.4,166.79,-1.39,-0.8334,69550.09,1139955.548
603986.SH,20191128,165.94,170.9,163.9,166.79,166.25,0.54,0.3248,53512.11,898467.966
603986.SH,20191127,161.5,171.0,158.5,166.25,162.87,3.38,2.0753,91921.5,1519670.376
603986.SH,20191126,158.92,163.2,158.92,162.87,157.51,5.36,3.403,72999.67,1178198.512
603986.SH,20191125,161.0,163.09,156.88,157.51,161.9,-4.39,-2.7116,76339.17,1217597.463
603986.SH,20191122,170.5,177.99,159.5,161.9,169.3,-7.4,-4.3709,124759.15,2074290.232
603986.SH,20191121,167.9,172.9,167.01,169.3,170.38,-1.08,-0.6339,47861.13,812983.172
603986.SH,20191120,177.05,180.2,169.21,170.38,178.9,-8.52,-4.7624,65961.06,1144327.633
603986.SH,20191119,170.09,180.27,169.37,178.9,172.6,6.3,3.6501,59972.44,1051062.157
603986.SH,20191118,172.11,174.9,167.5,172.6,171.9,0.7,0.4072,66703.12,1143537.59
603986.SH,20191115,180.32,184.48,171.5,171.9,180.88,-8.98,-4.9646,85151.63,1526372.735
603986.SH,20191114,173.95,180.88,171.74,180.88,175.75,5.13,2.9189,90074.69,1583479.33
603986.SH,20191113,163.98,177.0,161.0,175.75,163.6,12.15,7.4267,97440.38,1666225.818
603986.SH,20191112,165.02,167.5,155.57,163.6,166.93,-3.33,-1.9948,73441.14,1187901.226
603986.SH,20191111,165.0,170.46,162.8,166.93,166.99,-0.06,-0.0359,68726.39,1147717.923
603986.SH,20191108,168.9,170.8,163.23,166.99,167.4,-0.41,-0.2449,74960.12,1258435.57
603986.SH,20191107,169.5,169.51,163.3,167.4,169.52,-2.12,-1.2506,70723.83,1176494.399
603986.SH,20191106,173.8,178.6,166.73,169.52,173.8,-4.28,-2.4626,84514.65,1451258.848
603986.SH,20191105,165.15,179.3,163.5,173.8,165.12,8.68,5.2568,96238.83,1649435.781
603986.SH,20191104,159.8,168.3,158.0,165.12,159.84,5.28,3.3033,86029.28,1413762.342
603986.SH,20191101,154.0,162.22,151.22,159.84,153.93,5.91,3.8394,75121.15,1182184.681
603986.SH,20191031,158.5,160.97,153.0,153.93,158.6,-4.67,-2.9445,94665.87,1489471.266
603986.SH,20191030,150.2,158.95,150.2,158.6,144.5,14.1,9.7578,158577.77,2481074.66
603986.SH,20191029,150.01,150.87,143.68,144.5,149.26,-4.76,-3.1891,63955.9,938221.815
603986.SH,20191028,145.16,149.87,142.8,149.26,142.2,7.06,4.9648,77321.85,1137294.604
603986.SH,20191025,138.08,143.5,136.48,142.2,136.59,5.61,4.1072,51893.25,725943.966
603986.SH,20191024,139.58,140.59,134.11,136.59,141.0,-4.41,-3.1277,55186.41,754443.044
603986.SH,20191023,142.0,144.45,139.11,141.0,141.45,-0.45,-0.3181,53792.68,763164.58
603986.SH,20191022,137.09,145.0,135.0,141.45,135.49,5.96,4.3988,104468.71,1476437.279
603986.SH,20191021,132.4,136.66,129.57,135.49,132.0,3.49,2.6439,73338.04,983440.871
603986.SH,20191018,137.54,139.5,129.48,132.0,137.72,-5.72,-4.1534,93284.39,1245536.898
603986.SH,20191017,138.28,139.1,135.44,137.72,137.3,0.42,0.3059,38642.18,531915.004
603986.SH,20191016,139.28,141.44,136.1,137.3,138.5,-1.2,-0.8664,60712.43,840231.12
603986.SH,20191015,145.44,146.2,137.16,138.5,146.8,-8.3,-5.654,91539.35,1277961.66
603986.SH,20191014,143.09,148.5,142.85,146.8,141.2,5.6,3.966,83026.55,1210996.193
603986.SH,20191011,147.0,148.43,139.18,141.2,146.51,-5.31,-3.6243,73876.0,1052797.662
603986.SH,20191010,142.61,147.8,142.0,146.51,142.66,3.85,2.6987,80635.39,1170215.476
603986.SH,20191009,139.77,143.6,137.32,142.66,140.35,2.31,1.6459,69953.14,989395.743
603986.SH,20191008,146.21,147.87,135.98,140.35,145.38,-5.03,-3.4599,89807.07,1272315.161
603986.SH,20190930,147.85,149.0,141.5,145.38,148.02,-2.64,-1.7835,82556.56,1205051.826
603986.SH,20190927,149.63,152.66,146.8,148.02,148.51,-0.49,-0.3299,100028.19,1493164.69
603986.SH,20190926,161.0,161.32,146.0,148.51,158.38,-9.87,-6.2318,134061.82,2048445.159
