ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300450.SZ,20200110,45.6,45.65,44.3,44.92,45.62,-0.7,-1.5344,140750.21,632299.86
300450.SZ,20200109,45.5,46.29,45.08,45.62,44.8,0.82,1.8304,140765.68,642975.971
300450.SZ,20200108,45.59,46.3,44.71,44.8,45.61,-0.81,-1.7759,132403.35,599974.931
300450.SZ,20200107,46.26,46.44,44.3,45.61,46.26,-0.65,-1.4051,146123.26,663111.341
300450.SZ,20200106,46.28,48.06,45.5,46.26,45.59,0.67,1.4696,223693.9,1044804.064
300450.SZ,20200103,45.4,46.09,44.93,45.59,45.41,0.18,0.3964,121498.4,552636.271
300450.SZ,20200102,45.38,46.14,44.7,45.41,44.94,0.47,1.0458,160696.31,730170.829
300450.SZ,20191231,45.34,45.84,44.52,44.94,45.23,-0.29,-0.6412,132052.26,595392.903
300450.SZ,20191230,46.6,47.15,44.91,45.23,45.8,-0.57,-1.2445,234131.24,1072479.355
300450.SZ,20191227,47.13,47.45,45.64,45.8,46.75,-0.95,-2.0321,135623.8,630280.297
300450.SZ,20191226,46.59,47.27,45.8,46.75,46.6,0.15,0.3219,110836.51,514572.055
300450.SZ,20191225,45.7,47.5,45.02,46.6,45.76,0.84,1.8357,166907.9,769694.137
300450.SZ,20191224,42.19,45.99,42.19,45.76,41.81,3.95,9.4475,189434.17,839559.828
300450.SZ,20191223,41.66,43.15,41.38,41.81,42.0,-0.19,-0.4524,145854.28,616637.084
300450.SZ,20191220,42.53,42.8,41.5,42.0,42.18,-0.18,-0.4267,87534.53,368327.478
300450.SZ,20191219,41.11,42.57,40.66,42.18,40.92,1.26,3.0792,157650.66,659247.976
300450.SZ,20191218,41.25,41.37,40.11,40.92,40.8,0.12,0.2941,110398.83,450265.731
300450.SZ,20191217,40.5,42.24,40.5,40.8,39.39,1.41,3.5796,193230.65,794578.394
300450.SZ,20191216,39.5,39.84,38.81,39.39,39.31,0.08,0.2035,132526.52,520559.453
300450.SZ,20191213,38.4,39.37,38.25,39.31,37.95,1.36,3.5837,190532.09,742743.336
300450.SZ,20191212,39.05,39.25,37.8,37.95,39.35,-1.4,-3.5578,178911.27,683533.062
300450.SZ,20191211,39.71,39.99,38.91,39.35,40.0,-0.65,-1.625,145480.08,570983.394
