ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300163.SZ,20200110,3.86,3.9,3.78,3.81,3.86,-0.05,-1.2953,70840.0,27151.789
300163.SZ,20200109,3.75,3.94,3.7,3.86,3.7,0.16,4.3243,133424.0,51317.702
300163.SZ,20200108,3.8,3.82,3.69,3.7,3.81,-0.11,-2.8871,70734.6,26613.473
300163.SZ,20200107,3.83,3.84,3.79,3.81,3.82,-0.01,-0.2618,56910.0,21679.265
300163.SZ,20200106,3.76,3.87,3.73,3.82,3.77,0.05,1.3263,96623.0,36849.607
300163.SZ,20200103,3.77,3.81,3.71,3.77,3.75,0.02,0.5333,63538.6,23924.064
300163.SZ,20200102,3.73,3.78,3.67,3.75,3.68,0.07,1.9022,78819.36,29447.072
300163.SZ,20191231,3.65,3.69,3.63,3.68,3.65,0.03,0.8219,41124.36,15075.077
300163.SZ,20191230,3.61,3.68,3.56,3.65,3.6,0.05,1.3889,69225.5,25141.689
300163.SZ,20191227,3.66,3.71,3.6,3.6,3.65,-0.05,-1.3699,51369.03,18781.412
300163.SZ,20191226,3.66,3.66,3.6,3.65,3.64,0.01,0.2747,35288.83,12813.978
300163.SZ,20191225,3.62,3.67,3.6,3.64,3.64,0.0,0.0,45356.65,16484.242
300163.SZ,20191224,3.64,3.68,3.61,3.64,3.6,0.04,1.1111,35989.24,13094.177
300163.SZ,20191223,3.66,3.81,3.6,3.6,3.65,-0.05,-1.3699,101921.44,37713.776
300163.SZ,20191220,3.73,3.78,3.65,3.65,3.74,-0.09,-2.4064,49695.0,18505.788
300163.SZ,20191219,3.73,3.77,3.7,3.74,3.75,-0.01,-0.2667,49345.0,18455.343
300163.SZ,20191218,3.75,3.82,3.69,3.75,3.73,0.02,0.5362,74936.79,28104.613
300163.SZ,20191217,3.7,3.77,3.64,3.73,3.66,0.07,1.9126,70304.93,26169.709
300163.SZ,20191216,3.59,3.69,3.54,3.66,3.59,0.07,1.9499,76458.0,27739.668
300163.SZ,20191213,3.58,3.64,3.56,3.59,3.57,0.02,0.5602,55122.0,19767.092
300163.SZ,20191212,3.53,3.62,3.5,3.57,3.5,0.07,2.0,70980.64,25386.196
300163.SZ,20191211,3.47,3.58,3.47,3.5,3.5,0.0,0.0,58509.0,20648.361
300163.SZ,20191210,3.45,3.5,3.42,3.5,3.43,0.07,2.0408,54431.3,18863.098
300163.SZ,20191209,3.42,3.48,3.39,3.43,3.42,0.01,0.2924,68591.02,23682.344
300163.SZ,20191206,3.36,3.42,3.35,3.42,3.37,0.05,1.4837,37209.87,12602.846
300163.SZ,20191205,3.32,3.38,3.32,3.37,3.35,0.02,0.597,44488.43,14918.474
300163.SZ,20191204,3.38,3.41,3.3,3.35,3.38,-0.03,-0.8876,70365.73,23554.098
300163.SZ,20191203,3.35,3.38,3.3,3.38,3.37,0.01,0.2967,25249.07,8445.433
300163.SZ,20191202,3.39,3.43,3.36,3.37,3.38,-0.01,-0.2959,18876.0,6416.733
300163.SZ,20191129,3.44,3.44,3.34,3.38,3.41,-0.03,-0.8798,28122.06,9511.528
300163.SZ,20191128,3.42,3.46,3.38,3.41,3.42,-0.01,-0.2924,22641.06,7746.85
300163.SZ,20191127,3.44,3.46,3.4,3.42,3.44,-0.02,-0.5814,19709.0,6745.23
300163.SZ,20191126,3.43,3.46,3.41,3.44,3.45,-0.01,-0.2899,19427.0,6676.175
300163.SZ,20191125,3.44,3.48,3.39,3.45,3.45,0.0,0.0,35552.0,12246.23
